,西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,調査区分,C_pH_最小値,pH_最小値,C_pH_最大値,pH_最大値,m_pH,n_pH,C_DO_最小値,DO_最小値,C_DO_最大値,DO_最大値,m_DO,n_DO,C_DO_日間平均値_平均値,DO_日間平均値_平均値,C_BOD_最小値,BOD_最小値,C_BOD_最大値,BOD_最大値,m_BOD,n_BOD,C_BOD_日間平均値_最小値,BOD_日間平均値_最小値,C_BOD_日間平均値_最大値,BOD_日間平均値_最大値,x_BOD,y_BOD,C_BOD_日間平均値_平均値,BOD_日間平均値_平均値,C_BOD_日間平均値_中央値,BOD_日間平均値_中央値,C_BOD_日間平均値_75%値,BOD_日間平均値_75%値,C_COD_最小値,COD_最小値,C_COD_最大値,COD_最大値,m_COD,n_COD,C_COD_日間平均値_最小値,COD_日間平均値_最小値,C_COD_日間平均値_最大値,COD_日間平均値_最大値,x_COD,y_COD,C_COD_日間平均値_平均値,COD_日間平均値_平均値,C_COD_日間平均値_中央値,COD_日間平均値_中央値,C_COD_日間平均値_75%値,COD_日間平均値_75%値,C_SS_最小値,SS_最小値,C_SS_最大値,SS_最大値,m_SS,n_SS,C_SS_日間平均値_平均値,SS_日間平均値_平均値,C_大腸菌群数_最小値,大腸菌群数_最小値,C_大腸菌群数_最大値,大腸菌群数_最大値,m_大腸菌群数,n_大腸菌群数,C_大腸菌群数_日間平均値_平均値,大腸菌群数_日間平均値_平均値,C_n-ヘキサン抽出物質（油分等）_最小値,n-ヘキサン抽出物質（油分等)_最小値,C_n-ヘキサン抽出物質(油分等)_最大値,n-ヘキサン抽出物質(油分等)_最大値,m_n-ヘキサン抽出物質(油分等),n_n-ヘキサン抽出物質(油分等),C_n-ヘキサン抽出物質(油分等)_日間平均値_平均値,n-ヘキサン抽出物質(油分等)_日間平均値_平均値,地点統一番号
0,1974,210011,,,,0,,,,,,,,,,,,,,,<,0.5,#,2.4,0.0,4.0,<,0.5,#,2.4,0.0,4.0,#,1.5,#,1.5,#,1.9,<,0.5,<,0.5,,4.0,<,0.5,<,0.5,,4.0,<,0.5,<,0.5,<,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
1,1974,210021,,,,0,,,,,,,,,,,,,,,#,0.5,#,2.7,0.0,4.0,#,0.5,#,2.7,0.0,4.0,#,2.0,#,2.3,#,2.4,<,0.5,<,0.5,,4.0,<,0.5,<,0.5,,4.0,<,0.5,<,0.5,<,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2,1974,210031,,,,0,,,,,,,,,,,,,,,#,3.1,#,8.4,4.0,4.0,#,3.1,#,8.4,4.0,4.0,#,5.9,#,6.0,#,7.6,<,0.5,<,0.5,,4.0,<,0.5,<,0.5,,4.0,<,0.5,<,0.5,<,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
3,1974,210051,,,,0,,,,,,,,,,,,,,,#,0.7,#,2.5,1.0,3.0,#,0.7,#,2.5,1.0,3.0,#,1.4,#,1.0,#,2.5,<,0.5,<,0.5,,3.0,<,0.5,<,0.5,,3.0,<,0.5,<,0.5,<,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
4,1974,210061,,,,0,,,,,,,,,,,,,,,<,0.5,#,12.0,2.0,4.0,<,0.5,#,12.0,2.0,4.0,#,4.8,#,3.3,#,4.4,<,0.5,<,0.5,,4.0,<,0.5,<,0.5,,4.0,<,0.5,<,0.5,<,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
5,1974,210071,,,,0,,,,,,,,,,,,,,,#,0.5,#,1.8,0.0,4.0,#,0.5,#,1.8,0.0,4.0,#,1.3,#,1.4,#,1.8,<,0.5,<,0.5,,4.0,<,0.5,<,0.5,,4.0,<,0.5,<,0.5,<,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
6,1974,210081,,,,0,,,,,,,,,,,,,,,#,0.5,#,2.4,1.0,4.0,#,0.5,#,2.4,1.0,4.0,#,1.5,#,1.5,#,2.0,<,0.5,<,0.5,,4.0,<,0.5,<,0.5,,4.0,<,0.5,<,0.5,<,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
7,1974,210091,,,,0,,,,,,,,,,,,,,,#,0.8,#,2.7,3.0,4.0,#,0.8,#,2.7,3.0,4.0,#,2.1,#,2.4,#,2.5,<,0.5,<,0.5,,4.0,<,0.5,<,0.5,,4.0,<,0.5,<,0.5,<,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
8,1974,210101,,,,0,,,,,,,,,,,,,,,<,0.5,#,3.0,2.0,4.0,<,0.5,#,3.0,2.0,4.0,#,1.8,#,1.9,#,2.2,<,0.5,<,0.5,,4.0,<,0.5,<,0.5,,4.0,<,0.5,<,0.5,<,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
9,1974,210121,,,,0,,,,,,,,,,,,,,,#,1.5,#,3.2,1.0,4.0,#,1.5,#,3.2,1.0,4.0,#,2.1,#,1.8,#,2.0,<,0.5,<,0.5,,4.0,<,0.5,<,0.5,,4.0,<,0.5,<,0.5,<,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
