,西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,調査区分,C_pH_最小値,pH_最小値,C_pH_最大値,pH_最大値,m_pH,n_pH,C_DO_最小値,DO_最小値,C_DO_最大値,DO_最大値,m_DO,n_DO,C_DO_日間平均値_平均値,DO_日間平均値_平均値,C_BOD_最小値,BOD_最小値,C_BOD_最大値,BOD_最大値,m_BOD,n_BOD,C_BOD_日間平均値_最小値,BOD_日間平均値_最小値,C_BOD_日間平均値_最大値,BOD_日間平均値_最大値,x_BOD,y_BOD,C_BOD_日間平均値_平均値,BOD_日間平均値_平均値,C_BOD_日間平均値_中央値,BOD_日間平均値_中央値,C_BOD_日間平均値_75%値,BOD_日間平均値_75%値,C_COD_最小値,COD_最小値,C_COD_最大値,COD_最大値,m_COD,n_COD,C_COD_日間平均値_最小値,COD_日間平均値_最小値,C_COD_日間平均値_最大値,COD_日間平均値_最大値,x_COD,y_COD,C_COD_日間平均値_平均値,COD_日間平均値_平均値,C_COD_日間平均値_中央値,COD_日間平均値_中央値,C_COD_日間平均値_75%値,COD_日間平均値_75%値,C_SS_最小値,SS_最小値,C_SS_最大値,SS_最大値,m_SS,n_SS,C_SS_日間平均値_平均値,SS_日間平均値_平均値,C_大腸菌群数_最小値,大腸菌群数_最小値,C_大腸菌群数_最大値,大腸菌群数_最大値,m_大腸菌群数,n_大腸菌群数,C_大腸菌群数_日間平均値_平均値,大腸菌群数_日間平均値_平均値,C_n-ヘキサン抽出物質（油分等）_最小値,n-ヘキサン抽出物質（油分等)_最小値,C_n-ヘキサン抽出物質(油分等)_最大値,n-ヘキサン抽出物質(油分等)_最大値,m_n-ヘキサン抽出物質(油分等),n_n-ヘキサン抽出物質(油分等),C_n-ヘキサン抽出物質(油分等)_日間平均値_平均値,n-ヘキサン抽出物質(油分等)_日間平均値_平均値,地点統一番号
0,1972,110011,,,,0,,,,,,,,,,,,,,,<,0.5,#,1.0,0.0,16.0,#,0.5,#,0.9,0.0,8.0,#,0.6,#,0.6,#,0.6,#,1.3,#,4.3,,16.0,#,1.4,#,3.6,,8.0,#,2.1,#,1.9,#,2.3,,,,,,,,,,,,,,,,,,,,,,,,,
1,1972,110021,,,,0,,,,,,,,,,,,,,,#,0.5,#,1.8,0.0,16.0,#,0.5,#,1.8,0.0,8.0,#,1.0,#,0.9,#,1.0,#,1.4,#,4.7,,16.0,#,1.8,#,4.0,,8.0,#,2.9,#,2.9,#,3.2,,,,,,,,,,,,,,,,,,,,,,,,,
2,1972,110031,,,,0,,,,,,,,,,,,,,,<,0.5,#,3.1,1.0,48.0,<,0.5,#,2.1,1.0,12.0,#,0.8,#,0.6,#,0.8,<,0.5,#,7.5,,48.0,<,0.5,#,5.5,,12.0,#,2.6,#,2.3,#,2.7,,,,,,,,,,,,,,,,,,,,,,,,,
3,1972,110041,,,,0,,,,,,,,,,,,,,,#,1.9,#,9.1,25.0,37.0,#,3.0,#,8.3,7.0,8.0,#,4.9,#,3.7,#,6.3,#,4.5,#,17.0,,37.0,#,5.5,#,16.0,,8.0,#,9.1,#,8.3,#,9.6,,,,,,,,,,,,,,,,,,,,,,,,,
4,1972,110051,,,,0,,,,,,,,,,,,,,,#,2.4,#,13.0,50.0,56.0,#,2.4,#,13.0,18.0,20.0,#,6.2,#,5.3,#,8.1,#,6.8,#,17.0,,56.0,#,6.8,#,17.0,,20.0,#,11.0,#,11.0,#,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
5,1972,110081,,,,0,,,,,,,,,,,,,,,#,1.0,#,3.7,4.0,18.0,#,1.0,#,3.7,4.0,18.0,#,2.2,#,2.1,#,2.9,<,0.5,#,40.0,,18.0,<,0.5,#,40.0,,18.0,#,10.0,<,0.5,#,16.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,1972,110091,,,,0,,,,,,,,,,,,,,,#,1.0,#,2.9,0.0,32.0,#,1.5,#,2.4,0.0,8.0,#,1.9,#,1.9,#,2.0,#,3.1,#,17.0,,32.0,#,6.8,#,14.0,,8.0,#,11.0,#,11.0,#,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,1972,110101,,,,0,,,,,,,,,,,,,,,#,1.0,#,4.4,6.0,45.0,#,1.2,#,4.4,2.0,18.0,#,2.2,#,2.2,#,2.4,<,0.5,#,13.0,,45.0,#,1.4,#,10.0,,18.0,#,4.7,#,4.6,#,7.5,,,,,,,,,,,,,,,,,,,,,,,,,
8,1972,110111,,,,0,,,,,,,,,,,,,,,#,0.7,#,5.8,4.0,45.0,#,0.9,#,5.8,3.0,17.0,#,2.4,#,2.1,#,2.6,<,0.5,#,19.0,,45.0,#,1.6,#,10.0,,17.0,#,5.2,#,5.1,#,6.7,,,,,,,,,,,,,,,,,,,,,,,,,
9,1972,110121,,,,0,,,,,,,,,,,,,,,#,1.2,#,6.0,8.0,50.0,#,1.5,#,3.7,1.0,8.0,#,2.2,#,2.1,#,2.3,#,6.0,#,20.0,,50.0,#,7.3,#,15.0,,8.0,#,12.0,#,12.0,#,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
