,西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,調査区分,C_pH_最小値,pH_最小値,C_pH_最大値,pH_最大値,m_pH,n_pH,C_DO_最小値,DO_最小値,C_DO_最大値,DO_最大値,m_DO,n_DO,C_DO_日間平均値_平均値,DO_日間平均値_平均値,C_BOD_最小値,BOD_最小値,C_BOD_最大値,BOD_最大値,m_BOD,n_BOD,C_BOD_日間平均値_最小値,BOD_日間平均値_最小値,C_BOD_日間平均値_最大値,BOD_日間平均値_最大値,x_BOD,y_BOD,C_BOD_日間平均値_平均値,BOD_日間平均値_平均値,C_BOD_日間平均値_中央値,BOD_日間平均値_中央値,C_BOD_日間平均値_75%値,BOD_日間平均値_75%値,C_COD_最小値,COD_最小値,C_COD_最大値,COD_最大値,m_COD,n_COD,C_COD_日間平均値_最小値,COD_日間平均値_最小値,C_COD_日間平均値_最大値,COD_日間平均値_最大値,x_COD,y_COD,C_COD_日間平均値_平均値,COD_日間平均値_平均値,C_COD_日間平均値_中央値,COD_日間平均値_中央値,C_COD_日間平均値_75%値,COD_日間平均値_75%値,C_SS_最小値,SS_最小値,C_SS_最大値,SS_最大値,m_SS,n_SS,C_SS_日間平均値_平均値,SS_日間平均値_平均値,C_大腸菌群数_最小値,大腸菌群数_最小値,C_大腸菌群数_最大値,大腸菌群数_最大値,m_大腸菌群数,n_大腸菌群数,C_大腸菌群数_日間平均値_平均値,大腸菌群数_日間平均値_平均値,C_n-ヘキサン抽出物質（油分等）_最小値,n-ヘキサン抽出物質（油分等)_最小値,C_n-ヘキサン抽出物質(油分等)_最大値,n-ヘキサン抽出物質(油分等)_最大値,m_n-ヘキサン抽出物質(油分等),n_n-ヘキサン抽出物質(油分等),C_n-ヘキサン抽出物質(油分等)_日間平均値_平均値,n-ヘキサン抽出物質(油分等)_日間平均値_平均値,地点統一番号
0,1976,110012,,,,0,,,,,,,#,9.1,#,10.0,0.0,4.0,#,9.6,#,0.6,#,0.8,0.0,4.0,#,0.6,#,0.8,0.0,4.0,#,0.7,#,0.7,#,0.7,#,1.8,#,1.8,,1.0,#,1.8,#,1.8,,1.0,#,1.8,#,1.8,#,1.8,,,,,,,,,,,,,,,,,,,,,,,,,
1,1976,110022,,,,0,,,,,,,#,8.5,#,14.0,0.0,33.0,#,11.0,#,0.8,>,2.4,7.0,33.0,#,1.3,>,2.3,4.0,11.0,>,1.8,#,1.7,#,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1976,110032,,,,0,,,,,,,#,9.4,#,13.0,0.0,8.0,#,12.0,#,1.0,>,2.3,1.0,8.0,#,1.0,>,2.3,1.0,8.0,>,1.3,#,1.2,#,1.3,#,1.6,#,7.4,,8.0,#,1.6,#,7.4,,8.0,#,3.5,#,2.7,#,4.1,,,,,,,,,,,,,,,,,,,,,,,,,
3,1976,110042,,,,0,,,,,,,#,7.4,#,13.0,0.0,38.0,#,10.0,#,0.6,>,11.0,9.0,38.0,#,0.6,>,6.0,3.0,14.0,>,2.5,#,2.3,#,3.0,#,2.9,#,9.8,,25.0,#,2.9,#,9.8,,13.0,#,6.6,#,6.7,#,7.2,,,,,,,,,,,,,,,,,,,,,,,,,
4,1976,110052,,,,0,,,,,,,#,5.9,#,13.0,0.0,48.0,#,10.0,#,1.4,>,8.0,28.0,48.0,#,1.7,>,7.3,10.0,12.0,>,3.8,>,3.2,>,3.6,#,3.3,#,11.0,,48.0,#,4.0,#,10.0,,12.0,#,7.0,#,7.2,#,8.1,,,,,,,,,,,,,,,,,,,,,,,,,
5,1976,110062,,,,0,,,,,,,#,8.0,#,13.0,0.0,9.0,#,9.9,#,2.6,>,3.2,1.0,9.0,#,2.6,>,3.2,1.0,9.0,>,2.9,#,2.8,#,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1976,110082,,,,0,,,,,,,#,7.3,#,15.0,0.0,12.0,#,11.0,#,0.5,#,2.4,0.0,12.0,#,0.5,#,2.4,0.0,12.0,#,1.6,#,1.7,#,1.8,#,3.2,#,8.3,,12.0,#,3.2,#,8.3,,12.0,#,6.1,#,6.3,#,7.2,,,,,,,,,,,,,,,,,,,,,,,,,
7,1976,110092,,,,0,,,,,,,#,7.6,#,15.0,0.0,49.0,#,11.0,<,0.5,#,2.3,0.0,49.0,#,0.6,#,2.3,0.0,12.0,#,1.4,#,1.5,#,1.7,#,3.6,#,20.0,,49.0,#,4.6,#,18.0,,12.0,#,7.1,#,6.5,#,6.9,,,,,,,,,,,,,,,,,,,,,,,,,
8,1976,110102,,,,0,,,,,,,#,6.6,#,11.0,0.0,10.0,#,9.2,#,1.3,>,3.5,1.0,10.0,#,1.4,>,2.8,1.0,5.0,>,2.1,#,2.0,#,2.5,#,4.4,#,11.0,,10.0,#,4.7,#,9.0,,5.0,#,6.3,#,6.1,#,6.6,,,,,,,,,,,,,,,,,,,,,,,,,
9,1976,110112,,,,0,,,,,,,#,6.6,#,13.0,0.0,38.0,#,10.0,#,0.6,#,2.6,0.0,38.0,#,0.6,#,2.4,0.0,14.0,#,1.4,#,1.3,#,1.9,#,4.3,#,11.0,,30.0,#,4.3,#,11.0,,14.0,#,7.2,#,7.1,#,8.3,,,,,,,,,,,,,,,,,,,,,,,,,
