,西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,調査区分,C_pH_最小値,pH_最小値,C_pH_最大値,pH_最大値,m_pH,n_pH,C_DO_最小値,DO_最小値,C_DO_最大値,DO_最大値,m_DO,n_DO,C_DO_日間平均値_平均値,DO_日間平均値_平均値,C_BOD_最小値,BOD_最小値,C_BOD_最大値,BOD_最大値,m_BOD,n_BOD,C_BOD_日間平均値_最小値,BOD_日間平均値_最小値,C_BOD_日間平均値_最大値,BOD_日間平均値_最大値,x_BOD,y_BOD,C_BOD_日間平均値_平均値,BOD_日間平均値_平均値,C_BOD_日間平均値_中央値,BOD_日間平均値_中央値,C_BOD_日間平均値_75%値,BOD_日間平均値_75%値,C_COD_最小値,COD_最小値,C_COD_最大値,COD_最大値,m_COD,n_COD,C_COD_日間平均値_最小値,COD_日間平均値_最小値,C_COD_日間平均値_最大値,COD_日間平均値_最大値,x_COD,y_COD,C_COD_日間平均値_平均値,COD_日間平均値_平均値,C_COD_日間平均値_中央値,COD_日間平均値_中央値,C_COD_日間平均値_75%値,COD_日間平均値_75%値,C_SS_最小値,SS_最小値,C_SS_最大値,SS_最大値,m_SS,n_SS,C_SS_日間平均値_平均値,SS_日間平均値_平均値,C_大腸菌群数_最小値,大腸菌群数_最小値,C_大腸菌群数_最大値,大腸菌群数_最大値,m_大腸菌群数,n_大腸菌群数,C_大腸菌群数_日間平均値_平均値,大腸菌群数_日間平均値_平均値,C_n-ヘキサン抽出物質（油分等）_最小値,n-ヘキサン抽出物質（油分等)_最小値,C_n-ヘキサン抽出物質(油分等)_最大値,n-ヘキサン抽出物質(油分等)_最大値,m_n-ヘキサン抽出物質(油分等),n_n-ヘキサン抽出物質(油分等),C_n-ヘキサン抽出物質(油分等)_日間平均値_平均値,n-ヘキサン抽出物質(油分等)_日間平均値_平均値,地点統一番号
0,1971,110011,,,,0,,,,,,,,,,,,,,,<,0.5,#,2.4,5.0,36.0,#,0.6,#,1.4,2.0,9.0,#,0.8,#,0.8,#,0.8,<,0.5,#,3.6,,36.0,<,0.5,#,1.1,,9.0,#,0.7,#,0.8,#,0.9,,,,,,,,,,,,,,,,,,,,,,,,,
1,1971,110021,,,,0,,,,,,,,,,,,,,,<,0.5,#,1.6,0.0,36.0,#,0.5,#,1.3,0.0,9.0,#,1.0,#,1.0,#,1.3,<,0.5,#,2.3,,36.0,<,0.5,#,1.0,,9.0,#,0.7,#,0.7,#,0.9,,,,,,,,,,,,,,,,,,,,,,,,,
2,1971,110041,,,,0,,,,,,,,,,,,,,,#,0.9,#,14.0,23.0,54.0,#,1.4,#,13.0,6.0,9.0,#,5.8,#,4.5,#,7.4,<,0.5,#,22.0,,54.0,<,0.5,#,5.9,,9.0,#,2.5,#,1.4,#,3.9,,,,,,,,,,,,,,,,,,,,,,,,,
3,1971,110051,,,,0,,,,,,,,,,,,,,,#,1.2,#,7.2,6.0,12.0,#,2.0,#,5.2,2.0,3.0,#,3.4,#,3.1,#,5.2,<,0.5,#,13.0,,12.0,<,0.5,#,3.6,,3.0,#,1.5,<,0.5,#,3.6,,,,,,,,,,,,,,,,,,,,,,,,,
4,1971,110081,,,,0,,,,,,,,,,,,,,,#,0.9,#,3.5,4.0,36.0,#,1.5,#,3.3,1.0,9.0,#,2.3,#,2.4,#,2.5,<,0.5,#,32.0,,36.0,<,0.5,#,8.4,,9.0,#,3.4,#,2.5,#,4.9,,,,,,,,,,,,,,,,,,,,,,,,,
5,1971,110091,,,,0,,,,,,,,,,,,,,,#,0.5,#,4.0,3.0,54.0,#,1.2,#,3.5,1.0,9.0,#,2.2,#,2.3,#,2.6,<,0.5,#,26.0,,54.0,<,0.5,#,6.9,,9.0,#,2.9,#,3.4,#,4.6,,,,,,,,,,,,,,,,,,,,,,,,,
6,1971,110101,,,,0,,,,,,,,,,,,,,,#,1.1,#,5.6,12.0,36.0,#,1.5,#,4.9,3.0,9.0,#,2.9,#,2.6,#,3.8,<,0.5,#,15.0,,36.0,<,0.5,#,4.1,,9.0,#,2.5,#,2.6,#,2.6,,,,,,,,,,,,,,,,,,,,,,,,,
7,1971,110111,,,,0,,,,,,,,,,,,,,,#,1.0,#,3.2,1.0,54.0,#,1.4,#,2.7,0.0,9.0,#,2.0,#,2.0,#,2.2,<,0.5,#,19.0,,54.0,<,0.5,#,5.1,,9.0,#,2.6,#,2.9,#,3.4,,,,,,,,,,,,,,,,,,,,,,,,,
8,1971,110131,,,,0,,,,,,,,,,,,,,,#,0.8,#,3.1,1.0,36.0,#,1.0,#,2.7,0.0,9.0,#,2.0,#,2.1,#,2.3,<,0.5,#,16.0,,36.0,<,0.5,#,4.4,,9.0,#,2.1,#,2.6,#,3.1,,,,,,,,,,,,,,,,,,,,,,,,,
9,1971,110141,,,,0,,,,,,,,,,,,,,,<,0.5,#,2.7,0.0,36.0,#,0.9,#,1.8,0.0,9.0,#,1.4,#,1.3,#,1.6,<,0.5,#,42.0,,36.0,<,0.5,#,11.0,,9.0,#,3.9,#,3.4,#,5.4,,,,,,,,,,,,,,,,,,,,,,,,,
