,西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,調査区分_x,C_pH_最小値,pH_最小値,C_pH_最大値,pH_最大値,m_pH,n_pH,C_DO_最小値,DO_最小値,C_DO_最大値,DO_最大値,m_DO,n_DO,C_DO_日間平均値_平均値,DO_日間平均値_平均値,C_BOD_最小値,BOD_最小値,C_BOD_最大値,BOD_最大値,m_BOD,n_BOD,C_BOD_日間平均値_最小値,BOD_日間平均値_最小値,C_BOD_日間平均値_最大値,BOD_日間平均値_最大値,x_BOD,y_BOD,C_BOD_日間平均値_平均値,BOD_日間平均値_平均値,C_BOD_日間平均値_中央値,BOD_日間平均値_中央値,C_BOD_日間平均値_75%値,BOD_日間平均値_75%値,C_COD_最小値,COD_最小値,C_COD_最大値,COD_最大値,m_COD,n_COD,C_COD_日間平均値_最小値,COD_日間平均値_最小値,C_COD_日間平均値_最大値,COD_日間平均値_最大値,x_COD,y_COD,C_COD_日間平均値_平均値,COD_日間平均値_平均値,C_COD_日間平均値_中央値,COD_日間平均値_中央値,C_COD_日間平均値_75%値,COD_日間平均値_75%値,C_SS_最小値,SS_最小値,C_SS_最大値,SS_最大値,m_SS,n_SS,C_SS_日間平均値_平均値,SS_日間平均値_平均値,C_大腸菌群数_最小値,大腸菌群数_最小値,C_大腸菌群数_最大値,大腸菌群数_最大値,m_大腸菌群数,n_大腸菌群数,C_大腸菌群数_日間平均値_平均値,大腸菌群数_日間平均値_平均値,C_n-ヘキサン抽出物質（油分等）_最小値,n-ヘキサン抽出物質（油分等)_最小値,C_n-ヘキサン抽出物質(油分等)_最大値,n-ヘキサン抽出物質(油分等)_最大値,m_n-ヘキサン抽出物質(油分等),n_n-ヘキサン抽出物質(油分等),C_n-ヘキサン抽出物質(油分等)_日間平均値_平均値,n-ヘキサン抽出物質(油分等)_日間平均値_平均値,地点統一番号,m_カドミウム,n_カドミウム,C_カドミウム_最大値,カドミウム_最大値,C_カドミウム_平均値,カドミウム_平均値,m_全シアン,n_全シアン,C_全シアン_最大値,全シアン_最大値,C_全シアン_平均値,全シアン_平均値,m_鉛,n_鉛,C_鉛_最大値,鉛_最大値,C_鉛_平均値,鉛_平均値,m_六価クロム,n_六価クロム,C_六価クロム_最大値,六価クロム_最大値,C_六価クロム_平均値,六価クロム_平均値,m_砒素,n_砒素,C_砒素_最大値,砒素_最大値,C_砒素_平均値,砒素_平均値,m_総水銀,n_総水銀,C_総水銀_最大値,総水銀_最大値,C_総水銀_平均値,総水銀_平均値,総水銀_定量限界値未満の検体数,m_アルキル水銀,n_アルキル水銀,C_アルキル水銀_最大値,アルキル水銀_最大値,C_アルキル水銀_平均値,アルキル水銀_平均値,m_PCB,n_PCB,C_PCB_最大値,PCB_最大値,C_PCB_平均値,PCB_平均値,m_有機リン,n_有機リン,C_有機リン_最大値,有機リン_最大値,C_有機リン_平均値,有機リン_平均値,m_ジクロロメタン,n_ジクロロメタン,C_ジクロロメタン_最大値,ジクロロメタン_最大値,C_ジクロロメタン_平均値,ジクロロメタン_平均値,m_四塩化炭素,n_四塩化炭素,C_四塩化炭素_最大値,四塩化炭素_最大値,C_四塩化炭素_平均値,四塩化炭素_平均値,m_1、2-ジクロロエタン,n_1、2-ジクロロエタン,C_1、2-ジクロロエタン_最大値,1、2-ジクロロエタン_最大値,C_1、2-ジクロロエタン_平均値,1、2-ジクロロエタン_平均値,m_1、1-ジクロロエチレン,n_1、1-ジクロロエチレン,C_1、1-ジクロロエチレン_最大値,1、1-ジクロロエチレン_最大値,C_1、1-ジクロロエチレン_平均値,1、1-ジクロロエチレン_平均値,m_シス-1、2-ジクロロエチレン,n_シス-1、2-ジクロロエチレン,C_シス-1、2-ジクロロエチレン_最大値,シス-1、2-ジクロロエチレン_最大値,C_シス-1、2-ジクロロエチレン_平均値,シス-1、2-ジクロロエチレン_平均値,m_1、1、1-トリクロロエタン,n_1、1、1-トリクロロエタン,C_1、1、1-トリクロロエタン_最大値,1、1、1-トリクロロエタン_最大値,C_1、1、1-トリクロロエタン_平均値,1、1、1-トリクロロエタン_平均値,m_1、1、2-トリクロロエタン,n_1、1、2-トリクロロエタン,C_1、1、2-トリクロロエタン_最大値,1、1、2-トリクロロエタン_最大値,C_1、1、2-トリクロロエタン_平均値,1、1、2-トリクロロエタン_平均値,m_トリクロロエチレン,n_トリクロロエチレン,C_トリクロロエチレン_最大値,トリクロロエチレン_最大値,C_トリクロロエチレン_平均値,トリクロロエチレン_平均値,m_テトラクロロエチレン,n_テトラクロロエチレン,C_テトラクロロエチレン_最大値,テトラクロロエチレン_最大値,C_テトラクロロエチレン_平均値,テトラクロロエチレン_平均値,m_1、3-ジクロロプロペン,n_1、3-ジクロロプロペン,C_1、3-ジクロロプロペン_最大値,1、3-ジクロロプロペン_最大値,C_1、3-ジクロロプロペン_平均値,1、3-ジクロロプロペン_平均値,m_チウラム,n_チウラム,C_チウラム_最大値,チウラム_最大値,C_チウラム_平均値,チウラム_平均値,m_シマジン,n_シマジン,C_シマジン_最大値,シマジン_最大値,C_シマジン_平均値,シマジン_平均値,m_チオベンカルブ,n_チオベンカルブ,C_チオベンカルブ_最大値,チオベンカルブ_最大値,C_チオベンカルブ_平均値,チオベンカルブ_平均値,m_ベンゼン,n_ベンゼン,C_ベンゼン_最大値,ベンゼン_最大値,C_ベンゼン_平均値,ベンゼン_平均値,m_セレン,n_セレン,C_セレン_最大値,セレン_最大値,C_セレン_平均値,セレン_平均値,m_硝酸性窒素及び亜硝酸性窒素,ｎ_硝酸性窒素及び亜硝酸性窒素,C_硝酸性窒素及び亜硝酸性窒素_最大値,硝酸性窒素及び亜硝酸性窒素_最大値,C_硝酸性窒素及び亜硝酸性窒素_平均値,硝酸性窒素及び亜硝酸性窒素_平均値,m_亜硝酸性窒素,n_亜硝酸性窒素,C_亜硝酸性窒素_最大値,亜硝酸性窒素_最大値,C_亜硝酸性窒素_平均値,亜硝酸性窒素_平均値,m_ふっ素,n_ふっ素,C_ふっ素_最大値,ふっ素_最大値,C_ふっ素_平均値,ふっ素_平均値,m_ほう素,n_ほう素,C_ほう素_最大値,ほう素_最大値,C_ほう素_平均値,ほう素_平均値,調査区分_y,採取位置,C_全窒素_最小値,全窒素_最小値,C_全窒素_最大値,全窒素_最大値,m_全窒素,n_全窒素,C_全窒素_日間平均値_平均値,全窒素_日間平均値_平均値,C_全燐_最小値,全燐_最小値,C_全燐_最大値,全燐_最大値,m_全燐,n_全燐,C_全燐_日間平均値_平均値,全燐_日間平均値_平均値
610,1984,220830,2,502,55,0.0,#,7.6,#,8.3,0.0,6.0,#,6.8,#,12.0,1.0,6.0,#,10.0,,,,,,,,,,,,,,,,,,,#,3.8,#,5.7,6.0,6.0,#,3.8,#,5.7,6.0,6.0,#,4.8,#,4.8,#,5.6,#,2.0,#,10.0,2.0,6.0,#,5.0,#,4.5,#,1600.0,1.0,6.0,#,530.0,,,,,,,,,0250255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,1984,220840,2,502,56,0.0,#,7.6,#,8.4,0.0,6.0,#,8.6,#,12.0,0.0,6.0,#,10.0,,,,,,,,,,,,,,,,,,,#,4.4,#,6.9,6.0,6.0,#,4.4,#,6.9,6.0,6.0,#,5.9,#,6.0,#,6.8,#,3.0,#,7.0,3.0,6.0,#,5.0,#,4.5,#,240.0,0.0,6.0,#,110.0,,,,,,,,,0250256,0.0,1.0,<,0.005,<,0.005,0.0,1.0,N,0.1,N,0.1,0.0,1.0,<,0.05,<,0.05,0.0,1.0,<,0.02,<,0.02,0.0,1.0,<,0.02,<,0.02,,,,,,,0.0,,,,,,,,,,,,,0.0,1.0,N,0.1,N,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,1984,220850,2,502,57,0.0,#,6.8,#,8.6,1.0,10.0,#,8.3,#,12.0,0.0,10.0,#,10.0,,,,,,,,,,,,,,,,,,,#,1.6,#,3.2,1.0,10.0,#,1.6,#,3.2,1.0,10.0,#,2.5,#,2.6,#,2.9,#,1.0,#,17.0,2.0,10.0,#,4.0,#,17.0,#,1100.0,2.0,10.0,#,370.0,,,,,,,,,0250257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,1984,220860,2,502,58,0.0,#,6.9,#,8.8,1.0,10.0,#,8.9,#,12.0,0.0,10.0,#,10.0,,,,,,,,,,,,,,,,,,,#,1.6,#,3.1,1.0,10.0,#,1.6,#,3.1,1.0,10.0,#,2.4,#,2.4,#,2.8,#,1.0,#,12.0,2.0,10.0,#,4.0,#,2.3,#,790.0,0.0,10.0,#,200.0,,,,,,,,,0250258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,1984,220870,2,502,59,0.0,#,7.2,#,8.8,1.0,10.0,#,8.3,#,12.0,0.0,10.0,#,10.0,,,,,,,,,,,,,,,,,,,#,1.9,#,3.0,0.0,10.0,#,1.9,#,3.0,0.0,10.0,#,2.5,#,2.5,#,2.6,<,1.0,#,5.0,0.0,10.0,#,2.0,#,2.0,#,220.0,0.0,8.0,#,39.0,,,,,,,,,0250259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,1984,220880,2,502,60,0.0,#,7.2,#,8.7,1.0,10.0,#,8.9,#,12.0,0.0,10.0,#,10.0,,,,,,,,,,,,,,,,,,,#,1.9,#,3.4,1.0,10.0,#,1.9,#,3.4,1.0,10.0,#,2.5,#,2.6,#,2.8,<,1.0,#,8.0,1.0,10.0,#,2.0,#,2.0,#,33.0,0.0,9.0,#,10.0,,,,,,,,,0250260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,1984,220890,2,502,61,0.0,#,7.2,#,8.6,1.0,10.0,#,8.5,#,12.0,0.0,10.0,#,9.9,,,,,,,,,,,,,,,,,,,#,1.9,#,2.8,0.0,10.0,#,1.9,#,2.8,0.0,10.0,#,2.4,#,2.5,#,2.5,<,1.0,#,2.0,0.0,10.0,#,1.0,#,2.0,#,23.0,0.0,4.0,#,8.5,,,,,,,,,0250261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,1984,220900,2,502,62,0.0,#,7.3,#,8.6,1.0,10.0,#,8.5,#,12.0,0.0,10.0,#,10.0,,,,,,,,,,,,,,,,,,,#,2.0,#,3.0,0.0,10.0,#,2.0,#,3.0,0.0,10.0,#,2.5,#,2.6,#,2.9,<,1.0,#,3.0,0.0,10.0,#,2.0,#,2.0,#,350.0,0.0,5.0,#,77.0,,,,,,,,,0250262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,1984,220910,2,502,63,0.0,#,7.3,#,8.8,1.0,10.0,#,8.4,#,13.0,0.0,10.0,#,10.0,,,,,,,,,,,,,,,,,,,#,1.8,#,2.7,0.0,10.0,#,1.8,#,2.7,0.0,10.0,#,2.4,#,2.6,#,2.6,<,1.0,#,2.0,0.0,10.0,#,1.0,#,2.0,#,70.0,0.0,3.0,#,27.0,,,,,,,,,0250263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,1984,230010,2,601,1,0.0,#,7.5,#,7.9,0.0,12.0,#,0.8,#,11.0,2.0,12.0,#,6.1,,,,,,,,,,,,,,,,,,,#,2.9,#,8.8,2.0,12.0,#,3.2,#,8.8,1.0,6.0,#,5.7,#,5.4,#,7.7,,,,,,,,,#,2200.0,#,540000.0,,12.0,#,98000.0,N,0.5,N,0.5,,3.0,N,0.5,0260101,0.0,1.0,<,0.005,<,0.005,0.0,1.0,N,0.1,N,0.1,0.0,1.0,<,0.05,<,0.05,0.0,1.0,<,0.02,<,0.02,0.0,1.0,<,0.02,<,0.02,0.0,6.0,<,0.0005,<,0.0005,6.0,0.0,1.0,N,0.0005,N,0.0005,0.0,1.0,N,0.0005,N,0.0005,0.0,1.0,N,0.1,N,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,1984,230020,2,601,2,0.0,#,7.2,#,8.2,0.0,12.0,#,3.2,#,10.0,0.0,12.0,#,6.7,,,,,,,,,,,,,,,,,,,#,2.0,#,11.0,2.0,12.0,#,2.5,#,11.0,1.0,6.0,#,4.9,#,4.2,#,4.8,,,,,,,,,#,200.0,#,54000.0,,12.0,#,14000.0,N,0.5,N,0.5,,3.0,N,0.5,0260102,0.0,1.0,<,0.005,<,0.005,0.0,1.0,N,0.1,N,0.1,0.0,1.0,<,0.05,<,0.05,0.0,1.0,<,0.02,<,0.02,0.0,1.0,<,0.02,<,0.02,0.0,6.0,<,0.0005,<,0.0005,6.0,0.0,1.0,N,0.0005,N,0.0005,0.0,1.0,N,0.0005,N,0.0005,0.0,1.0,N,0.1,N,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,1984,232590,2,601,51,0.0,#,7.2,#,7.9,0.0,12.0,#,2.2,#,10.0,0.0,12.0,#,6.4,,,,,,,,,,,,,,,,,,,#,2.3,#,8.6,1.0,12.0,#,2.5,#,8.2,1.0,6.0,#,4.5,#,4.2,#,5.1,,,,,,,,,#,130.0,#,160000.0,,12.0,#,30000.0,,,,,,,,,0260151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,1984,230050,2,602,1,0.0,#,8.1,#,8.4,1.0,12.0,#,7.3,#,12.0,0.0,12.0,#,9.7,,,,,,,,,,,,,,,,,,,#,0.9,#,4.4,0.0,12.0,#,1.0,#,4.4,0.0,6.0,#,2.4,#,2.0,#,3.7,,,,,,,,,#,2.0,#,540.0,,11.0,#,87.0,N,0.5,N,0.5,,3.0,N,0.5,0260201,0.0,1.0,<,0.005,<,0.005,0.0,1.0,N,0.1,N,0.1,0.0,1.0,<,0.05,<,0.05,0.0,1.0,<,0.02,<,0.02,0.0,1.0,<,0.02,<,0.02,0.0,6.0,<,0.0005,<,0.0005,6.0,0.0,1.0,N,0.0005,N,0.0005,0.0,1.0,N,0.0005,N,0.0005,0.0,1.0,N,0.1,N,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,1984,230060,2,602,2,0.0,#,8.1,#,8.3,0.0,12.0,#,7.8,#,11.0,0.0,12.0,#,9.6,,,,,,,,,,,,,,,,,,,#,0.7,#,3.6,0.0,12.0,#,0.8,#,3.5,0.0,6.0,#,2.0,#,1.8,#,2.5,,,,,,,,,#,2.0,#,920.0,,10.0,#,260.0,N,0.5,N,0.5,,3.0,N,0.5,0260202,0.0,1.0,<,0.005,<,0.005,0.0,1.0,N,0.1,N,0.1,0.0,1.0,<,0.05,<,0.05,0.0,1.0,<,0.02,<,0.02,0.0,1.0,<,0.02,<,0.02,0.0,6.0,<,0.0005,<,0.0005,6.0,0.0,1.0,N,0.0005,N,0.0005,0.0,1.0,N,0.0005,N,0.0005,0.0,1.0,N,0.1,N,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,1984,230100,2,603,1,0.0,#,8.1,#,8.4,1.0,12.0,#,5.8,#,11.0,0.0,12.0,#,9.0,,,,,,,,,,,,,,,,,,,#,0.9,#,5.4,0.0,12.0,#,1.3,#,4.4,0.0,6.0,#,2.6,#,2.5,#,3.2,,,,,,,,,#,45.0,#,5400.0,,12.0,#,1400.0,N,0.5,N,0.5,,3.0,N,0.5,0260301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,1984,230110,2,604,1,0.0,#,7.9,#,8.6,2.0,12.0,#,2.8,#,11.0,2.0,12.0,#,7.7,,,,,,,,,,,,,,,,,,,#,1.4,#,10.0,6.0,12.0,#,1.4,#,9.9,4.0,6.0,#,4.0,#,3.4,#,4.4,,,,,,,,,#,330.0,#,54000.0,,12.0,#,5900.0,N,0.5,N,0.5,0.0,3.0,N,0.5,0260401,0.0,1.0,<,0.005,<,0.005,0.0,1.0,N,0.1,N,0.1,0.0,1.0,<,0.05,<,0.05,0.0,1.0,<,0.02,<,0.02,0.0,1.0,<,0.02,<,0.02,0.0,6.0,<,0.0005,<,0.0005,6.0,0.0,1.0,N,0.0005,N,0.0005,0.0,1.0,N,0.0005,N,0.0005,0.0,1.0,N,0.1,N,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,1984,230120,2,604,2,0.0,#,8.0,#,8.5,1.0,12.0,#,3.9,#,11.0,1.0,12.0,#,8.6,,,,,,,,,,,,,,,,,,,#,1.1,#,9.2,4.0,12.0,#,1.2,#,7.6,2.0,6.0,#,3.1,#,2.4,#,3.4,,,,,,,,,#,20.0,#,2300.0,,12.0,#,460.0,N,0.5,N,0.5,0.0,2.0,N,0.5,0260402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,1984,230130,2,604,3,0.0,#,8.1,#,8.3,0.0,12.0,#,7.2,#,11.0,0.0,12.0,#,9.4,,,,,,,,,,,,,,,,,,,#,0.7,#,6.0,3.0,12.0,#,0.9,#,5.6,2.0,6.0,#,2.6,#,2.4,#,3.1,,,,,,,,,#,20.0,#,1400.0,,12.0,#,250.0,N,0.5,N,0.5,0.0,2.0,N,0.5,0260403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,1984,232600,2,604,52,0.0,#,7.7,#,8.1,5.0,12.0,#,1.8,#,11.0,3.0,12.0,#,7.2,,,,,,,,,,,,,,,,,,,#,1.8,#,6.6,8.0,12.0,#,1.9,#,6.2,4.0,6.0,#,4.0,#,4.3,#,5.3,,,,,,,,,#,490.0,#,49000.0,,12.0,#,16000.0,,,,,,,,,0260452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,1984,230180,2,605,1,0.0,#,8.1,#,8.3,0.0,12.0,#,7.4,#,11.0,0.0,12.0,#,9.3,,,,,,,,,,,,,,,,,,,#,0.9,#,2.6,0.0,12.0,#,1.0,#,2.3,0.0,6.0,#,1.6,#,1.5,#,2.1,,,,,,,,,#,11.0,#,540.0,,9.0,#,160.0,N,0.5,N,0.5,0.0,3.0,N,0.5,0260501,0.0,1.0,<,0.005,<,0.005,0.0,1.0,N,0.1,N,0.1,0.0,1.0,<,0.05,<,0.05,0.0,1.0,<,0.02,<,0.02,0.0,1.0,<,0.02,<,0.02,0.0,6.0,<,0.0005,<,0.0005,6.0,0.0,1.0,N,0.0005,N,0.0005,0.0,1.0,N,0.0005,N,0.0005,0.0,1.0,N,0.1,N,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,1984,230190,2,605,2,0.0,#,7.9,#,8.3,0.0,12.0,#,6.2,#,13.0,0.0,12.0,#,9.1,,,,,,,,,,,,,,,,,,,#,1.1,#,10.0,5.0,12.0,#,1.2,#,6.7,3.0,6.0,#,3.4,#,3.3,#,3.9,,,,,,,,,#,20.0,>,24000.0,,11.0,>,2700.0,N,0.5,N,0.5,0.0,3.0,N,0.5,0260502,0.0,1.0,<,0.005,<,0.005,0.0,1.0,N,0.1,N,0.1,0.0,1.0,<,0.05,<,0.05,0.0,1.0,<,0.02,<,0.02,0.0,1.0,<,0.02,<,0.02,0.0,6.0,<,0.0005,<,0.0005,6.0,0.0,1.0,N,0.0005,N,0.0005,0.0,1.0,N,0.0005,N,0.0005,0.0,1.0,N,0.1,N,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,1984,230200,2,605,3,0.0,#,8.1,#,8.3,0.0,12.0,#,7.0,#,12.0,0.0,12.0,#,9.5,,,,,,,,,,,,,,,,,,,#,0.7,#,2.7,0.0,12.0,#,0.8,#,2.6,0.0,6.0,#,1.9,#,2.0,#,2.5,,,,,,,,,#,33.0,#,1300.0,,12.0,#,410.0,N,0.5,N,0.5,0.0,3.0,N,0.5,0260503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,1984,230240,2,606,1,0.0,#,8.1,#,8.3,0.0,12.0,#,7.5,#,11.0,0.0,12.0,#,9.3,,,,,,,,,,,,,,,,,,,#,0.7,#,3.9,4.0,12.0,#,0.7,#,3.7,2.0,6.0,#,1.9,#,1.6,#,2.6,,,,,,,,,#,1.8,#,1600.0,1.0,12.0,#,180.0,N,0.5,N,0.5,0.0,3.0,N,0.5,0260601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,1984,230250,2,606,2,0.0,#,7.9,#,8.3,0.0,12.0,#,6.4,#,11.0,1.0,12.0,#,9.0,,,,,,,,,,,,,,,,,,,#,0.8,#,3.0,4.0,12.0,#,0.9,#,2.7,2.0,6.0,#,1.8,#,1.5,#,2.6,,,,,,,,,#,4.0,#,920.0,0.0,12.0,#,180.0,N,0.5,N,0.5,0.0,3.0,N,0.5,0260602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
