,西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,調査区分,C_pH_最小値,pH_最小値,C_pH_最大値,pH_最大値,m_pH,n_pH,C_DO_最小値,DO_最小値,C_DO_最大値,DO_最大値,m_DO,n_DO,C_DO_日間平均値_平均値,DO_日間平均値_平均値,C_BOD_最小値,BOD_最小値,C_BOD_最大値,BOD_最大値,m_BOD,n_BOD,C_BOD_日間平均値_最小値,BOD_日間平均値_最小値,C_BOD_日間平均値_最大値,BOD_日間平均値_最大値,x_BOD,y_BOD,C_BOD_日間平均値_平均値,BOD_日間平均値_平均値,C_BOD_日間平均値_中央値,BOD_日間平均値_中央値,C_BOD_日間平均値_75%値,BOD_日間平均値_75%値,C_COD_最小値,COD_最小値,C_COD_最大値,COD_最大値,m_COD,n_COD,C_COD_日間平均値_最小値,COD_日間平均値_最小値,C_COD_日間平均値_最大値,COD_日間平均値_最大値,x_COD,y_COD,C_COD_日間平均値_平均値,COD_日間平均値_平均値,C_COD_日間平均値_中央値,COD_日間平均値_中央値,C_COD_日間平均値_75%値,COD_日間平均値_75%値,C_SS_最小値,SS_最小値,C_SS_最大値,SS_最大値,m_SS,n_SS,C_SS_日間平均値_平均値,SS_日間平均値_平均値,C_大腸菌群数_最小値,大腸菌群数_最小値,C_大腸菌群数_最大値,大腸菌群数_最大値,m_大腸菌群数,n_大腸菌群数,C_大腸菌群数_日間平均値_平均値,大腸菌群数_日間平均値_平均値,C_n-ヘキサン抽出物質（油分等）_最小値,n-ヘキサン抽出物質（油分等)_最小値,C_n-ヘキサン抽出物質(油分等)_最大値,n-ヘキサン抽出物質(油分等)_最大値,m_n-ヘキサン抽出物質(油分等),n_n-ヘキサン抽出物質(油分等),C_n-ヘキサン抽出物質(油分等)_日間平均値_平均値,n-ヘキサン抽出物質(油分等)_日間平均値_平均値,地点統一番号
0,1973,210071,,,,0,,,,,,,,,,,,,,,#,1.0,#,3.6,2.0,4.0,#,1.0,#,3.6,2.0,4.0,#,2.4,#,2.4,#,2.9,<,0.5,<,0.5,,4.0,<,0.5,<,0.5,,4.0,<,0.5,<,0.5,<,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
1,1973,210081,,,,0,,,,,,,,,,,,,,,#,1.0,#,5.0,2.0,4.0,#,1.0,#,5.0,2.0,4.0,#,2.6,#,2.1,#,3.1,<,0.5,<,0.5,,4.0,<,0.5,<,0.5,,4.0,<,0.5,<,0.5,<,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2,1973,210091,,,,0,,,,,,,,,,,,,,,#,1.9,#,3.1,3.0,4.0,#,1.9,#,3.1,3.0,4.0,#,2.7,#,3.0,#,3.1,<,0.5,<,0.5,,4.0,<,0.5,<,0.5,,4.0,<,0.5,<,0.5,<,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
3,1973,210101,,,,0,,,,,,,,,,,,,,,#,1.0,#,4.1,3.0,4.0,#,1.0,#,4.1,3.0,4.0,#,2.8,#,3.1,#,3.3,<,0.5,<,0.5,,4.0,<,0.5,<,0.5,,4.0,<,0.5,<,0.5,<,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
4,1973,210161,,,,0,,,,,,,,,,,,,,,<,0.5,#,3.5,18.0,20.0,#,1.2,#,2.7,5.0,5.0,#,1.9,#,2.0,#,2.1,#,0.5,#,4.4,,20.0,#,0.9,#,3.3,,5.0,#,1.6,#,1.4,#,1.4,,,,,,,,,,,,,,,,,,,,,,,,,
5,1973,210171,,,,0,,,,,,,,,,,,,,,#,0.5,#,6.7,13.0,20.0,#,0.9,#,4.4,3.0,5.0,#,2.7,#,3.1,#,3.4,#,0.7,#,7.8,,20.0,#,0.9,#,5.1,,5.0,#,2.6,#,3.0,#,3.1,,,,,,,,,,,,,,,,,,,,,,,,,
6,1973,210181,,,,0,,,,,,,,,,,,,,,#,0.7,#,4.1,5.0,20.0,#,1.1,#,3.3,2.0,5.0,#,1.9,#,1.4,#,2.3,#,1.0,#,14.0,,20.0,#,1.3,#,10.0,,5.0,#,3.9,#,2.8,#,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,1973,210191,,,,0,,,,,,,,,,,,,,,#,1.2,#,5.2,5.0,20.0,#,1.7,#,3.1,1.0,5.0,#,2.4,#,2.6,#,2.8,#,1.4,#,14.0,,20.0,#,2.5,#,11.0,,5.0,#,4.5,#,3.0,#,3.4,,,,,,,,,,,,,,,,,,,,,,,,,
8,1973,210201,,,,0,,,,,,,,,,,,,,,<,0.5,#,5.5,13.0,24.0,#,0.6,#,4.2,5.0,6.0,#,2.6,#,2.4,#,3.7,#,1.0,#,15.0,,24.0,#,1.5,#,8.6,,6.0,#,3.8,#,2.3,#,5.7,,,,,,,,,,,,,,,,,,,,,,,,,
9,1973,210211,,,,0,,,,,,,,,,,,,,,#,1.4,#,15.0,6.0,24.0,#,1.8,#,7.4,1.0,6.0,#,3.0,#,2.1,#,2.7,#,2.0,#,14.0,,24.0,#,2.4,#,9.2,,6.0,#,4.7,#,3.6,#,6.7,,,,,,,,,,,,,,,,,,,,,,,,,
