,西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,調査区分,C_pH_最小値,pH_最小値,C_pH_最大値,pH_最大値,m_pH,n_pH,C_DO_最小値,DO_最小値,C_DO_最大値,DO_最大値,m_DO,n_DO,C_DO_日間平均値_平均値,DO_日間平均値_平均値,C_BOD_最小値,BOD_最小値,C_BOD_最大値,BOD_最大値,m_BOD,n_BOD,C_BOD_日間平均値_最小値,BOD_日間平均値_最小値,C_BOD_日間平均値_最大値,BOD_日間平均値_最大値,x_BOD,y_BOD,C_BOD_日間平均値_平均値,BOD_日間平均値_平均値,C_BOD_日間平均値_中央値,BOD_日間平均値_中央値,C_BOD_日間平均値_75%値,BOD_日間平均値_75%値,C_COD_最小値,COD_最小値,C_COD_最大値,COD_最大値,m_COD,n_COD,C_COD_日間平均値_最小値,COD_日間平均値_最小値,C_COD_日間平均値_最大値,COD_日間平均値_最大値,x_COD,y_COD,C_COD_日間平均値_平均値,COD_日間平均値_平均値,C_COD_日間平均値_中央値,COD_日間平均値_中央値,C_COD_日間平均値_75%値,COD_日間平均値_75%値,C_SS_最小値,SS_最小値,C_SS_最大値,SS_最大値,m_SS,n_SS,C_SS_日間平均値_平均値,SS_日間平均値_平均値,C_大腸菌群数_最小値,大腸菌群数_最小値,C_大腸菌群数_最大値,大腸菌群数_最大値,m_大腸菌群数,n_大腸菌群数,C_大腸菌群数_日間平均値_平均値,大腸菌群数_日間平均値_平均値,C_n-ヘキサン抽出物質（油分等）_最小値,n-ヘキサン抽出物質（油分等)_最小値,C_n-ヘキサン抽出物質(油分等)_最大値,n-ヘキサン抽出物質(油分等)_最大値,m_n-ヘキサン抽出物質(油分等),n_n-ヘキサン抽出物質(油分等),C_n-ヘキサン抽出物質(油分等)_日間平均値_平均値,n-ヘキサン抽出物質(油分等)_日間平均値_平均値,地点統一番号
1174,1975,610191,,,,0,,,,,,,,,,,,,,,#,0.8,#,1.6,0.0,12.0,#,0.8,#,1.6,0.0,12.0,#,1.2,#,1.2,#,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175,1975,610201,,,,0,,,,,,,,,,,,,,,#,0.6,#,1.4,6.0,12.0,#,0.6,#,1.4,6.0,12.0,#,1.0,#,1.1,#,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1176,1975,610211,,,,0,,,,,,,,,,,,,,,<,0.5,#,1.6,0.0,12.0,<,0.5,#,1.6,0.0,12.0,#,1.0,#,0.9,#,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,1975,610221,,,,0,,,,,,,,,,,,,,,#,1.8,#,4.4,5.0,12.0,#,1.8,#,4.4,5.0,12.0,#,3.0,#,3.0,#,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1178,1975,610231,,,,0,,,,,,,,,,,,,,,#,0.9,#,4.9,6.0,24.0,#,1.2,#,4.4,3.0,12.0,#,2.6,#,2.6,#,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1179,1975,610251,,,,0,,,,,,,,,,,,,,,#,0.9,#,3.9,6.0,12.0,#,0.9,#,3.9,6.0,12.0,#,2.2,#,2.1,#,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,1975,610261,,,,0,,,,,,,,,,,,,,,#,0.6,#,5.4,18.0,24.0,#,1.0,#,4.4,9.0,12.0,#,2.6,#,2.7,#,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1181,1975,610271,,,,0,,,,,,,,,,,,,,,<,0.5,#,4.1,12.0,24.0,#,0.6,#,3.8,6.0,12.0,#,2.1,#,2.1,#,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1182,1975,610281,,,,0,,,,,,,,,,,,,,,#,0.9,#,9.0,7.0,24.0,#,2.0,#,8.1,4.0,12.0,#,4.4,#,3.9,#,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183,1975,610301,,,,0,,,,,,,,,,,,,,,#,1.1,#,8.4,4.0,12.0,#,1.1,#,8.4,4.0,12.0,#,4.4,#,3.4,#,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,1975,610321,,,,0,,,,,,,,,,,,,,,#,0.8,#,3.0,6.0,12.0,#,0.8,#,3.0,6.0,12.0,#,2.0,#,2.1,#,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,1975,610331,,,,0,,,,,,,,,,,,,,,#,0.7,#,3.5,7.0,12.0,#,0.7,#,3.5,7.0,12.0,#,2.1,#,2.2,#,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,1975,610341,,,,0,,,,,,,,,,,,,,,#,0.7,#,2.1,1.0,12.0,#,0.7,#,2.1,1.0,12.0,#,1.4,#,1.5,#,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1187,1975,610351,,,,0,,,,,,,,,,,,,,,#,1.9,#,3.5,3.0,12.0,#,1.9,#,3.5,3.0,12.0,#,2.7,#,2.8,#,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1188,1975,610361,,,,0,,,,,,,,,,,,,,,#,4.6,#,6.7,9.0,12.0,#,4.6,#,6.7,9.0,12.0,#,5.6,#,5.5,#,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1189,1975,610371,,,,0,,,,,,,,,,,,,,,#,0.5,#,2.2,1.0,12.0,#,0.5,#,2.2,1.0,12.0,#,1.3,#,1.2,#,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190,1975,610381,,,,0,,,,,,,,,,,,,,,<,0.5,#,2.5,2.0,12.0,<,0.5,#,2.5,2.0,12.0,#,1.5,#,1.4,#,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1191,1975,610391,,,,0,,,,,,,,,,,,,,,#,0.5,#,2.6,3.0,30.0,#,0.5,#,2.6,3.0,24.0,#,1.5,#,1.5,#,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1192,1975,610401,,,,0,,,,,,,,,,,,,,,#,2.1,#,5.1,7.0,12.0,#,2.1,#,5.1,7.0,12.0,#,3.5,#,3.6,#,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193,1975,610411,,,,0,,,,,,,,,,,,,,,#,2.2,#,5.1,7.0,12.0,#,2.2,#,5.1,7.0,12.0,#,3.3,#,3.2,#,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1194,1975,610421,,,,0,,,,,,,,,,,,,,,#,1.0,#,3.3,2.0,12.0,#,1.0,#,3.3,2.0,12.0,#,2.3,#,2.5,#,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195,1975,610431,,,,0,,,,,,,,,,,,,,,#,1.6,#,3.6,4.0,12.0,#,1.6,#,3.6,4.0,12.0,#,2.7,#,2.9,#,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1196,1975,610441,,,,0,,,,,,,,,,,,,,,#,1.1,#,3.3,1.0,12.0,#,1.1,#,3.3,1.0,12.0,#,2.2,#,2.2,#,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197,1975,610451,,,,0,,,,,,,,,,,,,,,#,1.6,#,4.4,5.0,12.0,#,1.6,#,4.4,5.0,12.0,#,3.0,#,3.0,#,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198,1975,610461,,,,0,,,,,,,,,,,,,,,#,1.8,#,4.0,6.0,8.0,#,1.8,#,4.0,6.0,8.0,#,2.6,#,2.5,#,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,1975,610471,,,,0,,,,,,,,,,,,,,,#,0.6,#,2.8,2.0,12.0,#,0.6,#,2.8,2.0,12.0,#,1.5,#,1.6,#,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,1975,710011,,,,0,,,,,,,,,,,,,,,#,0.7,#,4.6,3.0,12.0,#,0.7,#,4.6,3.0,12.0,#,1.7,#,1.1,#,1.9,#,0.5,#,12.0,,12.0,#,0.5,#,12.0,,12.0,#,2.0,#,1.2,#,1.4,,,,,,,,,,,,,,,,,,,,,,,,,
1201,1975,710021,,,,0,,,,,,,,,,,,,,,#,1.1,#,19.0,22.0,43.0,#,1.1,#,17.0,10.0,25.0,#,5.8,#,4.3,#,7.2,#,1.2,#,32.0,,25.0,#,1.2,#,32.0,,13.0,#,15.0,#,12.0,#,19.0,,,,,,,,,,,,,,,,,,,,,,,,,
1202,1975,710031,,,,0,,,,,,,,,,,,,,,#,0.6,#,5.5,1.0,43.0,#,0.6,#,5.5,1.0,25.0,#,1.8,#,1.6,#,2.1,#,2.3,#,8.0,,25.0,#,2.3,#,8.0,,13.0,#,4.5,#,3.5,#,6.2,,,,,,,,,,,,,,,,,,,,,,,,,
1203,1975,710041,,,,0,,,,,,,,,,,,,,,<,0.5,#,3.6,0.0,29.0,<,0.5,#,3.6,0.0,23.0,#,1.6,#,1.4,#,2.3,#,1.8,#,6.5,,11.0,#,1.8,#,6.5,,11.0,#,3.6,#,3.0,#,5.2,,,,,,,,,,,,,,,,,,,,,,,,,
1204,1975,710051,,,,0,,,,,,,,,,,,,,,<,0.5,#,4.1,0.0,42.0,<,0.5,#,4.1,0.0,24.0,#,1.8,#,1.8,#,2.1,#,2.1,#,6.4,,24.0,#,2.1,#,6.4,,12.0,#,3.4,#,3.2,#,3.4,,,,,,,,,,,,,,,,,,,,,,,,,
1205,1975,710061,,,,0,,,,,,,,,,,,,,,<,0.5,#,5.2,1.0,72.0,<,0.5,#,5.0,0.0,45.0,#,2.3,#,2.3,#,2.6,#,2.2,#,7.7,,37.0,#,2.6,#,7.7,,23.0,#,4.4,#,3.9,#,6.1,,,,,,,,,,,,,,,,,,,,,,,,,
