,西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,調査区分,C_pH_最小値,pH_最小値,C_pH_最大値,pH_最大値,m_pH,n_pH,C_DO_最小値,DO_最小値,C_DO_最大値,DO_最大値,m_DO,n_DO,C_DO_日間平均値_平均値,DO_日間平均値_平均値,C_BOD_最小値,BOD_最小値,C_BOD_最大値,BOD_最大値,m_BOD,n_BOD,C_BOD_日間平均値_最小値,BOD_日間平均値_最小値,C_BOD_日間平均値_最大値,BOD_日間平均値_最大値,x_BOD,y_BOD,C_BOD_日間平均値_平均値,BOD_日間平均値_平均値,C_BOD_日間平均値_中央値,BOD_日間平均値_中央値,C_BOD_日間平均値_75%値,BOD_日間平均値_75%値,C_COD_最小値,COD_最小値,C_COD_最大値,COD_最大値,m_COD,n_COD,C_COD_日間平均値_最小値,COD_日間平均値_最小値,C_COD_日間平均値_最大値,COD_日間平均値_最大値,x_COD,y_COD,C_COD_日間平均値_平均値,COD_日間平均値_平均値,C_COD_日間平均値_中央値,COD_日間平均値_中央値,C_COD_日間平均値_75%値,COD_日間平均値_75%値,C_SS_最小値,SS_最小値,C_SS_最大値,SS_最大値,m_SS,n_SS,C_SS_日間平均値_平均値,SS_日間平均値_平均値,C_大腸菌群数_最小値,大腸菌群数_最小値,C_大腸菌群数_最大値,大腸菌群数_最大値,m_大腸菌群数,n_大腸菌群数,C_大腸菌群数_日間平均値_平均値,大腸菌群数_日間平均値_平均値,C_n-ヘキサン抽出物質（油分等）_最小値,n-ヘキサン抽出物質（油分等)_最小値,C_n-ヘキサン抽出物質(油分等)_最大値,n-ヘキサン抽出物質(油分等)_最大値,m_n-ヘキサン抽出物質(油分等),n_n-ヘキサン抽出物質(油分等),C_n-ヘキサン抽出物質(油分等)_日間平均値_平均値,n-ヘキサン抽出物質(油分等)_日間平均値_平均値,地点統一番号
0,1977,110013,,,,0,,,,,,,#,10.0,#,11.0,0.0,2.0,#,11.0,#,0.5,#,0.8,0.0,2.0,#,0.5,#,0.8,0.0,2.0,#,0.7,#,0.7,#,0.8,,,,,,,,,,,,,,,,,,,#,5.0,#,8.0,0.0,2.0,#,7.0,,,,,,,,,,,,,,,,,
1,1977,110023,,,,0,,,,,,,#,9.7,#,13.0,0.0,10.0,#,12.0,#,1.2,#,2.8,2.0,11.0,#,1.2,#,2.8,2.0,11.0,#,1.9,#,2.0,#,2.0,,,,,,,,,,,,,,,,,,,#,2.0,#,15.0,0.0,8.0,#,8.0,,,,,,,,,,,,,,,,,
2,1977,110033,,,,0,,,,,,,#,10.0,#,10.0,0.0,1.0,#,10.0,#,0.8,#,1.4,0.0,3.0,#,0.8,#,1.4,0.0,3.0,#,1.1,#,1.0,#,1.4,#,3.1,#,3.6,,3.0,#,3.1,#,3.6,,3.0,#,3.3,#,3.3,#,3.6,#,5.0,#,10.0,0.0,4.0,#,8.0,,,,,,,,,,,,,,,,,
3,1977,110043,,,,0,,,,,,,#,7.2,#,11.0,0.0,11.0,#,9.3,#,2.0,#,4.8,1.0,12.0,#,2.5,#,4.8,1.0,3.0,#,3.3,#,2.6,#,4.8,#,8.4,#,9.8,,2.0,#,8.4,#,9.8,,2.0,#,9.1,#,9.1,#,9.8,#,5.0,#,18.0,0.0,14.0,#,9.0,,,,,,,,,,,,,,,,,
4,1977,110053,,,,0,,,,,,,#,8.3,#,14.0,0.0,16.0,#,11.0,#,1.6,#,7.3,9.0,18.0,#,1.9,#,7.3,5.0,11.0,#,3.6,#,2.9,#,4.7,#,4.9,#,10.0,,22.0,#,5.9,#,10.0,,11.0,#,8.2,#,8.4,#,9.9,#,6.0,#,96.0,9.0,20.0,#,24.0,,,,,,,,,,,,,,,,,
5,1977,110063,,,,0,,,,,,,#,10.0,#,12.0,0.0,2.0,#,11.0,#,3.5,#,4.0,2.0,2.0,#,3.5,#,4.0,2.0,2.0,#,3.8,#,3.8,#,4.0,,,,,,,,,,,,,,,,,,,#,15.0,#,27.0,1.0,2.0,#,21.0,,,,,,,,,,,,,,,,,
6,1977,110073,,,,0,,,,,,,#,8.3,#,12.0,0.0,6.0,#,10.0,#,1.1,#,4.3,1.0,5.0,#,1.1,#,4.3,1.0,5.0,#,1.9,#,1.2,#,1.6,#,5.3,#,14.0,,5.0,#,5.3,#,14.0,,5.0,#,8.5,#,6.9,#,9.7,#,29.0,#,150.0,5.0,5.0,#,72.0,,,,,,,,,,,,,,,,,
7,1977,110083,,,,0,,,,,,,#,10.0,#,13.0,0.0,4.0,#,12.0,#,0.9,#,1.7,0.0,4.0,#,0.9,#,1.7,0.0,4.0,#,1.3,#,1.4,#,1.5,#,4.1,#,5.1,,3.0,#,4.1,#,5.1,,3.0,#,4.6,#,4.7,#,5.1,#,8.0,#,49.0,1.0,2.0,#,29.0,,,,,,,,,,,,,,,,,
8,1977,110093,,,,0,,,,,,,#,8.5,#,13.0,0.0,22.0,#,11.0,#,0.6,#,3.1,1.0,20.0,#,0.6,#,3.1,1.0,12.0,#,1.5,#,1.2,#,1.5,#,3.9,#,16.0,,20.0,#,3.9,#,16.0,,11.0,#,7.0,#,6.2,#,8.4,#,3.0,#,140.0,10.0,18.0,#,41.0,,,,,,,,,,,,,,,,,
9,1977,110103,,,,0,,,,,,,#,8.0,#,11.0,0.0,4.0,#,9.8,#,1.4,#,2.0,0.0,4.0,#,1.4,#,2.0,0.0,4.0,#,1.7,#,1.7,#,1.8,,,,,,,,,,,,,,,,,,,#,3.0,#,66.0,2.0,4.0,#,22.0,,,,,,,,,,,,,,,,,
10,1977,110113,,,,0,,,,,,,#,7.0,#,13.0,0.0,15.0,#,9.8,#,1.0,#,2.6,0.0,12.0,#,1.0,#,2.2,0.0,4.0,#,1.5,#,1.5,#,1.8,#,5.6,#,8.4,,3.0,#,5.6,#,8.4,,3.0,#,6.7,#,6.1,#,8.4,#,15.0,#,48.0,10.0,13.0,#,30.0,,,,,,,,,,,,,,,,,
11,1977,110123,,,,0,,,,,,,#,6.9,#,10.0,0.0,14.0,#,8.2,#,1.4,#,2.8,0.0,13.0,#,1.4,#,2.4,0.0,5.0,#,1.8,#,1.8,#,2.0,,,,,,,,,,,,,,,,,,,#,18.0,#,88.0,9.0,12.0,#,55.0,,,,,,,,,,,,,,,,,
12,1977,110133,,,,0,,,,,,,#,7.3,#,12.0,0.0,10.0,#,9.9,#,1.1,#,2.2,0.0,10.0,#,1.1,#,2.2,0.0,9.0,#,1.5,#,1.5,#,1.6,#,4.8,#,8.8,,11.0,#,4.8,#,8.8,,9.0,#,6.2,#,5.9,#,6.0,#,3.0,#,150.0,4.0,12.0,#,39.0,,,,,,,,,,,,,,,,,
13,1977,110143,,,,0,,,,,,,#,8.4,#,11.0,0.0,3.0,#,9.7,#,0.6,#,1.0,0.0,3.0,#,0.6,#,0.9,0.0,2.0,#,0.8,#,0.8,#,0.9,,,,,,,,,,,,,,,,,,,#,10.0,#,20.0,0.0,3.0,#,15.0,,,,,,,,,,,,,,,,,
14,1977,110153,,,,0,,,,,,,#,12.0,#,13.0,0.0,2.0,#,13.0,<,0.5,#,1.0,0.0,2.0,<,0.5,#,1.0,0.0,2.0,#,0.8,#,0.8,#,1.0,#,5.4,#,6.1,,2.0,#,5.4,#,6.1,,2.0,#,5.8,#,5.8,#,6.1,#,8.0,#,230.0,1.0,2.0,#,120.0,,,,,,,,,,,,,,,,,
15,1977,110163,,,,0,,,,,,,#,13.0,#,13.0,0.0,1.0,#,13.0,#,0.8,#,0.8,0.0,1.0,#,0.8,#,0.8,0.0,1.0,#,0.8,#,0.8,#,0.8,,,,,,,,,,,,,,,,,,,#,27.0,#,27.0,1.0,1.0,#,27.0,,,,,,,,,,,,,,,,,
16,1977,110173,,,,0,,,,,,,#,8.5,#,11.0,0.0,2.0,#,9.8,#,0.8,#,0.8,0.0,1.0,#,0.8,#,0.8,0.0,1.0,#,0.8,#,0.8,#,0.8,,,,,,,,,,,,,,,,,,,#,1.0,#,19.0,0.0,2.0,#,10.0,,,,,,,,,,,,,,,,,
