,西暦年度,ＲＬＳ識別コード,水系コード,絶対番号,地点新設等コード,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,ＣＯＤ等基準点識別コード,水域名称_漢字,水域名称_カタカナ,水域名称_ローマ字,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,類型,達成期間,指定区分,類型指定年_ＣＯＤ等,類型指定月_ＣＯＤ等,類型指定日_ＣＯＤ等,特例１,特例２,特例３,特例４,特例５,ＣＯＤの測定方法,県際水域コード,県際地点コード,測定中止年,測定中止月,測定中止日,測定再開年,測定再開月,測定再開日,ＮＰ測定コード,ＮＰ基準点識別コード,ＮＰ水域コード,ＮＰ水域名称_漢字,ＮＰ水域名称_カタカナ,ＮＰ水域名称_ローマ字,ＮＰ地点名称_漢字,ＮＰ地点名称_カタカナ,ＮＰ地点名称_ローマ字,ＮＰ類型,ＮＰ達成期間,ＮＰ指定区分,ＮＰ類型指定年,ＮＰ類型指定月,ＮＰ類型指定日,Ｎ指定の有無,Ｐ指定の有無,Ｎ暫定基準値,Ｐ暫定基準値,ＮＰ基準の特例,Ｎ測定方法,Ｐ測定方法,ＮＰ県際水域コード,ＮＰ県際地点コード,ＮＰ測定中止年,ＮＰ測定中止月,ＮＰ測定中止日,ＮＰ測定再開年,ＮＰ測定再開月,ＮＰ測定再開日,水道の取水地点,水質年鑑コード,推定絶対番号,推定水系コード,備考,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,地点統一番号
0,1973,1,,210071,2,,,,,,,,畑,ハタ,,A,1,,1974,4,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02R0510,211330.0,82529.0,,41.29583333,140.95916667, 41:17:45,140:57:33,
1,1973,1,,210081,2,,,,,,,,大滝,オオタキ,,A,1,,1974,4,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02R0520,211360.0,,,41.27722222,140.97972222, 41:16:38,140:58:47,
2,1973,1,,210091,2,,,,,,,,銀杏木橋,イチヨウオオハシ,,A,2,,1974,4,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02R0530,211340.0,,,41.24000000,140.99166667, 41:14:24,140:59:30,
3,1973,1,,210101,2,,,,,,,,川内橋,カワウチバシ,,A,2,,1974,4,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02R0540,211350.0,82529.0,,41.19750000,140.99277778, 41:11:51,140:59:34,
4,1973,1,,210161,2,,,,,,,,馬門橋,コマトメバシ,,AA,1,,1971,5,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02R1510,210170.0,82242.0,,40.53111111,140.97833333, 40:31:52,140:58:42,
5,1973,1,,210171,2,,,,,,,,十和田橋,トワダバシ,,A,1,,1971,5,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02R1520,210180.0,82242.0,,40.57666667,140.98583333, 40:34:36,140:59:09,
6,1973,1,,210181,2,,,,,,,,御幸橋,ミユキバシ,,A,1,,1971,5,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02R1530,,82242.0,,40.58833333,141.23583333, 40:35:18,141:14:09,
7,1973,1,,210191,2,,,,,,,,開運橋,カイウンバシ,,B,1,,1971,5,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02R1540,210210.0,82242.0,,40.60055556,141.45833333, 40:36:02,141:27:30,
8,1973,1,,210201,2,,,,,,,,戌橋,イヌバシ,,A,1,,1971,5,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02R2010,210140.0,82243.0,,40.52138889,141.29333333, 40:31:17,141:17:36,
9,1973,1,,210211,2,,,,,,,,尻引橋,シリヒキバシ,,B,1,,1971,5,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02R2020,210150.0,82243.0,,40.57750000,141.44083333, 40:34:39,141:26:27,
