,西暦年度,ＲＬＳ識別コード,水系コード,絶対番号,地点新設等コード,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,ＣＯＤ等基準点識別コード,水域名称_漢字,水域名称_カタカナ,水域名称_ローマ字,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,類型,達成期間,指定区分,類型指定年_ＣＯＤ等,類型指定月_ＣＯＤ等,類型指定日_ＣＯＤ等,特例１,特例２,特例３,特例４,特例５,ＣＯＤの測定方法,県際水域コード,県際地点コード,測定中止年,測定中止月,測定中止日,測定再開年,測定再開月,測定再開日,ＮＰ測定コード,ＮＰ基準点識別コード,ＮＰ水域コード,ＮＰ水域名称_漢字,ＮＰ水域名称_カタカナ,ＮＰ水域名称_ローマ字,ＮＰ地点名称_漢字,ＮＰ地点名称_カタカナ,ＮＰ地点名称_ローマ字,ＮＰ類型,ＮＰ達成期間,ＮＰ指定区分,ＮＰ類型指定年,ＮＰ類型指定月,ＮＰ類型指定日,Ｎ指定の有無,Ｐ指定の有無,Ｎ暫定基準値,Ｐ暫定基準値,ＮＰ基準の特例,Ｎ測定方法,Ｐ測定方法,ＮＰ県際水域コード,ＮＰ県際地点コード,ＮＰ測定中止年,ＮＰ測定中止月,ＮＰ測定中止日,ＮＰ測定再開年,ＮＰ測定再開月,ＮＰ測定再開日,水道の取水地点,水質年鑑コード,推定絶対番号,推定水系コード,備考,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,地点統一番号
8066,1983,1,89595.0,4610350,2,46,9,1,1,稲荷川水域（２）,イナリカ゛ワスイイキ（２）,,黒葛原橋,ツツ゛ラハ゛シ,,C,2.0,3.0,1972.0,6.0,19.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46R652,,,,31.60750000,130.56555556, 31:36:27,130:33:56,4600901
8067,1983,1,89110.0,4610360,2,46,10,1,1,川内川水域上流,センタ゛イカ゛ワスイイキシ゛ヨウリユウ,,曽木大橋,ソキ゛オオハシ,,A,1.0,3.0,1973.0,4.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46R505,,,,32.01138889,130.57805556, 32:00:41,130:34:41,4601001
8068,1983,1,89110.0,4610370,2,46,10,51,2,川内川水域上流,センタ゛イカ゛ワスイイキシ゛ヨウリユウ,,栗野,クリノ,,A,1.0,3.0,1973.0,4.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.95333333,130.71666667, 31:57:12,130:43:00,4601051
8069,1983,1,89590.0,4610410,2,46,11,1,1,米之津川水域（１）,コメノツカ゛ワスイイキ（１）,,六月田橋,ロクカ゛ツタ゛ハ゛シ,,A,1.0,3.0,1973.0,6.0,29.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46R402,,,,32.10305556,130.33611111, 32:06:11,130:20:10,4601101
8070,1983,1,89590.0,4610420,2,46,12,1,1,米之津川水域（２）,コメノツカ゛ワスイイキ（２）,,米之津橋,コメノツハ゛シ,,C,3.0,3.0,1973.0,6.0,29.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46R401,,,,32.11555556,130.33750000, 32:06:56,130:20:15,4601201
8071,1983,1,89109.0,4610430,2,46,13,1,1,大淀川水域,オオヨト゛カ゛ワスイイキ,,割田橋,ワリタハ゛シ,,A,2.0,3.0,1973.0,6.0,29.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46R802,,,,31.67194444,131.02722222, 31:40:19,131:01:38,4601301
8072,1983,1,89109.0,4610450,2,46,14,1,1,横市川水域,ヨコイチカ゛ワスイイキ,,宝来橋,ホウライハ゛シ,,A,2.0,3.0,1973.0,6.0,29.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46R811,,,,31.74166667,131.01444444, 31:44:30,131:00:52,4601401
8073,1983,1,89109.0,4610470,2,46,15,1,1,溝之口川水域,ミソ゛ノクチカ゛ワスイイキ,,中谷橋,ナカタニハ゛シ,,A,1.0,3.0,1973.0,6.0,29.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46R821,,,,31.77277778,130.98055556, 31:46:22,130:58:50,4601501
8074,1983,1,89111.0,4610480,2,46,16,1,1,肝属川水域（１）,キモツキカ゛ワスイイキ（１）,,河原田橋,カワハラタ゛ハ゛シ,,C,2.0,3.0,1973.0,12.0,7.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46R204,,,,31.36583333,130.88250000, 31:21:57,130:52:57,4601601
8075,1983,1,89111.0,4610490,2,46,16,51,2,肝属川水域（１）,キモツキカ゛ワスイイキ（１）,,朝日橋,アサヒハ゛シ,,C,2.0,3.0,1973.0,12.0,7.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.38611111,130.85083333, 31:23:10,130:51:03,4601651
8076,1983,1,89111.0,4610510,2,46,17,1,1,肝属川水域（２）,キモツキカ゛ワスイイキ（２）,,第二有明橋,タ゛イ２アリアケハ゛シ,,B,2.0,3.0,1973.0,12.0,7.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46R201,,,,31.35750000,131.00861111, 31:21:27,131:00:31,4601701
8077,1983,1,89111.0,4610520,2,46,17,51,2,肝属川水域（２）,キモツキカ゛ワスイイキ（２）,,俣瀬橋,マタセハ゛シ,,B,2.0,3.0,1973.0,12.0,7.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.36111111,130.97472222, 31:21:40,130:58:29,4601751
