,西暦年度,ＲＬＳ識別コード,水系コード,絶対番号,地点新設等コード,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,ＣＯＤ等基準点識別コード,水域名称_漢字,水域名称_カタカナ,水域名称_ローマ字,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,類型,達成期間,指定区分,類型指定年_ＣＯＤ等,類型指定月_ＣＯＤ等,類型指定日_ＣＯＤ等,特例１,特例２,特例３,特例４,特例５,ＣＯＤの測定方法,県際水域コード,県際地点コード,測定中止年,測定中止月,測定中止日,測定再開年,測定再開月,測定再開日,ＮＰ測定コード,ＮＰ基準点識別コード,ＮＰ水域コード,ＮＰ水域名称_漢字,ＮＰ水域名称_カタカナ,ＮＰ水域名称_ローマ字,ＮＰ地点名称_漢字,ＮＰ地点名称_カタカナ,ＮＰ地点名称_ローマ字,ＮＰ類型,ＮＰ達成期間,ＮＰ指定区分,ＮＰ類型指定年,ＮＰ類型指定月,ＮＰ類型指定日,Ｎ指定の有無,Ｐ指定の有無,Ｎ暫定基準値,Ｐ暫定基準値,ＮＰ基準の特例,Ｎ測定方法,Ｐ測定方法,ＮＰ県際水域コード,ＮＰ県際地点コード,ＮＰ測定中止年,ＮＰ測定中止月,ＮＰ測定中止日,ＮＰ測定再開年,ＮＰ測定再開月,ＮＰ測定再開日,水道の取水地点,水質年鑑コード,推定絶対番号,推定水系コード,備考,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,地点統一番号
0,1977,1,,110013,2,,,,,,,,留辺志部川合流前,ルベシベガワゴウリユウマエ,,AA,1,,1970,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0010,110010.0,81007.0,,43.83777778,142.78472222, 43:50:16,142:47:05,
1,1977,1,,110023,2,,,,,,,,東鷹栖浄水場取水口,ヒガシタススジヨウスイジヨウシ,,A,1,,1970,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0020,110020.0,81007.0,,43.81805556,142.42555556, 43:49:05,142:25:32,
2,1977,1,,110033,2,,,,,,,,永山橋,ナガヤマバシ,,A,1,,1970,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0021,110030.0,81007.0,,43.81888889,142.42638889, 43:49:08,142:25:35,
3,1977,1,,110043,2,,,,,,,,納内橋,オサムナイバシ,,B,2,,1974,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0030,111790.0,81007.0,,43.71583333,142.13472222, 43:42:57,142:08:05,
4,1977,1,,110053,2,,,,,,,,神竜頭首工,ジンリユウトウシユコウ,,B,2,,1974,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0031,,,,43.78638889,142.29583333, 43:47:11,142:17:45,
5,1977,1,,110063,2,,,,,,,,神納橋,ジンノウバシ,,B,2,,1974,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0032,111800.0,,,43.73027778,142.17888889, 43:43:49,142:10:44,
6,1977,1,,110073,2,,,,,,,,,イワミザワオオハシ,,B,2,,1970,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0035,110110.0,81007.0,,43.22416667,141.66111111, 43:13:27,141:39:40,
7,1977,1,,110083,2,,,,,,,,奈井江大橋,ナイエオオハシ,,B,2,,1970,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0041,110090.0,81007.0,,43.42944444,141.84416667, 43:25:46,141:50:39,
8,1977,1,,110093,2,,,,,,,,砂川橋,スナガワバシ,,B,2,,1970,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0042,113460.0,81007.0,,43.50416667,141.89666667, 43:30:15,141:53:48,
9,1977,1,,110103,2,,,,,,,,石狩川橋,イシカリガワバシ,,B,2,,1970,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0043,110100.0,81007.0,,43.56055556,141.87833333, 43:33:38,141:52:42,
10,1977,1,,110113,2,,,,,,,,石狩大橋,イシカリオオハシ,,B,2,,1970,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0050,110060.0,81007.0,,43.12361111,141.54305556, 43:07:25,141:32:35,
11,1977,1,,110123,2,,,,,,,,新石狩大橋,シンイシカリオオハシ,,B,2,,1970,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0060,110080.0,81007.0,,43.13638889,141.51222222, 43:08:11,141:30:44,
12,1977,1,,110133,2,,,,,,,,石狩河口橋,イシカリカコウバシ,,B,2,,1970,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0070,110070.0,81007.0,,43.22888889,141.35250000, 43:13:44,141:21:09,
13,1977,1,,110143,2,,,,,,,,空知大橋,ソラチオオハシ,,B,1,,1974,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0080,111970.0,81007.0,,43.54805556,141.91500000, 43:32:53,141:54:54,
14,1977,1,,110153,2,,,,,,,,赤平橋,アカヒラバシ,,B,1,,1974,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0081,111980.0,,,43.55972222,142.04305556, 43:33:35,142:02:35,
15,1977,1,,110163,2,,,,,,,,たいざん橋,タイザンバシ,,A,1,,1974,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0082,111950.0,81007.0,,43.49222222,142.21638889, 43:29:32,142:12:59,
16,1977,1,,110173,2,,,,,,,,新空知橋,シンソラチバシ,,A,1,,1974,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0083,111960.0,,,43.34472222,142.37638889, 43:20:41,142:22:35,
17,1977,1,,110183,2,,,,,,,,下金山橋,シモカナヤマバシ,,AA,1,,1974,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0084,111940.0,81007.0,,43.20666667,142.41388889, 43:12:24,142:24:50,
18,1977,1,,110193,2,,,,,,,,江別大橋,エベツオオハシ,,B,1,,1974,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0090,112080.0,81007.0,,43.12083333,141.59694444, 43:07:15,141:35:49,
19,1977,1,,110203,2,,,,,,,,清幌橋,キヨホロバシ,,B,1,,1974,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0091,112090.0,,,43.08944444,141.68833333, 43:05:22,141:41:18,
20,1977,1,,110213,2,,,,,,,,馬追橋,ウマオイバシ,,A,1,,1974,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0092,112050.0,81007.0,,43.06222222,141.76777778, 43:03:44,141:46:04,
21,1977,1,,110223,2,,,,,,,,川端橋,カワバタバシ,,A,1,,1974,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0093,112060.0,81007.0,,42.91833333,141.91138889, 42:55:06,141:54:41,
22,1977,1,,110233,2,,,,,,,,清沼橋,キヨヌマバシ,,A,1,,1974,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0094,112070.0,81007.0,,42.97055556,142.00805556, 42:58:14,142:00:29,
23,1977,1,,110243,2,,,,,,,,南部浄水場取水口,ナンブジヨウスイシユスイグチ,,AA,1,,1974,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0095,112040.0,81007.0,,43.01694444,142.07944444, 43:01:01,142:04:46,
24,1977,1,,110253,2,,,,,,,,江別橋,エベツバシ,,A,1,,1974,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0100,113470.0,81007.0,,43.11388889,141.56027778, 43:06:50,141:33:37,
25,1977,1,,110263,2,,,,,,,,広幌橋,ヒロホロバシ,,A,1,,1974,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0110,112120.0,,,43.01805556,141.57861111, 43:01:05,141:34:43,
26,1977,1,,110273,2,,,,,,,,舞鶴橋,マイヅルバシ,,A,1,,1974,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0120,112130.0,81007.0,,42.94250000,141.65194444, 42:56:33,141:39:07,
27,1977,1,,110283,2,,,,,,,,サケ・マスふ化場千歳支場,サケ.マスフカジヨウチトセシジヨウ,,AA,1,,1974,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0130,112100.0,81007.0,,42.80777778,141.57250000, 42:48:28,141:34:21,
28,1977,1,,110293,2,,,,,,,,東山浄水場取水口,ヒガシヤマジヨウスイグチ,,A,1,,1972,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0210,110410.0,81001.0,,44.19194444,142.39305556, 44:11:31,142:23:35,
29,1977,1,,110303,2,,,,,,,,旭橋,アサヒバシ,,AA,1,,1972,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0211,110400.0,81001.0,,44.10972222,142.59805556, 44:06:35,142:35:53,
30,1977,1,,110313,2,,,,,,,,名寄大橋,ナヨロオオハシ,,B,2,,1972,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0220,110490.0,81001.0,,44.36111111,142.44277778, 44:21:40,142:26:34,
31,1977,1,,110323,2,,,,,,,,東恵橋,トウケイバシ,,B,2,,1972,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0230,110480.0,,,44.45361111,142.36194444, 44:27:13,142:21:43,
32,1977,1,,110333,2,,,,,,,,美深橋,ビフカバシ,,B,2,,1972,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0240,110470.0,81001.0,,44.48138889,142.33500000, 44:28:53,142:20:06,
33,1977,1,,110343,2,,,,,,,,中川捕獲場,ナカガワホカクジヨウ,,B,2,,1972,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0250,110450.0,81001.0,,44.74333333,142.04500000, 44:44:36,142:02:42,
34,1977,1,,110353,2,,,,,,,,丸山流量観測所,マルヤマリユウリヨウカンソクジヨ,,B,2,,1972,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0251,110460.0,,,44.92750000,141.88138889, 44:55:39,141:52:53,
35,1977,1,,110363,2,,,,,,,,12線橋,12センバシ,,A,2,,1972,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0260,110440.0,81001.0,,44.14166667,142.39500000, 44:08:30,142:23:42,
36,1977,1,,110373,2,,,,,,,,緑ヶ丘浄水場取水口,ミドリガオカジヨウスイグチ,,A,1,,1972,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0270,110420.0,81001.0,,42.36861111,142.46388889, 42:22:07,142:27:50,
37,1977,1,,110383,2,,,,,,,,下中川捕獲場,シモナカガワ,,A,1,,1972,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0280,110430.0,81001.0,,44.84361111,142.07638889, 44:50:37,142:04:35,
38,1977,1,,110393,2,,,,,,,,開明橋,カイメイバシ,,AA,1,,1973,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0410,111350.0,81203.0,,44.88250000,142.20777778, 44:52:57,142:12:28,
39,1977,1,,110403,2,,,,,,,,上駒橋,カミコマバシ,,A,1,,1973,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0420,111370.0,81203.0,,44.96083333,142.27111111, 44:57:39,142:16:16,
40,1977,1,,110413,2,,,,,,,,浜頓別橋,タマトニベツバシ,,B,1,,1973,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0430,111420.0,81203.0,,45.12638889,142.38666667, 45:07:35,142:23:12,
41,1977,1,,110423,2,,,,,,,,本町簡水取水口,ホンチヨウカンスイシユスイグチ,,AA,1,,1973,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0440,111380.0,81203.0,,44.97638889,142.30166667, 44:58:35,142:18:06,
42,1977,1,,110433,2,,,,,,,,下頓別簡水取水口,シモトンベツカンスイシユスイクチ,,AA,1,,1973,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0450,111400.0,81203.0,,45.03111111,142.31888889, 45:01:52,142:19:08,
43,1977,1,,110443,2,,,,,,,,豊寒別浄水場右の沢取水口,トヨカンベツジヨウスイミギノサク,,AA,1,,1973,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0460,111410.0,81203.0,,45.09055556,142.41888889, 45:05:26,142:25:08,
44,1977,1,,110453,2,,,,,,,,やよい橋,ヤヨイバシ,,A,1,,1973,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0510,111430.0,81204.0,,44.83333333,142.45722222, 44:50:00,142:27:26,
45,1977,1,,110463,2,,,,,,,,下幌別橋,シモホロベツバシ,,B,1,,1973,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0520,111460.0,81204.0,,44.88888889,142.61750000, 44:53:20,142:37:03,
46,1977,1,,110473,2,,,,,,,,歌登町市街簡水取水口,ウタノボリチヨウシガイカンスイグチ,,A,1,,1973,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0530,111440.0,81204.0,,44.87833333,142.46722222, 44:52:42,142:28:02,
47,1977,1,,110483,2,,,,,,,,岡島専水取水口,オカジマセンスイシユスイクチ,,AA,1,,1973,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0540,111450.0,81204.0,,44.87500000,142.60611111, 44:52:30,142:36:22,
48,1977,1,,110493,2,,,,,,,,日の出橋,ヒノデバシ,,AA,1,,1973,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0610,111480.0,81205.0,,44.71944444,142.60694444, 44:43:10,142:36:25,
49,1977,1,,110503,2,,,,,,,,徳志別捕獲場,トクシベツホカクジヨウ,,A,1,,1973,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0620,111500.0,81205.0,,44.83555556,142.64972222, 44:50:08,142:38:59,
50,1977,1,,110513,2,,,,,,,,志美宇丹簡水取水口,シビウタンカンスイシユスイクチ,,AA,1,,1973,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0630,111490.0,81205.0,,44.77861111,142.56833333, 44:46:43,142:34:06,
51,1977,1,,110523,2,,,,,,,,七江橋（忍路子川合流前）,ナナエバシ,,AA,1,,1973,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0710,110500.0,81207.0,,44.33138889,142.93111111, 44:19:53,142:55:52,
52,1977,1,,110533,2,,,,,,,,興部簡水取水口,オコツペカンスイシユスイグチ,,A,1,,1972,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0720,110520.0,81207.0,,44.63111111,143.47361111, 44:37:52,143:28:25,
53,1977,1,,110543,2,,,,,,,,興部捕獲場,オコツペホカクジヨウ,,B,1,,1972,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0730,110530.0,81207.0,,44.60777778,143.45833333, 44:36:28,143:27:30,
54,1977,1,,110553,2,,,,,,,,渚滑捕獲場,シヨコツホカクジヨウ,,B,1,,1972,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0800,110570.0,81002.0,,44.38111111,143.30083333, 44:22:52,143:18:03,
55,1977,1,,110563,2,,,,,,,,花園浄水場取水口,ハナゾノジヨウスイジヨウスイグチ,,A,1,,1972,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0801,110550.0,81002.0,,44.34888889,143.27222222, 44:20:56,143:16:20,
56,1977,1,,110573,2,,,,,,,,滝の上橋,タキノウエバシ,,AA,1,,1972,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0810,110540.0,81209.0,,44.19555556,143.08083333, 44:11:44,143:04:51,
57,1977,1,,110583,2,,,,,,,,,シヨコツガワゴウリユウマエ,,A,1,,1972,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0830,,,,44.34583333,143.26916667, 44:20:45,143:16:09,
58,1977,1,,110593,2,,,,,,,,白滝橋,シラタキバシ,,AA,1,,1972,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R1010,110580.0,81003.0,,43.88083333,143.17500000, 43:52:51,143:10:30,
59,1977,1,,110603,2,,,,,,,,丸瀬布簡水予備取水口,マルセツプカンスイシユスイクチ,,AA,1,,1972,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R1020,110590.0,81003.0,,43.99694444,143.31500000, 43:59:49,143:18:54,
60,1977,1,,110613,2,,,,,,,,中湧別橋,ナカユウベツバシ,,A,1,,1972,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R1030,110600.0,81003.0,,44.21583333,143.59555556, 44:12:57,143:35:44,
61,1977,1,,110623,2,,,,,,,,遠軽橋,エンガルバシ,,A,1,,1972,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R1040,110610.0,81003.0,,44.05333333,143.51888889, 44:03:12,143:31:08,
62,1977,1,,110633,2,,,,,,,,敷島橋,シキシマバシ,,AA,1,,1972,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R1110,110620.0,81210.0,,43.96555556,143.67055556, 43:57:56,143:40:14,
