,西暦年度,ＲＬＳ識別コード,水系コード,絶対番号,地点新設等コード,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,ＣＯＤ等基準点識別コード,水域名称_漢字,水域名称_カタカナ,水域名称_ローマ字,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,類型,達成期間,指定区分,類型指定年_ＣＯＤ等,類型指定月_ＣＯＤ等,類型指定日_ＣＯＤ等,特例１,特例２,特例３,特例４,特例５,ＣＯＤの測定方法,県際水域コード,県際地点コード,測定中止年,測定中止月,測定中止日,測定再開年,測定再開月,測定再開日,ＮＰ測定コード,ＮＰ基準点識別コード,ＮＰ水域コード,ＮＰ水域名称_漢字,ＮＰ水域名称_カタカナ,ＮＰ水域名称_ローマ字,ＮＰ地点名称_漢字,ＮＰ地点名称_カタカナ,ＮＰ地点名称_ローマ字,ＮＰ類型,ＮＰ達成期間,ＮＰ指定区分,ＮＰ類型指定年,ＮＰ類型指定月,ＮＰ類型指定日,Ｎ指定の有無,Ｐ指定の有無,Ｎ暫定基準値,Ｐ暫定基準値,ＮＰ基準の特例,Ｎ測定方法,Ｐ測定方法,ＮＰ県際水域コード,ＮＰ県際地点コード,ＮＰ測定中止年,ＮＰ測定中止月,ＮＰ測定中止日,ＮＰ測定再開年,ＮＰ測定再開月,ＮＰ測定再開日,水道の取水地点,水質年鑑コード,推定絶対番号,推定水系コード,備考,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,地点統一番号
0,1980,1,,110014,2,1,1,1,,石狩川上流（１）,イシカリガワ ジヨウリユウ (1),,留辺志部川合流前（日東つり橋）,ルベシベガワゴウリユウマエ,,AA,1.0,1.0,1970.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110010.0,81007.0,,43.83111111,142.79888889, 43:49:52,142:47:56,0100101
1,1980,1,,110024,2,1,2,1,,石狩川上流（２）,イシカリガワ ジヨウリユウ (2),,東鷹栖浄水取水口,ヒガシタカスジヨウスイ シユスイクチ,,A,1.0,1.0,1970.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110020.0,81007.0,,43.80527778,142.40222222, 43:48:19,142:24:08,0100201
2,1980,1,,110034,2,1,2,51,,石狩川上流（２）,イシカリガワ ジヨウリユウ (2),,永山橋,ナガヤマバシ,,A,1.0,1.0,1970.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110030.0,81007.0,,43.81750000,142.42666667, 43:49:03,142:25:36,0100251
3,1980,1,,110044,2,1,4,1,,石狩川中流下流,イシカリガワ チユウリユウ カリユウ,,石狩大橋,イシカリオオハシ,,B,2.0,1.0,1970.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110060.0,81007.0,,43.12388889,141.54250000, 43:07:26,141:32:33,0100401
5,1980,1,,110064,2,1,4,51,,石狩川中流下流,イシカリガワ チユウリユウ カリユウ,,石狩河口橋,イシカリカコウバシ,,B,2.0,1.0,1970.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110070.0,81007.0,,43.22888889,141.35194444, 43:13:44,141:21:07,0100451
6,1980,1,,110074,2,1,4,52,,石狩川中流下流,イシカリガワ チユウリユウ カリユウ,,新石狩大橋,シンイシカリオオハシ,,B,2.0,1.0,1970.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110080.0,81007.0,,43.13666667,141.51138889, 43:08:12,141:30:41,0100452
7,1980,1,,110084,2,1,4,53,,石狩川中流下流,イシカリガワ チユウリユウ カリユウ,,奈井江大橋,ナイエオオハシ,,B,2.0,1.0,1970.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110090.0,81007.0,,43.42916667,141.84472222, 43:25:45,141:50:41,0100453
8,1980,1,,110094,2,1,4,54,,石狩川中流下流,イシカリガワ チユウリユウ カリユウ,,石狩川橋,イシカリガワバシ,,B,2.0,1.0,1970.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110100.0,81007.0,,43.56055556,141.88500000, 43:33:38,141:53:06,0100454
12,1980,1,,110134,2,1,6,1,,,トコロガワ ジヨウリユウ,,,キタガミ ジヨスイ シユスイグチ,,A,1.0,1.0,1970.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110150.0,,,43.75861111,143.86250000, 43:45:31,143:51:45,0100601
13,1980,1,,110144,2,1,6,51,,,トコロガワ ジヨウリユウ,,,コンピラバシ,,A,1.0,1.0,1970.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110160.0,,,43.75388889,143.83944444, 43:45:14,143:50:22,0100651
