,西暦年度,ＲＬＳ識別コード,水系コード,絶対番号,地点新設等コード,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,ＣＯＤ等基準点識別コード,水域名称_漢字,水域名称_カタカナ,水域名称_ローマ字,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,類型,達成期間,指定区分,類型指定年_ＣＯＤ等,類型指定月_ＣＯＤ等,類型指定日_ＣＯＤ等,特例１,特例２,特例３,特例４,特例５,ＣＯＤの測定方法,県際水域コード,県際地点コード,測定中止年,測定中止月,測定中止日,測定再開年,測定再開月,測定再開日,ＮＰ測定コード,ＮＰ基準点識別コード,ＮＰ水域コード,ＮＰ水域名称_漢字,ＮＰ水域名称_カタカナ,ＮＰ水域名称_ローマ字,ＮＰ地点名称_漢字,ＮＰ地点名称_カタカナ,ＮＰ地点名称_ローマ字,ＮＰ類型,ＮＰ達成期間,ＮＰ指定区分,ＮＰ類型指定年,ＮＰ類型指定月,ＮＰ類型指定日,Ｎ指定の有無,Ｐ指定の有無,Ｎ暫定基準値,Ｐ暫定基準値,ＮＰ基準の特例,Ｎ測定方法,Ｐ測定方法,ＮＰ県際水域コード,ＮＰ県際地点コード,ＮＰ測定中止年,ＮＰ測定中止月,ＮＰ測定中止日,ＮＰ測定再開年,ＮＰ測定再開月,ＮＰ測定再開日,水道の取水地点,水質年鑑コード,推定絶対番号,推定水系コード,備考,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,地点統一番号
0,2005,1,81007.0,110010,2,1,1,1,1,石狩川上流(1),イシカリガワ　　ジヨウリユウ　　（１）,Ishikarigawajoryu (1),留辺志部川合流前（日東吊橋）,ルベシベガワゴウリユウマエ,Rubeshibegawagoryumae,AA,1.0,3.0,2000.0,3.0,31.0,,,,,,,,,,,,,,,2.0,3.0,,石狩川上流(1),,Ishikarigawajoryu (1),留辺志部川合流前（日東吊橋）,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,2.0,,,,,43.83111111,142.79888889, 43:49:52,142:47:56,0100101
1,2005,1,81007.0,110030,2,1,2,2,1,石狩川上流(2),イシカリガワ　　ジヨウリユウ　　（２）,Ishikarigawajoryu (2),永山橋,ナガヤマバシ,Nagayamabashi,A,1.0,3.0,2000.0,3.0,31.0,,,,,,,,,,,,,,,2.0,3.0,,石狩川上流(2),,Ishikarigawajoryu (2),永山橋,,Nagayamabashi,,,,,,,,,,,,1.0,1.0,,,,,,,,,2.0,,,,,43.81750000,142.42666667, 43:49:03,142:25:36,0100202
2,2005,1,81007.0,114370,2,1,2,53,2,石狩川上流(2),イシカリガワ　　ジヨウリユウ　　（２）,Ishikarigawajoryu (2),旭川市石狩川浄水場取水口,アサヒカワシイシカリガワジョウスイジョウ,Asahikawashiishikarigawajosuijoshusuiko,A,1.0,3.0,2000.0,3.0,31.0,,,,,,,,,,,,,,,2.0,3.0,,石狩川上流(2),,Ishikarigawajoryu (2),旭川市石狩川浄水場取水口,,Asahikawashiishikarigawajosuijoshusuiko,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,43.80527778,142.40222222, 43:48:19,142:24:08,0100253
3,2005,1,81007.0,110060,2,1,4,1,1,石狩川中流・下流,イシカリガワ　　チユウリユウ　　カリユウ,Ishikarigawachuryukaryu,石狩大橋,イシカリオオハシ,Ishikariohashi,B,2.0,3.0,1970.0,9.0,1.0,,,,,,,,,,,,,,,2.0,3.0,,石狩川中流・下流,,,石狩大橋,,Ishikariohashi,,,,,,,,,,,,1.0,1.0,,,,,,,,,0.0,,,,,43.12388889,141.54250000, 43:07:26,141:32:33,0100401
4,2005,1,81007.0,113460,2,1,4,2,1,石狩川中流・下流,イシカリガワ　　チユウリユウ　　カリユウ,Ishikarigawachuryukaryu,砂川大橋（旧砂川橋),スナガワバシ,Sunagawabashi,B,2.0,3.0,1970.0,9.0,1.0,,,,,,,,,,,,,,,2.0,3.0,,石狩川中流・下流,,,砂川大橋（旧砂川橋),,,,,,,,,,,,,,1.0,1.0,,,,,,,,,0.0,,,,,43.50444444,141.89722222, 43:30:16,141:53:50,0100402
5,2005,1,81007.0,110070,2,1,4,51,2,石狩川中流・下流,イシカリガワ　　チユウリユウ　　カリユウ,Ishikarigawachuryukaryu,石狩河口橋,イシカリカコウバシ,Ishikarikakobashi,B,2.0,3.0,1970.0,9.0,1.0,,,,,,,,,,,,,,,2.0,3.0,,石狩川中流・下流,,,石狩河口橋,,Ishikarikakobashi,,,,,,,,,,,,1.0,1.0,,,,,,,,,0.0,,,,,43.22888889,141.35194444, 43:13:44,141:21:07,0100451
6,2005,1,81007.0,110090,2,1,4,53,2,石狩川中流・下流,イシカリガワ　　チユウリユウ　　カリユウ,Ishikarigawachuryukaryu,奈井江大橋,ナイエオオハシ,Naieohashi,B,2.0,3.0,1970.0,9.0,1.0,,,,,,,,,,,,,,,2.0,3.0,,石狩川中流・下流,,,奈井江大橋,,Naieohashi,,,,,,,,,,,,1.0,1.0,,,,,,,,,0.0,,,,,43.42916667,141.84472222, 43:25:45,141:50:41,0100453
7,2005,1,81007.0,110110,2,1,4,55,2,石狩川中流・下流,イシカリガワ　　チユウリユウ　　カリユウ,Ishikarigawachuryukaryu,岩見沢大橋,イワミザワオオハシ,Iwamizawaohashi,B,2.0,3.0,1970.0,9.0,1.0,,,,,,,,,,,,,,,2.0,3.0,,石狩川中流・下流,,,岩見沢大橋,,Iwamizawaohashi,,,,,,,,,,,,1.0,1.0,,,,,,,,,0.0,,,,,43.05750000,141.66138889, 43:03:27,141:39:41,0100455
8,2005,1,81007.0,114690,2,1,4,56,2,石狩川中流・下流,イシカリガワ　　チユウリユウ　　カリユウ,Ishikarigawachuryukaryu,旧船着場前,キュウフナツキバマエ,kyufunatsukibamae,B,2.0,3.0,1970.0,9.0,1.0,,,,,,,,,,,,,,,2.0,3.0,,石狩川中流・下流,,,旧船着場前,キュウフナツキバマエ,kyufunatsukibamae,,,,,,,,,,,,1.0,,,,,,,,,,0.0,,,,,43.24361111,141.35166667, 43:14:37,141:21:06,0100456
9,2005,1,81007.0,114700,2,1,4,57,2,石狩川中流・下流,イシカリガワ　　チユウリユウ　　カリユウ,Ishikarigawachuryukaryu,生振８線北側地先,オヤフル８センキタガワチサキ,Oyafuru8senkitagawachisaki,B,2.0,3.0,1970.0,9.0,1.0,,,,,,,,,,,,,,,2.0,3.0,,石狩川中流・下流,,,生振８線北側地先,,Oyafuru8senkitagawachisaki,,,,,,,,,,,,1.0,,,,,,,,,,0.0,,,,,43.21194444,141.38166667, 43:12:43,141:22:54,0100457
