,西暦年度,絶対番号,県コード_地点統一番号_x,水域コード_地点統一番号_x,地点コード_地点統一番号_x,調査区分,C_pH_最小値,pH_最小値,C_pH_最大値,pH_最大値,m_pH,n_pH,C_DO_最小値,DO_最小値,C_DO_最大値,DO_最大値,m_DO,n_DO,C_DO_日間平均値_平均値,DO_日間平均値_平均値,C_BOD_最小値,BOD_最小値,C_BOD_最大値,BOD_最大値,m_BOD,n_BOD,C_BOD_日間平均値_最小値,BOD_日間平均値_最小値,C_BOD_日間平均値_最大値,BOD_日間平均値_最大値,x_BOD,y_BOD,C_BOD_日間平均値_平均値,BOD_日間平均値_平均値,C_BOD_日間平均値_中央値,BOD_日間平均値_中央値,C_BOD_日間平均値_75%値,BOD_日間平均値_75%値,C_COD_最小値,COD_最小値,C_COD_最大値,COD_最大値,m_COD,n_COD,C_COD_日間平均値_最小値,COD_日間平均値_最小値,C_COD_日間平均値_最大値,COD_日間平均値_最大値,x_COD,y_COD,C_COD_日間平均値_平均値,COD_日間平均値_平均値,C_COD_日間平均値_中央値,COD_日間平均値_中央値,C_COD_日間平均値_75%値,COD_日間平均値_75%値,C_SS_最小値,SS_最小値,C_SS_最大値,SS_最大値,m_SS,n_SS,C_SS_日間平均値_平均値,SS_日間平均値_平均値,C_大腸菌群数_最小値,大腸菌群数_最小値,C_大腸菌群数_最大値,大腸菌群数_最大値,m_大腸菌群数,n_大腸菌群数,C_大腸菌群数_日間平均値_平均値,大腸菌群数_日間平均値_平均値,C_n-ヘキサン抽出物質（油分等）_最小値,n-ヘキサン抽出物質（油分等)_最小値,C_n-ヘキサン抽出物質(油分等)_最大値,n-ヘキサン抽出物質(油分等)_最大値,m_n-ヘキサン抽出物質(油分等),n_n-ヘキサン抽出物質(油分等),C_n-ヘキサン抽出物質(油分等)_日間平均値_平均値,n-ヘキサン抽出物質(油分等)_日間平均値_平均値,地点統一番号_x,ＲＬＳ識別コード,水系コード,地点新設等コード,県コード_地点統一番号_y,水域コード_地点統一番号_y,地点コード_地点統一番号_y,ＣＯＤ等基準点識別コード,水域名称_漢字,水域名称_カタカナ,水域名称_ローマ字,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,類型,達成期間,指定区分,類型指定年_ＣＯＤ等,類型指定月_ＣＯＤ等,類型指定日_ＣＯＤ等,特例１,特例２,特例３,特例４,特例５,ＣＯＤの測定方法,県際水域コード,県際地点コード,測定中止年,測定中止月,測定中止日,測定再開年,測定再開月,測定再開日,ＮＰ測定コード,ＮＰ基準点識別コード,ＮＰ水域コード,ＮＰ水域名称_漢字,ＮＰ水域名称_カタカナ,ＮＰ水域名称_ローマ字,ＮＰ地点名称_漢字,ＮＰ地点名称_カタカナ,ＮＰ地点名称_ローマ字,ＮＰ類型,ＮＰ達成期間,ＮＰ指定区分,ＮＰ類型指定年,ＮＰ類型指定月,ＮＰ類型指定日,Ｎ指定の有無,Ｐ指定の有無,Ｎ暫定基準値,Ｐ暫定基準値,ＮＰ基準の特例,Ｎ測定方法,Ｐ測定方法,ＮＰ県際水域コード,ＮＰ県際地点コード,ＮＰ測定中止年,ＮＰ測定中止月,ＮＰ測定中止日,ＮＰ測定再開年,ＮＰ測定再開月,ＮＰ測定再開日,水道の取水地点,水質年鑑コード,推定絶対番号,推定水系コード,備考,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,地点統一番号_y
405,1971,1210691,,,,0,,,,,,,,,,,,,,,#,1.0,#,1.7,0.0,3.0,#,1.0,#,1.7,0.0,3.0,#,1.3,#,1.2,#,1.7,#,5.1,#,10.0,,3.0,#,5.1,#,10.0,,3.0,#,7.1,#,6.1,#,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,古川橋,フルカワバシ,,B,2,,1973,7,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12R3010,1210630.0,83543.0,,35.01694444,139.96444444, 35:01:01,139:57:52,
406,1971,1210701,,,,0,,,,,,,,,,,,,,,#,1.0,#,3.3,1.0,3.0,#,1.0,#,3.3,1.0,3.0,#,2.0,#,1.7,#,3.3,#,4.8,#,8.2,,3.0,#,4.8,#,8.2,,3.0,#,6.0,#,5.1,#,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,セトカワハシ,,B,2,,1973,7,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12R3110,1210640.0,83543.0,,34.98361111,139.96777778, 34:59:01,139:58:04,
407,1971,1210711,,,,0,,,,,,,,,,,,,,,#,1.0,#,1.9,0.0,3.0,#,1.0,#,1.9,0.0,3.0,#,1.3,#,1.0,#,1.9,#,3.4,#,7.4,,3.0,#,3.4,#,7.4,,3.0,#,4.8,#,3.6,#,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,東橋,アズマバシ,,B,3,,1973,7,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12R3210,1210660.0,83543.0,,34.97361111,139.87333333, 34:58:25,139:52:24,
408,1971,1210721,,,,0,,,,,,,,,,,,,,,#,3.7,#,13.0,3.0,3.0,#,3.7,#,13.0,3.0,3.0,#,6.9,#,4.1,#,13.0,#,6.6,#,19.0,,3.0,#,6.6,#,19.0,,3.0,#,11.0,#,7.6,#,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,要橋,カナメバシ,,B,3,,1973,7,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12R3220,1210650.0,83543.0,,34.98666667,139.86333333, 34:59:12,139:51:48,
409,1971,1210731,,,,0,,,,,,,,,,,,,,,#,1.0,#,1.8,0.0,3.0,#,1.0,#,1.8,0.0,3.0,#,1.3,#,1.2,#,1.8,#,4.3,#,10.0,,3.0,#,4.3,#,10.0,,3.0,#,6.3,#,4.5,#,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,岩崎橋,イワサキバシ,,A,2,,1973,7,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12R3310,1210680.0,,,35.02277778,139.88833333, 35:01:22,139:53:18,
410,1971,1210741,,,,0,,,,,,,,,,,,,,,#,1.0,#,2.2,1.0,3.0,#,1.0,#,2.2,1.0,3.0,#,1.4,#,1.0,#,2.2,#,4.8,#,6.5,,3.0,#,4.8,#,6.5,,3.0,#,5.6,#,5.5,#,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,昭和橋,シヨウワバシ,,A,2,,1973,7,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12R3320,1210670.0,83543.0,,35.00694444,139.87222222, 35:00:25,139:52:20,
411,1971,1210761,,,,0,,,,,,,,,,,,,,,#,1.0,#,3.7,1.0,3.0,#,1.0,#,3.7,1.0,3.0,#,2.1,#,1.6,#,3.7,#,3.2,#,6.0,,3.0,#,3.2,#,6.0,,3.0,#,4.3,#,3.6,#,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,湊橋,ミナトバシ,,A,2,,1973,7,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12R3520,1210690.0,83543.0,,35.21138889,139.86888889, 35:12:41,139:52:08,
412,1971,1210771,,,,0,,,,,,,,,,,,,,,#,1.0,#,7.5,2.0,3.0,#,1.0,#,7.5,2.0,3.0,#,4.5,#,5.1,#,7.5,#,1.8,#,6.3,,3.0,#,1.8,#,6.3,,3.0,#,4.0,#,4.0,#,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,染川橋,ソメカワバシ,,C,1,,1973,7,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12R3610,1210720.0,,,35.26194444,139.88666667, 35:15:43,139:53:12,
413,1971,1210791,,,,0,,,,,,,,,,,,,,,#,1.0,#,5.5,1.0,3.0,#,1.0,#,5.5,1.0,3.0,#,2.6,#,1.2,#,5.5,#,4.6,#,6.6,,3.0,#,4.6,#,6.6,,3.0,#,5.6,#,5.5,#,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,クリクラバシ,,B,1,,1973,7,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12R3710,1210730.0,83266.0,,35.33972222,139.86500000, 35:20:23,139:51:54,
414,1971,1210801,,,,0,,,,,,,,,,,,,,,#,1.0,#,2.2,0.0,3.0,#,1.0,#,2.2,0.0,3.0,#,1.5,#,1.4,#,2.2,#,3.1,#,4.7,,3.0,#,3.1,#,4.7,,3.0,#,4.0,#,4.2,#,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,八千代橋,ヤチヨバシ,,C,2,,1973,7,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12R3720,1210750.0,83266.0,,35.29833333,139.88333333, 35:17:54,139:53:00,
