,西暦年度,絶対番号,県コード_地点統一番号_x,水域コード_地点統一番号_x,地点コード_地点統一番号_x,調査区分,C_pH_最小値,pH_最小値,C_pH_最大値,pH_最大値,m_pH,n_pH,C_DO_最小値,DO_最小値,C_DO_最大値,DO_最大値,m_DO,n_DO,C_DO_日間平均値_平均値,DO_日間平均値_平均値,C_BOD_最小値,BOD_最小値,C_BOD_最大値,BOD_最大値,m_BOD,n_BOD,C_BOD_日間平均値_最小値,BOD_日間平均値_最小値,C_BOD_日間平均値_最大値,BOD_日間平均値_最大値,x_BOD,y_BOD,C_BOD_日間平均値_平均値,BOD_日間平均値_平均値,C_BOD_日間平均値_中央値,BOD_日間平均値_中央値,C_BOD_日間平均値_75%値,BOD_日間平均値_75%値,C_COD_最小値,COD_最小値,C_COD_最大値,COD_最大値,m_COD,n_COD,C_COD_日間平均値_最小値,COD_日間平均値_最小値,C_COD_日間平均値_最大値,COD_日間平均値_最大値,x_COD,y_COD,C_COD_日間平均値_平均値,COD_日間平均値_平均値,C_COD_日間平均値_中央値,COD_日間平均値_中央値,C_COD_日間平均値_75%値,COD_日間平均値_75%値,C_SS_最小値,SS_最小値,C_SS_最大値,SS_最大値,m_SS,n_SS,C_SS_日間平均値_平均値,SS_日間平均値_平均値,C_大腸菌群数_最小値,大腸菌群数_最小値,C_大腸菌群数_最大値,大腸菌群数_最大値,m_大腸菌群数,n_大腸菌群数,C_大腸菌群数_日間平均値_平均値,大腸菌群数_日間平均値_平均値,C_n-ヘキサン抽出物質（油分等）_最小値,n-ヘキサン抽出物質（油分等)_最小値,C_n-ヘキサン抽出物質(油分等)_最大値,n-ヘキサン抽出物質(油分等)_最大値,m_n-ヘキサン抽出物質(油分等),n_n-ヘキサン抽出物質(油分等),C_n-ヘキサン抽出物質(油分等)_日間平均値_平均値,n-ヘキサン抽出物質(油分等)_日間平均値_平均値,地点統一番号_x,ＲＬＳ識別コード,水系コード,地点新設等コード,県コード_地点統一番号_y,水域コード_地点統一番号_y,地点コード_地点統一番号_y,ＣＯＤ等基準点識別コード,水域名称_漢字,水域名称_カタカナ,水域名称_ローマ字,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,類型,達成期間,指定区分,類型指定年_ＣＯＤ等,類型指定月_ＣＯＤ等,類型指定日_ＣＯＤ等,特例１,特例２,特例３,特例４,特例５,ＣＯＤの測定方法,県際水域コード,県際地点コード,測定中止年,測定中止月,測定中止日,測定再開年,測定再開月,測定再開日,ＮＰ測定コード,ＮＰ基準点識別コード,ＮＰ水域コード,ＮＰ水域名称_漢字,ＮＰ水域名称_カタカナ,ＮＰ水域名称_ローマ字,ＮＰ地点名称_漢字,ＮＰ地点名称_カタカナ,ＮＰ地点名称_ローマ字,ＮＰ類型,ＮＰ達成期間,ＮＰ指定区分,ＮＰ類型指定年,ＮＰ類型指定月,ＮＰ類型指定日,Ｎ指定の有無,Ｐ指定の有無,Ｎ暫定基準値,Ｐ暫定基準値,ＮＰ基準の特例,Ｎ測定方法,Ｐ測定方法,ＮＰ県際水域コード,ＮＰ県際地点コード,ＮＰ測定中止年,ＮＰ測定中止月,ＮＰ測定中止日,ＮＰ測定再開年,ＮＰ測定再開月,ＮＰ測定再開日,水道の取水地点,水質年鑑コード,推定絶対番号,推定水系コード,備考,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,地点統一番号_y
0,1976,110012,,,,0,,,,,,,#,9.1,#,10.0,0.0,4.0,#,9.6,#,0.6,#,0.8,0.0,4.0,#,0.6,#,0.8,0.0,4.0,#,0.7,#,0.7,#,0.7,#,1.8,#,1.8,,1.0,#,1.8,#,1.8,,1.0,#,1.8,#,1.8,#,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,留辺志部川合流前,ルベシベガワゴウリユウマエ,,AA,1,,1970,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0010,110010.0,81007.0,,43.83777778,142.78472222, 43:50:16,142:47:05,
1,1976,110022,,,,0,,,,,,,#,8.5,#,14.0,0.0,33.0,#,11.0,#,0.8,>,2.4,7.0,33.0,#,1.3,>,2.3,4.0,11.0,>,1.8,#,1.7,#,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,東鷹栖浄水場取水口,ヒガシタススジヨウスイジヨウシ,,A,1,,1970,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0020,110020.0,81007.0,,43.81805556,142.42555556, 43:49:05,142:25:32,
2,1976,110032,,,,0,,,,,,,#,9.4,#,13.0,0.0,8.0,#,12.0,#,1.0,>,2.3,1.0,8.0,#,1.0,>,2.3,1.0,8.0,>,1.3,#,1.2,#,1.3,#,1.6,#,7.4,,8.0,#,1.6,#,7.4,,8.0,#,3.5,#,2.7,#,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,永山橋,ナガヤマバシ,,A,1,,1970,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0021,110030.0,81007.0,,43.81888889,142.42638889, 43:49:08,142:25:35,
3,1976,110042,,,,0,,,,,,,#,7.4,#,13.0,0.0,38.0,#,10.0,#,0.6,>,11.0,9.0,38.0,#,0.6,>,6.0,3.0,14.0,>,2.5,#,2.3,#,3.0,#,2.9,#,9.8,,25.0,#,2.9,#,9.8,,13.0,#,6.6,#,6.7,#,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,納内橋,オサムナイバシ,,B,2,,1974,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0030,111790.0,81007.0,,43.71583333,142.13472222, 43:42:57,142:08:05,
4,1976,110052,,,,0,,,,,,,#,5.9,#,13.0,0.0,48.0,#,10.0,#,1.4,>,8.0,28.0,48.0,#,1.7,>,7.3,10.0,12.0,>,3.8,>,3.2,>,3.6,#,3.3,#,11.0,,48.0,#,4.0,#,10.0,,12.0,#,7.0,#,7.2,#,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,神竜頭首工,ジンリユウトウシユコウ,,B,2,,1974,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0031,,,,43.78638889,142.29583333, 43:47:11,142:17:45,
5,1976,110062,,,,0,,,,,,,#,8.0,#,13.0,0.0,9.0,#,9.9,#,2.6,>,3.2,1.0,9.0,#,2.6,>,3.2,1.0,9.0,>,2.9,#,2.8,#,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,神納橋,ジンノウバシ,,B,2,,1974,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0032,111800.0,,,43.73027778,142.17888889, 43:43:49,142:10:44,
6,1976,110082,,,,0,,,,,,,#,7.3,#,15.0,0.0,12.0,#,11.0,#,0.5,#,2.4,0.0,12.0,#,0.5,#,2.4,0.0,12.0,#,1.6,#,1.7,#,1.8,#,3.2,#,8.3,,12.0,#,3.2,#,8.3,,12.0,#,6.1,#,6.3,#,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,奈井江大橋,ナイエオオハシ,,B,2,,1970,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0041,110090.0,81007.0,,43.42944444,141.84416667, 43:25:46,141:50:39,
7,1976,110092,,,,0,,,,,,,#,7.6,#,15.0,0.0,49.0,#,11.0,<,0.5,#,2.3,0.0,49.0,#,0.6,#,2.3,0.0,12.0,#,1.4,#,1.5,#,1.7,#,3.6,#,20.0,,49.0,#,4.6,#,18.0,,12.0,#,7.1,#,6.5,#,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,砂川橋,スナガワバシ,,B,2,,1970,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0042,113460.0,81007.0,,43.50416667,141.89666667, 43:30:15,141:53:48,
8,1976,110102,,,,0,,,,,,,#,6.6,#,11.0,0.0,10.0,#,9.2,#,1.3,>,3.5,1.0,10.0,#,1.4,>,2.8,1.0,5.0,>,2.1,#,2.0,#,2.5,#,4.4,#,11.0,,10.0,#,4.7,#,9.0,,5.0,#,6.3,#,6.1,#,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,石狩川橋,イシカリガワバシ,,B,2,,1970,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0043,110100.0,81007.0,,43.56055556,141.87833333, 43:33:38,141:52:42,
9,1976,110112,,,,0,,,,,,,#,6.6,#,13.0,0.0,38.0,#,10.0,#,0.6,#,2.6,0.0,38.0,#,0.6,#,2.4,0.0,14.0,#,1.4,#,1.3,#,1.9,#,4.3,#,11.0,,30.0,#,4.3,#,11.0,,14.0,#,7.2,#,7.1,#,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,石狩大橋,イシカリオオハシ,,B,2,,1970,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01R0050,110060.0,81007.0,,43.12361111,141.54305556, 43:07:25,141:32:35,
