レコードID,測定年度,絶対番号,都道府県コード,水域コード,地点コード,全窒素_C,全窒素(mg/l),全燐_C,全燐(mg/l)
1210010001,1996,1210010,12,001,01,#,2.2,#,0.18
1210010004,1996,1210010,12,001,01,#,1.5,#,0.17
1210010007,1996,1210010,12,001,01,#,1,#,0.11
1210010010,1996,1210010,12,001,01,#,1.6,#,0.11
1210010013,1996,1210010,12,001,01,#,1.9,#,0.19
1210010016,1996,1210010,12,001,01,#,1.9,#,0.12
1210010019,1996,1210010,12,001,01,#,3.2,#,0.11
1210010022,1996,1210010,12,001,01,#,3.3,#,0.13
1210010025,1996,1210010,12,001,01,#,3,#,0.13
1210010028,1996,1210010,12,001,01,#,2.6,#,0.1
1210010031,1996,1210010,12,001,01,#,2.9,#,0.14
1210010034,1996,1210010,12,001,01,#,3.4,#,0.22
1210020001,1996,1210020,12,001,02,#,2.6,#,0.18
1210020004,1996,1210020,12,001,02,#,1.8,#,0.23
1210020007,1996,1210020,12,001,02,#,1.1,#,0.13
1210020010,1996,1210020,12,001,02,#,1.7,#,0.1
1210020013,1996,1210020,12,001,02,#,2.4,#,0.17
1210020016,1996,1210020,12,001,02,#,2.4,#,0.12
1210020019,1996,1210020,12,001,02,#,3.3,#,0.12
1210020022,1996,1210020,12,001,02,#,3.4,#,0.12
1210020025,1996,1210020,12,001,02,#,3.3,#,0.13
1210020028,1996,1210020,12,001,02,#,3.5,#,0.19
1210020031,1996,1210020,12,001,02,#,3.3,#,0.17
1210020034,1996,1210020,12,001,02,#,3.5,#,0.19
1210030001,1996,1210030,12,001,51,#,2.1,#,0.1
1210030003,1996,1210030,12,001,51,#,1.3,#,0.092
1210030005,1996,1210030,12,001,51,#,0.59,#,0.061
1210030007,1996,1210030,12,001,51,#,1.7,#,0.12
1210030009,1996,1210030,12,001,51,#,1.6,#,0.1
1210030011,1996,1210030,12,001,51,#,1.8,#,0.096
1210030013,1996,1210030,12,001,51,#,3.1,#,0.084
1210030015,1996,1210030,12,001,51,#,3.1,#,0.1
1210030017,1996,1210030,12,001,51,#,2.8,#,0.1
1210030019,1996,1210030,12,001,51,#,2.4,#,0.11
1210030021,1996,1210030,12,001,51,#,2.7,#,0.11
1210030023,1996,1210030,12,001,51,#,2.9,#,0.16
1210040001,1996,1210040,12,001,52,#,2,#,0.13
1210040004,1996,1210040,12,001,52,#,1.5,#,0.16
1210040007,1996,1210040,12,001,52,#,0.9,#,0.079
1210040010,1996,1210040,12,001,52,#,1.7,#,0.1
1210040013,1996,1210040,12,001,52,#,1.7,#,0.12
1210040016,1996,1210040,12,001,52,#,1.8,#,0.1
1210040019,1996,1210040,12,001,52,#,3.2,#,0.1
1210040022,1996,1210040,12,001,52,#,3.1,#,0.11
1210040025,1996,1210040,12,001,52,#,2.9,#,0.11
1210040028,1996,1210040,12,001,52,#,2.6,#,0.12
1210040031,1996,1210040,12,001,52,#,2.6,#,0.12
1210040034,1996,1210040,12,001,52,#,3,#,0.15
1210050001,1996,1210050,12,001,53,#,2.6,#,0.16
1210050004,1996,1210050,12,001,53,#,1.9,#,0.23
1210050007,1996,1210050,12,001,53,#,1,#,0.11
1210050010,1996,1210050,12,001,53,#,1.8,#,0.1
1210050013,1996,1210050,12,001,53,#,2.3,#,0.19
1210050016,1996,1210050,12,001,53,#,2.6,#,0.15
1210050019,1996,1210050,12,001,53,#,3.3,#,0.11
1210050022,1996,1210050,12,001,53,#,3.4,#,0.12
1210050025,1996,1210050,12,001,53,#,3.3,#,0.14
1210050028,1996,1210050,12,001,53,#,3,#,0.13
1210050031,1996,1210050,12,001,53,#,3.3,#,0.17
1210050034,1996,1210050,12,001,53,#,3.4,#,0.2
1210060001,1996,1210060,12,002,01,#,2.7,#,0.15
1210060004,1996,1210060,12,002,01,#,1.6,#,0.14
1210060007,1996,1210060,12,002,01,#,1,#,0.13
1210060010,1996,1210060,12,002,01,#,1.9,#,0.099
1210060013,1996,1210060,12,002,01,#,2.3,#,0.17
1210060016,1996,1210060,12,002,01,#,2.2,#,0.11
1210060019,1996,1210060,12,002,01,#,3.3,#,0.14
1210060022,1996,1210060,12,002,01,#,3.3,#,0.12
1210060025,1996,1210060,12,002,01,#,3.1,#,0.12
1210060028,1996,1210060,12,002,01,#,3.1,#,0.15
1210060031,1996,1210060,12,002,01,#,3,#,0.17
1210060034,1996,1210060,12,002,01,#,3.7,#,0.17
1210070001,1996,1210070,12,002,51,#,2.7,#,0.14
1210070003,1996,1210070,12,002,51,#,1.5,#,0.11
1210070005,1996,1210070,12,002,51,#,1,#,0.1
1210070007,1996,1210070,12,002,51,#,1.8,#,0.1
1210070009,1996,1210070,12,002,51,#,2.5,#,0.16
1210070011,1996,1210070,12,002,51,#,2.4,#,0.13
1210070013,1996,1210070,12,002,51,#,3.2,#,0.11
1210070015,1996,1210070,12,002,51,#,3.5,#,0.14
1210070017,1996,1210070,12,002,51,#,3.4,#,0.13
1210070019,1996,1210070,12,002,51,#,3.2,#,0.18
1210070021,1996,1210070,12,002,51,#,2.9,#,0.15
1210070023,1996,1210070,12,002,51,#,3.5,#,0.17
1210090001,1996,1210090,12,003,01,#,2.6,#,0.4
1210090004,1996,1210090,12,003,01,#,1.3,#,0.17
1210090007,1996,1210090,12,003,01,#,2,#,0.54
1210090010,1996,1210090,12,003,01,#,1.4,#,0.2
1210090013,1996,1210090,12,003,01,#,1.3,#,0.27
1210090016,1996,1210090,12,003,01,#,1.1,#,0.2
1210090019,1996,1210090,12,003,01,#,1.4,#,0.2
1210090022,1996,1210090,12,003,01,#,1.2,#,0.14
1210090025,1996,1210090,12,003,01,#,1.4,#,0.14
1210090028,1996,1210090,12,003,01,#,1.5,#,0.11
1210090031,1996,1210090,12,003,01,#,1.7,#,0.14
1210090034,1996,1210090,12,003,01,#,2.3,#,0.23
1210100001,1996,1210100,12,004,01,#,4.9,#,0.29
1210100005,1996,1210100,12,004,01,#,1.9,#,0.22
1210100009,1996,1210100,12,004,01,#,2.3,#,0.18
1210100013,1996,1210100,12,004,01,#,4,#,0.18
1210100017,1996,1210100,12,004,01,#,2.9,#,0.17
1210100021,1996,1210100,12,004,01,#,3.6,#,0.14
1210100025,1996,1210100,12,004,01,#,3.9,#,0.13
1210100030,1996,1210100,12,004,01,#,4,#,0.18
1210100033,1996,1210100,12,004,01,#,4.5,#,0.16
1210100037,1996,1210100,12,004,01,#,4.5,#,0.17
1210100041,1996,1210100,12,004,01,#,4.7,#,0.19
1210100047,1996,1210100,12,004,01,#,6,#,0.27
1210110001,1996,1210110,12,005,02,#,1.2,#,0.12
1210110002,1996,1210110,12,005,02,#,0.92,#,0.11
1210110003,1996,1210110,12,005,02,#,1.1,#,0.13
1210110004,1996,1210110,12,005,02,#,1.1,#,0.15
1210110005,1996,1210110,12,005,02,#,0.86,#,0.093
1210110006,1996,1210110,12,005,02,#,1.3,#,0.15
1210110007,1996,1210110,12,005,02,#,1.1,#,0.1
1210110008,1996,1210110,12,005,02,#,1.2,#,0.12
1210110009,1996,1210110,12,005,02,#,1.3,#,0.11
1210110010,1996,1210110,12,005,02,#,1.3,#,0.13
1210110011,1996,1210110,12,005,02,#,1.2,#,0.11
1210110012,1996,1210110,12,005,02,#,1.7,#,0.14
1210120002,1996,1210120,12,006,01,#,1.1,#,0.19
1210120004,1996,1210120,12,006,01,#,0.92,#,0.19
1210120006,1996,1210120,12,006,01,#,1,#,0.16
1210120008,1996,1210120,12,006,01,#,1.2,#,0.1
1210120010,1996,1210120,12,006,01,#,1.2,#,0.1
1210120012,1996,1210120,12,006,01,#,1.3,#,0.14
1210130001,1996,1210130,12,007,01,#,1.5,#,0.19
1210130002,1996,1210130,12,007,01,#,1.3,#,0.15
1210130003,1996,1210130,12,007,01,#,1.3,#,0.18
1210130004,1996,1210130,12,007,01,#,1,#,0.2
1210130005,1996,1210130,12,007,01,#,1,#,0.12
1210130006,1996,1210130,12,007,01,#,1,#,0.13
1210130007,1996,1210130,12,007,01,#,1.3,#,0.094
1210130008,1996,1210130,12,007,01,#,1.3,#,0.11
1210130009,1996,1210130,12,007,01,#,1.5,#,0.1
1210130010,1996,1210130,12,007,01,#,1.3,#,0.11
1210130011,1996,1210130,12,007,01,#,1.6,#,0.12
1210130012,1996,1210130,12,007,01,#,1.5,#,0.13
1210140001,1996,1210140,12,008,01,#,2.5,#,0.15
1210140003,1996,1210140,12,008,01,#,2.3,#,0.17
1210140005,1996,1210140,12,008,01,#,1.2,#,0.11
1210140007,1996,1210140,12,008,01,#,1.9,#,0.11
1210140009,1996,1210140,12,008,01,#,1.9,#,0.12
1210140011,1996,1210140,12,008,01,#,1.9,#,0.11
1210140013,1996,1210140,12,008,01,#,3,#,0.085
1210140015,1996,1210140,12,008,01,#,3.4,#,0.096
1210140019,1996,1210140,12,008,01,#,3.2,#,0.12
1210140021,1996,1210140,12,008,01,#,3.1,#,0.14
1210140023,1996,1210140,12,008,01,#,3.4,#,0.17
1210150001,1996,1210150,12,008,02,#,2.8,#,0.11
1210150003,1996,1210150,12,008,02,#,2.4,#,0.11
1210150005,1996,1210150,12,008,02,#,1.7,#,0.1
1210150007,1996,1210150,12,008,02,#,2.1,#,0.12
1210150009,1996,1210150,12,008,02,#,2.4,#,0.13
1210150011,1996,1210150,12,008,02,#,2,#,0.12
1210150013,1996,1210150,12,008,02,#,3.4,#,0.1
1210150015,1996,1210150,12,008,02,#,4,#,0.13
1210150019,1996,1210150,12,008,02,#,3.7,#,0.14
1210150021,1996,1210150,12,008,02,#,3.6,#,0.16
1210150023,1996,1210150,12,008,02,#,3.9,#,0.18
1210160002,1996,1210160,12,008,51,#,2.1,#,0.14
1210160004,1996,1210160,12,008,51,#,1.6,#,0.12
1210160006,1996,1210160,12,008,51,#,1.1,#,0.084
1210160008,1996,1210160,12,008,51,#,1.7,#,0.12
1210160010,1996,1210160,12,008,51,#,1.6,#,0.12
1210160012,1996,1210160,12,008,51,#,1.8,#,0.12
1210160014,1996,1210160,12,008,51,#,3,#,0.1
1210160016,1996,1210160,12,008,51,#,3.3,#,0.12
1210160018,1996,1210160,12,008,51,#,3.3,#,0.13
1210160020,1996,1210160,12,008,51,#,3.2,#,0.16
1210160022,1996,1210160,12,008,51,#,3.5,#,0.28
1210160024,1996,1210160,12,008,51,#,3.2,#,0.21
1210170001,1996,1210170,12,008,52,#,2.6,#,0.12
1210170003,1996,1210170,12,008,52,#,2.2,#,0.2
1210170005,1996,1210170,12,008,52,#,1.3,#,0.1
1210170007,1996,1210170,12,008,52,#,1.8,#,0.093
1210170009,1996,1210170,12,008,52,#,1.8,#,0.1
1210170011,1996,1210170,12,008,52,#,2,#,0.1
1210170013,1996,1210170,12,008,52,#,3,#,0.096
1210170015,1996,1210170,12,008,52,#,3.4,#,0.1
1210170019,1996,1210170,12,008,52,#,3.4,#,0.16
1210170021,1996,1210170,12,008,52,#,2.6,#,0.22
1210170023,1996,1210170,12,008,52,#,3.3,#,0.18
1210180001,1996,1210180,12,008,53,#,3.2,#,0.19
1210180003,1996,1210180,12,008,53,#,2.6,#,0.12
1210180005,1996,1210180,12,008,53,#,1.5,#,0.13
1210180007,1996,1210180,12,008,53,#,1.9,#,0.079
1210180009,1996,1210180,12,008,53,#,2.7,#,0.16
1210180011,1996,1210180,12,008,53,#,2,#,0.1
1210180013,1996,1210180,12,008,53,#,3.3,#,0.1
1210180015,1996,1210180,12,008,53,#,4,#,0.14
1210180019,1996,1210180,12,008,53,#,3.5,#,0.16
1210180021,1996,1210180,12,008,53,#,3.8,#,0.3
1210180023,1996,1210180,12,008,53,#,3.9,#,0.2
1210190001,1996,1210190,12,008,54,#,2.8,#,0.14
1210190003,1996,1210190,12,008,54,#,2.3,#,0.12
1210190005,1996,1210190,12,008,54,#,1.4,#,0.1
1210190007,1996,1210190,12,008,54,#,2.1,#,0.1
1210190009,1996,1210190,12,008,54,#,2.4,#,0.15
1210190011,1996,1210190,12,008,54,#,2,#,0.11
1210190013,1996,1210190,12,008,54,#,3.4,#,0.1
1210190015,1996,1210190,12,008,54,#,3.7,#,0.13
1210190019,1996,1210190,12,008,54,#,3.5,#,0.15
1210190021,1996,1210190,12,008,54,#,3.5,#,0.18
1210190023,1996,1210190,12,008,54,#,4,#,0.19
1210200001,1996,1210200,12,008,55,#,2.4,#,0.082
1210200003,1996,1210200,12,008,55,#,2.2,#,0.11
1210200005,1996,1210200,12,008,55,#,1.6,#,0.095
1210200007,1996,1210200,12,008,55,#,1.7,#,0.047
1210200009,1996,1210200,12,008,55,#,1.9,#,0.11
1210200011,1996,1210200,12,008,55,#,2,#,0.14
1210200013,1996,1210200,12,008,55,#,2.9,#,0.082
1210200015,1996,1210200,12,008,55,#,3.6,#,0.091
1210200019,1996,1210200,12,008,55,#,3.5,#,0.11
1210200021,1996,1210200,12,008,55,#,3.5,#,0.15
1210200023,1996,1210200,12,008,55,#,3.7,#,0.14
1210210001,1996,1210210,12,008,56,#,0.83,#,0.045
1210210003,1996,1210210,12,008,56,#,1.6,#,0.099
1210210005,1996,1210210,12,008,56,#,0.87,#,0.057
1210210007,1996,1210210,12,008,56,#,0.92,#,0.068
1210210009,1996,1210210,12,008,56,#,0.93,#,0.077
1210210011,1996,1210210,12,008,56,#,1.2,#,0.1
1210210013,1996,1210210,12,008,56,#,2.4,#,0.053
1210210015,1996,1210210,12,008,56,#,2.9,#,0.075
1210210019,1996,1210210,12,008,56,#,2.2,#,0.066
1210210021,1996,1210210,12,008,56,#,1.8,#,0.09
1210210023,1996,1210210,12,008,56,#,1,#,0.071
1210220001,1996,1210220,12,009,01,#,5,#,0.39
1210220004,1996,1210220,12,009,01,#,6.5,#,0.49
1210220007,1996,1210220,12,009,01,#,9,#,0.6
1210220010,1996,1210220,12,009,01,#,10,#,0.66
1210220013,1996,1210220,12,009,01,#,2.5,#,0.23
1210220016,1996,1210220,12,009,01,#,2.7,#,0.22
1210220019,1996,1210220,12,009,01,#,9.7,#,0.56
1210220022,1996,1210220,12,009,01,#,8.1,#,0.52
1210220025,1996,1210220,12,009,01,#,3.9,#,0.18
1210220028,1996,1210220,12,009,01,#,7,#,0.35
1210220031,1996,1210220,12,009,01,#,3.9,#,0.2
1210220034,1996,1210220,12,009,01,#,4.2,#,0.25
1210230001,1996,1210230,12,009,51,#,5.4,#,0.54
1210230003,1996,1210230,12,009,51,#,6.1,#,0.58
1210230005,1996,1210230,12,009,51,#,9,#,0.74
1210230007,1996,1210230,12,009,51,#,9.3,#,0.76
1210230009,1996,1210230,12,009,51,#,2.8,#,0.26
1210230011,1996,1210230,12,009,51,#,3,#,0.26
1210230013,1996,1210230,12,009,51,#,8.3,#,0.69
1210230015,1996,1210230,12,009,51,#,7.4,#,0.61
1210230017,1996,1210230,12,009,51,#,4.3,#,0.25
1210230019,1996,1210230,12,009,51,#,8.7,#,0.67
1210230021,1996,1210230,12,009,51,#,4.1,#,0.26
1210230023,1996,1210230,12,009,51,#,4.1,#,0.27
1210240001,1996,1210240,12,010,01,#,8.4,#,0.9
1210240002,1996,1210240,12,010,01,#,9.2,#,0.58
1210240003,1996,1210240,12,010,01,#,13,#,0.67
1210240004,1996,1210240,12,010,01,#,5.6,#,0.68
1210240005,1996,1210240,12,010,01,#,7.4,#,0.82
1210240006,1996,1210240,12,010,01,#,9,#,1
1210240007,1996,1210240,12,010,01,#,5.9,#,0.87
1210240008,1996,1210240,12,010,01,#,5.2,#,0.72
1210240009,1996,1210240,12,010,01,#,4.3,#,0.81
1210240010,1996,1210240,12,010,01,#,7.3,#,0.88
1210240011,1996,1210240,12,010,01,#,4.5,#,1.2
1210240012,1996,1210240,12,010,01,#,1.2,#,0.7
1210240013,1996,1210240,12,010,01,#,6.1,#,0.43
1210240014,1996,1210240,12,010,01,#,3.9,#,0.22
1210240015,1996,1210240,12,010,01,#,7.7,#,0.68
1210240016,1996,1210240,12,010,01,#,5.3,#,0.27
1210240017,1996,1210240,12,010,01,#,6.1,#,0.46
1210240018,1996,1210240,12,010,01,#,5.7,#,0.49
1210240019,1996,1210240,12,010,01,#,5.9,#,0.37
1210240020,1996,1210240,12,010,01,#,8.5,#,0.75
1210240021,1996,1210240,12,010,01,#,9.4,#,0.85
1210240022,1996,1210240,12,010,01,#,7.5,#,0.82
1210240023,1996,1210240,12,010,01,#,10,#,0.96
1210240024,1996,1210240,12,010,01,#,8.9,#,0.84
1210250001,1996,1210250,12,011,01,#,6.9,#,0.81
1210250003,1996,1210250,12,011,01,#,2.3,#,0.14
1210250005,1996,1210250,12,011,01,#,2.2,#,0.19
1210250007,1996,1210250,12,011,01,#,2.5,#,0.14
1210250009,1996,1210250,12,011,01,#,2.6,#,0.17
1210250011,1996,1210250,12,011,01,#,2.4,#,0.16
1210250013,1996,1210250,12,011,01,#,8.4,#,0.88
1210250015,1996,1210250,12,011,01,#,4.1,#,0.24
1210250017,1996,1210250,12,011,01,#,4.1,#,0.32
1210250019,1996,1210250,12,011,01,#,3.9,#,0.14
1210250021,1996,1210250,12,011,01,#,3.4,#,0.23
1210250023,1996,1210250,12,011,01,#,5.3,#,0.47
1210260001,1996,1210260,12,011,02,#,10,#,1.3
1210260003,1996,1210260,12,011,02,#,8.8,#,0.17
1210260005,1996,1210260,12,011,02,#,10,#,1.5
1210260007,1996,1210260,12,011,02,#,9.7,#,1.1
1210260008,1996,1210260,12,011,02,#,8.9,#,1.3
1210260010,1996,1210260,12,011,02,#,8.2,#,1.2
1210260012,1996,1210260,12,011,02,#,14,#,0.73
1210260014,1996,1210260,12,011,02,#,7.2,#,0.85
1210260016,1996,1210260,12,011,02,#,9.6,#,1.1
1210260018,1996,1210260,12,011,02,#,10,#,0.92
1210260020,1996,1210260,12,011,02,#,11,#,0.98
1210260022,1996,1210260,12,011,02,#,18,#,1.4
1210280001,1996,1210280,12,012,01,#,13,#,1.3
1210280003,1996,1210280,12,012,01,#,11,#,1.3
1210280005,1996,1210280,12,012,01,#,11,#,1.4
1210280007,1996,1210280,12,012,01,#,11,#,1.3
1210280009,1996,1210280,12,012,01,#,9.5,#,1.6
1210280011,1996,1210280,12,012,01,#,10,#,1.6
1210280013,1996,1210280,12,012,01,#,17,#,0.79
1210280015,1996,1210280,12,012,01,#,7.1,#,0.68
1210280017,1996,1210280,12,012,01,#,11,#,1.2
1210280019,1996,1210280,12,012,01,#,13,#,1.3
1210280021,1996,1210280,12,012,01,#,13,#,1
1210280023,1996,1210280,12,012,01,#,21,#,1.4
1210290001,1996,1210290,12,012,51,#,18,#,1.4
1210290002,1996,1210290,12,012,51,#,16,#,1.1
1210290003,1996,1210290,12,012,51,#,12,#,1.3
1210290004,1996,1210290,12,012,51,#,13,#,1.6
1210290005,1996,1210290,12,012,51,#,14,#,1.3
1210290006,1996,1210290,12,012,51,#,12,#,1.2
1210290007,1996,1210290,12,012,51,#,10,#,1.1
1210290008,1996,1210290,12,012,51,#,10,#,1.2
1210290009,1996,1210290,12,012,51,#,11,#,1.1
1210290010,1996,1210290,12,012,51,#,9.4,#,2
1210290011,1996,1210290,12,012,51,#,7.2,#,1.1
1210290012,1996,1210290,12,012,51,#,1.9,#,0.97
1210290013,1996,1210290,12,012,51,#,9.9,#,0.81
1210290014,1996,1210290,12,012,51,#,12,#,1
1210290015,1996,1210290,12,012,51,#,9.1,#,0.99
1210290016,1996,1210290,12,012,51,#,9.2,#,0.81
1210290017,1996,1210290,12,012,51,#,13,#,1
1210290018,1996,1210290,12,012,51,#,15,#,0.87
1210290019,1996,1210290,12,012,51,#,16,#,1.3
1210290020,1996,1210290,12,012,51,#,17,#,1.2
1210290021,1996,1210290,12,012,51,#,14,#,1.1
1210290022,1996,1210290,12,012,51,#,14,#,1
1210290023,1996,1210290,12,012,51,#,18,#,1.6
1210290024,1996,1210290,12,012,51,#,17,#,1
1210300002,1996,1210300,12,013,01,#,2.5,#,0.11
1210300004,1996,1210300,12,013,01,#,2.8,#,0.1
1210300006,1996,1210300,12,013,01,#,2,#,0.15
1210300008,1996,1210300,12,013,01,#,2.8,#,0.12
1210300010,1996,1210300,12,013,01,#,3.6,#,0.17
1210300012,1996,1210300,12,013,01,#,3.5,#,0.2
1210310002,1996,1210310,12,013,51,#,10,#,0.34
1210310004,1996,1210310,12,013,51,#,7.7,#,0.33
1210310006,1996,1210310,12,013,51,#,10,#,0.46
1210310008,1996,1210310,12,013,51,#,8.1,#,0.19
1210310010,1996,1210310,12,013,51,#,12,#,0.34
1210310012,1996,1210310,12,013,51,#,7.1,#,0.61
1210320002,1996,1210320,12,013,52,#,1.9,#,0.12
1210320004,1996,1210320,12,013,52,#,4.6,#,0.27
1210320006,1996,1210320,12,013,52,#,12,#,0.39
1210320008,1996,1210320,12,013,52,#,5,#,0.13
1210320010,1996,1210320,12,013,52,#,7,#,0.25
1210320012,1996,1210320,12,013,52,#,10,#,0.33
1210330002,1996,1210330,12,218,01,#,5.2,#,0.17
1210330004,1996,1210330,12,218,01,#,2.2,#,0.17
1210330006,1996,1210330,12,218,01,#,1.6,#,0.12
1210330008,1996,1210330,12,218,01,#,2.8,#,0.16
1210330010,1996,1210330,12,218,01,#,2.7,#,0.15
1210330012,1996,1210330,12,218,01,#,3.4,#,0.25
1210350002,1996,1210350,12,014,01,#,2,#,0.15
1210350004,1996,1210350,12,014,01,#,2.4,#,0.17
1210350006,1996,1210350,12,014,01,#,2.9,#,0.14
1210350008,1996,1210350,12,014,01,#,3,#,0.22
1210350010,1996,1210350,12,014,01,#,4.9,#,0.17
1210350012,1996,1210350,12,014,01,#,3.2,#,0.24
