レコードID,測定年度,絶対番号,都道府県コード,水域コード,地点コード,pH_C,pH,DO_C,DO(mg/l),BOD_C,BOD(mg/l),COD_C,COD(mg/l),SS_C,SS(mg/l),大腸菌群数_C,大腸菌群数(MPN/100ml),n-ヘキサン抽出物質_C,n-ヘキサン抽出物質(mg/l)
1310010001,1991,1310010,13,001,01,#,7.1,#,9.5,#,2.2,#,3.3,#,41,#,24000,E,99999
1310010002,1991,1310010,13,001,01,#,7.1,#,9.4,#,2.2,#,3.2,#,38,E,99999,E,99999
1310010003,1991,1310010,13,001,01,#,7,#,9.7,#,1.6,#,2.6,#,24,E,99999,E,99999
1310010004,1991,1310010,13,001,01,#,7.2,#,8.1,#,3.1,#,4,#,23,#,130000,E,99999
1310010005,1991,1310010,13,001,01,#,7.3,#,9.2,#,3.1,#,3.7,#,9,E,99999,E,99999
1310010006,1991,1310010,13,001,01,#,7.3,#,9,#,2.5,#,3.4,#,9,E,99999,E,99999
1310010007,1991,1310010,13,001,01,#,7.2,#,7.7,#,2.5,#,4.9,#,17,#,13000,E,99999
1310010008,1991,1310010,13,001,01,#,7.3,#,9.3,#,3.5,#,5,#,10,E,99999,E,99999
1310010009,1991,1310010,13,001,01,#,7.3,#,8,#,2.7,#,4.6,#,11,E,99999,E,99999
1310010010,1991,1310010,13,001,01,#,7.3,#,6.7,#,2.5,#,8,#,100,#,49000,E,99999
1310010011,1991,1310010,13,001,01,#,7.3,#,6.9,#,1.5,#,3,#,10,E,99999,E,99999
1310010012,1991,1310010,13,001,01,#,7.3,#,7.1,#,1.9,#,4.1,#,42,E,99999,E,99999
1310010013,1991,1310010,13,001,01,#,7.3,#,6.5,#,2.8,#,6.4,#,80,E,99999,E,99999
1310010014,1991,1310010,13,001,01,#,7.3,#,6.3,#,2.9,#,3.1,#,8,E,99999,E,99999
1310010015,1991,1310010,13,001,01,#,7.4,#,6.5,#,2.7,#,5.6,#,54,E,99999,E,99999
1310010016,1991,1310010,13,001,01,#,7.3,#,6.6,#,3.8,#,7.9,#,98,E,99999,E,99999
1310010017,1991,1310010,13,001,01,#,7.5,#,7.6,#,2.1,#,3.9,#,15,#,24000,E,99999
1310010018,1991,1310010,13,001,01,#,7.6,#,7.8,#,2.3,#,3.9,#,13,E,99999,E,99999
1310010019,1991,1310010,13,001,01,#,7.5,#,7.5,#,1.6,#,3.5,#,15,E,99999,E,99999
1310010020,1991,1310010,13,001,01,#,7.5,#,8.1,#,0.7,#,2.9,#,35,#,7900,E,99999
1310010021,1991,1310010,13,001,01,#,7.4,#,8.3,#,0.7,#,3,#,34,E,99999,E,99999
1310010022,1991,1310010,13,001,01,#,7.4,#,8,#,1.2,#,3.3,#,47,E,99999,E,99999
1310010023,1991,1310010,13,001,01,#,7.3,#,9,#,0.6,#,2.4,#,21,#,33000,E,99999
1310010024,1991,1310010,13,001,01,#,7.4,#,8.9,#,1,#,2.3,#,17,E,99999,E,99999
1310010025,1991,1310010,13,001,01,#,7.4,#,9,#,1.2,#,2.7,#,26,E,99999,E,99999
1310010026,1991,1310010,13,001,01,#,7.3,#,9.5,#,1.1,#,2.4,#,16,#,26000,E,99999
1310010027,1991,1310010,13,001,01,#,7.3,#,9.4,#,1.7,#,2.1,#,8,E,99999,E,99999
1310010028,1991,1310010,13,001,01,#,7.4,#,9.6,#,1.8,#,2.6,#,19,E,99999,E,99999
1310010029,1991,1310010,13,001,01,#,7.4,#,9.9,#,1.8,#,2.5,#,11,#,26000,E,99999
1310010030,1991,1310010,13,001,01,#,7.3,#,10,#,1.3,#,2.3,#,6,E,99999,E,99999
1310010031,1991,1310010,13,001,01,#,7.3,#,10,#,1.9,#,2.6,#,11,E,99999,E,99999
1310010032,1991,1310010,13,001,01,#,7.3,#,9.7,#,2.4,#,3.4,#,17,E,99999,E,99999
1310010033,1991,1310010,13,001,01,#,7.3,#,9.6,#,1.9,#,2.8,#,6,E,99999,E,99999
1310010034,1991,1310010,13,001,01,#,7.3,#,9.7,#,1.9,#,2.7,#,6,E,99999,E,99999
1310010035,1991,1310010,13,001,01,#,7.3,#,9.9,#,2,#,2.8,#,11,E,99999,E,99999
1310010036,1991,1310010,13,001,01,#,7.3,#,10,#,3,#,3,#,5,#,17000,E,99999
1310010037,1991,1310010,13,001,01,#,7.3,#,10,#,2.9,#,2.8,#,4,E,99999,E,99999
1310010038,1991,1310010,13,001,01,#,7.3,#,10,#,3.1,#,2.9,#,3,E,99999,E,99999
1310010039,1991,1310010,13,001,01,#,7.1,#,10,#,3.7,#,4,#,7,#,7900,E,99999
1310010040,1991,1310010,13,001,01,#,7.2,#,10,#,3.5,#,3.8,#,7,E,99999,E,99999
1310010041,1991,1310010,13,001,01,#,7.2,#,10,#,4.5,#,4.4,#,7,E,99999,E,99999
1310010042,1991,1310010,13,001,01,#,7.2,#,9.4,#,3,#,3.9,#,12,#,24000,E,99999
1310010043,1991,1310010,13,001,01,#,7.2,#,9.7,#,2.7,#,3.5,#,13,E,99999,E,99999
1310010044,1991,1310010,13,001,01,#,7.2,#,9.8,#,3.5,#,3.8,#,12,E,99999,E,99999
1310020001,1991,1310020,13,001,51,#,7.2,#,9.7,#,1.8,#,3.5,#,17,#,220000,E,99999
1310020002,1991,1310020,13,001,51,#,7.4,#,8.7,#,2.9,#,4.4,#,8,#,49000,E,99999
