レコードID,測定年度,絶対番号,都道府県コード,水域コード,地点コード,pH_C,pH,DO_C,DO(mg/l),BOD_C,BOD(mg/l),COD_C,COD(mg/l),SS_C,SS(mg/l),大腸菌群数_C,大腸菌群数(MPN/100ml),n-ヘキサン抽出物質_C,n-ヘキサン抽出物質(mg/l)
1410010001,1985,1410010,14,001,01,#,7.5,#,8.7,#,1.4,#,3.2,#,5,E,99999,E,99999
1410010002,1985,1410010,14,001,01,#,7.6,#,8.5,#,1.3,#,3.4,#,5,E,99999,E,99999
1410010003,1985,1410010,14,001,01,#,7.5,#,8.5,#,1.8,#,3.4,#,6,E,99999,E,99999
1410010004,1985,1410010,14,001,01,#,7.6,#,8.3,#,1.7,#,3.8,#,6,E,99999,E,99999
1410010005,1985,1410010,14,001,01,#,7.4,#,5.6,#,3.9,#,6.3,#,8,E,99999,E,99999
1410010006,1985,1410010,14,001,01,#,7.4,#,5.3,#,3,#,5.4,#,10,E,99999,E,99999
1410010007,1985,1410010,14,001,01,#,7.4,#,5,#,3.2,#,6.2,#,9,E,99999,E,99999
1410010008,1985,1410010,14,001,01,#,7.5,#,5.4,#,4.1,#,7.4,#,9,E,99999,E,99999
1410010009,1985,1410010,14,001,01,#,7.7,#,8.9,#,4.3,#,11,#,14,E,99999,E,99999
1410010010,1985,1410010,14,001,01,#,7.9,#,10,#,3.4,#,7.9,#,11,E,99999,E,99999
1410010011,1985,1410010,14,001,01,#,8,#,10,#,4.7,#,8.3,#,9,E,99999,E,99999
1410010012,1985,1410010,14,001,01,#,8,#,6.1,#,3.9,#,7.9,#,7,E,99999,E,99999
1410010013,1985,1410010,14,001,01,#,7.6,#,7.1,#,1.5,#,3.6,#,8,E,99999,E,99999
1410010014,1985,1410010,14,001,01,#,7.4,#,6.5,#,1.6,#,4.3,#,10,E,99999,E,99999
1410010015,1985,1410010,14,001,01,#,7.7,#,7.2,#,1.7,#,3.1,#,9,E,99999,E,99999
1410010016,1985,1410010,14,001,01,#,7.7,#,5.9,#,1.7,#,3.9,#,11,E,99999,E,99999
1410010017,1985,1410010,14,001,01,#,7.7,#,7.3,#,3,#,6.7,#,9,E,99999,E,99999
1410010018,1985,1410010,14,001,01,#,8.1,#,7.9,#,3,#,7.7,#,11,E,99999,E,99999
1410010019,1985,1410010,14,001,01,#,7.8,#,6.9,#,3.6,#,7.2,#,12,E,99999,E,99999
1410010020,1985,1410010,14,001,01,#,7.8,#,5.3,#,2.8,#,6.8,#,7,E,99999,E,99999
1410010021,1985,1410010,14,001,01,#,7.9,#,5.6,#,2,#,4.8,#,6,E,99999,E,99999
1410010022,1985,1410010,14,001,01,#,7.7,#,6,#,2.8,#,5.6,#,11,E,99999,E,99999
1410010023,1985,1410010,14,001,01,#,7.7,#,6,#,2.1,#,4.4,#,6,E,99999,E,99999
1410010024,1985,1410010,14,001,01,#,7.7,#,4.3,#,1.8,#,4.7,#,6,E,99999,E,99999
1410010025,1985,1410010,14,001,01,#,7.5,#,5.4,#,0.7,#,3.9,#,4,E,99999,E,99999
1410010026,1985,1410010,14,001,01,#,7.6,#,7.4,#,1,#,3.6,#,6,E,99999,E,99999
1410010027,1985,1410010,14,001,01,#,7.6,#,6,#,1.2,#,4.6,#,5,E,99999,E,99999
1410010028,1985,1410010,14,001,01,#,7.6,#,5.1,#,1.3,#,4.5,#,3,E,99999,E,99999
1410010029,1985,1410010,14,001,01,#,7.4,#,6.1,#,1.2,#,4.9,#,8,E,99999,E,99999
1410010030,1985,1410010,14,001,01,#,7.6,#,6.7,#,1.8,#,5.1,#,13,E,99999,E,99999
1410010031,1985,1410010,14,001,01,#,7.5,#,5.9,#,1.7,#,4.5,#,8,E,99999,E,99999
1410010032,1985,1410010,14,001,01,#,7.6,#,4.8,#,1.6,#,4.1,#,11,E,99999,E,99999
1410010033,1985,1410010,14,001,01,#,7.5,#,6.4,#,2.1,#,5.4,#,8,E,99999,E,99999
1410010034,1985,1410010,14,001,01,#,7.5,#,6.7,#,1.8,#,6.1,#,8,E,99999,E,99999
1410010035,1985,1410010,14,001,01,#,7.4,#,6.6,#,2.2,#,6.4,#,9,E,99999,E,99999
1410010036,1985,1410010,14,001,01,#,7.5,#,6.7,#,2.1,#,6.5,#,7,E,99999,E,99999
1410010037,1985,1410010,14,001,01,#,7.6,#,9.5,#,2.6,#,7,#,5,E,99999,E,99999
1410010038,1985,1410010,14,001,01,#,7.8,#,10,#,2,#,5.8,#,7,E,99999,E,99999
1410010039,1985,1410010,14,001,01,#,7.6,#,8,#,3.4,#,6.6,#,5,E,99999,E,99999
1410010040,1985,1410010,14,001,01,#,7.8,#,8.2,#,1.5,#,3.5,#,6,E,99999,E,99999
1410010041,1985,1410010,14,001,01,#,7.6,#,10,#,2.1,#,7.6,#,7,E,99999,E,99999
1410010042,1985,1410010,14,001,01,#,7.6,#,8.9,#,3.7,#,10,#,8,E,99999,E,99999
1410010043,1985,1410010,14,001,01,#,7.6,#,9.4,#,3.2,#,8.5,#,12,E,99999,E,99999
1410010044,1985,1410010,14,001,01,#,7.6,#,9.5,#,3.1,#,7.4,#,10,E,99999,E,99999
1410010045,1985,1410010,14,001,01,#,7.9,#,11,#,2.4,#,7.8,#,7,E,99999,E,99999
1410010046,1985,1410010,14,001,01,#,8.3,#,15,#,2.9,#,8.6,#,11,E,99999,E,99999
1410010047,1985,1410010,14,001,01,#,8.1,#,12,#,2.6,#,6.7,#,10,E,99999,E,99999
1410010048,1985,1410010,14,001,01,#,8.1,#,12,#,2.3,#,7.3,#,7,E,99999,E,99999
1410020001,1985,1410020,14,001,51,#,7.2,#,7.8,#,1.9,#,5.6,#,4,E,99999,E,99999
1410020002,1985,1410020,14,001,51,#,7.2,#,7.8,#,2,#,6.7,#,7,E,99999,E,99999
1410020003,1985,1410020,14,001,51,#,7.3,#,7.3,#,2.7,#,6,#,11,E,99999,E,99999
1410020004,1985,1410020,14,001,51,#,7.2,#,8.1,#,1.8,#,5.4,#,5,E,99999,E,99999
1410020005,1985,1410020,14,001,51,#,7.4,#,5.7,#,5.3,#,7.8,#,10,E,99999,E,99999
1410020006,1985,1410020,14,001,51,#,7.5,#,5.1,#,3.1,#,5.6,#,11,E,99999,E,99999
1410020007,1985,1410020,14,001,51,#,7.6,#,4.7,#,3.2,#,5.2,#,9,E,99999,E,99999
1410020008,1985,1410020,14,001,51,#,7.5,#,4.4,#,4,#,6.1,#,9,E,99999,E,99999
1410020009,1985,1410020,14,001,51,#,7.8,#,8,#,4.8,#,8.9,#,12,E,99999,E,99999
1410020010,1985,1410020,14,001,51,#,8.2,#,7.7,#,5.1,#,9.7,#,24,E,99999,E,99999
1410020011,1985,1410020,14,001,51,#,8.2,#,7.9,#,4.6,#,9.9,#,14,E,99999,E,99999
1410020012,1985,1410020,14,001,51,#,7.9,#,7.4,#,4.5,#,10,#,9,E,99999,E,99999
1410020013,1985,1410020,14,001,51,#,7.4,#,7.5,#,1.9,#,4.4,#,8,E,99999,E,99999
1410020014,1985,1410020,14,001,51,#,7.5,#,7.5,#,1.9,#,3.8,#,8,E,99999,E,99999
1410020015,1985,1410020,14,001,51,#,7.4,#,7.3,#,2.6,#,5.7,#,6,E,99999,E,99999
1410020016,1985,1410020,14,001,51,#,7.6,#,6.5,#,2.1,#,4,#,6,E,99999,E,99999
1410020017,1985,1410020,14,001,51,#,7.5,#,7.4,#,5.9,#,9.1,#,23,E,99999,E,99999
1410020018,1985,1410020,14,001,51,#,8.2,#,8.8,#,6.1,#,6.7,#,14,E,99999,E,99999
1410020019,1985,1410020,14,001,51,#,7.9,#,5.9,#,2.7,#,6,#,10,E,99999,E,99999
1410020020,1985,1410020,14,001,51,#,7.7,#,5.9,#,6.7,#,7.4,#,12,E,99999,E,99999
1410020021,1985,1410020,14,001,51,#,7.7,#,6.3,#,2.4,#,5.6,#,7,E,99999,E,99999
1410020022,1985,1410020,14,001,51,#,7.6,#,6.2,#,2.4,#,6.8,#,10,E,99999,E,99999
1410020023,1985,1410020,14,001,51,#,7.7,#,6,#,2.1,#,5.6,#,5,E,99999,E,99999
1410020024,1985,1410020,14,001,51,#,7.6,#,5.4,#,2,#,6.3,#,7,E,99999,E,99999
1410020025,1985,1410020,14,001,51,#,7.6,#,6.2,#,1,#,4.3,#,3,E,99999,E,99999
1410020026,1985,1410020,14,001,51,#,7.5,#,6.6,#,1.5,#,5.6,#,4,E,99999,E,99999
1410020027,1985,1410020,14,001,51,#,7.5,#,6.4,#,1.1,#,5.2,#,3,E,99999,E,99999
1410020028,1985,1410020,14,001,51,#,7.5,#,5.8,#,1.1,#,4.8,#,3,E,99999,E,99999
1410020029,1985,1410020,14,001,51,#,7.4,#,6.6,#,2.1,#,5.3,#,9,E,99999,E,99999
1410020030,1985,1410020,14,001,51,#,7.5,#,7,#,1.9,#,4.3,#,6,E,99999,E,99999
1410020031,1985,1410020,14,001,51,#,7.5,#,7.3,#,2.6,#,6.9,#,5,E,99999,E,99999
1410020032,1985,1410020,14,001,51,#,7.4,#,6.9,#,2,#,4.2,#,7,E,99999,E,99999
1410020033,1985,1410020,14,001,51,#,7.4,#,6.9,#,2.8,#,7.6,#,6,E,99999,E,99999
1410020034,1985,1410020,14,001,51,#,7.5,#,7.9,#,3,#,6.6,#,6,E,99999,E,99999
1410020035,1985,1410020,14,001,51,#,7.5,#,8.5,#,3,#,7.6,#,6,E,99999,E,99999
1410020036,1985,1410020,14,001,51,#,7.5,#,8.1,#,3.7,#,8.4,#,6,E,99999,E,99999
1410020037,1985,1410020,14,001,51,#,7.7,#,9.1,#,3.5,#,6.7,#,5,E,99999,E,99999
1410020038,1985,1410020,14,001,51,#,7.6,#,8.7,#,3.8,#,7.1,#,5,E,99999,E,99999
1410020039,1985,1410020,14,001,51,#,7.7,#,8.5,#,4.3,#,8.7,#,4,E,99999,E,99999
1410020040,1985,1410020,14,001,51,#,7.7,#,7.9,#,3.1,#,6.1,#,6,E,99999,E,99999
1410020041,1985,1410020,14,001,51,#,7.4,#,9.6,#,3.4,#,9.2,#,6,E,99999,E,99999
1410020042,1985,1410020,14,001,51,#,7.5,#,9.1,#,3.7,#,10,#,8,E,99999,E,99999
1410020043,1985,1410020,14,001,51,#,7.5,#,9.1,#,4,#,12,#,9,E,99999,E,99999
1410020044,1985,1410020,14,001,51,#,7.5,#,9.1,#,4,#,11,#,8,E,99999,E,99999
1410020045,1985,1410020,14,001,51,#,7.7,#,13,#,3.9,#,10,#,12,E,99999,E,99999
1410020046,1985,1410020,14,001,51,#,7.6,#,10,#,3.5,#,8.2,#,6,E,99999,E,99999
1410020047,1985,1410020,14,001,51,#,7.9,#,12,#,3.5,#,9.3,#,8,E,99999,E,99999
1410020048,1985,1410020,14,001,51,#,7.7,#,11,#,3.6,#,8.1,#,6,E,99999,E,99999
1410030001,1985,1410030,14,001,52,#,7.6,#,9.5,#,2.8,#,4.6,#,9,#,22000,E,99999
1410030002,1985,1410030,14,001,52,#,7.6,#,9.8,#,3.1,#,5,#,6,E,99999,E,99999
1410030003,1985,1410030,14,001,52,#,7.6,#,8.3,#,3.9,#,4.9,#,9,E,99999,E,99999
1410030004,1985,1410030,14,001,52,#,7.6,#,7.2,#,6.8,#,8,#,13,E,99999,E,99999
1410030005,1985,1410030,14,001,52,#,7.1,#,6.6,#,6.3,#,8.1,#,7,#,33000,E,99999
1410030006,1985,1410030,14,001,52,#,7.1,#,6.8,#,5,#,8.1,#,9,E,99999,E,99999
1410030007,1985,1410030,14,001,52,#,7.3,#,7.9,#,4.5,#,7,#,5,E,99999,E,99999
1410030008,1985,1410030,14,001,52,#,7.3,#,7.5,#,5.8,#,7.9,#,6,E,99999,E,99999
1410030009,1985,1410030,14,001,52,#,7.2,#,7.5,#,7.5,#,11,#,11,#,33000,E,99999
1410030010,1985,1410030,14,001,52,#,7.9,#,14,#,6.2,#,11,#,14,E,99999,E,99999
1410030011,1985,1410030,14,001,52,#,7.3,#,7.1,#,5.8,#,8.8,#,7,E,99999,E,99999
1410030012,1985,1410030,14,001,52,#,7.4,#,6.5,#,5.3,#,8.8,#,8,E,99999,E,99999
1410030013,1985,1410030,14,001,52,#,7.3,#,8,#,1.7,#,3.7,#,3,#,79000,E,99999
1410030014,1985,1410030,14,001,52,#,7.5,#,7.6,#,2.2,#,4.2,#,3,E,99999,E,99999
1410030015,1985,1410030,14,001,52,#,7.5,#,7.3,#,2.7,#,4.3,#,2,E,99999,E,99999
1410030016,1985,1410030,14,001,52,#,7.1,#,6.9,#,2.8,#,3.7,#,3,E,99999,E,99999
1410030017,1985,1410030,14,001,52,#,7.2,#,7.1,#,2.8,#,7.3,#,6,#,33000,N,
1410030018,1985,1410030,14,001,52,#,7.3,#,9,#,3.4,#,7.8,#,8,E,99999,E,99999
1410030019,1985,1410030,14,001,52,#,7.5,#,7.5,#,2.6,#,7.6,#,8,E,99999,N,
1410030020,1985,1410030,14,001,52,#,7,#,5.8,#,3.7,#,8.7,#,16,E,99999,E,99999
1410030021,1985,1410030,14,001,52,#,7,#,5.7,#,3.3,#,6.5,#,5,#,490000,E,99999
1410030022,1985,1410030,14,001,52,#,7,#,6.1,#,5.5,#,6.7,#,6,E,99999,E,99999
1410030023,1985,1410030,14,001,52,#,7,#,5.9,#,4.6,#,6.2,#,4,E,99999,E,99999
1410030024,1985,1410030,14,001,52,#,7,#,5.2,#,5.5,#,6.7,#,8,E,99999,E,99999
1410030025,1985,1410030,14,001,52,#,7.4,#,6.6,#,3.5,#,5.3,#,2,#,170000,E,99999
1410030026,1985,1410030,14,001,52,#,7.4,#,7,#,2.1,#,5.2,<,1,E,99999,E,99999
1410030027,1985,1410030,14,001,52,#,7.4,#,7.1,#,3.5,#,6,#,2,E,99999,E,99999
1410030028,1985,1410030,14,001,52,#,7.4,#,6.4,#,3.2,#,5.7,#,3,E,99999,E,99999
1410030029,1985,1410030,14,001,52,#,7.2,#,7.4,#,4.6,#,6.2,#,4,#,79000,E,99999
1410030030,1985,1410030,14,001,52,#,7.2,#,6.9,#,2.1,#,5.7,#,3,E,99999,E,99999
1410030031,1985,1410030,14,001,52,#,7.3,#,7.9,#,7.4,#,6.2,#,4,E,99999,E,99999
