レコードID,測定年度,絶対番号,都道府県コード,水域コード,地点コード,全窒素_C,全窒素(mg/l),全燐_C,全燐(mg/l)
1410010001,1994,1410010,14,001,01,#,5.8,#,0.54
1410010005,1994,1410010,14,001,01,#,6.3,#,0.56
1410010009,1994,1410010,14,001,01,#,6.2,#,0.46
1410010013,1994,1410010,14,001,01,#,6.2,#,0.44
1410010017,1994,1410010,14,001,01,#,4.9,#,0.7
1410010021,1994,1410010,14,001,01,#,5.4,#,0.43
1410010025,1994,1410010,14,001,01,#,6.2,#,0.35
1410010029,1994,1410010,14,001,01,#,7.1,#,0.52
1410010033,1994,1410010,14,001,01,#,7.9,#,0.52
1410010037,1994,1410010,14,001,01,#,6.1,#,0.59
1410010041,1994,1410010,14,001,01,#,7.2,#,0.65
1410010045,1994,1410010,14,001,01,#,6.7,#,0.5
1410020001,1994,1410020,14,001,51,#,5.7,#,0.51
1410020005,1994,1410020,14,001,51,#,6.5,#,0.53
1410020009,1994,1410020,14,001,51,#,6.1,#,0.43
1410020013,1994,1410020,14,001,51,#,6,#,0.44
1410020017,1994,1410020,14,001,51,#,4.6,#,0.69
1410020021,1994,1410020,14,001,51,#,5.4,#,0.58
1410020025,1994,1410020,14,001,51,#,6,#,0.44
1410020029,1994,1410020,14,001,51,#,6.7,#,0.46
1410020033,1994,1410020,14,001,51,#,7,#,0.47
1410020037,1994,1410020,14,001,51,#,6,#,0.59
1410020041,1994,1410020,14,001,51,#,7.8,#,0.72
1410020045,1994,1410020,14,001,51,#,6.8,#,0.5
1410040001,1994,1410040,14,002,01,#,6.1,#,0.44
1410040005,1994,1410040,14,002,01,#,6.2,#,0.52
1410040009,1994,1410040,14,002,01,#,5.4,#,0.4
1410040013,1994,1410040,14,002,01,#,5.9,#,0.45
1410040017,1994,1410040,14,002,01,#,3.3,#,0.46
1410040025,1994,1410040,14,002,01,#,4.6,#,0.4
1410040029,1994,1410040,14,002,01,#,4.9,#,0.3
1410040033,1994,1410040,14,002,01,#,5.1,#,0.33
1410040037,1994,1410040,14,002,01,#,7.4,#,0.54
1410040041,1994,1410040,14,002,01,#,7,#,0.6
1410040045,1994,1410040,14,002,01,#,8.2,#,0.63
1410040053,1994,1410040,14,002,01,#,6.9,#,0.54
1410050001,1994,1410050,14,002,02,#,7.4,#,0.88
1410050005,1994,1410050,14,002,02,#,8.7,#,0.69
1410050009,1994,1410050,14,002,02,#,7.9,#,0.66
1410050013,1994,1410050,14,002,02,#,6.8,#,0.65
1410050017,1994,1410050,14,002,02,#,5.9,#,0.74
1410050021,1994,1410050,14,002,02,#,7.1,#,0.82
1410050025,1994,1410050,14,002,02,#,4.9,#,0.38
1410050029,1994,1410050,14,002,02,#,6.1,#,0.5
1410050033,1994,1410050,14,002,02,#,8.4,#,0.86
1410050037,1994,1410050,14,002,02,#,8.4,#,0.81
1410050041,1994,1410050,14,002,02,#,9.6,#,0.98
1410050045,1994,1410050,14,002,02,#,8.6,#,0.92
1410060001,1994,1410060,14,002,51,#,6.6,#,0.5
1410060005,1994,1410060,14,002,51,#,6.2,#,0.5
