レコードID,測定年度,絶対番号,都道府県コード,水域コード,地点コード,全窒素_C,全窒素(mg/l),全燐_C,全燐(mg/l)
1210010001,1995,1210010,12,001,01,#,2,#,0.1
1210010004,1995,1210010,12,001,01,#,1.1,#,0.093
1210010007,1995,1210010,12,001,01,#,1.8,#,0.11
1210010010,1995,1210010,12,001,01,#,2.8,#,0.13
1210010013,1995,1210010,12,001,01,#,2.7,#,0.13
1210010016,1995,1210010,12,001,01,#,2.4,#,0.12
1210010019,1995,1210010,12,001,01,#,3.5,#,0.15
1210010022,1995,1210010,12,001,01,#,3.4,#,0.14
1210010025,1995,1210010,12,001,01,#,3.2,#,0.14
1210010028,1995,1210010,12,001,01,#,3.4,#,0.14
1210010031,1995,1210010,12,001,01,#,3.9,#,0.2
1210010034,1995,1210010,12,001,01,#,3.4,#,0.2
1210020001,1995,1210020,12,001,02,#,2,#,0.1
1210020004,1995,1210020,12,001,02,#,1.4,#,0.1
1210020007,1995,1210020,12,001,02,#,1.9,#,0.094
1210020010,1995,1210020,12,001,02,#,3,#,0.13
1210020013,1995,1210020,12,001,02,#,2.7,#,0.11
1210020016,1995,1210020,12,001,02,#,2.6,#,0.12
1210020019,1995,1210020,12,001,02,#,3.4,#,0.15
1210020022,1995,1210020,12,001,02,#,3.5,#,0.16
1210020025,1995,1210020,12,001,02,#,3.5,#,0.17
1210020028,1995,1210020,12,001,02,#,3.8,#,0.15
1210020031,1995,1210020,12,001,02,#,4.1,#,0.22
1210020034,1995,1210020,12,001,02,#,3.6,#,0.2
1210030001,1995,1210030,12,001,51,#,1.9,#,0.091
1210030003,1995,1210030,12,001,51,#,1.1,#,0.089
1210030005,1995,1210030,12,001,51,#,1.7,#,0.085
1210030007,1995,1210030,12,001,51,#,3,#,0.13
1210030009,1995,1210030,12,001,51,#,2.5,#,0.1
1210030011,1995,1210030,12,001,51,#,2.4,#,0.086
1210030013,1995,1210030,12,001,51,#,3.2,#,0.15
1210030015,1995,1210030,12,001,51,#,3.1,#,0.1
1210030017,1995,1210030,12,001,51,#,3,#,0.13
1210030019,1995,1210030,12,001,51,#,3,#,0.11
1210030021,1995,1210030,12,001,51,#,3.4,#,0.16
1210030023,1995,1210030,12,001,51,#,2.9,#,0.15
1210040001,1995,1210040,12,001,52,#,1.9,#,0.1
1210040004,1995,1210040,12,001,52,#,1.1,#,0.092
1210040007,1995,1210040,12,001,52,#,1.7,#,0.087
1210040010,1995,1210040,12,001,52,#,3,#,0.12
1210040013,1995,1210040,12,001,52,#,2.6,#,0.11
1210040016,1995,1210040,12,001,52,#,2.4,#,0.11
1210040019,1995,1210040,12,001,52,#,3.3,#,0.14
1210040022,1995,1210040,12,001,52,#,3.1,#,0.1
1210040025,1995,1210040,12,001,52,#,2.9,#,0.12
1210040028,1995,1210040,12,001,52,#,3.1,#,0.11
1210040031,1995,1210040,12,001,52,#,3.6,#,0.2
1210040034,1995,1210040,12,001,52,#,3.4,#,0.17
1210050001,1995,1210050,12,001,53,#,2,#,0.15
1210050004,1995,1210050,12,001,53,#,1.1,#,0.076
1210050007,1995,1210050,12,001,53,#,1.9,#,0.087
1210050010,1995,1210050,12,001,53,#,2.9,#,0.13
1210050013,1995,1210050,12,001,53,#,2.7,#,0.12
1210050016,1995,1210050,12,001,53,#,2.7,#,0.14
1210050019,1995,1210050,12,001,53,#,3.8,#,0.3
1210050022,1995,1210050,12,001,53,#,3.6,#,0.17
1210050025,1995,1210050,12,001,53,#,3.8,#,0.22
1210050028,1995,1210050,12,001,53,#,4,#,0.18
1210050031,1995,1210050,12,001,53,#,4.4,#,0.23
1210050034,1995,1210050,12,001,53,#,3.9,#,0.2
1210060001,1995,1210060,12,002,01,#,2.3,#,0.13
1210060004,1995,1210060,12,002,01,#,1.5,#,0.11
1210060007,1995,1210060,12,002,01,#,2.1,#,0.1
1210060010,1995,1210060,12,002,01,#,3,#,0.12
1210060013,1995,1210060,12,002,01,#,2.4,#,0.11
1210060016,1995,1210060,12,002,01,#,2.7,#,0.11
1210060019,1995,1210060,12,002,01,#,3.4,#,0.14
1210060022,1995,1210060,12,002,01,#,3.3,#,0.13
1210060025,1995,1210060,12,002,01,#,3.4,#,0.13
1210060028,1995,1210060,12,002,01,#,3.8,#,0.18
1210060031,1995,1210060,12,002,01,#,4.2,#,0.2
1210060034,1995,1210060,12,002,01,#,4.1,#,0.21
1210070001,1995,1210070,12,002,51,#,2,#,0.1
1210070003,1995,1210070,12,002,51,#,1.3,#,0.081
1210070005,1995,1210070,12,002,51,#,3.3,#,0.2
1210070007,1995,1210070,12,002,51,#,3,#,0.1
1210070009,1995,1210070,12,002,51,#,2.7,#,0.1
1210070011,1995,1210070,12,002,51,#,2.7,#,0.11
1210070013,1995,1210070,12,002,51,#,3.2,#,0.15
1210070015,1995,1210070,12,002,51,#,3.7,#,0.16
1210070017,1995,1210070,12,002,51,#,3.5,#,0.17
1210070019,1995,1210070,12,002,51,#,3.7,#,0.16
1210070021,1995,1210070,12,002,51,#,4.1,#,0.18
1210070023,1995,1210070,12,002,51,#,4.3,#,0.21
1210090001,1995,1210090,12,003,01,#,1.7,#,0.22
1210090004,1995,1210090,12,003,01,#,1.5,#,0.15
1210090007,1995,1210090,12,003,01,#,1.7,#,0.33
1210090010,1995,1210090,12,003,01,#,1.5,#,0.17
1210090013,1995,1210090,12,003,01,#,1,#,0.14
1210090016,1995,1210090,12,003,01,#,1.8,#,0.24
1210090019,1995,1210090,12,003,01,#,1.4,#,0.18
1210090022,1995,1210090,12,003,01,#,1.3,#,0.15
1210090025,1995,1210090,12,003,01,#,1.4,#,0.14
1210090028,1995,1210090,12,003,01,#,2.1,#,0.17
1210090031,1995,1210090,12,003,01,#,1.6,#,0.11
1210090034,1995,1210090,12,003,01,#,2.3,#,0.22
1210100002,1995,1210100,12,004,01,#,4.2,#,0.22
1210100005,1995,1210100,12,004,01,#,3,#,0.15
1210100009,1995,1210100,12,004,01,#,3.9,#,0.16
1210100013,1995,1210100,12,004,01,#,3.4,#,0.1
1210100017,1995,1210100,12,004,01,#,3.5,#,0.13
1210100021,1995,1210100,12,004,01,#,3.3,#,0.12
1210100025,1995,1210100,12,004,01,#,3.7,#,0.14
1210100029,1995,1210100,12,004,01,#,3.9,#,0.12
1210100033,1995,1210100,12,004,01,#,5,#,0.16
1210100037,1995,1210100,12,004,01,#,5.5,#,0.27
1210100041,1995,1210100,12,004,01,#,5.6,#,0.28
1210100045,1995,1210100,12,004,01,#,6,#,0.32
1210110001,1995,1210110,12,005,02,#,0.94,#,0.11
1210110002,1995,1210110,12,005,02,#,1.4,#,0.094
1210110003,1995,1210110,12,005,02,#,0.73,#,0.082
1210110004,1995,1210110,12,005,02,#,1,#,0.11
1210110005,1995,1210110,12,005,02,#,1,#,0.15
1210110006,1995,1210110,12,005,02,#,1,#,0.14
1210110007,1995,1210110,12,005,02,#,1.1,#,0.12
1210110008,1995,1210110,12,005,02,#,1.5,#,0.11
1210110009,1995,1210110,12,005,02,#,1.6,#,0.15
1210110010,1995,1210110,12,005,02,#,1.6,#,0.16
1210110011,1995,1210110,12,005,02,#,1.5,#,0.15
1210110012,1995,1210110,12,005,02,#,1.5,#,0.14
1210120002,1995,1210120,12,006,01,#,1.2,#,0.12
1210120004,1995,1210120,12,006,01,#,1.1,#,0.12
1210120006,1995,1210120,12,006,01,#,1.2,#,0.21
1210120008,1995,1210120,12,006,01,#,1.1,#,0.08
1210120010,1995,1210120,12,006,01,#,1.6,#,0.15
1210120012,1995,1210120,12,006,01,#,1.7,#,0.15
1210130001,1995,1210130,12,007,01,#,1.6,#,0.15
1210130002,1995,1210130,12,007,01,#,1.1,#,0.11
1210130003,1995,1210130,12,007,01,#,1.2,#,0.11
1210130004,1995,1210130,12,007,01,#,1.2,#,0.11
1210130005,1995,1210130,12,007,01,#,1.4,#,0.2
1210130006,1995,1210130,12,007,01,#,1.4,#,0.29
1210130007,1995,1210130,12,007,01,#,1.3,#,0.11
1210130008,1995,1210130,12,007,01,#,1.1,#,0.089
1210130009,1995,1210130,12,007,01,#,1.5,#,0.1
1210130010,1995,1210130,12,007,01,#,1.8,#,0.12
1210130011,1995,1210130,12,007,01,#,1.8,#,0.11
1210130012,1995,1210130,12,007,01,#,1.8,#,0.17
1210140001,1995,1210140,12,008,01,#,2.1,#,0.096
1210140003,1995,1210140,12,008,01,#,2,#,0.087
1210140005,1995,1210140,12,008,01,#,2,#,0.089
1210140007,1995,1210140,12,008,01,#,2.2,#,0.094
1210140009,1995,1210140,12,008,01,#,2.1,#,0.09
1210140011,1995,1210140,12,008,01,#,2.1,#,0.1
1210140013,1995,1210140,12,008,01,#,2.7,#,0.16
1210140015,1995,1210140,12,008,01,#,3.2,#,0.11
1210140017,1995,1210140,12,008,01,#,2.9,#,0.12
1210150001,1995,1210150,12,008,02,#,2.8,#,0.1
1210150003,1995,1210150,12,008,02,#,2.6,#,0.087
