レコードID,測定年度,絶対番号,都道府県コード,水域コード,地点コード,採取_年,採取_月日,採取_時分,調査区分コード,採取位置コード,採取水深(m),天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度_C,透明度(m)
1310010001,2003,1310010,13,001,01,2003,0417,1030,0,01,0.68,99,99,999,999,20,15.8,130.14,3.4,E,99999
1310010002,2003,1310010,13,001,01,2003,0417,1030,2,01,0.68,99,99,999,999,20,15.8,130.14,3.4,E,99999
1310010003,2003,1310010,13,001,01,2003,0417,1450,2,01,0.62,99,99,999,999,19.5,17.1,115.88,3.1,E,99999
1310010004,2003,1310010,13,001,01,2003,0417,2000,2,01,0.84,99,99,999,999,16.3,14.5,146.08,4.2,E,99999
1310010005,2003,1310010,13,001,01,2003,0513,1030,0,01,0.82,99,99,999,999,22.2,18.9,59.23,4.1,E,99999
1310010006,2003,1310010,13,001,01,2003,0513,1030,2,01,0.82,99,99,999,999,22.2,18.9,59.23,4.1,E,99999
1310010007,2003,1310010,13,001,01,2003,0513,1450,2,01,0.82,99,99,999,999,22.8,18.3,82.13,4.1,E,99999
1310010008,2003,1310010,13,001,01,2003,0513,2000,2,01,0.78,99,99,999,999,17.1,17.2,152.78,3.9,E,99999
1310010009,2003,1310010,13,001,01,2003,0604,1030,0,01,0.81,99,99,999,999,23.6,20.5,54.29,4.05,E,99999
1310010010,2003,1310010,13,001,01,2003,0604,1030,2,01,0.81,99,99,999,999,23.6,20.5,54.29,4.05,E,99999
1310010011,2003,1310010,13,001,01,2003,0604,1450,2,01,0.81,99,99,999,999,21.8,19.7,41.95,4.05,E,99999
1310010012,2003,1310010,13,001,01,2003,0604,2000,2,01,0.8,99,99,999,999,15.9,18.2,18.07,4,E,99999
1310010013,2003,1310010,13,001,01,2003,0701,1000,0,01,0.79,99,99,999,999,23,22.8,30.67,3.95,E,99999
1310010014,2003,1310010,13,001,01,2003,0701,1000,2,01,0.79,99,99,999,999,23,22.8,30.67,3.95,E,99999
1310010015,2003,1310010,13,001,01,2003,0701,1400,2,01,0.8,99,99,999,999,24.2,22.8,38.33,4,E,99999
1310010016,2003,1310010,13,001,01,2003,0701,1800,2,01,0.79,99,99,999,999,21.4,22.2,38.46,3.95,E,99999
