レコードID,測定年度,絶対番号,都道府県コード,水域コード,地点コード,採取_年,採取_月日,採取_時分,調査区分コード,採取位置コード,採取水深(m),天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度_C,透明度(m)
1310010001,1992,1310010,13,001,01,1992,0414,1010,2,01,5.8,02,99,999,999,13.8,11.6,157.3,2.9,E,99999
1310010002,1992,1310010,13,001,01,1992,0414,1510,2,01,6.8,04,99,999,999,15.8,12.3,87.83,3.4,E,99999
1310010003,1992,1310010,13,001,01,1992,0414,2050,2,01,6,04,99,999,999,9.7,11.3,152.4,3,E,99999
1310010004,1992,1310010,13,001,01,1992,0512,0920,2,01,5.9,02,99,999,999,16.2,14.8,31.76,2.95,E,99999
1310010005,1992,1310010,13,001,01,1992,0512,1500,2,01,6.7,02,99,999,999,20.8,16.8,35.01,3.35,E,99999
1310010006,1992,1310010,13,001,01,1992,0512,2050,2,01,7.3,02,99,999,999,13.9,15.7,26.28,3.65,E,99999
1310010007,1992,1310010,13,001,01,1992,0609,0950,2,01,6.8,16,99,999,999,23.6,19.5,217.1,3.4,E,99999
1310010008,1992,1310010,13,001,01,1992,0609,1455,2,01,7.3,04,99,999,999,26,19.8,236.3,3.65,E,99999
1310010009,1992,1310010,13,001,01,1992,0609,2045,2,01,6.5,04,99,999,999,20.2,19.7,214.6,3.25,E,99999
1310010010,1992,1310010,13,001,01,1992,0707,1000,2,01,7.3,04,99,999,999,25.6,22.5,30.44,3.65,E,99999
1310010011,1992,1310010,13,001,01,1992,0707,1400,2,01,7,04,99,999,999,27.6,22.9,110.1,3.5,E,99999
1310010012,1992,1310010,13,001,01,1992,0707,1800,2,01,7.4,04,99,999,999,23,23.6,32.13,3.7,E,99999
1310010013,1992,1310010,13,001,01,1992,0707,2200,2,01,7.9,04,99,999,999,20.7,23.4,30.37,3.95,E,99999
1310010014,1992,1310010,13,001,01,1992,0708,0200,2,01,7.5,04,99,999,999,18.8,23.2,101.5,3.75,E,99999
1310010015,1992,1310010,13,001,01,1992,0708,0600,2,01,7.5,16,99,999,999,19.5,22.8,33.99,3.75,E,99999
1310010016,1992,1310010,13,001,01,1992,0708,1000,2,01,7.8,02,99,999,999,24.6,23.3,64.25,3.9,E,99999
1310010017,1992,1310010,13,001,01,1992,0804,0950,2,01,7.1,04,99,999,999,21.8,21.6,122.1,3.55,E,99999
1310010018,1992,1310010,13,001,01,1992,0804,1510,2,01,6.3,04,99,999,999,22.8,21.8,151.4,3.15,E,99999
1310010019,1992,1310010,13,001,01,1992,0804,2100,2,01,7.8,04,99,999,999,20.3,20.8,93.36,3.9,E,99999
1310010020,1992,1310010,13,001,01,1992,0901,0950,2,01,7.4,02,99,999,999,30.6,27.8,71.3,3.7,E,99999
1310010021,1992,1310010,13,001,01,1992,0901,1455,2,01,7,02,99,999,999,32.8,28.2,49.03,3.5,E,99999
1310010022,1992,1310010,13,001,01,1992,0901,2100,2,01,8.3,02,99,999,999,25.6,27.1,54.95,4.15,E,99999
1310010023,1992,1310010,13,001,01,1992,1006,0955,2,01,6.8,02,99,999,999,16.7,18.8,24.51,3.4,E,99999
