レコードID,測定年度,絶対番号,都道府県コード,水域コード,地点コード,採取_年,採取_月日,採取_時分,調査区分コード,採取位置コード,採取水深(m),天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度_C,透明度(m)
1410010001,1995,1410010,14,001,01,1995,0411,1100,2,01,9,03,99,999,999,11.5,14.8,99999,4.5,E,99999
1410010002,1995,1410010,14,001,01,1995,0411,1700,2,01,8,03,99,999,999,13,15.4,99999,4.3,E,99999
1410010003,1995,1410010,14,001,01,1995,0411,2300,2,01,8,03,99,999,999,11.7,14.5,99999,4.3,E,99999
1410010004,1995,1410010,14,001,01,1995,0412,0500,2,01,9,03,99,999,999,9.3,14,99999,4.6,E,99999
1410010005,1995,1410010,14,001,01,1995,0509,1100,2,01,9,02,99,999,999,24,23.5,99999,4.8,E,99999
1410010006,1995,1410010,14,001,01,1995,0509,1700,2,01,8,02,99,999,999,24.1,23.9,99999,4.4,E,99999
1410010007,1995,1410010,14,001,01,1995,0509,2300,2,01,9,02,99,999,999,20,22.5,99999,4.9,E,99999
1410010008,1995,1410010,14,001,01,1995,0510,0500,2,01,9,02,99,999,999,18.2,20.8,99999,4.6,E,99999
1410010009,1995,1410010,14,001,01,1995,0606,1100,2,01,8,02,99,999,999,24,21.5,99999,4,E,99999
1410010010,1995,1410010,14,001,01,1995,0606,1700,2,01,7,04,99,999,999,22.5,22,99999,3.6,E,99999
1410010011,1995,1410010,14,001,01,1995,0606,2300,2,01,8,04,99,999,999,17,19,99999,4.4,E,99999
1410010012,1995,1410010,14,001,01,1995,0607,0500,2,01,7,04,99,999,999,16.7,18,99999,3.7,E,99999
1410010013,1995,1410010,14,001,01,1995,0711,1100,2,01,6,02,99,999,999,32,22.8,99999,3.2,E,99999
1410010014,1995,1410010,14,001,01,1995,0711,1700,2,01,9,02,99,999,999,32.1,23.9,99999,4.9,E,99999
1410010015,1995,1410010,14,001,01,1995,0711,2300,2,01,8,02,99,999,999,25.5,22.3,99999,4.2,E,99999
1410010016,1995,1410010,14,001,01,1995,0712,0500,2,01,9,04,99,999,999,24.1,21.6,99999,4.7,E,99999
1410010017,1995,1410010,14,001,01,1995,0801,1100,2,01,8,02,99,999,999,35,30.8,99999,4.4,E,99999
1410010018,1995,1410010,14,001,01,1995,0801,1700,2,01,9,02,99,999,999,34,31.3,99999,4.8,E,99999
1410010019,1995,1410010,14,001,01,1995,0801,2300,2,01,9,02,99,999,999,29.5,28.5,99999,4.8,E,99999
1410010020,1995,1410010,14,001,01,1995,0802,0500,2,01,9,02,99,999,999,28.5,27,99999,4.6,E,99999
1410010021,1995,1410010,14,001,01,1995,0905,1100,2,01,8,02,99,999,999,29.6,25.2,99999,4.3,E,99999
1410010022,1995,1410010,14,001,01,1995,0905,1700,2,01,9,02,99,999,999,28.7,26.2,99999,4.8,E,99999
1410010023,1995,1410010,14,001,01,1995,0905,2300,2,01,9,03,99,999,999,24.5,24.5,99999,4.7,E,99999
1410010024,1995,1410010,14,001,01,1995,0906,0500,2,01,8,03,99,999,999,22.7,24,99999,4.3,E,99999
1410010025,1995,1410010,14,001,01,1995,1003,1100,2,01,6,02,99,999,999,26.2,23,99999,3.4,E,99999
1410010026,1995,1410010,14,001,01,1995,1003,1700,2,01,7,02,99,999,999,25,24.1,99999,3.6,E,99999
1410010027,1995,1410010,14,001,01,1995,1003,2300,2,01,7,02,99,999,999,22.3,22.7,99999,3.85,E,99999
1410010028,1995,1410010,14,001,01,1995,1004,0500,2,01,6,02,99,999,999,21,22,99999,3,E,99999
1410010029,1995,1410010,14,001,01,1995,1107,1100,2,01,5,02,99,999,999,16.9,17.8,99999,2.9,E,99999
1410010030,1995,1410010,14,001,01,1995,1107,1700,2,01,7,02,99,999,999,16.9,18.4,99999,3.95,E,99999
1410010031,1995,1410010,14,001,01,1995,1107,2300,2,01,4,04,99,999,999,18.5,18,99999,2.21,E,99999
1410010032,1995,1410010,14,001,01,1995,1108,0500,2,01,7,03,99,999,999,16.5,18.1,99999,3.87,E,99999
1410010033,1995,1410010,14,001,01,1995,1205,1100,2,01,4,02,99,999,999,12,13.2,99999,2.45,E,99999
1410010034,1995,1410010,14,001,01,1995,1205,1700,2,01,5,02,99,999,999,14.5,13,99999,2.75,E,99999
1410010035,1995,1410010,14,001,01,1995,1205,2300,2,01,3,02,99,999,999,8.5,11,99999,1.65,E,99999
1410010036,1995,1410010,14,001,01,1995,1206,0500,2,01,6,02,99,999,999,6,9,99999,3.05,E,99999
1410010037,1995,1410010,14,001,01,1996,0109,1100,2,01,5,02,99,999,999,3.2,8,99999,2.9,E,99999
1410010038,1995,1410010,14,001,01,1996,0109,1700,2,01,6,02,99,999,999,3,7,99999,3.4,E,99999
1410010039,1995,1410010,14,001,01,1996,0109,2300,2,01,5,02,99,999,999,2,6.1,99999,2.5,E,99999
1410010040,1995,1410010,14,001,01,1996,0110,0500,2,01,6,02,99,999,999,2.1,6.2,99999,3.1,E,99999
1410010041,1995,1410010,14,001,01,1996,0206,1100,2,01,6,02,99,999,999,7,8.6,99999,3.1,E,99999
1410010042,1995,1410010,14,001,01,1996,0206,1700,2,01,8,02,99,999,999,5,6,99999,4.2,E,99999
1410010043,1995,1410010,14,001,01,1996,0206,2300,2,01,5,02,99,999,999,1.5,5,99999,2.7,E,99999
1410010044,1995,1410010,14,001,01,1996,0207,0500,2,01,7,02,99,999,999,1,6,99999,3.9,E,99999
1410010045,1995,1410010,14,001,01,1996,0305,1100,2,01,3,02,99,999,999,7.3,8.8,99999,1.9,E,99999
1410010046,1995,1410010,14,001,01,1996,0305,1700,2,01,6,02,99,999,999,6.2,8.3,99999,3.29,E,99999
1410010047,1995,1410010,14,001,01,1996,0305,2300,2,01,3,02,99,999,999,2.8,7.2,99999,1.52,E,99999
1410010048,1995,1410010,14,001,01,1996,0306,0500,2,01,6,02,99,999,999,1.4,6.3,99999,3.2,E,99999
1410020001,1995,1410020,14,001,51,1995,0411,1000,2,01,14,03,99,999,999,11.2,14.8,99999,7.4,E,99999
1410020002,1995,1410020,14,001,51,1995,0411,1600,2,01,15,03,99,999,999,13.1,15.3,99999,7.6,E,99999
1410020003,1995,1410020,14,001,51,1995,0411,2200,2,01,14,03,99,999,999,12.1,14.6,99999,7.2,E,99999
1410020004,1995,1410020,14,001,51,1995,0412,0400,2,01,15,04,99,999,999,9.3,14,99999,7.9,E,99999
1410020005,1995,1410020,14,001,51,1995,0509,1000,2,01,15,02,99,999,999,23.2,23.5,99999,7.6,E,99999
1410020006,1995,1410020,14,001,51,1995,0509,1600,2,01,14,02,99,999,999,26.3,24.2,99999,7.3,E,99999
1410020007,1995,1410020,14,001,51,1995,0509,2200,2,01,15,02,99,999,999,20.2,22.7,99999,7.6,E,99999
1410020008,1995,1410020,14,001,51,1995,0510,0400,2,01,15,02,99,999,999,18.5,20.8,99999,7.6,E,99999
1410020009,1995,1410020,14,001,51,1995,0606,1000,2,01,13,02,99,999,999,24,21.3,99999,6.9,E,99999
1410020010,1995,1410020,14,001,51,1995,0606,1600,2,01,12,04,99,999,999,23.4,22,99999,6.2,E,99999
1410020011,1995,1410020,14,001,51,1995,0606,2200,2,01,14,04,99,999,999,17.3,19,99999,7.2,E,99999
1410020012,1995,1410020,14,001,51,1995,0607,0400,2,01,13,04,99,999,999,16.5,18.2,99999,6.6,E,99999
1410020013,1995,1410020,14,001,51,1995,0711,1000,2,01,12,02,99,999,999,31.3,22.7,99999,6.2,E,99999
1410020014,1995,1410020,14,001,51,1995,0711,1600,2,01,15,02,99,999,999,32.3,23.9,99999,7.8,E,99999
1410020015,1995,1410020,14,001,51,1995,0711,2200,2,01,14,02,99,999,999,25.7,22.5,99999,7.2,E,99999
1410020016,1995,1410020,14,001,51,1995,0712,0400,2,01,16,04,99,999,999,24.1,21.6,99999,8,E,99999
1410020017,1995,1410020,14,001,51,1995,0801,1000,2,01,14,02,99,999,999,34.5,30.6,99999,7.3,E,99999
1410020018,1995,1410020,14,001,51,1995,0801,1600,2,01,14,02,99,999,999,34,31.5,99999,7.1,E,99999
1410020019,1995,1410020,14,001,51,1995,0801,2200,2,01,15,02,99,999,999,30,28.5,99999,7.65,E,99999
1410020020,1995,1410020,14,001,51,1995,0802,0400,2,01,14,02,99,999,999,28.3,27,99999,7.05,E,99999
1410020021,1995,1410020,14,001,51,1995,0905,1000,2,01,14,02,99,999,999,28.3,25.7,99999,7.2,E,99999
1410020022,1995,1410020,14,001,51,1995,0905,1600,2,01,15,02,99,999,999,29.3,26.2,99999,7.9,E,99999
1410020023,1995,1410020,14,001,51,1995,0905,2200,2,01,15,03,99,999,999,24.5,24.7,99999,7.6,E,99999
1410020024,1995,1410020,14,001,51,1995,0906,0400,2,01,15,03,99,999,999,23,24.2,99999,7.5,E,99999
1410020025,1995,1410020,14,001,51,1995,1003,1000,2,01,12,02,99,999,999,25.3,22.4,99999,6.25,E,99999
1410020026,1995,1410020,14,001,51,1995,1003,1600,2,01,12,02,99,999,999,26.9,22.8,99999,6.4,E,99999
1410020027,1995,1410020,14,001,51,1995,1003,2200,2,01,12,02,99,999,999,22.5,22.5,99999,6.4,E,99999
1410020028,1995,1410020,14,001,51,1995,1004,0400,2,01,12,02,99,999,999,21,22,99999,6,E,99999
1410020029,1995,1410020,14,001,51,1995,1107,1000,2,01,12,02,99,999,999,14.5,17.2,99999,6.1,E,99999
1410020030,1995,1410020,14,001,51,1995,1107,1600,2,01,14,02,99,999,999,16.8,18.2,99999,7.08,E,99999
1410020031,1995,1410020,14,001,51,1995,1107,2200,2,01,11,04,99,999,999,17.5,18,99999,5.55,E,99999
1410020032,1995,1410020,14,001,51,1995,1108,0400,2,01,13,03,99,999,999,17.1,17.9,99999,6.88,E,99999
1410020033,1995,1410020,14,001,51,1995,1205,1005,2,01,11,02,99,999,999,10,13.5,99999,5.6,E,99999
1410020034,1995,1410020,14,001,51,1995,1205,1605,2,01,12,02,99,999,999,12.5,12,99999,6.3,E,99999
1410020035,1995,1410020,14,001,51,1995,1205,2200,2,01,9,02,99,999,999,8,11,99999,4.8,E,99999
1410020036,1995,1410020,14,001,51,1995,1206,0400,2,01,12,02,99,999,999,6,9,99999,6.2,E,99999
1410020037,1995,1410020,14,001,51,1996,0109,1000,2,01,12,02,99,999,999,3.1,7,99999,6.2,E,99999
1410020038,1995,1410020,14,001,51,1996,0109,1600,2,01,12,02,99,999,999,3.1,7.1,99999,6.3,E,99999
1410020039,1995,1410020,14,001,51,1996,0109,2200,2,01,11,02,99,999,999,2.5,6.2,99999,5.9,E,99999
1410020040,1995,1410020,14,001,51,1996,0110,0400,2,01,11,02,99,999,999,2,6.2,99999,5.7,E,99999
1410020041,1995,1410020,14,001,51,1996,0206,1000,2,01,12,02,99,999,999,6,7,99999,6.1,E,99999
1410020042,1995,1410020,14,001,51,1996,0206,1600,2,01,13,02,99,999,999,5,6.3,99999,6.7,E,99999
1410020043,1995,1410020,14,001,51,1996,0206,2200,2,01,11,02,99,999,999,1.8,6,99999,5.8,E,99999
1410020044,1995,1410020,14,001,51,1996,0207,0400,2,01,12,02,99,999,999,1,6.2,99999,6.2,E,99999
1410020045,1995,1410020,14,001,51,1996,0305,1000,2,01,10,02,99,999,999,6.8,7.9,99999,5.26,E,99999
1410020046,1995,1410020,14,001,51,1996,0305,1600,2,01,12,02,99,999,999,8.2,6.4,99999,6.39,E,99999
1410020047,1995,1410020,14,001,51,1996,0305,2200,2,01,10,02,99,999,999,3.6,6.1,99999,5.05,E,99999
1410020048,1995,1410020,14,001,51,1996,0306,0400,2,01,12,02,99,999,999,1.8,6,99999,6.17,E,99999
