レコードID,測定年度,絶対番号,都道府県コード,水域コード,地点コード,pH_C,pH,DO_C,DO(mg/l),BOD_C,BOD(mg/l),COD_C,COD(mg/l),SS_C,SS(mg/l),大腸菌群数_C,大腸菌群数(MPN/100ml),n-ヘキサン抽出物質_C,n-ヘキサン抽出物質(mg/l)
1310010001,1982,1310010,13,001,01,#,7.1,#,9.1,#,3,#,3.5,#,53,#,17000,E,99999
1310010002,1982,1310010,13,001,01,#,7.1,#,8.9,#,2,#,3.2,#,33,E,99999,E,99999
1310010003,1982,1310010,13,001,01,#,7.1,#,8.9,#,2.4,#,3.2,#,41,E,99999,E,99999
1310010004,1982,1310010,13,001,01,#,7.1,#,7.7,#,2.1,#,3.1,#,16,#,33000,E,99999
1310010005,1982,1310010,13,001,01,#,7.1,#,8.2,#,2,#,3.4,#,15,E,99999,E,99999
1310010006,1982,1310010,13,001,01,#,7.2,#,8.3,#,2.3,#,3.2,#,12,E,99999,E,99999
1310010007,1982,1310010,13,001,01,#,7,#,6.8,#,3,#,3.5,#,18,#,49000,E,99999
1310010008,1982,1310010,13,001,01,#,7,#,7.2,#,2.2,#,3,#,11,E,99999,E,99999
1310010009,1982,1310010,13,001,01,#,7,#,7.2,#,2.3,#,2.2,#,10,E,99999,E,99999
1310010010,1982,1310010,13,001,01,#,7.4,#,7.7,#,3.1,#,4.3,#,18,#,49000,E,99999
1310010011,1982,1310010,13,001,01,#,7.5,#,8.4,#,3.6,#,4.3,#,13,E,99999,E,99999
1310010012,1982,1310010,13,001,01,#,7.5,#,8.8,#,3.7,#,4.5,#,16,E,99999,E,99999
1310010013,1982,1310010,13,001,01,#,7.4,#,7.9,#,0.6,#,4.1,#,52,#,49000,E,99999
1310010014,1982,1310010,13,001,01,#,7.4,#,7.9,#,2,#,4.4,#,43,E,99999,E,99999
1310010015,1982,1310010,13,001,01,#,7.4,#,8,#,1.8,#,3.7,#,30,E,99999,E,99999
1310010016,1982,1310010,13,001,01,#,7.4,#,8.1,#,1.7,#,3,#,18,E,99999,E,99999
1310010017,1982,1310010,13,001,01,#,7.5,#,8.2,#,1.6,#,3.5,#,19,E,99999,E,99999
1310010018,1982,1310010,13,001,01,#,7.4,#,8,#,1.6,#,4.8,#,36,E,99999,E,99999
1310010019,1982,1310010,13,001,01,#,7.4,#,7.9,#,1.4,#,4.2,#,44,E,99999,E,99999
1310010020,1982,1310010,13,001,01,#,7.4,#,7.8,#,1.2,#,4,#,34,E,99999,E,99999
1310010021,1982,1310010,13,001,01,#,7.4,#,7.8,#,1.5,#,3.5,#,29,E,99999,E,99999
1310010022,1982,1310010,13,001,01,#,7.4,#,7.8,#,1.1,#,2.8,#,17,E,99999,E,99999
1310010023,1982,1310010,13,001,01,#,7.4,#,7.8,#,1.3,#,4.6,#,34,E,99999,E,99999
1310010024,1982,1310010,13,001,01,#,7.4,#,7.9,#,1.6,#,5.5,#,65,E,99999,E,99999
1310010025,1982,1310010,13,001,01,#,7.4,#,7.7,#,1.4,#,4.5,#,45,E,99999,E,99999
1310010026,1982,1310010,13,001,01,#,7.4,#,8,#,1.3,#,3.5,#,15,#,240000,E,99999
1310010027,1982,1310010,13,001,01,#,7.4,#,8.4,#,0.9,#,3.3,#,21,E,99999,E,99999
1310010028,1982,1310010,13,001,01,#,7.4,#,8.5,#,1.1,#,2.8,#,15,E,99999,E,99999
1310010029,1982,1310010,13,001,01,#,7.4,#,8.9,#,1.8,#,3.4,#,23,#,24000,E,99999
1310010030,1982,1310010,13,001,01,#,7.4,#,9.1,#,1.2,#,2.6,#,13,E,99999,E,99999
1310010031,1982,1310010,13,001,01,#,7.4,#,9.1,#,2.1,#,3.1,#,14,E,99999,E,99999
1310010032,1982,1310010,13,001,01,#,7.3,#,8.9,#,1.2,#,2.5,#,7,#,17000,E,99999
1310010033,1982,1310010,13,001,01,#,7.3,#,9.1,#,1.4,#,2.6,#,8,E,99999,E,99999
1310010034,1982,1310010,13,001,01,#,7.3,#,9.2,#,1.7,#,2.5,#,7,E,99999,E,99999
1310010035,1982,1310010,13,001,01,#,7.4,#,10,#,2,#,3.1,#,7,#,33000,E,99999
1310010036,1982,1310010,13,001,01,#,7.4,#,10,#,2.5,#,3,#,8,E,99999,E,99999
1310010037,1982,1310010,13,001,01,#,7.4,#,10,#,2.4,#,3.2,#,6,E,99999,E,99999
1310010038,1982,1310010,13,001,01,#,7.4,#,10,#,1.8,#,3,#,6,E,99999,E,99999
1310010039,1982,1310010,13,001,01,#,7.4,#,10,#,2.4,#,3.1,#,6,E,99999,E,99999
1310010040,1982,1310010,13,001,01,#,7.4,#,10,#,1.8,#,3.2,#,7,E,99999,E,99999
1310010041,1982,1310010,13,001,01,#,7.4,#,10,#,1.9,#,2.9,#,6,E,99999,E,99999
1310010042,1982,1310010,13,001,01,#,7.3,#,10,#,3.5,#,3.7,#,14,E,99999,E,99999
1310010043,1982,1310010,13,001,01,#,7.3,#,10,#,2.4,#,4,#,11,E,99999,E,99999
1310010044,1982,1310010,13,001,01,#,7.3,#,10,#,2.8,#,5,#,11,E,99999,E,99999
1310010045,1982,1310010,13,001,01,#,7.2,#,10,#,2,#,3.5,#,9,E,99999,E,99999
1310010046,1982,1310010,13,001,01,#,7.2,#,10,#,2.3,#,4,#,10,E,99999,E,99999
1310010047,1982,1310010,13,001,01,#,7.2,#,10,#,2.5,#,3.6,#,13,E,99999,E,99999
1310010048,1982,1310010,13,001,01,#,7.3,#,11,#,1.7,#,3.5,#,5,#,33000,E,99999
1310010049,1982,1310010,13,001,01,#,7.3,#,11,#,2,#,2.9,#,6,E,99999,E,99999
1310010050,1982,1310010,13,001,01,#,7.3,#,12,#,1.6,#,3.1,#,6,E,99999,E,99999
1310010051,1982,1310010,13,001,01,#,7.2,#,10,#,2,#,3.8,#,8,#,7900,E,99999
1310010052,1982,1310010,13,001,01,#,7.1,#,11,#,2.1,#,3.6,#,4,E,99999,E,99999
1310010053,1982,1310010,13,001,01,#,7.1,#,11,#,2.4,#,3.9,#,11,E,99999,E,99999
1310010054,1982,1310010,13,001,01,#,7.2,#,9.2,#,3.2,#,6.1,#,8,#,79000,E,99999
1310010055,1982,1310010,13,001,01,#,7.2,#,9.6,#,2.9,#,6.2,#,10,E,99999,E,99999
1310010056,1982,1310010,13,001,01,#,7.2,#,9.6,#,3.2,#,6,#,7,E,99999,E,99999
1310020001,1982,1310020,13,001,51,#,7.4,#,9.3,#,2.6,#,3.7,#,8,#,7900,E,99999
1310020002,1982,1310020,13,001,51,#,6.6,#,8.2,#,4,#,4.1,#,19,E,99999,E,99999
1310020003,1982,1310020,13,001,51,#,7.3,#,6.9,#,2.3,#,5.3,#,18,#,10000,E,99999
1310020004,1982,1310020,13,001,51,#,7.4,#,8,#,3.7,#,5.1,#,13,E,99999,E,99999
1310020005,1982,1310020,13,001,51,#,7.1,#,7.3,#,1.1,#,4.4,#,51,#,2300,E,99999
1310020006,1982,1310020,13,001,51,#,7.6,#,7.9,#,0.8,#,2.5,#,10,E,99999,E,99999
1310020007,1982,1310020,13,001,51,#,7.2,#,8.6,#,1.3,#,3.1,#,14,#,240000,E,99999
1310020008,1982,1310020,13,001,51,#,7.5,#,9.3,#,1.3,#,3,#,6,E,99999,E,99999
1310020009,1982,1310020,13,001,51,#,7.4,#,10,#,1.9,#,2.9,#,6,#,7900,E,99999
1310020010,1982,1310020,13,001,51,#,7.7,#,11,#,2.2,#,3.6,#,2,E,99999,E,99999
1310020011,1982,1310020,13,001,51,#,7.6,#,10,#,2.3,#,4.3,#,2,#,3300,E,99999
1310020012,1982,1310020,13,001,51,#,7.6,#,10,#,3.3,#,4.9,#,5,E,99999,E,99999
1310030001,1982,1310030,13,002,01,#,7,#,8.8,#,3.7,#,5.5,#,45,#,350000,E,99999
1310030002,1982,1310030,13,002,01,#,7,#,8.9,#,3.9,#,5.9,#,42,E,99999,E,99999
1310030003,1982,1310030,13,002,01,#,7,#,8.5,#,3.2,#,5.2,#,23,E,99999,E,99999
1310030004,1982,1310030,13,002,01,#,7,#,6.8,#,2.8,#,3.9,#,14,#,49000,E,99999
1310030005,1982,1310030,13,002,01,#,7.1,#,7.1,#,3.4,#,4.9,#,29,E,99999,E,99999
1310030006,1982,1310030,13,002,01,#,7.1,#,7.6,#,3.6,#,5,#,30,E,99999,E,99999
1310030007,1982,1310030,13,002,01,#,6.9,#,6,#,3,#,3.1,#,19,#,150000,E,99999
1310030008,1982,1310030,13,002,01,#,6.9,#,5.9,#,3.5,#,4.6,#,68,E,99999,E,99999
1310030009,1982,1310030,13,002,01,#,6.9,#,6,#,4,#,3.8,#,31,E,99999,E,99999
1310030010,1982,1310030,13,002,01,#,7.2,#,4.9,#,3.1,#,5.3,#,17,#,79000,E,99999
1310030011,1982,1310030,13,002,01,#,7.3,#,6.4,#,2.4,#,4.9,#,8,E,99999,E,99999
1310030012,1982,1310030,13,002,01,#,7.4,#,7.1,#,3.1,#,5.6,#,7,E,99999,E,99999
1310030013,1982,1310030,13,002,01,#,7.3,#,7.7,#,1.9,#,4.5,#,41,#,49000,E,99999
1310030014,1982,1310030,13,002,01,#,7.3,#,7.8,#,2.1,#,4.6,#,46,E,99999,E,99999
1310030015,1982,1310030,13,002,01,#,7.3,#,7.7,#,2,#,3.6,#,19,E,99999,E,99999
1310030016,1982,1310030,13,002,01,#,7.3,#,7.8,#,1.7,#,3.1,#,16,E,99999,E,99999
1310030017,1982,1310030,13,002,01,#,7.3,#,7.2,#,1.9,#,3.3,#,16,E,99999,E,99999
1310030018,1982,1310030,13,002,01,#,7.3,#,7.4,#,2.2,#,3.7,#,19,E,99999,E,99999
1310030019,1982,1310030,13,002,01,#,7.2,#,7.9,#,1.6,#,3.3,#,19,E,99999,E,99999
1310030020,1982,1310030,13,002,01,#,7.3,#,8,#,2,#,3,#,18,E,99999,E,99999
1310030021,1982,1310030,13,002,01,#,7.3,#,8,#,1.5,#,3.1,#,15,E,99999,E,99999
1310030022,1982,1310030,13,002,01,#,7.3,#,7.9,#,1.5,#,3,#,14,E,99999,E,99999
1310030023,1982,1310030,13,002,01,#,7.3,#,7.7,#,1.4,#,2.8,#,14,E,99999,E,99999
1310030024,1982,1310030,13,002,01,#,7.3,#,7.5,#,1.6,#,2.8,#,16,E,99999,E,99999
