レコードID,測定年度,絶対番号,都道府県コード,水域コード,地点コード,全窒素_C,全窒素(mg/l),全燐_C,全燐(mg/l)
1210010001,1988,1210010,12,001,01,#,2.4,#,0.14
1210010004,1988,1210010,12,001,01,#,2.1,#,0.16
1210010007,1988,1210010,12,001,01,#,1.7,#,0.16
1210010010,1988,1210010,12,001,01,#,2.6,#,0.18
1210010013,1988,1210010,12,001,01,#,2.9,#,0.14
1210010016,1988,1210010,12,001,01,#,3.3,#,0.14
1210010019,1988,1210010,12,001,01,#,3.9,#,0.23
1210010022,1988,1210010,12,001,01,#,3.9,#,0.09
1210010025,1988,1210010,12,001,01,#,3.6,#,0.18
1210010028,1988,1210010,12,001,01,#,4.1,#,0.12
1210010031,1988,1210010,12,001,01,#,3.7,#,0.15
1210010034,1988,1210010,12,001,01,#,4,#,0.14
1210020001,1988,1210020,12,001,02,#,2.5,#,0.15
1210020004,1988,1210020,12,001,02,#,2.3,#,0.12
1210020007,1988,1210020,12,001,02,#,1.7,#,0.11
1210020010,1988,1210020,12,001,02,#,2.5,#,0.14
1210020013,1988,1210020,12,001,02,#,2.9,#,0.14
1210020016,1988,1210020,12,001,02,#,3.5,#,0.17
1210020019,1988,1210020,12,001,02,#,3.9,#,0.26
1210020022,1988,1210020,12,001,02,#,3.9,#,0.12
1210020025,1988,1210020,12,001,02,#,3.7,#,0.15
1210020028,1988,1210020,12,001,02,#,4.9,#,0.19
1210020031,1988,1210020,12,001,02,#,4.6,#,0.21
1210020034,1988,1210020,12,001,02,#,3.9,#,0.14
1210030001,1988,1210030,12,001,51,#,2,#,0.1
1210030003,1988,1210030,12,001,51,#,1.5,#,0.08
1210030005,1988,1210030,12,001,51,#,1.6,#,0.1
1210030007,1988,1210030,12,001,51,#,2.5,#,0.12
1210030009,1988,1210030,12,001,51,#,2.7,#,0.09
1210030011,1988,1210030,12,001,51,#,3.4,#,0.12
1210030013,1988,1210030,12,001,51,#,3.7,#,0.15
1210030015,1988,1210030,12,001,51,#,3.5,#,0.06
1210030017,1988,1210030,12,001,51,#,3.4,#,0.08
1210030019,1988,1210030,12,001,51,#,3.8,#,0.11
1210030021,1988,1210030,12,001,51,#,3.9,#,0.15
1210030023,1988,1210030,12,001,51,#,4,#,0.11
1210040001,1988,1210040,12,001,52,#,2.1,#,0.13
1210040003,1988,1210040,12,001,52,#,2,#,0.14
1210040005,1988,1210040,12,001,52,#,1.7,#,0.14
1210040007,1988,1210040,12,001,52,#,2.6,#,0.16
1210040009,1988,1210040,12,001,52,#,2.8,#,0.11
1210040011,1988,1210040,12,001,52,#,3.4,#,0.12
1210040013,1988,1210040,12,001,52,#,3.8,#,0.24
1210040015,1988,1210040,12,001,52,#,3.5,#,0.07
1210040017,1988,1210040,12,001,52,#,3.8,#,0.11
1210040019,1988,1210040,12,001,52,#,4.2,#,0.12
1210040021,1988,1210040,12,001,52,#,3.8,#,0.15
1210040023,1988,1210040,12,001,52,#,3.7,#,0.12
1210050001,1988,1210050,12,001,53,#,3.3,#,0.18
1210050004,1988,1210050,12,001,53,#,2.1,#,0.12
1210050007,1988,1210050,12,001,53,#,1.8,#,0.11
1210050010,1988,1210050,12,001,53,#,2.6,#,0.26
1210050013,1988,1210050,12,001,53,#,3.2,#,0.15
1210050016,1988,1210050,12,001,53,#,3.6,#,0.17
1210050019,1988,1210050,12,001,53,#,3.9,#,0.26
1210050022,1988,1210050,12,001,53,#,3.8,#,0.1
1210050025,1988,1210050,12,001,53,#,4.1,#,0.17
1210050028,1988,1210050,12,001,53,#,4.8,#,0.18
1210050031,1988,1210050,12,001,53,#,4.2,#,0.21
1210050034,1988,1210050,12,001,53,#,3.9,#,0.14
1210060001,1988,1210060,12,002,01,#,3.6,#,0.19
1210060004,1988,1210060,12,002,01,#,2.2,#,0.16
1210060007,1988,1210060,12,002,01,#,2,#,0.12
1210060010,1988,1210060,12,002,01,#,2.5,#,0.11
1210060013,1988,1210060,12,002,01,#,2.9,#,0.15
1210060016,1988,1210060,12,002,01,#,3.6,#,0.23
1210060019,1988,1210060,12,002,01,#,3.9,#,0.24
1210060022,1988,1210060,12,002,01,#,3.9,#,0.1
1210060025,1988,1210060,12,002,01,#,4.5,#,0.19
1210060028,1988,1210060,12,002,01,#,5.5,#,0.23
1210060031,1988,1210060,12,002,01,#,5.3,#,0.26
1210060034,1988,1210060,12,002,01,#,4.2,#,0.17
1210070001,1988,1210070,12,002,51,#,4.9,#,0.29
1210070003,1988,1210070,12,002,51,#,2.2,#,0.13
1210070005,1988,1210070,12,002,51,#,1.9,#,0.1
1210070007,1988,1210070,12,002,51,#,2.8,#,0.12
1210070009,1988,1210070,12,002,51,#,2.9,#,0.15
1210070011,1988,1210070,12,002,51,#,3.4,#,0.19
1210070013,1988,1210070,12,002,51,#,4.1,#,0.27
1210070015,1988,1210070,12,002,51,#,3.9,#,0.1
1210070017,1988,1210070,12,002,51,#,4.9,#,0.25
1210070019,1988,1210070,12,002,51,#,5.7,#,0.25
1210070021,1988,1210070,12,002,51,#,4.7,#,0.2
1210070023,1988,1210070,12,002,51,#,5.2,#,0.27
1210090001,1988,1210090,12,003,01,#,3.8,#,0.07
1210090003,1988,1210090,12,003,01,#,2.5,#,0.17
1210090005,1988,1210090,12,003,01,#,1.9,#,0.14
1210090007,1988,1210090,12,003,01,#,2.1,#,0.16
1210090009,1988,1210090,12,003,01,#,1.8,#,0.19
1210090011,1988,1210090,12,003,01,#,2,#,0.21
1210090013,1988,1210090,12,003,01,#,1.4,#,0.14
1210090015,1988,1210090,12,003,01,#,1.5,#,0.15
1210090017,1988,1210090,12,003,01,#,2.1,#,0.14
1210090019,1988,1210090,12,003,01,#,3.1,#,0.18
1210090021,1988,1210090,12,003,01,#,2.4,#,0.15
1210090023,1988,1210090,12,003,01,#,2.3,#,0.12
1210100001,1988,1210100,12,004,01,#,2.5,#,0.13
1210100003,1988,1210100,12,004,01,#,4.2,#,0.16
1210100005,1988,1210100,12,004,01,#,2.1,#,0.14
1210100007,1988,1210100,12,004,01,#,3.4,#,0.1
1210100009,1988,1210100,12,004,01,#,1.9,#,0.18
1210100011,1988,1210100,12,004,01,#,4.6,#,0.09
1210100013,1988,1210100,12,004,01,#,4.7,#,0.13
1210100015,1988,1210100,12,004,01,#,3.7,#,0.11
1210100017,1988,1210100,12,004,01,#,4.6,#,0.15
1210100019,1988,1210100,12,004,01,#,6,#,0.19
1210100021,1988,1210100,12,004,01,#,4,#,0.18
1210100023,1988,1210100,12,004,01,#,4.7,#,0.17
1210110002,1988,1210110,12,005,02,#,1.1,#,0.11
1210110004,1988,1210110,12,005,02,#,1.5,#,0.12
1210110006,1988,1210110,12,005,02,#,1.3,#,0.14
1210110008,1988,1210110,12,005,02,#,1.2,#,0.08
1210110010,1988,1210110,12,005,02,#,2.2,#,0.15
1210110012,1988,1210110,12,005,02,#,1.4,#,0.1
1210120002,1988,1210120,12,006,01,#,1.8,#,0.16
1210120004,1988,1210120,12,006,01,#,1.2,#,0.16
1210120006,1988,1210120,12,006,01,#,1.4,#,0.2
1210120008,1988,1210120,12,006,01,#,1.3,#,0.12
1210120010,1988,1210120,12,006,01,#,1.8,#,0.18
1210120012,1988,1210120,12,006,01,#,1.5,#,0.18
1210130001,1988,1210130,12,007,01,#,2.4,#,0.15
1210130002,1988,1210130,12,007,01,#,1.5,#,0.18
1210130003,1988,1210130,12,007,01,#,1.8,#,0.36
1210130004,1988,1210130,12,007,01,#,1.2,#,0.17
1210130005,1988,1210130,12,007,01,#,1.9,#,0.2
1210130006,1988,1210130,12,007,01,#,1.7,#,0.21
1210130007,1988,1210130,12,007,01,#,1.6,#,0.12
1210130008,1988,1210130,12,007,01,#,2,#,0.13
1210130009,1988,1210130,12,007,01,#,1.6,#,0.14
1210130010,1988,1210130,12,007,01,#,1.8,#,0.12
1210130011,1988,1210130,12,007,01,#,1.8,#,0.17
1210130012,1988,1210130,12,007,01,#,1.5,#,0.14
1210140001,1988,1210140,12,008,01,#,2.5,#,0.11
1210140003,1988,1210140,12,008,01,#,2.4,#,0.11
1210140005,1988,1210140,12,008,01,#,2.1,#,0.09
1210140007,1988,1210140,12,008,01,#,2.2,#,0.08
1210140009,1988,1210140,12,008,01,#,2.2,#,0.09
1210140011,1988,1210140,12,008,01,#,2.8,#,0.1
1210140013,1988,1210140,12,008,01,#,3.8,#,0.17
1210140015,1988,1210140,12,008,01,#,3.5,#,0.09
1210140017,1988,1210140,12,008,01,#,3.7,#,0.1
1210140019,1988,1210140,12,008,01,#,3.8,#,0.13
1210140021,1988,1210140,12,008,01,#,3.8,#,0.17
1210140023,1988,1210140,12,008,01,#,3.5,#,0.12
1210150001,1988,1210150,12,008,02,#,2.9,#,0.09
1210150003,1988,1210150,12,008,02,#,2,#,0.06
1210150005,1988,1210150,12,008,02,#,1.8,#,0.06
1210150007,1988,1210150,12,008,02,#,1.6,#,0.06
1210150009,1988,1210150,12,008,02,#,2.7,#,0.06
1210150011,1988,1210150,12,008,02,#,2.6,#,0.1
1210150013,1988,1210150,12,008,02,#,3.5,#,0.08
1210150015,1988,1210150,12,008,02,#,3.4,#,0.13
1210150017,1988,1210150,12,008,02,#,3.7,#,0.09
1210150019,1988,1210150,12,008,02,#,4.9,#,0.14
1210150021,1988,1210150,12,008,02,#,3.8,#,0.14
1210150023,1988,1210150,12,008,02,#,3.2,#,0.14
1210160002,1988,1210160,12,008,51,#,2.8,#,0.16
1210160004,1988,1210160,12,008,51,#,2.2,#,0.12
1210160006,1988,1210160,12,008,51,#,2.3,#,0.13
1210160008,1988,1210160,12,008,51,#,1.8,#,0.12
1210160010,1988,1210160,12,008,51,#,2.5,#,0.1
1210160012,1988,1210160,12,008,51,#,3.2,#,0.1
1210160014,1988,1210160,12,008,51,#,3.6,#,0.34
1210160016,1988,1210160,12,008,51,#,3.4,#,0.08
1210160018,1988,1210160,12,008,51,#,3.3,#,0.12
1210160020,1988,1210160,12,008,51,#,2.2,#,0.14
1210160022,1988,1210160,12,008,51,#,3.8,#,0.22
1210160024,1988,1210160,12,008,51,#,3.8,#,0.12
1210170001,1988,1210170,12,008,52,#,2.5,#,0.12
1210170003,1988,1210170,12,008,52,#,2.5,#,0.17
1210170005,1988,1210170,12,008,52,#,2,#,0.11
1210170007,1988,1210170,12,008,52,#,2.5,#,0.1
1210170009,1988,1210170,12,008,52,#,2.8,#,0.07
1210170011,1988,1210170,12,008,52,#,3.1,#,0.08
1210170013,1988,1210170,12,008,52,#,3.9,#,0.14
1210170015,1988,1210170,12,008,52,#,3.9,#,0.08
1210170017,1988,1210170,12,008,52,#,3.8,#,0.1
1210170019,1988,1210170,12,008,52,#,3.8,#,0.13
1210170021,1988,1210170,12,008,52,#,4,#,0.16
1210170023,1988,1210170,12,008,52,#,3.5,#,0.12
1210180001,1988,1210180,12,008,53,#,2.8,#,0.13
1210180003,1988,1210180,12,008,53,#,2.9,#,0.13
1210180005,1988,1210180,12,008,53,#,2.1,#,0.08
1210180007,1988,1210180,12,008,53,#,1.8,#,0.06
1210180009,1988,1210180,12,008,53,#,2.4,#,0.09
1210180011,1988,1210180,12,008,53,#,2.6,#,0.08
1210180013,1988,1210180,12,008,53,#,3.8,#,0.11
1210180015,1988,1210180,12,008,53,#,3.6,#,0.07
1210180017,1988,1210180,12,008,53,#,3.7,#,0.12
1210180019,1988,1210180,12,008,53,#,4,#,0.2
1210180021,1988,1210180,12,008,53,#,4.1,#,0.2
1210180023,1988,1210180,12,008,53,#,3.8,#,0.14
1210190001,1988,1210190,12,008,54,#,3.4,#,0.1
1210190003,1988,1210190,12,008,54,#,2.4,#,0.09
1210190005,1988,1210190,12,008,54,#,2.2,#,0.07
1210190007,1988,1210190,12,008,54,#,1.8,#,0.06
1210190009,1988,1210190,12,008,54,#,2.6,#,0.08
1210190011,1988,1210190,12,008,54,#,2.4,#,0.1
1210190013,1988,1210190,12,008,54,#,3.5,#,0.12
1210190015,1988,1210190,12,008,54,#,3.6,#,0.07
1210190017,1988,1210190,12,008,54,#,3.8,#,0.1
1210190019,1988,1210190,12,008,54,#,3.2,#,0.12
1210190021,1988,1210190,12,008,54,#,3.8,#,0.17
1210190023,1988,1210190,12,008,54,#,3.5,#,0.15
1210200001,1988,1210200,12,008,55,#,3.1,#,0.1
1210200003,1988,1210200,12,008,55,#,2,#,0.11
1210200005,1988,1210200,12,008,55,#,1.8,#,0.05
1210200007,1988,1210200,12,008,55,#,1.8,#,0.05
1210200009,1988,1210200,12,008,55,#,2.6,#,0.05
1210200011,1988,1210200,12,008,55,#,2.6,#,0.07
1210200013,1988,1210200,12,008,55,#,3.2,#,0.08
1210200015,1988,1210200,12,008,55,#,3.6,#,0.1
1210200017,1988,1210200,12,008,55,#,3.9,#,0.08
1210200019,1988,1210200,12,008,55,#,3.8,#,0.12
1210200021,1988,1210200,12,008,55,#,3.8,#,0.12
1210200023,1988,1210200,12,008,55,#,3.4,#,0.15
1210220001,1988,1210220,12,009,01,#,12,#,0.54
1210220004,1988,1210220,12,009,01,#,9.4,#,0.48
1210220007,1988,1210220,12,009,01,#,8.7,#,0.5
1210220010,1988,1210220,12,009,01,#,11,#,0.42
1210220013,1988,1210220,12,009,01,#,9.4,#,0.46
1210220016,1988,1210220,12,009,01,#,11,#,0.4
1210220019,1988,1210220,12,009,01,#,9.3,#,0.42
1210220022,1988,1210220,12,009,01,#,11,#,0.41
1210220025,1988,1210220,12,009,01,#,10,#,0.5
1210220028,1988,1210220,12,009,01,#,17,#,0.66
1210220031,1988,1210220,12,009,01,#,16,#,0.49
1210220034,1988,1210220,12,009,01,#,10,#,0.45
1210230001,1988,1210230,12,009,51,#,7.9,#,0.57
1210230003,1988,1210230,12,009,51,#,4.8,#,0.34
1210230005,1988,1210230,12,009,51,#,6.1,#,0.32
1210230007,1988,1210230,12,009,51,#,6.2,#,0.32
1210230009,1988,1210230,12,009,51,#,9.2,#,0.04
1210230011,1988,1210230,12,009,51,#,8,#,0.28
1210230013,1988,1210230,12,009,51,#,4.7,#,0.27
1210230015,1988,1210230,12,009,51,#,8.5,#,0.4
1210230017,1988,1210230,12,009,51,#,10,#,0.5
1210230019,1988,1210230,12,009,51,#,16,#,1
1210230021,1988,1210230,12,009,51,#,12,#,0.64
1210230023,1988,1210230,12,009,51,#,8.5,#,0.58
1210240001,1988,1210240,12,010,01,#,11,#,1.2
1210240002,1988,1210240,12,010,01,#,12,#,1.4
1210240003,1988,1210240,12,010,01,#,14,#,1.6
1210240004,1988,1210240,12,010,01,#,10,#,1.3
1210240005,1988,1210240,12,010,01,#,9,#,1.3
1210240006,1988,1210240,12,010,01,#,6.7,#,1
1210240007,1988,1210240,12,010,01,#,7.6,#,0.85
1210240008,1988,1210240,12,010,01,#,5.7,#,1
1210240009,1988,1210240,12,010,01,#,3.6,#,0.22
1210240010,1988,1210240,12,010,01,#,6.5,#,1.1
1210240011,1988,1210240,12,010,01,#,6.8,#,0.83
1210240012,1988,1210240,12,010,01,#,2.9,#,0.22
1210240013,1988,1210240,12,010,01,#,7.2,#,1.3
1210240014,1988,1210240,12,010,01,#,7.5,#,1.1
1210240015,1988,1210240,12,010,01,#,14,#,1.3
1210240016,1988,1210240,12,010,01,#,13,#,1.3
1210240017,1988,1210240,12,010,01,#,11,#,1.9
1210240018,1988,1210240,12,010,01,#,13,#,1.4
1210240019,1988,1210240,12,010,01,#,10,#,1.5
1210240020,1988,1210240,12,010,01,#,9.6,#,0.86
1210240021,1988,1210240,12,010,01,#,10,#,1.4
1210240022,1988,1210240,12,010,01,#,13,#,1.1
1210240023,1988,1210240,12,010,01,#,7.2,#,0.88
1210240024,1988,1210240,12,010,01,#,11,#,1.5
1210250001,1988,1210250,12,011,01,#,12,#,1.3
1210250002,1988,1210250,12,011,01,#,12,#,1.1
1210250003,1988,1210250,12,011,01,#,11,#,1.4
1210250004,1988,1210250,12,011,01,#,15,#,1
1210250005,1988,1210250,12,011,01,#,7.7,#,0.89
1210250006,1988,1210250,12,011,01,#,7.2,#,1.1
1210250007,1988,1210250,12,011,01,#,8,#,0.83
1210250008,1988,1210250,12,011,01,#,7.9,#,0.93
1210250009,1988,1210250,12,011,01,#,20,#,1.2
1210250010,1988,1210250,12,011,01,#,20,#,1.5
1210250011,1988,1210250,12,011,01,#,15,#,1.4
1210250012,1988,1210250,12,011,01,#,11,#,1.1
1210260001,1988,1210260,12,011,02,#,9.8,#,1.2
1210260002,1988,1210260,12,011,02,#,13,#,1.2
1210260003,1988,1210260,12,011,02,#,12,#,2.4
1210260004,1988,1210260,12,011,02,#,14,#,1.3
1210260005,1988,1210260,12,011,02,#,5.6,#,0.93
1210260006,1988,1210260,12,011,02,#,4,#,0.77
1210260007,1988,1210260,12,011,02,#,7.4,#,0.86
1210260008,1988,1210260,12,011,02,#,6.5,#,1.1
1210260009,1988,1210260,12,011,02,#,20,#,1.2
1210260010,1988,1210260,12,011,02,#,9.4,#,1.4
1210260011,1988,1210260,12,011,02,#,9.2,#,1
1210260012,1988,1210260,12,011,02,#,8.8,#,0.74
1210280001,1988,1210280,12,012,01,#,12,#,1.4
1210280002,1988,1210280,12,012,01,#,11,#,1
1210280003,1988,1210280,12,012,01,#,11,#,1.6
1210280004,1988,1210280,12,012,01,#,19,#,1.1
1210280005,1988,1210280,12,012,01,#,8.3,#,0.86
1210280006,1988,1210280,12,012,01,#,8,#,2.2
1210280007,1988,1210280,12,012,01,#,8.3,#,0.95
1210280008,1988,1210280,12,012,01,#,8.7,#,1.2
1210280009,1988,1210280,12,012,01,#,22,#,1.4
1210280010,1988,1210280,12,012,01,#,12,#,1.8
1210280011,1988,1210280,12,012,01,#,14,#,1.4
1210280012,1988,1210280,12,012,01,#,11,#,1.6
1210290001,1988,1210290,12,012,51,#,18,#,1.1
1210290002,1988,1210290,12,012,51,#,16,#,1.5
1210290003,1988,1210290,12,012,51,#,17,#,1.8
1210290004,1988,1210290,12,012,51,#,11,#,1.3
1210290005,1988,1210290,12,012,51,#,12,#,1.1
1210290006,1988,1210290,12,012,51,#,9.2,#,1.1
1210290007,1988,1210290,12,012,51,#,13,#,1
1210290008,1988,1210290,12,012,51,#,8.1,#,0.92
1210290009,1988,1210290,12,012,51,#,10,#,0.83
1210290010,1988,1210290,12,012,51,#,10,#,1.2
1210290011,1988,1210290,12,012,51,#,19,#,1.1
1210290012,1988,1210290,12,012,51,#,3.9,#,0.47
1210290013,1988,1210290,12,012,51,#,18,#,4.8
1210290014,1988,1210290,12,012,51,#,9.7,#,1.1
1210290015,1988,1210290,12,012,51,#,10,#,1.3
1210290016,1988,1210290,12,012,51,#,14,#,2.1
1210290017,1988,1210290,12,012,51,#,13,#,2
1210290018,1988,1210290,12,012,51,#,16,#,1.5
1210290019,1988,1210290,12,012,51,#,12,#,1.6
1210290020,1988,1210290,12,012,51,#,10,#,1
1210290021,1988,1210290,12,012,51,#,11,#,1.3
1210290022,1988,1210290,12,012,51,#,14,#,1
1210290023,1988,1210290,12,012,51,#,8.5,#,0.75
1210290024,1988,1210290,12,012,51,#,11,#,1.3
1210300002,1988,1210300,12,013,01,#,1.9,#,0.16
1210300004,1988,1210300,12,013,01,#,2.2,#,0.1
