レコードID,測定年度,絶対番号,都道府県コード,水域コード,地点コード,採取_年,採取_月日,採取_時分,調査区分コード,採取位置コード,採取水深(m),天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度_C,透明度(m)
1310010001,2008,1310010,13,001,01,2008,0416,0900,0,01,0.56,99,99,999,999,18.3,15,99999,2.8,E,99999
1310010002,2008,1310010,13,001,01,2008,0416,1200,0,01,0.53,99,99,999,999,19.4,16,99999,2.65,E,99999
1310010003,2008,1310010,13,001,01,2008,0416,1500,0,01,0.64,99,99,999,999,19,15.7,99999,3.2,E,99999
1310010004,2008,1310010,13,001,01,2008,0416,1800,0,01,0.61,99,99,999,999,18.5,15,99999,3.05,E,99999
1310010005,2008,1310010,13,001,01,2008,0514,0900,0,01,0.72,99,99,999,999,10.4,11.8,99999,3.6,E,99999
1310010006,2008,1310010,13,001,01,2008,0514,1200,0,01,0.72,99,99,999,999,12.1,11.6,99999,3.6,E,99999
1310010007,2008,1310010,13,001,01,2008,0514,1500,0,01,0.71,99,99,999,999,14.7,12.6,99999,3.55,E,99999
1310010008,2008,1310010,13,001,01,2008,0514,1800,0,01,0.66,99,99,999,999,13.8,12.5,99999,3.3,E,99999
1310010009,2008,1310010,13,001,01,2008,0604,0900,0,01,0.71,99,99,999,999,19.4,15.8,323.81,3.55,E,99999
1310010010,2008,1310010,13,001,01,2008,0604,1200,0,01,0.67,99,99,999,999,21.3,16,294.58,3.35,E,99999
1310010011,2008,1310010,13,001,01,2008,0604,1500,0,01,0.66,99,99,999,999,24.9,17.5,317.37,3.3,E,99999
1310010012,2008,1310010,13,001,01,2008,0604,1800,0,01,0.71,99,99,999,999,21.4,16.4,314.92,3.55,E,99999
1310010013,2008,1310010,13,001,01,2008,0702,0900,0,01,0.61,99,99,999,999,26.7,21.2,246.17,3.05,E,99999
1310010014,2008,1310010,13,001,01,2008,0702,1100,0,01,0.56,99,99,999,999,28,21.8,208.77,2.8,E,99999
1310010015,2008,1310010,13,001,01,2008,0702,1300,0,01,0.54,99,99,999,999,30.6,22,180.43,2.7,E,99999
1310010016,2008,1310010,13,001,01,2008,0702,1500,0,01,0.58,99,99,999,999,30.4,22.5,122.32,2.9,E,99999
1310010017,2008,1310010,13,001,01,2008,0702,1700,0,01,0.67,99,99,999,999,25,22.3,102.24,3.35,E,99999
1310010018,2008,1310010,13,001,01,2008,0702,1900,0,01,0.74,99,99,999,999,23.7,21.3,243.96,3.7,E,99999
1310010019,2008,1310010,13,001,01,2008,0702,2100,0,01,0.71,99,99,999,999,20.6,21,203.13,3.55,E,99999
1310010020,2008,1310010,13,001,01,2008,0702,2300,0,01,0.64,99,99,999,999,22.3,20.7,197.81,3.2,E,99999
1310010021,2008,1310010,13,001,01,2008,0703,0100,0,01,0.63,99,99,999,999,22.2,20.7,135.16,3.15,E,99999
1310010022,2008,1310010,13,001,01,2008,0703,0300,0,01,0.71,99,99,999,999,21.3,21,108.46,3.55,E,99999
1310010023,2008,1310010,13,001,01,2008,0703,0500,0,01,0.73,99,99,999,999,21.6,20.8,134.47,3.65,E,99999
1310010024,2008,1310010,13,001,01,2008,0703,0700,0,01,0.71,99,99,999,999,22.4,21.2,174.74,3.55,E,99999
1310010025,2008,1310010,13,001,01,2008,0703,0900,0,01,0.63,99,99,999,999,23.7,21.7,171.68,3.15,E,99999
1310010026,2008,1310010,13,001,01,2008,0813,0900,0,01,0.73,99,99,999,999,33.2,28,86.47,3.65,E,99999
1310010027,2008,1310010,13,001,01,2008,0813,1200,0,01,0.72,99,99,999,999,28,28.5,72.6,3.6,E,99999
1310010028,2008,1310010,13,001,01,2008,0813,1500,0,01,0.73,99,99,999,999,33,28.6,59.05,3.65,E,99999
1310010029,2008,1310010,13,001,01,2008,0813,1800,0,01,0.73,99,99,999,999,29.4,28,67.41,3.65,E,99999
1310010030,2008,1310010,13,001,01,2008,0910,0900,0,01,0.56,99,99,999,999,25.5,22.5,185.13,2.8,E,99999
1310010031,2008,1310010,13,001,01,2008,0910,1200,0,01,0.56,99,99,999,999,28,23,144.6,2.8,E,99999
1310010032,2008,1310010,13,001,01,2008,0910,1500,0,01,0.64,99,99,999,999,28.7,23.5,139.93,3.2,E,99999
1310010033,2008,1310010,13,001,01,2008,0910,1800,0,01,0.67,99,99,999,999,24.5,22.3,153.59,3.35,E,99999
1310010034,2008,1310010,13,001,01,2008,1008,1000,0,01,0.5,99,99,999,999,19.5,18.6,78.99,2.5,E,99999
1310010035,2008,1310010,13,001,01,2008,1008,1200,0,01,0.61,99,99,999,999,20.5,19,110.39,3.05,E,99999
1310010036,2008,1310010,13,001,01,2008,1008,1500,0,01,0.62,99,99,999,999,20,18.8,125.08,3.1,E,99999
1310010037,2008,1310010,13,001,01,2008,1008,1800,0,01,0.62,99,99,999,999,19.3,18.5,128.6,3.1,E,99999
1310010038,2008,1310010,13,001,01,2008,1105,0900,0,01,0.71,99,99,999,999,12.6,13.1,24.33,3.55,E,99999
1310010039,2008,1310010,13,001,01,2008,1105,1200,0,01,0.7,99,99,999,999,15.5,13.8,42.56,3.5,E,99999
1310010040,2008,1310010,13,001,01,2008,1105,1500,0,01,0.64,99,99,999,999,17.6,14.2,41.38,3.2,E,99999
1310010041,2008,1310010,13,001,01,2008,1105,1800,0,01,0.64,99,99,999,999,16.4,14,38.36,3.2,E,99999
1310010042,2008,1310010,13,001,01,2008,1217,0900,0,01,0.69,99,99,999,999,7.5,7.8,8.09,3.45,E,99999
1310010043,2008,1310010,13,001,01,2008,1217,1100,0,01,0.71,99,99,999,999,8.2,8,12.12,3.55,E,99999
1310010044,2008,1310010,13,001,01,2008,1217,1300,0,01,0.66,99,99,999,999,8,8,54.23,3.3,E,99999
1310010045,2008,1310010,13,001,01,2008,1217,1500,0,01,0.65,99,99,999,999,7.8,8,-99.99,3.25,E,99999
1310010046,2008,1310010,13,001,01,2008,1217,1700,0,01,0.67,99,99,999,999,7.8,8,4.58,3.35,E,99999
1310010047,2008,1310010,13,001,01,2008,1217,1900,0,01,0.7,99,99,999,999,8.5,8,14.88,3.5,E,99999
1310010048,2008,1310010,13,001,01,2008,1217,2100,0,01,0.69,99,99,999,999,8.6,7.9,12.89,3.45,E,99999
1310010049,2008,1310010,13,001,01,2008,1217,2300,0,01,0.7,99,99,999,999,9,7.8,18.73,3.5,E,99999
1310010050,2008,1310010,13,001,01,2008,1218,0100,0,01,0.72,99,99,999,999,9,7.8,13.61,3.6,E,99999
1310010051,2008,1310010,13,001,01,2008,1218,0300,0,01,0.74,99,99,999,999,8.6,7.8,16.17,3.7,E,99999
1310010052,2008,1310010,13,001,01,2008,1218,0500,0,01,0.74,99,99,999,999,7.5,7.6,27.36,3.7,E,99999
1310010053,2008,1310010,13,001,01,2008,1218,0700,0,01,0.73,99,99,999,999,7.8,8,15.01,3.65,E,99999
1310010054,2008,1310010,13,001,01,2008,1218,0900,0,01,0.73,99,99,999,999,8.8,8.4,25.4,3.65,E,99999
1310010055,2008,1310010,13,001,01,2009,0107,0900,0,01,0.68,99,99,999,999,5,5.5,11.48,3.4,E,99999
1310010056,2008,1310010,13,001,01,2009,0107,1200,0,01,0.68,99,99,999,999,8.5,6.3,20.41,3.4,E,99999
1310010057,2008,1310010,13,001,01,2009,0107,1500,0,01,0.67,99,99,999,999,9.7,6.4,35.41,3.35,E,99999
1310010058,2008,1310010,13,001,01,2009,0107,1800,0,01,0.66,99,99,999,999,5.5,6,36.86,3.3,E,99999
1310010059,2008,1310010,13,001,01,2009,0204,0900,0,01,0.7,99,99,999,999,6.8,6,42.96,3.5,E,99999
1310010060,2008,1310010,13,001,01,2009,0204,1200,0,01,0.73,99,99,999,999,7.4,6.3,61.02,3.65,E,99999
1310010061,2008,1310010,13,001,01,2009,0204,1500,0,01,0.65,99,99,999,999,10.7,7.3,113.49,3.25,E,99999
1310010062,2008,1310010,13,001,01,2009,0204,1800,0,01,0.6,99,99,999,999,7.3,7,100.73,3,E,99999
1310010063,2008,1310010,13,001,01,2009,0311,0900,0,01,0.72,99,99,999,999,6.5,8,44.27,3.6,E,99999
1310010064,2008,1310010,13,001,01,2009,0311,1200,0,01,0.66,99,99,999,999,9.8,8.7,84.13,3.3,E,99999
1310010065,2008,1310010,13,001,01,2009,0311,1500,0,01,0.67,99,99,999,999,11.3,9,10.63,3.35,E,99999
1310010066,2008,1310010,13,001,01,2009,0311,1800,0,01,0.67,99,99,999,999,9,8,38.34,3.35,E,99999
1310030001,2008,1310030,13,002,01,2008,0416,1030,0,01,0.67,99,99,999,999,22.4,14.8,99999,3.35,E,99999
1310030002,2008,1310030,13,002,01,2008,0416,1530,0,01,0.8,99,99,999,999,19,14.2,99999,4,E,99999
1310030003,2008,1310030,13,002,01,2008,0514,1030,0,03,0.71,99,99,999,999,10,12,99999,3.55,E,99999
1310030004,2008,1310030,13,002,01,2008,0514,1530,0,03,0.73,99,99,999,999,13.1,12.8,99999,3.65,E,99999
1310030005,2008,1310030,13,002,01,2008,0604,1030,0,01,0.66,99,99,999,999,20.6,15.2,99999,3.3,E,99999
1310030006,2008,1310030,13,002,01,2008,0604,1530,0,01,0.71,99,99,999,999,21.9,15.6,99999,3.55,E,99999
1310030007,2008,1310030,13,002,01,2008,0702,1000,0,01,0.62,99,99,999,999,27.1,21.5,99999,3.1,E,99999
1310030008,2008,1310030,13,002,01,2008,0702,1400,0,01,0.64,99,99,999,999,27.8,21,99999,3.2,E,99999
1310030009,2008,1310030,13,002,01,2008,0702,1800,0,01,0.9,99,99,999,999,23.2,20.5,99999,4.5,E,99999
1310030010,2008,1310030,13,002,01,2008,0702,2200,0,01,0.78,99,99,999,999,22.1,20.6,99999,3.9,E,99999
1310030011,2008,1310030,13,002,01,2008,0703,0200,0,01,0.8,99,99,999,999,21.5,20.3,99999,4,E,99999
1310030012,2008,1310030,13,002,01,2008,0703,0600,0,01,0.84,99,99,999,999,21.8,20.4,99999,4.2,E,99999
1310030013,2008,1310030,13,002,01,2008,0703,1000,0,01,0.66,99,99,999,999,23.1,20.9,99999,3.3,E,99999
1310030014,2008,1310030,13,002,01,2008,0813,1100,0,01,0.81,99,99,999,999,32.8,27.4,99999,4.05,E,99999
1310030015,2008,1310030,13,002,01,2008,0813,1600,0,01,0.82,99,99,999,999,30.4,27.6,99999,4.1,E,99999
1310030016,2008,1310030,13,002,01,2008,0910,1100,0,01,0.65,99,99,999,999,26.7,22.4,99999,3.25,E,99999
1310030017,2008,1310030,13,002,01,2008,0910,1600,0,01,0.8,99,99,999,999,26.4,22.8,99999,4,E,99999
1310030018,2008,1310030,13,002,01,2008,1008,1100,0,01,0.74,99,99,999,999,18.5,18.2,99999,3.7,E,99999
1310030019,2008,1310030,13,002,01,2008,1008,1600,0,01,0.77,99,99,999,999,19.5,18.3,99999,3.85,E,99999
1310030020,2008,1310030,13,002,01,2008,1105,1100,0,03,0.77,99,99,999,999,14.8,14,99999,3.85,E,99999
1310030021,2008,1310030,13,002,01,2008,1105,1600,0,03,0.73,99,99,999,999,17.3,14.2,99999,3.65,E,99999
