レコードID,測定年度,絶対番号,都道府県コード,水域コード,地点コード,pH_C,pH,DO_C,DO(mg/l),BOD_C,BOD(mg/l),COD_C,COD(mg/l),SS_C,SS(mg/l),大腸菌群数_C,大腸菌群数(MPN/100ml),n-ヘキサン抽出物質_C,n-ヘキサン抽出物質(mg/l)
1410010001,2009,1410010,14,001,03,#,7.3,#,6.5,#,2.5,#,6,#,9,#,220000,E,99999
1410010002,2009,1410010,14,001,03,#,7.8,#,7.1,#,2.3,E,99999,#,12,E,99999,E,99999
1410010003,2009,1410010,14,001,03,#,7.4,#,6.8,#,1.8,E,99999,#,7,E,99999,E,99999
1410010004,2009,1410010,14,001,03,#,7.7,#,6.4,#,1.8,E,99999,#,6,E,99999,E,99999
1410010005,2009,1410010,14,001,03,#,7.7,#,6.5,#,1.7,#,3.7,#,7,#,1700,E,99999
1410010006,2009,1410010,14,001,03,#,7.8,#,7.2,#,1.8,E,99999,#,11,E,99999,E,99999
1410010007,2009,1410010,14,001,03,#,7.7,#,7.1,#,1.6,E,99999,#,6,E,99999,E,99999
1410010008,2009,1410010,14,001,03,#,7.6,#,6.3,#,1.3,E,99999,#,4,E,99999,E,99999
1410010009,2009,1410010,14,001,03,#,7.5,#,6.5,#,1.1,#,4.1,#,4,#,1300,E,99999
1410010010,2009,1410010,14,001,03,#,7.6,#,6.5,#,1.4,E,99999,#,6,E,99999,E,99999
1410010011,2009,1410010,14,001,03,#,7.5,#,6.4,#,1.2,E,99999,#,5,E,99999,E,99999
1410010012,2009,1410010,14,001,03,#,7.7,#,5.3,#,1.5,E,99999,#,4,E,99999,E,99999
1410010013,2009,1410010,14,001,03,#,7.6,#,5.6,#,1.7,#,5.3,#,7,#,3300,E,99999
1410010014,2009,1410010,14,001,03,#,7.8,#,5.7,#,1.9,E,99999,#,19,E,99999,E,99999
1410010015,2009,1410010,14,001,03,#,7.8,#,4.7,#,2.3,E,99999,#,10,E,99999,E,99999
1410010016,2009,1410010,14,001,03,#,7.7,#,5.7,#,1.3,E,99999,#,4,E,99999,E,99999
1410010017,2009,1410010,14,001,03,#,7.6,#,7.6,#,1.8,#,5.2,#,7,#,7900,E,99999
1410010018,2009,1410010,14,001,03,#,7.9,#,7.1,#,2,E,99999,#,15,E,99999,E,99999
1410010019,2009,1410010,14,001,03,#,7.5,#,6.5,#,1.2,E,99999,#,6,E,99999,E,99999
1410010020,2009,1410010,14,001,03,#,7.6,#,5.9,#,1.1,E,99999,#,3,E,99999,E,99999
1410010021,2009,1410010,14,001,03,#,7.5,#,6.4,#,1.3,#,4.2,#,4,#,2200,E,99999
1410010022,2009,1410010,14,001,03,#,7.7,#,6.5,#,1.6,E,99999,#,4,E,99999,E,99999
1410010023,2009,1410010,14,001,03,#,7.6,#,5.9,#,1.4,E,99999,#,4,E,99999,E,99999
1410010024,2009,1410010,14,001,03,#,7.7,#,5.2,#,0.9,E,99999,#,6,E,99999,E,99999
1410010025,2009,1410010,14,001,03,#,7.5,#,6.1,#,1.2,#,3.8,#,7,#,3300,E,99999
1410010026,2009,1410010,14,001,03,#,7.5,#,6.5,#,1.1,E,99999,#,5,E,99999,E,99999
1410010027,2009,1410010,14,001,03,#,7.5,#,5.3,#,0.9,E,99999,#,5,E,99999,E,99999
1410010028,2009,1410010,14,001,03,#,7.5,#,4.3,#,0.8,E,99999,#,7,E,99999,E,99999
1410010029,2009,1410010,14,001,03,#,7.6,#,6.6,#,1,#,3.4,#,6,#,790,E,99999
1410010030,2009,1410010,14,001,03,#,7.6,#,6.6,#,0.8,E,99999,#,6,E,99999,E,99999
1410010031,2009,1410010,14,001,03,#,7.8,#,6.7,#,0.9,E,99999,#,4,E,99999,E,99999
1410010032,2009,1410010,14,001,03,#,7.7,#,6.4,#,0.8,E,99999,#,4,E,99999,E,99999
1410010033,2009,1410010,14,001,03,#,7.6,#,6.9,#,1.1,#,3.7,#,5,#,940,E,99999
1410010034,2009,1410010,14,001,03,#,7.6,#,7.6,#,1,E,99999,#,4,E,99999,E,99999
1410010035,2009,1410010,14,001,03,#,7.5,#,7.7,#,1,E,99999,#,5,E,99999,E,99999
1410010036,2009,1410010,14,001,03,#,7.8,#,6.6,#,1.3,E,99999,#,9,E,99999,E,99999
1410010037,2009,1410010,14,001,03,#,7.7,#,8.5,#,0.9,#,2.7,#,2,#,1300,E,99999
1410010038,2009,1410010,14,001,03,#,7.7,#,8.5,#,1.4,E,99999,#,4,E,99999,E,99999
1410010039,2009,1410010,14,001,03,#,7.9,#,8.2,#,1,E,99999,#,5,E,99999,E,99999
1410010040,2009,1410010,14,001,03,#,7.7,#,8.2,#,1,E,99999,#,2,E,99999,E,99999
1410010041,2009,1410010,14,001,03,#,7.7,#,9.5,#,2.7,#,4.9,#,4,#,79000,E,99999
1410010042,2009,1410010,14,001,03,#,7.9,#,9.6,#,1.9,E,99999,#,5,E,99999,E,99999
1410010043,2009,1410010,14,001,03,#,7.9,#,9.1,#,1.2,E,99999,#,6,E,99999,E,99999
1410010044,2009,1410010,14,001,03,#,7.8,#,8.8,#,1.7,E,99999,#,5,E,99999,E,99999
1410010045,2009,1410010,14,001,03,#,7.5,#,8.9,#,1.4,#,5.6,#,10,#,4600,E,99999
1410010046,2009,1410010,14,001,03,#,7.8,#,9,#,1.5,E,99999,#,9,E,99999,E,99999
1410010047,2009,1410010,14,001,03,#,7.6,#,8.8,#,1.6,E,99999,#,7,E,99999,E,99999
1410010048,2009,1410010,14,001,03,#,7.7,#,8.9,#,1.6,E,99999,#,7,E,99999,E,99999
1410020001,2009,1410020,14,001,53,#,7.2,#,6.6,#,2.7,#,5.8,#,10,#,330000,E,99999
1410020002,2009,1410020,14,001,53,#,7.5,#,6.6,#,3.1,E,99999,#,11,E,99999,E,99999
1410020003,2009,1410020,14,001,53,#,7.3,#,6.8,#,1.7,E,99999,#,6,E,99999,E,99999
1410020004,2009,1410020,14,001,53,#,7.3,#,6.4,#,1.6,E,99999,#,5,E,99999,E,99999
1410020005,2009,1410020,14,001,53,#,7.5,#,7.3,#,1.2,#,4.4,#,2,#,3300,E,99999
1410020006,2009,1410020,14,001,53,#,7.4,#,6.9,#,0.8,E,99999,#,6,E,99999,E,99999
1410020007,2009,1410020,14,001,53,#,7.5,#,7.4,#,1,E,99999,#,3,E,99999,E,99999
1410020008,2009,1410020,14,001,53,#,7.6,#,6.2,#,3.6,E,99999,#,6,E,99999,E,99999
1410020009,2009,1410020,14,001,53,#,7.5,#,4.1,#,1.3,#,3.4,#,3,#,1300,E,99999
1410020010,2009,1410020,14,001,53,#,7.4,#,6.5,#,1.3,E,99999,#,4,E,99999,E,99999
1410020011,2009,1410020,14,001,53,#,7.5,#,4.1,#,1.7,E,99999,#,4,E,99999,E,99999
1410020012,2009,1410020,14,001,53,#,7.4,#,7.5,#,1.2,E,99999,#,3,E,99999,E,99999
1410020013,2009,1410020,14,001,53,#,7.6,#,6.5,#,1.1,#,5.3,#,5,#,7900,E,99999
1410020014,2009,1410020,14,001,53,#,7.6,#,6.1,#,1.8,E,99999,#,9,E,99999,E,99999
1410020015,2009,1410020,14,001,53,#,7.5,#,6.4,#,1.7,E,99999,#,6,E,99999,E,99999
1410020016,2009,1410020,14,001,53,#,7.6,#,5.3,#,2.6,E,99999,#,5,E,99999,E,99999
1410020017,2009,1410020,14,001,53,#,7.5,#,7.2,#,2.1,#,5.3,#,4,#,1100,E,99999
1410020018,2009,1410020,14,001,53,#,7.6,#,8.2,#,2.7,E,99999,#,6,E,99999,E,99999
1410020019,2009,1410020,14,001,53,#,7.7,#,8.6,#,1,E,99999,#,2,E,99999,E,99999
1410020020,2009,1410020,14,001,53,#,7.5,#,6.7,#,1.7,E,99999,#,4,E,99999,E,99999
1410020021,2009,1410020,14,001,53,#,7.5,#,6.8,#,1.4,#,4.4,#,3,#,2300,E,99999
1410020022,2009,1410020,14,001,53,#,7.5,#,5.7,#,1,E,99999,#,5,E,99999,E,99999
1410020023,2009,1410020,14,001,53,#,7.5,#,6.8,#,1.2,E,99999,#,2,E,99999,E,99999
1410020024,2009,1410020,14,001,53,#,7.4,#,6.1,#,0.9,E,99999,#,6,E,99999,E,99999
1410020025,2009,1410020,14,001,53,#,7.5,#,6.5,#,1.4,#,4,#,9,#,4600,E,99999
1410020026,2009,1410020,14,001,53,#,7.4,#,7.6,#,0.6,E,99999,#,2,E,99999,E,99999
1410020027,2009,1410020,14,001,53,#,7.4,#,7.5,#,0.9,E,99999,#,6,E,99999,E,99999
