レコードID,測定年度,絶対番号,都道府県コード,水域コード,地点コード,採取_年,採取_月日,採取_時分,調査区分コード,採取位置コード,採取水深(m),天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度_C,透明度(m)
1210010001,2008,1210010,12,001,01,2008,0416,1000,0,01,0.27,99,99,999,999,21.5,15.5,120.52,99999,E,99999
1210010002,2008,1210010,12,001,01,2008,0416,1600,0,01,0.27,99,99,999,999,19,15.2,110.23,99999,E,99999
1210010003,2008,1210010,12,001,01,2008,0514,1000,0,01,0.25,99,99,999,999,10.2,11.7,74.94,99999,E,99999
1210010004,2008,1210010,12,001,01,2008,0514,1600,0,01,0.24,99,99,999,999,13,13,66.71,99999,E,99999
1210010005,2008,1210010,12,001,01,2008,0604,1000,0,01,0.62,99,99,999,999,18.7,15.4,373.31,99999,E,99999
1210010006,2008,1210010,12,001,01,2008,0604,1600,0,01,0.62,99,99,999,999,21.4,16.6,363.24,99999,E,99999
1210010007,2008,1210010,12,001,01,2008,0702,1100,0,01,0.45,99,99,999,999,26.9,21.5,251.63,99999,E,99999
1210010008,2008,1210010,12,001,01,2008,0702,1500,0,01,0.43,99,99,999,999,28.5,22.5,244.84,99999,E,99999
1210010009,2008,1210010,12,001,01,2008,0702,1900,0,01,0.42,99,99,999,999,22.6,20.6,227.16,99999,E,99999
1210010010,2008,1210010,12,001,01,2008,0702,2300,0,01,0.41,99,99,999,999,22.7,20.8,203.36,99999,E,99999
1210010011,2008,1210010,12,001,01,2008,0703,0300,0,01,0.4,99,99,999,999,21.8,21,178.84,99999,E,99999
1210010012,2008,1210010,12,001,01,2008,0703,0700,0,01,0.39,99,99,999,999,22.7,21.3,164.89,99999,E,99999
1210010013,2008,1210010,12,001,01,2008,0703,1100,0,01,0.38,99,99,999,999,25.7,21.9,139.89,99999,E,99999
1210010014,2008,1210010,12,001,01,2008,0813,1000,0,01,0.22,99,99,999,999,34.2,28.4,67.28,99999,E,99999
1210010015,2008,1210010,12,001,01,2008,0813,1600,0,01,0.22,99,99,999,999,33,29,68.75,99999,E,99999
1210010016,2008,1210010,12,001,01,2008,0910,1000,0,01,0.37,99,99,999,999,26,22.2,164.69,99999,E,99999
1210010017,2008,1210010,12,001,01,2008,0910,1600,0,01,0.37,99,99,999,999,27.7,22.6,164.52,99999,E,99999
1210010018,2008,1210010,12,001,01,2008,1008,0900,0,01,0.31,99,99,999,999,17.4,18.2,133.4,99999,E,99999
1210010019,2008,1210010,12,001,01,2008,1008,1600,0,01,0.3,99,99,999,999,18.8,18.5,135.31,99999,E,99999
1210010020,2008,1210010,12,001,01,2008,1105,1000,0,01,0.17,99,99,999,999,12.9,13,36.38,99999,E,99999
1210010021,2008,1210010,12,001,01,2008,1105,1600,0,01,0.14,99,99,999,999,16.5,14,44.27,99999,E,99999
1210010022,2008,1210010,12,001,01,2008,1217,1100,0,01,0.16,99,99,999,999,6.1,8.1,32.07,99999,E,99999
1210010023,2008,1210010,12,001,01,2008,1217,1500,0,01,0.15,99,99,999,999,6.5,7.9,35.71,99999,E,99999
1210010024,2008,1210010,12,001,01,2008,1217,1900,0,01,0.15,99,99,999,999,7.1,8.1,36.98,99999,E,99999
1210010025,2008,1210010,12,001,01,2008,1217,2300,0,01,0.17,99,99,999,999,7.9,8.1,41.72,99999,E,99999
1210010026,2008,1210010,12,001,01,2008,1218,0300,0,01,0.18,99,99,999,999,7.5,8.1,43.93,99999,E,99999
1210010027,2008,1210010,12,001,01,2008,1218,0700,0,01,0.19,99,99,999,999,4.2,7.2,42.82,99999,E,99999
1210010028,2008,1210010,12,001,01,2008,1218,1100,0,01,0.18,99,99,999,999,11.2,9.2,39.37,99999,E,99999
1210010029,2008,1210010,12,001,01,2009,0107,1000,0,01,0.15,99,99,999,999,5.6,5.3,32.01,99999,E,99999
1210010030,2008,1210010,12,001,01,2009,0107,1600,0,01,0.16,99,99,999,999,7.5,6.6,33.89,99999,E,99999
1210010031,2008,1210010,12,001,01,2009,0204,1000,0,01,0.22,99,99,999,999,8.3,7.4,62.55,99999,E,99999
1210010032,2008,1210010,12,001,01,2009,0204,1600,0,01,0.22,99,99,999,999,7.8,7.4,78.94,99999,E,99999
1210010033,2008,1210010,12,001,01,2009,0311,1000,0,01,0.21,99,99,999,999,7.3,8.3,67.05,99999,E,99999
1210010034,2008,1210010,12,001,01,2009,0311,1600,0,01,0.19,99,99,999,999,10.3,9.5,57.06,99999,E,99999
1210020001,2008,1210020,12,001,02,2008,0416,0900,0,02,0.38,99,99,999,999,17.5,14.1,99999,99999,E,99999
1210020002,2008,1210020,12,001,02,2008,0416,1400,0,02,0.46,99,99,999,999,18.5,15.2,99999,99999,E,99999
1210020003,2008,1210020,12,001,02,2008,0514,0900,0,02,0.57,99,99,999,999,10.1,12,99999,99999,E,99999
1210020004,2008,1210020,12,001,02,2008,0514,1400,0,02,0.58,99,99,999,999,15.2,12.7,99999,99999,E,99999
1210020005,2008,1210020,12,001,02,2008,0604,0900,0,02,0.51,99,99,999,999,20.4,15.5,99999,99999,E,99999
1210020006,2008,1210020,12,001,02,2008,0604,1400,0,02,0.42,99,99,999,999,22.1,15.6,99999,99999,E,99999
1210020007,2008,1210020,12,001,02,2008,0702,1000,0,02,0.24,99,99,999,999,23.4,21.2,99999,99999,E,99999
1210020008,2008,1210020,12,001,02,2008,0702,1400,0,02,0.24,99,99,999,999,27.4,22.5,99999,99999,E,99999
1210020009,2008,1210020,12,001,02,2008,0813,0900,0,02,0.18,99,99,999,999,30.6,27.7,99999,99999,E,99999
1210020010,2008,1210020,12,001,02,2008,0813,1400,0,02,0.18,99,99,999,999,31.8,29,99999,99999,E,99999
