レコードID,測定年度,絶対番号,都道府県コード,水域コード,地点コード,全窒素_C,全窒素(mg/l),全燐_C,全燐(mg/l)
1310010001,2007,1310010,13,001,01,#,2.24,#,0.115
1310010006,2007,1310010,13,001,01,#,2.04,#,0.099
1310010011,2007,1310010,13,001,01,#,1.98,#,0.132
1310010016,2007,1310010,13,001,01,#,2.08,#,0.118
1310010030,2007,1310010,13,001,01,#,2.88,#,0.295
1310010035,2007,1310010,13,001,01,#,2.25,#,0.101
1310010040,2007,1310010,13,001,01,#,3.02,#,0.096
1310010045,2007,1310010,13,001,01,#,3.41,#,0.078
1310010050,2007,1310010,13,001,01,#,3.2,#,0.085
1310010064,2007,1310010,13,001,01,#,3.06,#,0.083
1310010069,2007,1310010,13,001,01,#,3.06,#,0.114
1310010074,2007,1310010,13,001,01,#,3.44,#,0.16
1310030001,2007,1310030,13,002,01,#,2.74,#,0.115
1310030004,2007,1310030,13,002,01,#,1.75,#,0.101
1310030007,2007,1310030,13,002,01,#,1.81,#,0.104
1310030010,2007,1310030,13,002,01,#,2.09,#,0.117
1310030018,2007,1310030,13,002,01,#,2.87,#,0.142
1310030021,2007,1310030,13,002,01,#,2.49,#,0.104
1310030024,2007,1310030,13,002,01,#,2.98,#,0.095
1310030027,2007,1310030,13,002,01,#,3.3,#,0.085
1310030030,2007,1310030,13,002,01,#,3.25,#,0.099
1310030038,2007,1310030,13,002,01,#,2.93,#,0.076
1310030041,2007,1310030,13,002,01,#,3.32,#,0.114
1310030044,2007,1310030,13,002,01,#,3.25,#,0.143
1310040001,2007,1310040,13,002,51,#,2.41,#,0.11
1310040004,2007,1310040,13,002,51,#,1.78,#,0.091
1310040007,2007,1310040,13,002,51,#,2.29,#,0.118
1310040010,2007,1310040,13,002,51,#,2.07,#,0.108
1310040013,2007,1310040,13,002,51,#,3.05,#,0.146
1310040016,2007,1310040,13,002,51,#,2.29,#,0.101
1310040019,2007,1310040,13,002,51,#,2.83,#,0.082
1310040022,2007,1310040,13,002,51,#,3.4,#,0.08
1310040025,2007,1310040,13,002,51,#,3.3,#,0.096
1310040028,2007,1310040,13,002,51,#,3.05,#,0.083
1310040031,2007,1310040,13,002,51,#,3.47,#,0.143
1310040034,2007,1310040,13,002,51,#,3.5,#,0.166
1310060001,2007,1310060,13,003,01,#,3.41,#,0.175
