レコードID,測定年度,絶対番号,都道府県コード,水域コード,地点コード,pH_C,pH,DO_C,DO(mg/l),BOD_C,BOD(mg/l),COD_C,COD(mg/l),SS_C,SS(mg/l),大腸菌群数_C,大腸菌群数(MPN/100ml),n-ヘキサン抽出物質_C,n-ヘキサン抽出物質(mg/l)
1210010001,1983,1210010,12,001,01,#,7,#,9.3,#,1.3,#,5.4,#,50,#,13000,E,99999
1210010002,1983,1210010,12,001,01,#,7,#,9.1,#,2.5,#,6.3,#,49,E,99999,E,99999
1210010003,1983,1210010,12,001,01,#,7.1,#,9.7,#,1.2,#,5.1,#,47,E,99999,E,99999
1210010004,1983,1210010,12,001,01,#,7.2,#,8.4,#,2.7,#,4.5,#,15,#,7900,E,99999
1210010005,1983,1210010,12,001,01,#,7.3,#,9.1,#,2.7,#,4.5,#,13,E,99999,E,99999
1210010006,1983,1210010,12,001,01,#,7.4,#,8.8,#,2.6,#,4.5,#,31,E,99999,E,99999
1210010007,1983,1210010,12,001,01,#,8,#,11,#,4.6,#,7,#,17,#,24000,E,99999
1210010008,1983,1210010,12,001,01,#,8.6,#,12,#,4.3,#,7.3,#,20,E,99999,E,99999
1210010009,1983,1210010,12,001,01,#,8.5,#,9.8,#,5.1,#,10,#,130,E,99999,E,99999
1210010010,1983,1210010,12,001,01,#,7.4,#,7.2,#,2,#,4.7,#,46,#,240000,E,99999
1210010011,1983,1210010,12,001,01,#,7.4,#,6.9,#,2.6,#,4.2,#,37,E,99999,E,99999
1210010012,1983,1210010,12,001,01,#,7.4,#,7.7,#,1.5,#,4.3,#,44,E,99999,E,99999
1210010013,1983,1210010,12,001,01,#,7.2,#,8.5,#,0.7,#,4.9,#,96,#,33000,E,99999
1210010014,1983,1210010,12,001,01,#,7.1,#,8.2,#,0.9,#,4.7,#,91,E,99999,E,99999
1210010015,1983,1210010,12,001,01,#,7,#,7.9,#,1.2,#,4.6,#,77,E,99999,E,99999
1210010016,1983,1210010,12,001,01,#,7.3,#,8.5,#,2.1,#,4.6,#,20,#,49000,E,99999
1210010017,1983,1210010,12,001,01,#,7.2,#,8.8,#,3.7,#,5.3,#,16,E,99999,E,99999
1210010018,1983,1210010,12,001,01,#,7.3,#,8.6,#,2.2,#,4.1,#,22,E,99999,E,99999
1210010019,1983,1210010,12,001,01,#,7.2,#,8.6,#,1,#,3.2,#,20,#,13000,E,99999
1210010020,1983,1210010,12,001,01,#,7.2,#,8.8,#,1,#,2.9,#,17,E,99999,E,99999
1210010021,1983,1210010,12,001,01,#,7.2,#,10,#,1.2,#,2.9,#,21,E,99999,E,99999
1210010022,1983,1210010,12,001,01,#,7.4,#,9.3,#,1.3,#,2.7,#,6,#,33000,E,99999
1210010023,1983,1210010,12,001,01,#,7.3,#,9.3,#,1.4,#,2.4,#,7,E,99999,E,99999
1210010024,1983,1210010,12,001,01,#,7.4,#,9.5,#,0.8,#,2.3,#,12,E,99999,E,99999
1210010025,1983,1210010,12,001,01,#,7.2,#,11,#,1.2,#,3.1,#,15,#,4900,E,99999
1210010026,1983,1210010,12,001,01,#,7.2,#,11,#,1.3,#,3,#,12,E,99999,E,99999
1210010027,1983,1210010,12,001,01,#,7.2,#,10,#,1.7,#,3.2,#,15,E,99999,E,99999
1210010028,1983,1210010,12,001,01,#,7.6,#,12,#,2.3,#,3,#,6,#,7900,E,99999
1210010029,1983,1210010,12,001,01,#,7.6,#,12,#,2.5,#,3.3,#,7,E,99999,E,99999
1210010030,1983,1210010,12,001,01,#,7.6,#,12,#,1.9,#,3.1,#,7,E,99999,E,99999
1210010031,1983,1210010,12,001,01,#,7.4,#,12,#,2,#,4.1,#,5,#,3300,E,99999
1210010032,1983,1210010,12,001,01,#,7.4,#,12,#,1.7,#,4,#,8,E,99999,E,99999
1210010033,1983,1210010,12,001,01,#,7.4,#,13,#,2.3,#,4.5,#,8,E,99999,E,99999
1210010034,1983,1210010,12,001,01,#,7.2,#,9.4,#,3.2,#,4.4,#,6,#,7900,E,99999
1210010035,1983,1210010,12,001,01,#,7.3,#,9.6,#,3.4,#,4.9,#,6,E,99999,E,99999
1210010036,1983,1210010,12,001,01,#,7.3,#,9.7,#,3.4,#,4.2,#,11,E,99999,E,99999
1210020001,1983,1210020,12,001,02,#,7,#,9,#,1.5,#,4.5,#,22,#,13000,E,99999
1210020002,1983,1210020,12,001,02,#,7,#,8.9,#,1.6,#,5.3,#,27,E,99999,E,99999
1210020003,1983,1210020,12,001,02,#,7,#,9.3,#,2.4,#,5.9,#,54,E,99999,E,99999
1210020004,1983,1210020,12,001,02,#,7.3,#,9.8,#,4.1,#,5.2,#,15,#,13000,E,99999
1210020005,1983,1210020,12,001,02,#,7.4,#,10,#,4.4,#,5.2,#,12,E,99999,E,99999
1210020006,1983,1210020,12,001,02,#,7.3,#,8.6,#,4.1,#,5,#,17,E,99999,E,99999
1210020007,1983,1210020,12,001,02,#,8.9,#,11,#,6.9,#,9.8,#,21,#,13000,E,99999
1210020008,1983,1210020,12,001,02,#,8.9,#,12,#,7,#,9.6,#,19,E,99999,E,99999
1210020009,1983,1210020,12,001,02,#,8.9,#,9.1,#,5,#,7.5,#,22,E,99999,E,99999
1210020010,1983,1210020,12,001,02,#,7.5,#,7.4,#,1.5,#,3.8,#,21,#,24000,E,99999
1210020011,1983,1210020,12,001,02,#,7.5,#,7.3,#,1.8,#,3.8,#,20,E,99999,E,99999
1210020012,1983,1210020,12,001,02,#,7.5,#,7.4,#,2.7,#,6,#,67,E,99999,E,99999
1210020013,1983,1210020,12,001,02,#,7.2,#,8.7,#,1.1,#,4.7,#,98,#,130000,E,99999
1210020014,1983,1210020,12,001,02,#,7,#,8.4,#,1.1,#,4.7,#,94,E,99999,E,99999
1210020015,1983,1210020,12,001,02,#,7,#,8.2,#,1.2,#,5.3,#,89,E,99999,E,99999
1210020016,1983,1210020,12,001,02,#,7.5,#,8.5,#,2.4,#,5,#,18,#,49000,E,99999
1210020017,1983,1210020,12,001,02,#,7.5,#,9.6,#,3.5,#,6.4,#,41,E,99999,E,99999
1210020018,1983,1210020,12,001,02,#,7.6,#,9.4,#,3.6,#,4.4,#,27,E,99999,E,99999
1210020019,1983,1210020,12,001,02,#,7.1,#,10,#,1.1,#,3.8,#,19,#,24000,E,99999
1210020020,1983,1210020,12,001,02,#,7.1,#,8.8,#,2.3,#,3.6,#,9,E,99999,E,99999
1210020021,1983,1210020,12,001,02,#,8.3,#,8.9,#,1.4,#,3.3,#,26,E,99999,E,99999
1210020022,1983,1210020,12,001,02,#,7.4,#,9.2,#,2.2,#,3.1,#,10,#,7900,E,99999
1210020023,1983,1210020,12,001,02,#,7.3,#,9.6,#,1.6,#,3.2,#,10,E,99999,E,99999
1210020024,1983,1210020,12,001,02,#,7.5,#,9.5,#,1.6,#,2.8,#,9,E,99999,E,99999
