レコードID,測定年度,絶対番号,都道府県コード,水域コード,地点コード,全窒素_C,全窒素(mg/l),全燐_C,全燐(mg/l)
1410010001,2005,1410010,14,001,03,#,5.41,#,0.323
1410010002,2005,1410010,14,001,03,#,3.62,#,0.239
1410010003,2005,1410010,14,001,03,#,3.42,#,0.197
1410010004,2005,1410010,14,001,03,#,2.01,#,0.148
1410010005,2005,1410010,14,001,03,#,5.37,#,0.328
1410010006,2005,1410010,14,001,03,#,3.2,#,0.247
1410010007,2005,1410010,14,001,03,#,5.32,#,0.291
1410010008,2005,1410010,14,001,03,#,4.83,#,0.275
1410010009,2005,1410010,14,001,03,#,5.48,#,0.352
1410010010,2005,1410010,14,001,03,#,2.45,#,0.248
1410010011,2005,1410010,14,001,03,#,3.86,#,0.275
1410010012,2005,1410010,14,001,03,#,3.81,#,0.282
1410010013,2005,1410010,14,001,03,#,3.34,#,0.243
1410010014,2005,1410010,14,001,03,#,2.41,#,0.2
1410010015,2005,1410010,14,001,03,#,3.4,#,0.21
1410010016,2005,1410010,14,001,03,#,3.49,#,0.233
1410010017,2005,1410010,14,001,03,#,3.09,#,0.214
1410010018,2005,1410010,14,001,03,#,2.68,#,0.212
1410010019,2005,1410010,14,001,03,#,3.77,#,0.209
1410010020,2005,1410010,14,001,03,#,2.77,#,0.232
1410010021,2005,1410010,14,001,03,#,3.63,#,0.194
1410010022,2005,1410010,14,001,03,#,2.91,#,0.178
1410010023,2005,1410010,14,001,03,#,2.95,#,0.188
1410010024,2005,1410010,14,001,03,#,2.22,#,0.187
1410010025,2005,1410010,14,001,03,#,4.36,#,0.25
1410010026,2005,1410010,14,001,03,#,3.89,#,0.248
1410010027,2005,1410010,14,001,03,#,3.82,#,0.241
1410010028,2005,1410010,14,001,03,#,4.69,#,0.272
1410010029,2005,1410010,14,001,03,#,2.49,#,0.157
1410010030,2005,1410010,14,001,03,#,4.95,#,0.251
1410010031,2005,1410010,14,001,03,#,2.65,#,0.164
1410010032,2005,1410010,14,001,03,#,2.03,#,0.145
1410010033,2005,1410010,14,001,03,#,2.42,#,0.148
1410010034,2005,1410010,14,001,03,#,5.88,#,0.264
1410010035,2005,1410010,14,001,03,#,2.42,#,0.163
1410010036,2005,1410010,14,001,03,#,3.51,#,0.195
1410010037,2005,1410010,14,001,03,#,6.08,#,0.306
1410010038,2005,1410010,14,001,03,#,3.08,#,0.164
1410010039,2005,1410010,14,001,03,#,5.4,#,0.269
1410010040,2005,1410010,14,001,03,#,3.37,#,0.218
1410010041,2005,1410010,14,001,03,#,3.66,#,0.229
1410010042,2005,1410010,14,001,03,#,2.95,#,0.185
1410010043,2005,1410010,14,001,03,#,2.99,#,0.178
1410010044,2005,1410010,14,001,03,#,3.37,#,0.224
1410010045,2005,1410010,14,001,03,#,6.92,#,0.333
1410010046,2005,1410010,14,001,03,#,7.12,#,0.35
1410010047,2005,1410010,14,001,03,#,6.83,#,0.336
1410010048,2005,1410010,14,001,03,#,7.05,#,0.354
1410020001,2005,1410020,14,001,53,#,7.49,#,0.429
1410020005,2005,1410020,14,001,53,#,7.29,#,0.397
1410020009,2005,1410020,14,001,53,#,6.16,#,0.386
1410020013,2005,1410020,14,001,53,#,4.32,#,0.233
1410020017,2005,1410020,14,001,53,#,4.47,#,0.169
1410020021,2005,1410020,14,001,53,#,4.01,#,0.174
1410020025,2005,1410020,14,001,53,#,4.69,#,0.25
1410020029,2005,1410020,14,001,53,#,1.87,#,0.154
1410020033,2005,1410020,14,001,53,#,4.25,#,0.221
1410020037,2005,1410020,14,001,53,#,9.67,#,0.471
1410020041,2005,1410020,14,001,53,#,6.42,#,0.378
1410020045,2005,1410020,14,001,53,#,8.17,#,0.382
1410040001,2005,1410040,14,001,02,#,5.69,#,0.369
1410040002,2005,1410040,14,001,02,#,5.61,#,0.383
1410040003,2005,1410040,14,001,02,#,5.13,#,0.383
1410040004,2005,1410040,14,001,02,#,5.43,#,0.362
1410040005,2005,1410040,14,001,02,#,6.56,#,0.384
1410040006,2005,1410040,14,001,02,#,6.24,#,0.408
1410040007,2005,1410040,14,001,02,#,6.18,#,0.414
1410040008,2005,1410040,14,001,02,#,6.08,#,0.41
1410040009,2005,1410040,14,001,02,#,5.76,#,0.257
1410040010,2005,1410040,14,001,02,#,5.5,#,0.278
1410040011,2005,1410040,14,001,02,#,5.05,#,0.28
1410040012,2005,1410040,14,001,02,#,5.57,#,0.284
