レコードID,測定年度,絶対番号,都道府県コード,水域コード,地点コード,全窒素_C,全窒素(mg/l),全燐_C,全燐(mg/l)
1210010001,1986,1210010,12,001,01,#,1.5,#,0.16
1210010004,1986,1210010,12,001,01,#,1.6,#,0.1
1210010007,1986,1210010,12,001,01,#,1.7,#,0.12
1210010010,1986,1210010,12,001,01,#,2.7,#,0.21
1210010013,1986,1210010,12,001,01,#,3.4,#,0.06
1210010016,1986,1210010,12,001,01,#,3.2,#,0.07
1210010019,1986,1210010,12,001,01,#,2.8,#,0.1
1210010022,1986,1210010,12,001,01,#,3.4,#,0.11
1210010025,1986,1210010,12,001,01,#,3.1,#,0.12
1210010028,1986,1210010,12,001,01,#,3.6,#,0.1
1210010031,1986,1210010,12,001,01,#,3.6,#,0.13
1210010034,1986,1210010,12,001,01,#,2.2,#,0.14
1210020001,1986,1210020,12,001,02,#,1.5,#,0.13
1210020004,1986,1210020,12,001,02,#,1.6,#,0.08
1210020007,1986,1210020,12,001,02,#,1.9,#,0.1
1210020010,1986,1210020,12,001,02,#,2.4,#,0.36
1210020013,1986,1210020,12,001,02,#,3.7,#,0.06
1210020016,1986,1210020,12,001,02,#,3.2,#,0.06
1210020019,1986,1210020,12,001,02,#,2.8,#,0.13
1210020022,1986,1210020,12,001,02,#,3.4,#,0.11
1210020025,1986,1210020,12,001,02,#,3.4,#,0.18
1210020028,1986,1210020,12,001,02,#,3.8,#,0.11
1210020031,1986,1210020,12,001,02,#,3.6,#,0.14
1210020034,1986,1210020,12,001,02,#,2.5,#,0.16
1210030001,1986,1210030,12,001,51,#,1.2,#,0.09
1210030003,1986,1210030,12,001,51,#,1.4,#,0.05
1210030005,1986,1210030,12,001,51,#,1.5,#,0.06
1210030007,1986,1210030,12,001,51,#,2.3,#,0.15
1210030009,1986,1210030,12,001,51,#,3.5,#,0.05
1210030011,1986,1210030,12,001,51,#,2.8,#,0.05
1210030013,1986,1210030,12,001,51,#,2.7,#,0.07
1210030015,1986,1210030,12,001,51,#,3.2,#,0.07
1210030017,1986,1210030,12,001,51,#,2.9,#,0.1
1210030019,1986,1210030,12,001,51,#,3.3,#,0.06
1210030021,1986,1210030,12,001,51,#,3,#,0.1
1210030023,1986,1210030,12,001,51,#,1.8,#,0.11
1210040001,1986,1210040,12,001,52,#,1.3,#,0.1
1210040003,1986,1210040,12,001,52,#,1.5,#,0.07
1210040005,1986,1210040,12,001,52,#,1.7,#,0.08
1210040007,1986,1210040,12,001,52,#,2.5,#,0.18
1210040009,1986,1210040,12,001,52,#,3.4,#,0.07
1210040011,1986,1210040,12,001,52,#,2.9,#,0.05
1210040013,1986,1210040,12,001,52,#,2.7,#,0.1
1210040015,1986,1210040,12,001,52,#,3.3,#,0.06
1210040017,1986,1210040,12,001,52,#,3.1,#,0.11
1210040019,1986,1210040,12,001,52,#,3.4,#,0.06
1210040021,1986,1210040,12,001,52,#,3,#,0.11
1210040023,1986,1210040,12,001,52,#,1.9,#,0.12
1210050001,1986,1210050,12,001,53,#,1.4,#,0.11
1210050004,1986,1210050,12,001,53,#,1.5,#,0.08
1210050007,1986,1210050,12,001,53,#,2,#,0.17
1210050010,1986,1210050,12,001,53,#,3.3,#,0.33
1210050013,1986,1210050,12,001,53,#,3.6,#,0.07
1210050016,1986,1210050,12,001,53,#,3.1,#,0.06
1210050019,1986,1210050,12,001,53,#,2.6,#,0.09
1210050022,1986,1210050,12,001,53,#,3.6,#,0.12
1210050025,1986,1210050,12,001,53,#,3.3,#,0.15
1210050028,1986,1210050,12,001,53,#,3.8,#,0.11
1210050031,1986,1210050,12,001,53,#,3.7,#,0.16
1210050034,1986,1210050,12,001,53,#,2.5,#,0.17
1210060001,1986,1210060,12,002,01,#,1.7,#,0.13
1210060004,1986,1210060,12,002,01,#,1.9,#,0.14
1210060007,1986,1210060,12,002,01,#,1.9,#,0.15
1210060010,1986,1210060,12,002,01,#,2.4,#,0.11
1210060013,1986,1210060,12,002,01,#,3.8,#,0.09
1210060016,1986,1210060,12,002,01,#,3,#,0.1
1210060019,1986,1210060,12,002,01,#,2.6,#,0.1
1210060022,1986,1210060,12,002,01,#,3.6,#,0.14
1210060025,1986,1210060,12,002,01,#,3.9,#,0.18
1210060028,1986,1210060,12,002,01,#,4.4,#,0.18
1210060031,1986,1210060,12,002,01,#,4.6,#,0.18
1210060034,1986,1210060,12,002,01,#,3.2,#,0.17
1210070001,1986,1210070,12,002,51,#,2.3,#,0.16
1210070003,1986,1210070,12,002,51,#,2,#,0.13
1210070005,1986,1210070,12,002,51,#,1.7,#,0.11
1210070007,1986,1210070,12,002,51,#,2.3,#,0.13
1210070009,1986,1210070,12,002,51,#,3.6,#,0.07
1210070011,1986,1210070,12,002,51,#,3.5,#,0.12
1210070013,1986,1210070,12,002,51,#,2.9,#,0.11
1210070015,1986,1210070,12,002,51,#,3.7,#,0.15
1210070017,1986,1210070,12,002,51,#,3.6,#,0.18
1210070019,1986,1210070,12,002,51,#,4,#,0.11
1210070021,1986,1210070,12,002,51,#,4,#,0.19
1210070023,1986,1210070,12,002,51,#,2.5,#,0.17
1210090001,1986,1210090,12,003,01,#,2.4,#,0.21
1210090003,1986,1210090,12,003,01,#,1.5,#,0.12
1210090005,1986,1210090,12,003,01,#,2.3,#,0.27
1210090007,1986,1210090,12,003,01,#,1.1,#,0.13
1210090009,1986,1210090,12,003,01,#,3.2,#,0.12
1210090011,1986,1210090,12,003,01,#,2.4,#,0.17
1210090013,1986,1210090,12,003,01,#,1.5,#,0.15
1210090015,1986,1210090,12,003,01,#,2.4,#,0.16
1210090017,1986,1210090,12,003,01,#,2,#,0.15
1210090019,1986,1210090,12,003,01,#,2.7,#,0.13
1210090021,1986,1210090,12,003,01,#,2.9,#,0.13
1210090023,1986,1210090,12,003,01,#,2.1,#,0.23
1210100001,1986,1210100,12,004,01,#,4.4,#,0.17
1210100003,1986,1210100,12,004,01,#,2.4,#,0.15
1210100005,1986,1210100,12,004,01,#,2.3,#,0.18
1210100007,1986,1210100,12,004,01,#,4.2,#,0.22
1210100010,1986,1210100,12,004,01,#,3.9,#,0.14
1210100011,1986,1210100,12,004,01,#,4.1,#,0.09
1210100013,1986,1210100,12,004,01,#,4.2,#,0.17
1210100015,1986,1210100,12,004,01,#,4.7,#,0.14
1210100017,1986,1210100,12,004,01,#,4.2,#,0.17
1210100019,1986,1210100,12,004,01,#,4.3,#,0.18
1210100021,1986,1210100,12,004,01,#,4.4,#,0.18
1210100023,1986,1210100,12,004,01,#,5.1,#,0.17
1210110002,1986,1210110,12,005,02,#,1.1,#,0.09
1210110004,1986,1210110,12,005,02,#,1,#,0.11
1210110006,1986,1210110,12,005,02,#,1.1,#,0.1
1210110008,1986,1210110,12,005,02,#,1.1,#,0.09
1210110010,1986,1210110,12,005,02,#,1.5,#,0.1
1210110012,1986,1210110,12,005,02,#,1.4,#,0.14
1210120001,1986,1210120,12,006,01,#,2,#,0.14
1210120002,1986,1210120,12,006,01,#,1.8,#,0.12
1210120003,1986,1210120,12,006,01,#,1.6,#,0.18
1210120004,1986,1210120,12,006,01,#,1.5,#,0.14
1210120005,1986,1210120,12,006,01,#,1.1,#,0.1
1210120006,1986,1210120,12,006,01,#,1.5,#,0.14
1210120007,1986,1210120,12,006,01,#,1.4,#,0.18
1210120008,1986,1210120,12,006,01,#,2,#,0.15
1210120009,1986,1210120,12,006,01,#,1.7,#,0.16
1210120010,1986,1210120,12,006,01,#,1.9,#,0.14
1210120011,1986,1210120,12,006,01,#,1.6,#,0.21
1210120012,1986,1210120,12,006,01,#,2.2,#,0.2
1210130001,1986,1210130,12,007,01,#,2.5,#,0.14
1210130002,1986,1210130,12,007,01,#,1.9,#,0.11
1210130003,1986,1210130,12,007,01,#,1.4,#,0.11
1210130004,1986,1210130,12,007,01,#,1.4,#,0.16
1210130005,1986,1210130,12,007,01,#,1.1,#,0.08
1210130006,1986,1210130,12,007,01,#,1.6,#,0.12
1210130007,1986,1210130,12,007,01,#,1.6,#,0.21
1210130008,1986,1210130,12,007,01,#,2.1,#,0.15
1210130009,1986,1210130,12,007,01,#,2.1,#,0.15
1210130010,1986,1210130,12,007,01,#,2.3,#,0.15
1210130011,1986,1210130,12,007,01,#,2,#,0.16
1210130012,1986,1210130,12,007,01,#,2.7,#,0.19
1210140001,1986,1210140,12,008,01,#,2.3,#,0.12
1210140003,1986,1210140,12,008,01,#,2.3,#,0.07
1210140005,1986,1210140,12,008,01,#,2,#,0.08
1210140007,1986,1210140,12,008,01,#,2.3,#,0.14
1210140009,1986,1210140,12,008,01,#,2.4,#,0.07
1210140011,1986,1210140,12,008,01,#,2,#,0.07
