レコードID,測定年度,絶対番号,都道府県コード,水域コード,地点コード,採取_年,採取_月日,採取_時分,調査区分コード,採取位置コード,採取水深(m),天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度_C,透明度(m)
1210010001,1998,1210010,12,001,01,1998,0414,0900,2,01,5,04,99,999,999,22.8,15.5,99999,2.55,E,99999
1210010002,1998,1210010,12,001,01,1998,0414,1400,2,01,5,10,99,999,999,22,14,99999,2.55,E,99999
1210010003,1998,1210010,12,001,01,1998,0414,2140,2,01,5,10,99,999,999,19.8,14,99999,2.6,E,99999
1210010004,1998,1210010,12,001,01,1998,0512,0900,2,01,4,10,99,999,999,13.5,15.3,99999,1.8,E,99999
1210010005,1998,1210010,12,001,01,1998,0512,1400,2,01,4,04,99,999,999,23.5,17.5,99999,1.85,E,99999
1210010006,1998,1210010,12,001,01,1998,0512,2135,2,01,4,04,99,999,999,18.9,16,99999,1.9,E,99999
1210010007,1998,1210010,12,001,01,1998,0602,0900,2,01,3,04,99,999,999,22.1,21.8,99999,1.3,E,99999
1210010008,1998,1210010,12,001,01,1998,0602,1400,2,01,2,04,99,999,999,21,22.1,99999,1.2,E,99999
1210010009,1998,1210010,12,001,01,1998,0602,2120,2,01,2,10,99,999,999,16.5,21,99999,1.2,E,99999
1210010010,1998,1210010,12,001,01,1998,0707,1000,2,01,2,04,99,999,999,30.5,27.1,99999,1.1,E,99999
1210010011,1998,1210010,12,001,01,1998,0707,1400,2,01,2,02,99,999,999,32.5,28.7,99999,1.05,E,99999
1210010012,1998,1210010,12,001,01,1998,0707,2200,2,01,2,04,99,999,999,24.9,27.9,99999,0.95,E,99999
1210010013,1998,1210010,12,001,01,1998,0805,0900,2,01,3,02,99,999,999,34.9,27.8,99999,1.5,E,99999
1210010014,1998,1210010,12,001,01,1998,0805,1400,2,01,3,02,99,999,999,35.6,27,99999,1.6,E,99999
1210010015,1998,1210010,12,001,01,1998,0805,2125,2,01,3,04,99,999,999,28,25.9,99999,1.7,E,99999
1210010016,1998,1210010,12,001,01,1998,0928,0900,2,01,6,10,99,999,999,20,19.2,99999,3.2,E,99999
1210010017,1998,1210010,12,001,01,1998,0928,1400,2,01,6,04,99,999,999,23.6,19.4,99999,3.2,E,99999
1210010018,1998,1210010,12,001,01,1998,0928,2125,2,01,6,04,99,999,999,21,19.3,99999,3.15,E,99999
1210010019,1998,1210010,12,001,01,1998,1006,0900,2,01,4,10,99,999,999,18.9,18.8,99999,2.1,E,99999
1210010020,1998,1210010,12,001,01,1998,1006,1400,2,01,4,04,99,999,999,20.5,18.5,99999,2.05,E,99999
1210010021,1998,1210010,12,001,01,1998,1006,2110,2,01,4,04,99,999,999,20,17.5,99999,2.05,E,99999
1210010022,1998,1210010,12,001,01,1998,1110,0900,2,01,3,02,99,999,999,13.9,14,99999,1.25,E,99999
1210010023,1998,1210010,12,001,01,1998,1110,1400,2,01,3,04,99,999,999,16,14.9,99999,1.25,E,99999
1210010024,1998,1210010,12,001,01,1998,1110,2120,2,01,3,04,99,999,999,12.9,14.1,99999,1.25,E,99999
1210010025,1998,1210010,12,001,01,1998,1201,1000,2,01,2,02,99,999,999,12.1,9.6,99999,1.1,E,99999
1210010026,1998,1210010,12,001,01,1998,1201,1400,2,01,2,02,99,999,999,20.5,10.9,99999,1.1,E,99999
1210010027,1998,1210010,12,001,01,1998,1201,2200,2,01,2,04,99,999,999,9.9,10,99999,1,E,99999
1210010028,1998,1210010,12,001,01,1999,0105,0900,2,01,2,02,99,999,999,1.2,2.8,99999,1.05,E,99999
1210010029,1998,1210010,12,001,01,1999,0105,1400,2,01,2,02,99,999,999,11.8,4.9,99999,1.1,E,99999
1210010030,1998,1210010,12,001,01,1999,0105,2115,2,01,2,02,99,999,999,1.5,4.5,99999,1.1,E,99999
1210010031,1998,1210010,12,001,01,1999,0202,0900,2,01,2,02,99,999,999,7,4.5,99999,1.05,E,99999
1210010032,1998,1210010,12,001,01,1999,0202,1400,2,01,2,02,99,999,999,16,6,99999,1.1,E,99999
1210010033,1998,1210010,12,001,01,1999,0202,2105,2,01,2,02,99,999,999,4,6,99999,1.15,E,99999
1210010034,1998,1210010,12,001,01,1999,0302,0900,2,01,2,02,99,999,999,8.2,6.4,99999,1,E,99999
1210010035,1998,1210010,12,001,01,1999,0302,1400,2,01,2,02,99,999,999,16.1,8.8,99999,1.05,E,99999
1210010036,1998,1210010,12,001,01,1999,0302,2100,2,01,2,02,99,999,999,10.3,9.5,99999,1.1,E,99999
1210020001,1998,1210020,12,001,02,1998,0414,1140,2,02,5,10,99,999,999,22.1,15.9,99999,2.4,E,99999
1210020002,1998,1210020,12,001,02,1998,0414,1600,2,02,5,10,99,999,999,21,15.1,99999,2.4,E,99999
1210020003,1998,1210020,12,001,02,1998,0414,2045,2,02,6,10,99,999,999,21,15,99999,3.1,E,99999
1210020004,1998,1210020,12,001,02,1998,0512,1140,2,02,6,04,99,999,999,17.2,16.9,99999,3,E,99999
1210020005,1998,1210020,12,001,02,1998,0512,1540,2,02,6,04,99,999,999,21.8,17.4,99999,3.1,E,99999
1210020006,1998,1210020,12,001,02,1998,0512,2040,2,02,6,04,99,999,999,18.1,16.9,99999,2.95,E,99999
1210020007,1998,1210020,12,001,02,1998,0602,1120,2,02,6,04,99,999,999,23.8,22.9,99999,3.15,E,99999
1210020008,1998,1210020,12,001,02,1998,0602,1535,2,02,6,04,99,999,999,20,22.7,99999,3.05,E,99999
1210020009,1998,1210020,12,001,02,1998,0602,2040,2,02,6,04,99,999,999,18.7,21.4,99999,3.1,E,99999
1210020010,1998,1210020,12,001,02,1998,0707,1000,2,02,6,04,99,999,999,31.5,28.8,99999,3.2,E,99999
1210020011,1998,1210020,12,001,02,1998,0707,1400,2,02,6,02,99,999,999,33.8,30.8,99999,3.15,E,99999
1210020012,1998,1210020,12,001,02,1998,0707,2200,2,02,6,04,99,999,999,24.8,27.3,99999,3.05,E,99999
1210020013,1998,1210020,12,001,02,1998,0805,1110,2,02,6,02,99,999,999,33.4,27.9,99999,3.15,E,99999
1210020014,1998,1210020,12,001,02,1998,0805,1525,2,02,6,02,99,999,999,34.5,27.4,99999,3.25,E,99999
1210020015,1998,1210020,12,001,02,1998,0805,2030,2,02,5,10,99,999,999,27.1,26.1,99999,2.7,E,99999
1210020016,1998,1210020,12,001,02,1998,0928,1120,2,02,6,04,99,999,999,21.8,19.5,99999,3.1,E,99999
1210020017,1998,1210020,12,001,02,1998,0928,1525,2,02,6,04,99,999,999,22.8,19.2,99999,3,E,99999
1210020018,1998,1210020,12,001,02,1998,0928,2040,2,02,6,04,99,999,999,21.2,19.4,99999,3.1,E,99999
1210020019,1998,1210020,12,001,02,1998,1006,1105,2,02,5,10,99,999,999,19.2,19,99999,2.5,E,99999
1210020020,1998,1210020,12,001,02,1998,1006,1530,2,02,5,04,99,999,999,21.4,19,99999,2.4,E,99999
1210020021,1998,1210020,12,001,02,1998,1006,2030,2,02,6,04,99,999,999,20.1,18.5,99999,2.95,E,99999
1210020022,1998,1210020,12,001,02,1998,1110,1125,2,02,6,04,99,999,999,17.9,14.2,99999,2.75,E,99999
1210020023,1998,1210020,12,001,02,1998,1110,1520,2,02,5,04,99,999,999,15.8,14.1,99999,2.5,E,99999
1210020024,1998,1210020,12,001,02,1998,1110,2030,2,02,5,04,99,999,999,15.4,14.1,99999,2.7,E,99999
1210020025,1998,1210020,12,001,02,1998,1201,1000,2,02,6,02,99,999,999,13.8,9.5,99999,3.25,E,99999
1210020026,1998,1210020,12,001,02,1998,1201,1400,2,02,6,02,99,999,999,16.5,11,99999,3.2,E,99999
1210020027,1998,1210020,12,001,02,1998,1201,2200,2,02,6,02,99,999,999,11,10.2,99999,3,E,99999
1210020028,1998,1210020,12,001,02,1999,0105,1050,2,02,6,02,99,999,999,8.5,4.5,99999,3.2,E,99999
1210020029,1998,1210020,12,001,02,1999,0105,1505,2,02,6,02,99,999,999,9.5,5.3,99999,3.25,E,99999
1210020030,1998,1210020,12,001,02,1999,0105,2030,2,02,6,02,99,999,999,5.2,4.5,99999,3.15,E,99999
1210020031,1998,1210020,12,001,02,1999,0202,1105,2,02,6,02,99,999,999,9,5.9,99999,3.15,E,99999
1210020032,1998,1210020,12,001,02,1999,0202,1520,2,02,6,04,99,999,999,11.9,6.2,99999,3.2,E,99999
1210020033,1998,1210020,12,001,02,1999,0202,2030,2,02,6,04,99,999,999,4.2,5.3,99999,3.15,E,99999
1210020034,1998,1210020,12,001,02,1999,0302,1100,2,02,6,02,99,999,999,15.2,9.5,99999,3.1,E,99999
1210020035,1998,1210020,12,001,02,1999,0302,1525,2,02,6,02,99,999,999,16.5,10.2,99999,3.15,E,99999
1210020036,1998,1210020,12,001,02,1999,0302,2030,2,02,6,02,99,999,999,9.6,8,99999,3.1,E,99999
1210030001,1998,1210030,12,001,51,1998,0414,0900,2,01,7,10,99,999,999,21.5,17.2,99999,3.35,E,99999
1210030002,1998,1210030,12,001,51,1998,0414,1400,2,01,7,10,99,999,999,21,15,99999,3.4,E,99999
1210030003,1998,1210030,12,001,51,1998,0512,0900,2,01,5,10,99,999,999,13.5,14.9,99999,2.5,E,99999
1210030004,1998,1210030,12,001,51,1998,0512,1400,2,01,5,10,99,999,999,19.5,16.1,99999,2.65,E,99999
1210030005,1998,1210030,12,001,51,1998,0602,0900,2,01,4,04,99,999,999,23.9,21.2,99999,2.15,E,99999
1210030006,1998,1210030,12,001,51,1998,0602,1400,2,01,4,04,99,999,999,26,21.1,99999,2.15,E,99999
1210030007,1998,1210030,12,001,51,1998,0707,0900,2,01,4,04,99,999,999,33,26.3,99999,2.05,E,99999
1210030008,1998,1210030,12,001,51,1998,0707,1450,2,01,4,04,99,999,999,33.5,28,99999,2.05,E,99999
1210030009,1998,1210030,12,001,51,1998,0805,0900,2,01,6,02,99,999,999,31.5,26.2,99999,3.1,E,99999
1210030010,1998,1210030,12,001,51,1998,0805,1400,2,01,6,02,99,999,999,35.5,28.5,99999,3.2,E,99999
1210030011,1998,1210030,12,001,51,1998,0928,0900,2,01,10,04,99,999,999,20.2,18.9,99999,5.05,E,99999
1210030012,1998,1210030,12,001,51,1998,0928,1400,2,01,10,04,99,999,999,25,19,99999,5,E,99999
1210030013,1998,1210030,12,001,51,1998,1006,0900,2,01,8,10,99,999,999,19.5,17.2,99999,3.75,E,99999
1210030014,1998,1210030,12,001,51,1998,1006,1400,2,01,8,10,99,999,999,21.5,17.5,99999,3.75,E,99999
1210030015,1998,1210030,12,001,51,1998,1110,0900,2,01,6,02,99,999,999,15.5,13.8,99999,2.95,E,99999
1210030016,1998,1210030,12,001,51,1998,1110,1400,2,01,6,02,99,999,999,19.1,14.9,99999,3,E,99999
1210030017,1998,1210030,12,001,51,1998,1201,0900,2,01,5,02,99,999,999,9.5,10.3,99999,2.65,E,99999
1210030018,1998,1210030,12,001,51,1998,1201,1445,2,01,5,02,99,999,999,16.1,10.6,99999,2.7,E,99999
1210030019,1998,1210030,12,001,51,1999,0105,0900,2,01,4,02,99,999,999,1.4,3.8,99999,2.25,E,99999
1210030020,1998,1210030,12,001,51,1999,0105,1400,2,01,5,02,99,999,999,9.8,5.1,99999,2.3,E,99999
1210030021,1998,1210030,12,001,51,1999,0202,0900,2,01,4,04,99,999,999,4.5,5.5,99999,2.25,E,99999
1210030022,1998,1210030,12,001,51,1999,0202,1400,2,01,4,02,99,999,999,9.3,7.4,99999,2.2,E,99999
1210030023,1998,1210030,12,001,51,1999,0302,0900,2,01,4,02,99,999,999,8.1,6.5,99999,2.2,E,99999
1210030024,1998,1210030,12,001,51,1999,0302,1400,2,01,5,02,99,999,999,18.9,8.5,99999,2.3,E,99999
1210040001,1998,1210040,12,001,52,1998,0414,1005,2,01,6,10,99,999,999,21.5,16,99999,3.2,E,99999
1210040002,1998,1210040,12,001,52,1998,0414,1450,2,01,6,10,99,999,999,21,14,99999,3.25,E,99999
1210040003,1998,1210040,12,001,52,1998,0414,2000,2,01,7,10,99,999,999,20.1,13.9,99999,3.3,E,99999
1210040004,1998,1210040,12,001,52,1998,0512,1000,2,01,5,04,99,999,999,15,16,99999,2.4,E,99999
1210040005,1998,1210040,12,001,52,1998,0512,1455,2,01,5,04,99,999,999,19.8,16.9,99999,2.5,E,99999
1210040006,1998,1210040,12,001,52,1998,0512,2000,2,01,5,10,99,999,999,19,16,99999,2.6,E,99999
1210040007,1998,1210040,12,001,52,1998,0602,1000,2,01,4,04,99,999,999,23,22.3,99999,2.25,E,99999
1210040008,1998,1210040,12,001,52,1998,0602,1450,2,01,5,04,99,999,999,25.5,22.5,99999,2.3,E,99999
1210040009,1998,1210040,12,001,52,1998,0602,2000,2,01,5,10,99,999,999,18,20.8,99999,2.3,E,99999
1210040010,1998,1210040,12,001,52,1998,0707,1000,2,01,5,04,99,999,999,31.5,27.3,99999,2.3,E,99999
1210040011,1998,1210040,12,001,52,1998,0707,1400,2,01,5,02,99,999,999,33.3,29.3,99999,2.3,E,99999
1210040012,1998,1210040,12,001,52,1998,0707,2200,2,01,5,02,99,999,999,24,26.5,99999,2.3,E,99999
1210040013,1998,1210040,12,001,52,1998,0805,0955,2,01,6,02,99,999,999,33,26.5,99999,3.15,E,99999
1210040014,1998,1210040,12,001,52,1998,0805,1500,2,01,7,02,99,999,999,36,27.5,99999,3.3,E,99999
1210040015,1998,1210040,12,001,52,1998,0805,2000,2,01,7,04,99,999,999,28,26.1,99999,3.3,E,99999
1210040016,1998,1210040,12,001,52,1998,0928,0955,2,01,10,04,99,999,999,20.5,19.3,99999,5.1,E,99999
1210040017,1998,1210040,12,001,52,1998,0928,1455,2,01,10,04,99,999,999,25.6,19,99999,5.05,E,99999
1210040018,1998,1210040,12,001,52,1998,0928,2000,2,01,10,04,99,999,999,21.5,18.8,99999,5,E,99999
1210040019,1998,1210040,12,001,52,1998,1006,1000,2,01,8,10,99,999,999,19.2,17.5,99999,3.75,E,99999
1210040020,1998,1210040,12,001,52,1998,1006,1450,2,01,8,04,99,999,999,20.5,17.6,99999,3.75,E,99999
1210040021,1998,1210040,12,001,52,1998,1006,2000,2,01,8,04,99,999,999,20,17.2,99999,3.75,E,99999
1210040022,1998,1210040,12,001,52,1998,1110,0950,2,01,6,02,99,999,999,18.9,14.2,99999,2.75,E,99999
1210040023,1998,1210040,12,001,52,1998,1110,1450,2,01,6,04,99,999,999,16.5,14.5,99999,2.8,E,99999
1210040024,1998,1210040,12,001,52,1998,1110,2000,2,01,6,04,99,999,999,13.5,14,99999,2.8,E,99999
1210040025,1998,1210040,12,001,52,1998,1201,1000,2,01,5,02,99,999,999,13.1,10.7,99999,2.35,E,99999
1210040026,1998,1210040,12,001,52,1998,1201,1400,2,01,5,02,99,999,999,18.5,11.8,99999,2.45,E,99999
1210040027,1998,1210040,12,001,52,1998,1201,2200,2,01,5,04,99,999,999,10.7,10.3,99999,2.45,E,99999
1210040028,1998,1210040,12,001,52,1999,0105,0950,2,01,4,02,99,999,999,6.1,3.9,99999,2.05,E,99999
1210040029,1998,1210040,12,001,52,1999,0105,1445,2,01,4,02,99,999,999,11.1,5.8,99999,2.05,E,99999
1210040030,1998,1210040,12,001,52,1999,0105,2000,2,01,4,02,99,999,999,2.3,4.6,99999,2.05,E,99999
1210040031,1998,1210040,12,001,52,1999,0202,0955,2,01,4,04,99,999,999,5.3,5.1,99999,2.1,E,99999
1210040032,1998,1210040,12,001,52,1999,0202,1445,2,01,4,02,99,999,999,11,7.3,99999,2.1,E,99999
1210040033,1998,1210040,12,001,52,1999,0202,2000,2,01,4,02,99,999,999,4,6,99999,2.15,E,99999
1210040034,1998,1210040,12,001,52,1999,0302,0955,2,01,4,02,99,999,999,12.5,7.8,99999,2,E,99999
1210040035,1998,1210040,12,001,52,1999,0302,1450,2,01,4,02,99,999,999,19.5,10.7,99999,2.05,E,99999
1210040036,1998,1210040,12,001,52,1999,0302,2000,2,01,4,02,99,999,999,12,9.3,99999,2.1,E,99999
1210050001,1998,1210050,12,001,53,1998,0414,1055,2,01,9,10,99,999,999,22,18,99999,4.3,E,99999
1210050002,1998,1210050,12,001,53,1998,0414,1520,2,01,8,10,99,999,999,21,15.2,99999,3.95,E,99999
1210050003,1998,1210050,12,001,53,1998,0414,2015,2,01,9,10,99,999,999,20,14.8,99999,4.7,E,99999
1210050004,1998,1210050,12,001,53,1998,0512,1035,2,01,9,10,99,999,999,16,16.2,99999,4.35,E,99999
1210050005,1998,1210050,12,001,53,1998,0512,1500,2,01,9,10,99,999,999,22.4,17.2,99999,4.5,E,99999
1210050006,1998,1210050,12,001,53,1998,0512,2010,2,01,9,04,99,999,999,18.9,17.2,99999,4.6,E,99999
1210050007,1998,1210050,12,001,53,1998,0602,1035,2,01,9,04,99,999,999,24.3,22.9,99999,4.6,E,99999
1210050008,1998,1210050,12,001,53,1998,0602,1500,2,01,9,04,99,999,999,21.8,22.3,99999,4.45,E,99999
1210050009,1998,1210050,12,001,53,1998,0602,2010,2,01,9,04,99,999,999,18.9,21.4,99999,4.5,E,99999
1210050010,1998,1210050,12,001,53,1998,0707,1000,2,01,9,04,99,999,999,31.8,28.5,99999,4.6,E,99999
1210050011,1998,1210050,12,001,53,1998,0707,1400,2,01,9,02,99,999,999,37.8,29.3,99999,4.55,E,99999
