レコードID,測定年度,絶対番号,都道府県コード,水域コード,地点コード,pH_C,pH,DO_C,DO(mg/l),BOD_C,BOD(mg/l),COD_C,COD(mg/l),SS_C,SS(mg/l),大腸菌群数_C,大腸菌群数(MPN/100ml),n-ヘキサン抽出物質_C,n-ヘキサン抽出物質(mg/l)
1410010001,1984,1410010,14,001,01,#,7.7,#,8.5,#,5,#,6.8,#,12,E,99999,E,99999
1410010002,1984,1410010,14,001,01,#,7.6,#,8.3,#,5.1,#,6.2,#,11,E,99999,E,99999
1410010003,1984,1410010,14,001,01,#,7.8,#,8.1,#,6.4,#,8.8,#,29,E,99999,E,99999
1410010004,1984,1410010,14,001,01,#,7.8,#,7.9,#,4.8,#,6.8,#,10,E,99999,E,99999
1410010005,1984,1410010,14,001,01,#,7.8,#,10,#,6.5,#,9.3,#,8,E,99999,E,99999
1410010006,1984,1410010,14,001,01,#,7.9,#,8.1,#,6.7,#,9.7,#,10,E,99999,E,99999
1410010007,1984,1410010,14,001,01,#,8,#,7.4,#,6.8,#,8.3,#,11,E,99999,E,99999
1410010008,1984,1410010,14,001,01,#,7.8,#,6,#,7.1,#,8.8,#,17,E,99999,E,99999
1410010009,1984,1410010,14,001,01,#,7.6,#,6.9,#,2.4,#,4.8,#,10,E,99999,E,99999
1410010010,1984,1410010,14,001,01,#,7.6,#,6.9,#,4.2,#,6.5,#,13,E,99999,E,99999
1410010011,1984,1410010,14,001,01,#,7.8,#,5.9,#,2.7,#,5.6,#,11,E,99999,E,99999
1410010012,1984,1410010,14,001,01,#,7.7,#,5.6,#,3.4,#,6.2,#,9,E,99999,E,99999
1410010013,1984,1410010,14,001,01,#,7.6,#,6.1,#,3.8,#,5.6,#,5,E,99999,E,99999
1410010014,1984,1410010,14,001,01,#,7.7,#,5.9,#,4.6,#,7,#,12,E,99999,E,99999
1410010015,1984,1410010,14,001,01,#,8,#,6,#,2.5,#,4.7,#,11,E,99999,E,99999
1410010016,1984,1410010,14,001,01,#,7.5,#,5.4,#,3.1,#,5.1,#,8,E,99999,E,99999
1410010017,1984,1410010,14,001,01,#,7.8,#,7.3,#,2.5,#,4.5,#,16,E,99999,E,99999
1410010018,1984,1410010,14,001,01,#,8.3,#,8.9,#,2.4,#,4.6,#,10,E,99999,E,99999
1410010019,1984,1410010,14,001,01,#,8.3,#,8,#,2,#,4.8,#,8,E,99999,E,99999
1410010020,1984,1410010,14,001,01,#,8,#,8.5,#,2.4,#,4.2,#,7,E,99999,E,99999
1410010021,1984,1410010,14,001,01,#,8.1,#,9.7,#,3.9,#,5.1,#,17,E,99999,E,99999
1410010022,1984,1410010,14,001,01,#,8.5,#,10,#,3.7,#,5,#,16,E,99999,E,99999
1410010023,1984,1410010,14,001,01,#,8.3,#,7.8,#,3,#,4.1,#,12,E,99999,E,99999
1410010024,1984,1410010,14,001,01,#,8.1,#,5.9,#,2.6,#,5.8,#,9,E,99999,E,99999
1410010025,1984,1410010,14,001,01,#,7.8,#,6.1,#,4.5,#,5.5,#,15,E,99999,E,99999
1410010026,1984,1410010,14,001,01,#,7.8,#,8.2,#,4.2,#,6.4,#,10,E,99999,E,99999
1410010027,1984,1410010,14,001,01,#,7.9,#,6.9,#,4.8,#,6.6,#,11,E,99999,E,99999
1410010028,1984,1410010,14,001,01,#,7.8,#,8.3,#,3.1,#,5.5,#,10,E,99999,E,99999
1410010029,1984,1410010,14,001,01,#,7.4,#,6.2,#,3.5,#,6.8,#,13,E,99999,E,99999
1410010030,1984,1410010,14,001,01,#,7.3,#,5.7,#,2.3,#,3.8,#,14,E,99999,E,99999
1410010031,1984,1410010,14,001,01,#,7.4,#,5.7,#,2.8,#,4.2,#,13,E,99999,E,99999
1410010032,1984,1410010,14,001,01,#,7.4,#,5.6,#,2.4,#,3.9,#,13,E,99999,E,99999
1410010033,1984,1410010,14,001,01,#,7.8,#,7.1,#,2.1,#,3.7,#,16,E,99999,E,99999
1410010034,1984,1410010,14,001,01,#,7.8,#,6.1,#,1.9,#,3.4,#,15,E,99999,E,99999
1410010035,1984,1410010,14,001,01,#,7.7,#,6.2,#,2.5,#,4.7,#,8,E,99999,E,99999
1410010036,1984,1410010,14,001,01,#,7.8,#,6.4,#,2.3,#,4.3,#,13,E,99999,E,99999
1410010037,1984,1410010,14,001,01,#,7.8,#,11,#,1.9,#,3.4,#,14,E,99999,E,99999
