レコードID,測定年度,絶対番号,都道府県コード,水域コード,地点コード,pH_C,pH,DO_C,DO(mg/l),BOD_C,BOD(mg/l),COD_C,COD(mg/l),SS_C,SS(mg/l),大腸菌群数_C,大腸菌群数(MPN/100ml),n-ヘキサン抽出物質_C,n-ヘキサン抽出物質(mg/l)
1210010001,1982,1210010,12,001,01,#,7.1,#,8.9,#,3.1,#,4.1,#,20,#,33000,E,99999
1210010002,1982,1210010,12,001,01,#,7.1,#,9.1,#,2.9,#,3.8,#,17,E,99999,E,99999
1210010003,1982,1210010,12,001,01,#,7.1,#,9.6,#,2.6,#,2.9,#,22,E,99999,E,99999
1210010004,1982,1210010,12,001,01,#,6.8,#,8.3,#,3.8,#,4.3,#,12,#,33000,E,99999
1210010005,1982,1210010,12,001,01,#,7.1,#,9,#,2.1,#,3.4,#,17,E,99999,E,99999
1210010006,1982,1210010,12,001,01,#,7.1,#,8.5,#,1.9,#,3.2,#,16,E,99999,E,99999
1210010007,1982,1210010,12,001,01,#,7.1,#,7.9,#,2.5,#,3.1,#,29,#,22000,E,99999
1210010008,1982,1210010,12,001,01,#,7.2,#,8.4,#,2.9,#,3.6,#,28,E,99999,E,99999
1210010009,1982,1210010,12,001,01,#,7.2,#,9,#,3.6,#,3.5,#,24,E,99999,E,99999
1210010010,1982,1210010,12,001,01,#,7.6,#,7.7,#,1.9,#,3.6,#,18,#,22000,E,99999
1210010011,1982,1210010,12,001,01,#,7.6,#,8.5,#,2.8,#,3.7,#,14,E,99999,E,99999
1210010012,1982,1210010,12,001,01,#,7.6,#,8.8,#,2.6,#,3.9,#,12,E,99999,E,99999
1210010013,1982,1210010,12,001,01,#,7.4,#,8.2,#,1.3,#,3,#,35,#,7900,E,99999
1210010014,1982,1210010,12,001,01,#,7.4,#,8.1,#,1.2,#,3.3,#,37,E,99999,E,99999
1210010015,1982,1210010,12,001,01,#,7.3,#,8.2,#,0.9,#,3.4,#,41,E,99999,E,99999
1210010016,1982,1210010,12,001,01,#,7.4,#,8.1,#,1.2,#,3.5,#,17,#,130000,E,99999
1210010017,1982,1210010,12,001,01,#,7.3,#,8.3,#,1.3,#,3.2,#,14,E,99999,E,99999
1210010018,1982,1210010,12,001,01,#,7.2,#,8.3,#,1.8,#,3.4,#,14,E,99999,E,99999
1210010019,1982,1210010,12,001,01,#,7.4,#,9,#,1.3,#,3,#,23,#,79000,E,99999
1210010020,1982,1210010,12,001,01,#,7.3,#,9,#,1.4,#,4.6,#,34,E,99999,E,99999
