,レコードID,測定年度,絶対番号,都道府県コード,水域コード,地点コード,採取_年,採取_月日,採取_時分,調査区分コード,採取位置コード,採取水深(m),天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度_C,透明度(m),地点統一番号,カドミウム_C,カドミウム(mg/l),全シアン_C,全シアン(mg/l),鉛_C,鉛(mg/l),六価クロム_C,六価クロム(mg/l),砒素_C,砒素(mg/l),総水銀_C,総水銀(mg/l),アルキル水銀_C,アルキル水銀(mg/l),PCB_C,PCB(mg/l),有機リン_C,有機リン(mg/l),ジクロロメタン_C,ジクロロメタン(mg/l),四塩化炭素_C,四塩化炭素(mg/l),1，2-ジクロロエタン_C,1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン_C,1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン_C,シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン_C,1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン_C,1，1，2-トリクロロエタン(mg/l),トリクロロエチレン_C,トリクロロエチレン(mg/l),テトラクロロエチレン_C,テトラクロロエチレン(mg/l),1，3-ジクロロプロペン_C,1，3-ジクロロプロペン(mg/l),チウラム_C,チウラム(mg/l),シマンジン_C,シマンジン(mg/l),チオベンカルプ_C,チオベンカルプ(mg/l),ベンゼン_C,ベンゼン(mg/l),セレン_C,セレン(mg/l),亜硝酸性窒素_C,亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素_C,硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素_C,ふっ素(mg/l),ほう素_C,ほう素(mg/l),pH_C,pH,DO_C,DO(mg/l),BOD_C,BOD(mg/l),COD_C,COD(mg/l),SS_C,SS(mg/l),大腸菌群数_C,大腸菌群数(MPN/100ml),n-ヘキサン抽出物質_C,n-ヘキサン抽出物質(mg/l)
0,1210010001,1982,1210010,12,1,1,1982,422,845.0,2,1,0.3,9.0,,,,10.0,12.5,85.43,1.95,,,1200101,<,0.005,N,,<,0.05,<,0.02,<,0.02,<,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.1,#,8.9,#,3.1,#,4.1,#,20.0,#,33000.0,,
1,1210010002,1982,1210010,12,1,1,1982,422,1410.0,2,1,0.3,2.0,,,,17.0,13.5,79.87,1.9,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.1,#,9.1,#,2.9,#,3.8,#,17.0,,,,
2,1210010003,1982,1210010,12,1,1,1982,422,1740.0,2,1,0.4,2.0,,,,14.0,12.5,103.25,2.1,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.1,#,9.6,#,2.6,#,2.9,#,22.0,,,,
3,1210010004,1982,1210010,12,1,1,1982,511,840.0,2,1,0.3,2.0,,,,25.0,21.5,69.3,1.8,,,1200101,<,0.005,N,,<,0.05,<,0.02,<,0.02,<,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,6.8,#,8.3,#,3.8,#,4.3,#,12.0,#,33000.0,,
4,1210010005,1982,1210010,12,1,1,1982,511,1410.0,2,1,0.3,2.0,,,,30.0,23.0,53.96,1.65,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.1,#,9.0,#,2.1,#,3.4,#,17.0,,,,
5,1210010006,1982,1210010,12,1,1,1982,511,1740.0,2,1,0.3,2.0,,,,25.5,22.0,54.86,1.65,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.1,#,8.5,#,1.9,#,3.2,#,16.0,,,,
6,1210010007,1982,1210010,12,1,1,1982,608,845.0,2,1,0.3,2.0,,,,24.0,21.3,58.77,1.7,,,1200101,<,0.005,N,,<,0.05,<,0.02,<,0.02,<,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.1,#,7.9,#,2.5,#,3.1,#,29.0,#,22000.0,,
7,1210010008,1982,1210010,12,1,1,1982,608,1400.0,2,1,0.2,2.0,,,,30.0,23.0,34.54,1.4,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.2,#,8.4,#,2.9,#,3.6,#,28.0,,,,
8,1210010009,1982,1210010,12,1,1,1982,608,1630.0,2,1,0.2,2.0,,,,25.5,23.5,34.54,1.4,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.2,#,9.0,#,3.6,#,3.5,#,24.0,,,,
9,1210010010,1982,1210010,12,1,1,1982,706,850.0,2,1,0.3,4.0,,,,23.5,23.0,49.38,1.6,,,1200101,<,0.005,N,,<,0.05,<,0.02,<,0.02,<,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.6,#,7.7,#,1.9,#,3.6,#,18.0,#,22000.0,,
