,レコードID,測定年度,絶対番号,都道府県コード,水域コード,地点コード,採取_年,採取_月日,採取_時分,調査区分コード,採取位置コード,採取水深(m),天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度_C,透明度(m),地点統一番号,カドミウム_C,カドミウム(mg/l),全シアン_C,全シアン(mg/l),鉛_C,鉛(mg/l),六価クロム_C,六価クロム(mg/l),砒素_C,砒素(mg/l),総水銀_C,総水銀(mg/l),アルキル水銀_C,アルキル水銀(mg/l),PCB_C,PCB(mg/l),有機リン_C,有機リン(mg/l),ジクロロメタン_C,ジクロロメタン(mg/l),四塩化炭素_C,四塩化炭素(mg/l),1，2-ジクロロエタン_C,1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン_C,1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン_C,シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン_C,1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン_C,1，1，2-トリクロロエタン(mg/l),トリクロロエチレン_C,トリクロロエチレン(mg/l),テトラクロロエチレン_C,テトラクロロエチレン(mg/l),1，3-ジクロロプロペン_C,1，3-ジクロロプロペン(mg/l),チウラム_C,チウラム(mg/l),シマンジン_C,シマンジン(mg/l),チオベンカルプ_C,チオベンカルプ(mg/l),ベンゼン_C,ベンゼン(mg/l),セレン_C,セレン(mg/l),亜硝酸性窒素_C,亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素_C,硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素_C,ふっ素(mg/l),ほう素_C,ほう素(mg/l),pH_C,pH,DO_C,DO(mg/l),BOD_C,BOD(mg/l),COD_C,COD(mg/l),SS_C,SS(mg/l),大腸菌群数_C,大腸菌群数(MPN/100ml),n-ヘキサン抽出物質_C,n-ヘキサン抽出物質(mg/l),全窒素_C,全窒素(mg/l),全燐_C,全燐(mg/l)
0,1210010001,2001,1210010,12,1,1,2001,417,900,0,2,0.2,,,,,17.9,16.4,62.06,1.0,,,1200101,<,0.001,<,0.1,<,0.001,<,0.005,<,0.001,<,0.0005,,,,,,,,,,,,,,,,,,,,,<,0.003,<,0.001,,,,,,,,,,,,,,,#,1.5,#,0.11,,,#,7.5,#,11.0,#,1.4,#,3.0,#,16.0,#,4900.0,,,#,1.6,#,0.1
1,1210010002,2001,1210010,12,1,1,2001,417,1400,0,2,0.2,,,,,22.3,18.2,63.23,1.0,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.5,#,11.0,#,1.5,#,3.2,#,15.0,,,,,,,,
2,1210010003,2001,1210010,12,1,1,2001,417,2130,0,2,0.2,,,,,14.2,14.3,101.18,1.0,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.4,#,10.0,#,1.5,#,2.9,#,10.0,,,,,,,,
3,1210010004,2001,1210010,12,1,1,2001,508,900,0,2,0.2,,,,,20.6,18.5,45.7,1.0,,,1200101,<,0.001,<,0.1,<,0.001,<,0.005,<,0.001,<,0.0005,,,,,,,,,,,,,,,,,,,,,<,0.003,<,0.001,,,,,,,,,,,,,,,#,1.3,#,0.11,,,#,7.4,#,10.0,#,1.5,#,3.3,#,21.0,#,33.0,,,#,1.7,#,0.12
4,1210010005,2001,1210010,12,1,1,2001,508,1400,0,2,0.2,,,,,19.8,18.9,42.02,1.0,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.5,#,10.0,#,1.4,#,3.1,#,17.0,,,,,,,,
5,1210010006,2001,1210010,12,1,1,2001,508,2130,0,2,0.21,,,,,17.9,16.9,40.77,1.05,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.4,#,8.8,#,2.0,#,3.6,#,17.0,,,,,,,,
6,1210010007,2001,1210010,12,1,1,2001,605,900,0,2,0.19,,,,,25.2,20.8,45.98,0.95,,,1200101,<,0.001,<,0.1,<,0.001,<,0.005,<,0.001,<,0.0005,,,,,,,,,,,,,,,,,,,,,<,0.003,<,0.001,,,,,,,,,,,,,,,,,#,0.12,,,#,7.8,#,9.8,#,1.5,#,3.8,#,24.0,#,2300.0,,,#,1.9,#,0.14
7,1210010008,2001,1210010,12,1,1,2001,605,1400,0,2,0.18,,,,,27.4,20.9,40.44,0.9,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,8.1,#,10.0,#,1.9,#,4.1,#,18.0,,,,,,,,
8,1210010009,2001,1210010,12,1,1,2001,605,2130,0,2,0.18,,,,,21.2,20.0,43.85,0.9,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.8,#,9.4,#,1.6,#,3.5,#,10.0,,,,,,,,
9,1210010010,2001,1210010,12,1,1,2001,703,1000,0,2,0.23,,,,,31.2,25.5,92.28,1.15,,,1200101,<,0.001,<,0.1,<,0.001,<,0.005,<,0.001,<,0.0005,,,,,,,,,,,,,,,,,,,,,<,0.003,<,0.001,,,,,,,,,,,,,,,,,#,0.09,,,#,7.4,#,10.0,#,0.6,#,3.5,#,15.0,#,13000.0,,,#,1.8,#,0.11
10,1210010011,2001,1210010,12,1,1,2001,703,1000,2,2,0.23,,,,,31.2,25.5,92.28,1.15,,,1200101,<,0.001,<,0.1,<,0.001,<,0.005,<,0.001,<,0.0005,,,,,,,,,,,,,,,,,,,,,<,0.003,<,0.001,,,,,,,,,,,,,,,,,#,0.09,,,#,7.4,#,10.0,#,0.6,#,3.5,#,15.0,#,13000.0,,,#,1.8,#,0.11
11,1210010012,2001,1210010,12,1,1,2001,703,1400,0,2,0.2,,,,,34.0,27.0,92.11,1.1,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.4,#,9.1,#,1.1,#,4.1,#,20.0,,,,,,,,
12,1210010013,2001,1210010,12,1,1,2001,703,1400,2,2,0.2,,,,,34.0,27.0,92.11,1.1,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.4,#,9.1,#,1.1,#,4.1,#,20.0,,,,,,,,
13,1210010014,2001,1210010,12,1,1,2001,703,1800,2,2,0.24,,,,,25.9,26.0,79.18,1.2,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.6,#,9.1,#,1.2,#,3.8,#,17.0,,,,,,,,
14,1210010015,2001,1210010,12,1,1,2001,703,2200,0,2,0.23,,,,,24.1,24.7,70.65,1.15,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.5,#,8.2,#,1.6,#,3.5,#,20.0,,,,,,,,
15,1210010016,2001,1210010,12,1,1,2001,703,2200,2,2,0.23,,,,,24.1,24.7,70.65,1.15,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.5,#,8.2,#,1.6,#,3.5,#,20.0,,,,,,,,
16,1210010017,2001,1210010,12,1,1,2001,704,200,2,2,0.18,,,,,23.9,24.5,58.31,0.9,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.5,#,7.7,#,1.4,#,5.0,#,22.0,,,,,,,,
