,レコードID,測定年度,絶対番号,都道府県コード,水域コード,地点コード,採取_年,採取_月日,採取_時分,調査区分コード,採取位置コード,採取水深(m),天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度_C,透明度(m),地点統一番号,カドミウム_C,カドミウム(mg/l),全シアン_C,全シアン(mg/l),鉛_C,鉛(mg/l),六価クロム_C,六価クロム(mg/l),砒素_C,砒素(mg/l),総水銀_C,総水銀(mg/l),アルキル水銀_C,アルキル水銀(mg/l),PCB_C,PCB(mg/l),有機リン_C,有機リン(mg/l),ジクロロメタン_C,ジクロロメタン(mg/l),四塩化炭素_C,四塩化炭素(mg/l),1，2-ジクロロエタン_C,1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン_C,1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン_C,シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン_C,1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン_C,1，1，2-トリクロロエタン(mg/l),トリクロロエチレン_C,トリクロロエチレン(mg/l),テトラクロロエチレン_C,テトラクロロエチレン(mg/l),1，3-ジクロロプロペン_C,1，3-ジクロロプロペン(mg/l),チウラム_C,チウラム(mg/l),シマンジン_C,シマンジン(mg/l),チオベンカルプ_C,チオベンカルプ(mg/l),ベンゼン_C,ベンゼン(mg/l),セレン_C,セレン(mg/l),亜硝酸性窒素_C,亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素_C,硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素_C,ふっ素(mg/l),ほう素_C,ほう素(mg/l),pH_C,pH,DO_C,DO(mg/l),BOD_C,BOD(mg/l),COD_C,COD(mg/l),SS_C,SS(mg/l),大腸菌群数_C,大腸菌群数(MPN/100ml),n-ヘキサン抽出物質_C,n-ヘキサン抽出物質(mg/l),全窒素_C,全窒素(mg/l),全燐_C,全燐(mg/l)
0,1210010001,1993,1210010,12,1,1,1993,413,855,2,1,2.9,4.0,,,,7.3,11.2,,1.45,,,1200101,<,0.001,N,,<,0.001,<,0.005,<,0.001,<,0.0005,,,,,,,,,,,,,,,,,,,,,<,0.003,<,0.001,,,,,,,,,,,,,,,,,,,,,#,7.3,#,9.9,#,2.4,#,3.8,#,13.0,#,17000.0,,,,,,
1,1210010002,1993,1210010,12,1,1,1993,413,1405,2,1,2.7,4.0,,,,13.2,13.3,,1.35,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.4,#,10.0,#,2.2,#,3.7,#,12.0,,,,,,,,
2,1210010003,1993,1210010,12,1,1,1993,413,2140,2,1,2.9,2.0,,,,6.8,12.9,,1.45,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.4,#,10.0,#,2.4,#,4.0,#,16.0,,,,,,,,
3,1210010004,1993,1210010,12,1,1,1993,511,855,2,1,3.9,2.0,,,,18.6,15.2,,1.95,,,1200101,<,0.001,N,,<,0.001,<,0.005,<,0.001,<,0.0005,,,,,,,,,,,,,,,,,,,,,<,0.003,<,0.001,,,,,,,,,,,,,,,,,,,,,#,7.1,#,9.2,#,3.2,#,4.5,#,42.0,#,4100.0,,,,,,
4,1210010005,1993,1210010,12,1,1,1993,511,1400,2,1,4.0,2.0,,,,23.6,16.8,,2.0,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.2,#,9.3,#,2.8,#,4.7,#,53.0,,,,,,,,
5,1210010006,1993,1210010,12,1,1,1993,511,2145,2,1,4.6,2.0,,,,16.3,15.8,,2.3,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.1,#,9.1,#,2.7,#,5.4,#,78.0,,,,,,,,
6,1210010007,1993,1210010,12,1,1,1993,608,845,2,1,3.5,4.0,,,,23.2,18.6,,1.75,,,1200101,<,0.001,N,,<,0.001,<,0.005,<,0.001,<,0.0005,,,,,,,,,,,,,,,,,,,,,<,0.003,<,0.002,,,,,,,,,,,,,,,,,,,,,#,7.1,#,8.0,#,1.4,#,3.8,#,25.0,#,1100.0,,,,,,
7,1210010008,1993,1210010,12,1,1,1993,608,1405,2,1,3.2,4.0,,,,23.8,19.7,,1.6,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.3,#,8.6,#,1.9,#,3.7,#,25.0,,,,,,,,
8,1210010009,1993,1210010,12,1,1,1993,608,2140,2,1,3.4,4.0,,,,18.8,19.3,,1.7,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.3,#,8.3,#,2.0,#,4.5,#,22.0,,,,,,,,
9,1210010010,1993,1210010,12,1,1,1993,713,1000,2,1,4.5,4.0,,,,26.4,20.9,,2.25,,,1200101,<,0.001,N,,<,0.001,<,0.005,<,0.001,<,0.0005,,,N,,,,,,,,,,,,,,,,,,<,0.003,<,0.001,,,,,,,,,,,,,,,,,,,,,#,7.2,#,8.2,#,0.8,#,3.4,#,32.0,#,24000.0,,,,,,
