,レコードID,測定年度,絶対番号,都道府県コード,水域コード,地点コード,採取_年,採取_月日,採取_時分,調査区分コード,採取位置コード,採取水深(m),天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度_C,透明度(m),地点統一番号,カドミウム_C,カドミウム(mg/l),全シアン_C,全シアン(mg/l),鉛_C,鉛(mg/l),六価クロム_C,六価クロム(mg/l),砒素_C,砒素(mg/l),総水銀_C,総水銀(mg/l),アルキル水銀_C,アルキル水銀(mg/l),PCB_C,PCB(mg/l),有機リン_C,有機リン(mg/l),ジクロロメタン_C,ジクロロメタン(mg/l),四塩化炭素_C,四塩化炭素(mg/l),1，2-ジクロロエタン_C,1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン_C,1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン_C,シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン_C,1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン_C,1，1，2-トリクロロエタン(mg/l),トリクロロエチレン_C,トリクロロエチレン(mg/l),テトラクロロエチレン_C,テトラクロロエチレン(mg/l),1，3-ジクロロプロペン_C,1，3-ジクロロプロペン(mg/l),チウラム_C,チウラム(mg/l),シマンジン_C,シマンジン(mg/l),チオベンカルプ_C,チオベンカルプ(mg/l),ベンゼン_C,ベンゼン(mg/l),セレン_C,セレン(mg/l),亜硝酸性窒素_C,亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素_C,硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素_C,ふっ素(mg/l),ほう素_C,ほう素(mg/l),pH_C,pH,DO_C,DO(mg/l),BOD_C,BOD(mg/l),COD_C,COD(mg/l),SS_C,SS(mg/l),大腸菌群数_C,大腸菌群数(MPN/100ml),n-ヘキサン抽出物質_C,n-ヘキサン抽出物質(mg/l),全窒素_C,全窒素(mg/l),全燐_C,全燐(mg/l)
0,1210010001,1994,1210010,12,1,1,1994,412,845,2,1,3.1,4.0,,,,18.2,13.3,,1.55,,,1200101,<,0.001,N,,#,0.002,<,0.005,#,0.001,<,0.0005,,,,,,,,,,,,,,,,,,,,,<,0.003,<,0.001,,,,,,,,,,,,,,,,,,,,,#,7.2,#,9.8,#,1.3,#,3.1,#,11.0,#,2200.0,,,#,2.2,#,0.13
1,1210010002,1994,1210010,12,1,1,1994,412,1410,2,1,3.1,4.0,,,,18.2,14.8,,1.55,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.4,#,10.0,#,1.9,#,3.9,#,16.0,,,,,,,,
2,1210010003,1994,1210010,12,1,1,1994,412,2150,2,1,3.3,10.0,,,,14.3,15.0,,1.65,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.5,#,9.5,#,3.0,#,5.9,#,47.0,,,,,,,,
3,1210010004,1994,1210010,12,1,1,1994,510,835,2,1,3.4,2.0,,,,19.6,17.7,,1.7,,,1200101,<,0.001,N,,#,0.001,<,0.005,#,0.002,<,0.0005,,,,,,,,,,,,,,,,,,,,,<,0.003,<,0.001,,,,,,,,,,,,,,,,,,,,,#,7.2,#,9.3,#,1.4,#,3.4,#,18.0,#,7300.0,,,#,1.9,#,0.13
4,1210010005,1994,1210010,12,1,1,1994,510,1405,2,1,3.5,2.0,,,,25.2,19.3,,1.75,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.4,#,9.6,#,2.4,#,3.7,#,17.0,,,,,,,,
5,1210010006,1994,1210010,12,1,1,1994,510,2210,2,1,3.5,4.0,,,,18.9,17.8,,1.75,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.2,#,9.3,#,1.6,#,3.9,#,22.0,,,,,,,,
6,1210010007,1994,1210010,12,1,1,1994,607,835,2,1,2.9,2.0,,,,22.6,21.1,,1.45,,,1200101,<,0.001,N,,#,0.002,<,0.005,#,0.003,<,0.0005,,,,,,,,,,,,,,,,,,,,,<,0.003,<,0.001,,,,,,,,,,,,,,,,,,,,,#,7.2,#,8.2,#,1.2,#,3.9,#,38.0,#,7900.0,,,#,1.8,#,0.17
7,1210010008,1994,1210010,12,1,1,1994,607,1400,2,1,2.7,4.0,,,,21.2,21.7,,1.35,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.2,#,8.5,#,1.4,#,3.7,#,28.0,,,,,,,,
8,1210010009,1994,1210010,12,1,1,1994,607,2210,2,1,2.9,4.0,,,,18.3,20.4,,1.45,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.3,#,8.3,#,1.8,#,5.1,#,30.0,,,,,,,,
9,1210010010,1994,1210010,12,1,1,1994,705,1000,2,1,2.1,2.0,,,,32.7,28.6,,1.05,,,1200101,<,0.001,N,,#,0.002,<,0.005,#,0.002,<,0.0005,,,,,,,<,0.002,<,0.0002,<,0.0004,<,0.002,<,0.004,<,0.1,<,0.0006,<,0.003,<,0.001,<,0.0002,<,0.0006,<,0.0003,<,0.002,<,0.001,<,0.001,,,,,,,,,#,8.0,#,8.7,#,2.3,#,3.9,#,18.0,#,7900.0,,,#,2.3,#,0.14
