,レコードID,測定年度,絶対番号,都道府県コード,水域コード,地点コード,採取_年,採取_月日,採取_時分,調査区分コード,採取位置コード,採取水深(m),天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度_C,透明度(m),地点統一番号,カドミウム_C,カドミウム(mg/l),全シアン_C,全シアン(mg/l),鉛_C,鉛(mg/l),六価クロム_C,六価クロム(mg/l),砒素_C,砒素(mg/l),総水銀_C,総水銀(mg/l),アルキル水銀_C,アルキル水銀(mg/l),PCB_C,PCB(mg/l),有機リン_C,有機リン(mg/l),ジクロロメタン_C,ジクロロメタン(mg/l),四塩化炭素_C,四塩化炭素(mg/l),1，2-ジクロロエタン_C,1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン_C,1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン_C,シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン_C,1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン_C,1，1，2-トリクロロエタン(mg/l),トリクロロエチレン_C,トリクロロエチレン(mg/l),テトラクロロエチレン_C,テトラクロロエチレン(mg/l),1，3-ジクロロプロペン_C,1，3-ジクロロプロペン(mg/l),チウラム_C,チウラム(mg/l),シマンジン_C,シマンジン(mg/l),チオベンカルプ_C,チオベンカルプ(mg/l),ベンゼン_C,ベンゼン(mg/l),セレン_C,セレン(mg/l),亜硝酸性窒素_C,亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素_C,硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素_C,ふっ素(mg/l),ほう素_C,ほう素(mg/l),pH_C,pH,DO_C,DO(mg/l),BOD_C,BOD(mg/l),COD_C,COD(mg/l),SS_C,SS(mg/l),大腸菌群数_C,大腸菌群数(MPN/100ml),n-ヘキサン抽出物質_C,n-ヘキサン抽出物質(mg/l),全窒素_C,全窒素(mg/l),全燐_C,全燐(mg/l)
0,1210010001,2004,1210010,12,1,1,2004,423,900,0,2.0,0.19,,,,,19.2,16.6,75.17,0.95,,,1200101,<,0.001,<,0.1,<,0.001,<,0.005,#,0.002,<,0.0005,,,,,,,,,,,,,,,,,,,,,<,0.0002,<,0.0002,,,,,,,,,,,,,,,,,#,0.06,,,#,7.4,#,9.2,#,2.0,#,3.5,#,19.0,#,4900.0,,,#,1.4,#,0.095
1,1210010002,2004,1210010,12,1,1,2004,423,1400,0,2.0,0.2,,,,,16.0,16.4,58.34,1.0,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.3,#,9.2,#,1.5,#,3.1,#,14.0,,,,,,,,
2,1210010003,2004,1210010,12,1,1,2004,423,2130,0,2.0,0.21,,,,,10.7,14.6,55.41,1.05,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.4,#,9.6,#,1.9,#,3.7,#,18.0,,,,,,,,
3,1210010004,2004,1210010,12,1,1,2004,513,900,0,2.0,0.25,,,,,22.3,16.9,104.26,1.25,,,1200101,<,0.001,<,0.1,#,0.002,<,0.005,#,0.002,<,0.0005,,,,,,,,,,,,,,,,,,,,,<,0.0002,<,0.0002,,,,,,,,,,,,,,,,,#,0.06,,,#,7.6,#,9.4,#,1.4,#,3.3,#,37.0,#,4900.0,,,#,1.1,#,0.13
4,1210010005,2004,1210010,12,1,1,2004,513,1400,0,2.0,0.24,,,,,23.6,16.8,104.63,1.2,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.6,#,9.4,#,1.4,#,3.1,#,29.0,,,,,,,,
5,1210010006,2004,1210010,12,1,1,2004,513,2130,0,2.0,0.2,,,,,20.3,16.1,92.46,1.0,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.6,#,9.4,#,1.5,#,3.5,#,36.0,,,,,,,,
6,1210010007,2004,1210010,12,1,1,2004,615,900,0,2.0,0.24,,,,,21.4,22.4,106.54,1.2,,,1200101,<,0.001,<,0.1,<,0.001,<,0.005,#,0.001,<,0.0005,,,,,,,,,,,,,,,,,,,,,<,0.0002,<,0.0002,,,,,,,,,,,,,,,,,<,0.05,,,#,7.4,#,7.4,#,2.2,#,3.5,#,20.0,#,11000.0,,,#,2.1,#,0.12
7,1210010008,2004,1210010,12,1,1,2004,615,1400,0,2.0,0.23,,,,,30.2,24.3,106.6,1.15,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.4,#,8.1,#,1.6,#,3.6,#,17.0,,,,,,,,
8,1210010009,2004,1210010,12,1,1,2004,615,2130,0,2.0,0.23,,,,,25.2,22.4,101.78,1.15,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.3,#,8.1,#,1.9,#,3.6,#,16.0,,,,,,,,
9,1210010010,2004,1210010,12,1,1,2004,706,1000,0,2.0,0.17,,,,,30.5,27.2,41.0,0.85,,,1200101,<,0.001,<,0.1,<,0.001,<,0.005,#,0.001,<,0.0005,,,,,,,,,,,,,,,,,,,,,<,0.0002,<,0.0002,,,,,,,,,,,,,,,,,#,0.06,,,#,7.6,#,8.6,#,4.6,#,6.2,#,19.0,#,33000.0,,,#,2.0,#,0.11
