,レコードID,測定年度,絶対番号,都道府県コード,水域コード,地点コード,採取_年,採取_月日,採取_時分,調査区分コード,採取位置コード,採取水深(m),天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度_C,透明度(m),地点統一番号,カドミウム_C,カドミウム(mg/l),全シアン_C,全シアン(mg/l),鉛_C,鉛(mg/l),六価クロム_C,六価クロム(mg/l),砒素_C,砒素(mg/l),総水銀_C,総水銀(mg/l),アルキル水銀_C,アルキル水銀(mg/l),PCB_C,PCB(mg/l),有機リン_C,有機リン(mg/l),ジクロロメタン_C,ジクロロメタン(mg/l),四塩化炭素_C,四塩化炭素(mg/l),1，2-ジクロロエタン_C,1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン_C,1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン_C,シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン_C,1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン_C,1，1，2-トリクロロエタン(mg/l),トリクロロエチレン_C,トリクロロエチレン(mg/l),テトラクロロエチレン_C,テトラクロロエチレン(mg/l),1，3-ジクロロプロペン_C,1，3-ジクロロプロペン(mg/l),チウラム_C,チウラム(mg/l),シマンジン_C,シマンジン(mg/l),チオベンカルプ_C,チオベンカルプ(mg/l),ベンゼン_C,ベンゼン(mg/l),セレン_C,セレン(mg/l),亜硝酸性窒素_C,亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素_C,硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素_C,ふっ素(mg/l),ほう素_C,ほう素(mg/l),pH_C,pH,DO_C,DO(mg/l),BOD_C,BOD(mg/l),COD_C,COD(mg/l),SS_C,SS(mg/l),大腸菌群数_C,大腸菌群数(MPN/100ml),n-ヘキサン抽出物質_C,n-ヘキサン抽出物質(mg/l),全窒素_C,全窒素(mg/l),全燐_C,全燐(mg/l)
0,1210010001,2005,1210010,12,1,1,2005,419,900,0,2,0.3,,,,,15.6,14.2,95.04,1.5,,,1200101,<,0.001,<,0.1,#,0.001,<,0.005,#,0.002,<,0.0005,,,,,,,,,,,,,,,,,,,,,<,0.003,<,0.001,,,,,,,,,,,,,,,,,#,0.1,,,#,7.3,#,10.0,#,2.0,#,2.7,#,13.0,#,13000.0,,,#,1.8,#,0.083
1,1210010002,2005,1210010,12,1,1,2005,419,1400,0,2,0.3,,,,,21.8,16.2,96.94,1.5,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.4,#,10.0,#,1.4,#,2.5,#,9.0,,,,,,,,
2,1210010003,2005,1210010,12,1,1,2005,419,2130,0,2,0.28,,,,,9.8,13.2,92.89,1.4,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.4,#,10.0,#,1.5,#,2.9,#,15.0,,,,,,,,
3,1210010004,2005,1210010,12,1,1,2005,511,900,0,2,0.26,,,,,12.2,15.0,62.72,1.3,,,1200101,<,0.001,<,0.1,<,0.001,<,0.005,#,0.001,<,0.0005,,,,,,,,,,,,,,,,,,,,,<,0.003,<,0.001,,,,,,,,,,,,,,,,,#,0.09,,,#,7.3,#,9.3,#,1.8,#,3.1,#,14.0,#,4900.0,,,#,1.7,#,0.081
4,1210010005,2005,1210010,12,1,1,2005,511,1400,0,2,0.25,,,,,13.5,16.0,58.36,1.25,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.4,#,9.3,#,1.6,#,2.9,#,14.0,,,,,,,,
5,1210010006,2005,1210010,12,1,1,2005,511,2130,0,2,0.25,,,,,10.8,13.9,62.41,1.25,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.4,#,9.4,#,1.4,#,2.7,#,13.0,,,,,,,,
6,1210010007,2005,1210010,12,1,1,2005,608,900,0,2,0.24,,,,,25.0,21.3,52.39,1.2,,,1200101,<,0.001,<,0.1,#,0.001,<,0.005,#,0.001,<,0.0005,,,,,,,,,,,,,,,,,,,,,<,0.003,<,0.001,,,,,,,,,,,,,,,,,#,0.1,,,#,7.5,#,8.5,#,1.7,#,3.2,#,16.0,#,13000.0,,,#,1.5,#,0.09300000000000001
7,1210010008,2005,1210010,12,1,1,2005,608,1400,0,2,0.21,,,,,24.5,22.2,60.12,1.05,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.6,#,8.9,#,1.9,#,3.2,#,17.0,,,,,,,,
8,1210010009,2005,1210010,12,1,1,2005,608,2130,0,2,0.22,,,,,20.8,20.4,54.68,1.1,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.5,#,8.8,#,1.8,#,3.3,#,15.0,,,,,,,,
9,1210010010,2005,1210010,12,1,1,2005,713,1000,0,2,0.34,,,,,22.2,22.0,140.45,1.7,,,1200101,<,0.001,<,0.1,#,0.001,<,0.005,#,0.002,<,0.0005,,,,,,,,,,,,,,,,,,,,,<,0.003,<,0.001,,,,,,,,,,,,,,,,,#,0.11,,,#,7.3,#,6.8,#,1.6,#,4.8,#,27.0,#,49000.0,,,#,2.8,#,0.13
