,レコードID,測定年度,絶対番号,都道府県コード,水域コード,地点コード,採取_年,採取_月日,採取_時分,調査区分コード,採取位置コード,採取水深(m),天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度_C,透明度(m),地点統一番号,カドミウム_C,カドミウム(mg/l),全シアン_C,全シアン(mg/l),鉛_C,鉛(mg/l),六価クロム_C,六価クロム(mg/l),砒素_C,砒素(mg/l),総水銀_C,総水銀(mg/l),アルキル水銀_C,アルキル水銀(mg/l),PCB_C,PCB(mg/l),有機リン_C,有機リン(mg/l),ジクロロメタン_C,ジクロロメタン(mg/l),四塩化炭素_C,四塩化炭素(mg/l),1，2-ジクロロエタン_C,1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン_C,1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン_C,シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン_C,1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン_C,1，1，2-トリクロロエタン(mg/l),トリクロロエチレン_C,トリクロロエチレン(mg/l),テトラクロロエチレン_C,テトラクロロエチレン(mg/l),1，3-ジクロロプロペン_C,1，3-ジクロロプロペン(mg/l),チウラム_C,チウラム(mg/l),シマンジン_C,シマンジン(mg/l),チオベンカルプ_C,チオベンカルプ(mg/l),ベンゼン_C,ベンゼン(mg/l),セレン_C,セレン(mg/l),亜硝酸性窒素_C,亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素_C,硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素_C,ふっ素(mg/l),ほう素_C,ほう素(mg/l),pH_C,pH,DO_C,DO(mg/l),BOD_C,BOD(mg/l),COD_C,COD(mg/l),SS_C,SS(mg/l),大腸菌群数_C,大腸菌群数(MPN/100ml),n-ヘキサン抽出物質_C,n-ヘキサン抽出物質(mg/l),全窒素_C,全窒素(mg/l),全燐_C,全燐(mg/l)
0,1210010001,2002,1210010,12,1,1,2002,416,900,0,2,0.24,,,,,24.0,18.1,84.07,1.2,,,1200101,<,0.001,<,0.1,#,0.001,<,0.005,#,0.001,<,0.0005,,,,,,,,,,,,,,,,,,,,,<,0.003,<,0.001,,,,,,,,,,,,,,,,,#,0.1,,,#,7.3,#,9.9,#,0.8,#,2.2,#,14.0,#,3300.0,,,#,1.5,#,0.07
1,1210010002,2002,1210010,12,1,1,2002,416,1400,0,2,0.22,,,,,21.5,17.0,70.15,1.1,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.4,#,10.0,#,1.1,#,2.6,#,19.0,,,,,,,,
2,1210010003,2002,1210010,12,1,1,2002,416,2130,0,2,0.22,,,,,20.1,16.8,72.45,1.1,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.4,#,9.4,#,0.9,#,2.1,#,19.0,,,,,,,,
3,1210010004,2002,1210010,12,1,1,2002,514,900,0,2,0.2,,,,,18.8,16.8,81.29,1.0,,,1200101,<,0.001,<,0.1,<,0.001,<,0.005,#,0.001,<,0.0005,,,,,,,,,,,,,,,,,,,,,<,0.003,<,0.001,,,,,,,,,,,,,,,,,#,0.09,,,#,7.2,#,10.0,#,0.9,#,2.4,#,17.0,#,3300.0,,,#,1.3,#,0.095
4,1210010005,2002,1210010,12,1,1,2002,514,1400,0,2,0.19,,,,,22.0,18.0,72.58,0.95,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.2,#,10.0,#,1.0,#,3.2,#,15.0,,,,,,,,
5,1210010006,2002,1210010,12,1,1,2002,514,2130,0,2,0.19,,,,,17.4,17.0,73.67,0.95,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.2,#,9.5,#,1.0,#,2.2,#,14.0,,,,,,,,
6,1210010007,2002,1210010,12,1,1,2002,604,900,0,2,0.13,,,,,26.0,23.3,46.38,0.65,,,1200101,<,0.001,<,0.1,#,0.001,<,0.005,#,0.001,<,0.0005,,,,,,,,,,,,,,,,,,,,,<,0.003,<,0.001,,,,,,,,,,,,,,,,,#,0.12,,,#,7.5,#,9.5,#,1.6,#,3.5,#,22.0,#,3300.0,,,#,1.4,#,0.12
7,1210010008,2002,1210010,12,1,1,2002,604,1400,0,2,0.12,,,,,29.0,24.7,38.27,0.6,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.6,#,10.0,#,1.5,#,3.4,#,13.0,,,,,,,,
8,1210010009,2002,1210010,12,1,1,2002,604,2130,0,2,0.14,,,,,21.5,22.8,41.5,0.7,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.4,#,9.2,#,1.2,#,2.7,#,9.0,,,,,,,,
9,1210010010,2002,1210010,12,1,1,2002,702,1000,2,2,0.23,,,,,27.0,23.0,83.13,1.15,,,1200101,<,0.001,<,0.1,#,0.003,<,0.005,#,0.001,<,0.0005,,,,,,,,,,,,,,,,,,,,,<,0.003,<,0.001,,,,,,,,,,,,,,,,,#,0.13,,,#,7.4,#,7.3,#,2.4,#,4.6,#,35.0,#,17000.0,,,#,2.5,#,0.2
10,1210010011,2002,1210010,12,1,1,2002,702,1400,2,2,0.22,,,,,26.0,24.0,99.54,1.1,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.4,#,7.6,#,2.4,#,4.7,#,38.0,,,,,,,,
