,レコードID,測定年度,絶対番号,都道府県コード,水域コード,地点コード,採取_年,採取_月日,採取_時分,調査区分コード,採取位置コード,採取水深(m),天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度_C,透明度(m),地点統一番号,カドミウム_C,カドミウム(mg/l),全シアン_C,全シアン(mg/l),鉛_C,鉛(mg/l),六価クロム_C,六価クロム(mg/l),砒素_C,砒素(mg/l),総水銀_C,総水銀(mg/l),アルキル水銀_C,アルキル水銀(mg/l),PCB_C,PCB(mg/l),有機リン_C,有機リン(mg/l),ジクロロメタン_C,ジクロロメタン(mg/l),四塩化炭素_C,四塩化炭素(mg/l),1，2-ジクロロエタン_C,1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン_C,1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン_C,シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン_C,1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン_C,1，1，2-トリクロロエタン(mg/l),トリクロロエチレン_C,トリクロロエチレン(mg/l),テトラクロロエチレン_C,テトラクロロエチレン(mg/l),1，3-ジクロロプロペン_C,1，3-ジクロロプロペン(mg/l),チウラム_C,チウラム(mg/l),シマンジン_C,シマンジン(mg/l),チオベンカルプ_C,チオベンカルプ(mg/l),ベンゼン_C,ベンゼン(mg/l),セレン_C,セレン(mg/l),亜硝酸性窒素_C,亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素_C,硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素_C,ふっ素(mg/l),ほう素_C,ほう素(mg/l),pH_C,pH,DO_C,DO(mg/l),BOD_C,BOD(mg/l),COD_C,COD(mg/l),SS_C,SS(mg/l),大腸菌群数_C,大腸菌群数(MPN/100ml),n-ヘキサン抽出物質_C,n-ヘキサン抽出物質(mg/l),全窒素_C,全窒素(mg/l),全燐_C,全燐(mg/l)
0,1210010001,1987,1210010,12,1,1,1987,422,915,2,1.0,0.3,2.0,,,,23.0,18.0,67.9,1.7,,,1200101,<,0.005,N,,<,0.05,<,0.02,<,0.02,<,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.4,#,9.7,#,3.7,#,5.0,#,44.0,#,3300.0,,,#,2.0,#,0.11
1,1210010002,1987,1210010,12,1,1,1987,422,1530,2,1.0,0.3,2.0,,,,25.0,19.7,62.0,1.6,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.5,#,10.0,#,4.2,#,5.2,#,38.0,,,,,,,,
2,1210010003,1987,1210010,12,1,1,1987,422,2100,2,1.0,0.3,4.0,,,,15.2,18.0,47.4,1.5,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.4,#,9.4,#,4.0,#,4.9,#,33.0,,,,,,,,
3,1210010004,1987,1210010,12,1,1,1987,506,830,2,1.0,0.2,2.0,,,,14.8,15.2,55.4,1.4,,,1200101,<,0.005,N,,<,0.05,<,0.02,<,0.02,<,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.2,#,9.9,#,1.9,#,2.9,#,14.0,#,3300.0,,,#,1.3,#,0.12
4,1210010005,1987,1210010,12,1,1,1987,506,1500,2,1.0,0.2,2.0,,,,20.3,18.8,60.1,1.45,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.4,#,10.0,#,3.0,#,3.5,#,11.0,,,,,,,,
5,1210010006,1987,1210010,12,1,1,1987,506,2050,2,1.0,0.2,2.0,,,,14.7,17.7,59.1,1.45,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.3,#,9.8,#,3.8,#,4.2,#,15.0,,,,,,,,
6,1210010007,1987,1210010,12,1,1,1987,602,900,2,1.0,0.3,4.0,,,,23.0,21.0,73.1,1.7,,,1200101,<,0.005,N,,<,0.05,<,0.02,<,0.02,<,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.3,#,9.2,#,2.7,#,3.5,#,27.0,#,4900.0,,,#,1.1,#,0.11
7,1210010008,1987,1210010,12,1,1,1987,602,1550,2,1.0,0.3,4.0,,,,22.5,22.5,54.5,1.5,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.5,#,9.8,#,3.0,#,3.7,#,24.0,,,,,,,,
8,1210010009,1987,1210010,12,1,1,1987,602,2050,2,1.0,0.3,4.0,,,,18.5,20.5,59.1,1.55,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.3,#,8.8,#,3.3,#,4.1,#,30.0,,,,,,,,
9,1210010010,1987,1210010,12,1,1,1987,707,1000,2,1.0,0.3,2.0,,,,25.6,23.1,71.0,1.5,,,1200101,<,0.005,N,,<,0.05,<,0.02,<,0.02,<,0.0005,,,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.1,#,8.6,#,1.9,#,5.8,#,44.0,#,7900.0,,,#,2.3,#,0.2
