,レコードID,測定年度,絶対番号,都道府県コード,水域コード,地点コード,採取_年,採取_月日,採取_時分,調査区分コード,採取位置コード,採取水深(m),天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度_C,透明度(m),地点統一番号,カドミウム_C,カドミウム(mg/l),全シアン_C,全シアン(mg/l),鉛_C,鉛(mg/l),六価クロム_C,六価クロム(mg/l),砒素_C,砒素(mg/l),総水銀_C,総水銀(mg/l),アルキル水銀_C,アルキル水銀(mg/l),PCB_C,PCB(mg/l),有機リン_C,有機リン(mg/l),ジクロロメタン_C,ジクロロメタン(mg/l),四塩化炭素_C,四塩化炭素(mg/l),1，2-ジクロロエタン_C,1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン_C,1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン_C,シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン_C,1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン_C,1，1，2-トリクロロエタン(mg/l),トリクロロエチレン_C,トリクロロエチレン(mg/l),テトラクロロエチレン_C,テトラクロロエチレン(mg/l),1，3-ジクロロプロペン_C,1，3-ジクロロプロペン(mg/l),チウラム_C,チウラム(mg/l),シマンジン_C,シマンジン(mg/l),チオベンカルプ_C,チオベンカルプ(mg/l),ベンゼン_C,ベンゼン(mg/l),セレン_C,セレン(mg/l),亜硝酸性窒素_C,亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素_C,硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素_C,ふっ素(mg/l),ほう素_C,ほう素(mg/l),pH_C,pH,DO_C,DO(mg/l),BOD_C,BOD(mg/l),COD_C,COD(mg/l),SS_C,SS(mg/l),大腸菌群数_C,大腸菌群数(MPN/100ml),n-ヘキサン抽出物質_C,n-ヘキサン抽出物質(mg/l)
0,1210010001,1983,1210010,12,1,1,1983,420,1130,2,1,0.4,4.0,,,,22.0,15.3,173.18,2.1,,,1200101,<,0.005,N,,<,0.05,<,0.02,<,0.02,<,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.0,#,9.3,#,1.3,#,5.4,#,50.0,#,13000.0,,
1,1210010002,1983,1210010,12,1,1,1983,420,1600,2,1,0.4,4.0,,,,14.0,13.7,171.5,2.1,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.0,#,9.1,#,2.5,#,6.3,#,49.0,,,,
2,1210010003,1983,1210010,12,1,1,1983,420,2150,2,1,0.4,4.0,,,,12.0,13.5,169.83,2.1,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.1,#,9.7,#,1.2,#,5.1,#,47.0,,,,
3,1210010004,1983,1210010,12,1,1,1983,510,1100,2,1,0.2,2.0,,,,26.0,21.5,39.19,1.0,,,1200101,<,0.005,N,,<,0.05,<,0.02,<,0.02,<,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.2,#,8.4,#,2.7,#,4.5,#,15.0,#,7900.0,,
4,1210010005,1983,1210010,12,1,1,1983,510,1600,2,1,0.2,2.0,,,,23.0,22.5,47.6,1.1,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.3,#,9.1,#,2.7,#,4.5,#,13.0,,,,
5,1210010006,1983,1210010,12,1,1,1983,510,2130,2,1,0.2,2.0,,,,16.0,18.6,37.46,1.0,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.4,#,8.8,#,2.6,#,4.5,#,31.0,,,,
6,1210010007,1983,1210010,12,1,1,1983,607,1120,2,1,0.2,2.0,,,,27.0,24.0,56.82,1.2,,,1200101,<,0.005,N,,<,0.05,<,0.02,<,0.02,<,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,8.0,#,11.0,#,4.6,#,7.0,#,17.0,#,24000.0,,
7,1210010008,1983,1210010,12,1,1,1983,607,1500,2,1,0.2,2.0,,,,26.5,24.0,64.79,1.3,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,8.6,#,12.0,#,4.3,#,7.3,#,20.0,,,,
8,1210010009,1983,1210010,12,1,1,1983,607,2140,2,1,0.2,2.0,,,,17.7,21.5,56.82,1.2,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,8.5,#,9.8,#,5.1,#,10.0,#,130.0,,,,
9,1210010010,1983,1210010,12,1,1,1983,705,1100,2,1,0.3,10.0,,,,21.0,21.5,144.36,1.9,,,1200101,<,0.005,N,,<,0.05,<,0.02,<,0.02,<,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.4,#,7.2,#,2.0,#,4.7,#,46.0,#,240000.0,,
10,1210010011,1983,1210010,12,1,1,1983,705,1600,2,1,0.3,10.0,,,,22.0,21.0,142.85,1.9,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.4,#,6.9,#,2.6,#,4.2,#,37.0,,,,
11,1210010012,1983,1210010,12,1,1,1983,705,2140,2,1,0.3,10.0,,,,20.4,21.5,132.46,1.85,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.4,#,7.7,#,1.5,#,4.3,#,44.0,,,,
12,1210010013,1983,1210010,12,1,1,1983,823,1000,2,1,0.8,4.0,,,,26.0,22.0,396.8,4.1,,,1200101,<,0.005,N,,<,0.05,<,0.02,<,0.02,<,0.0005,,,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.2,#,8.5,#,0.7,#,4.9,#,96.0,#,33000.0,,
13,1210010014,1983,1210010,12,1,1,1983,823,1600,2,1,0.8,4.0,,,,25.5,23.5,372.01,4.0,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.1,#,8.2,#,0.9,#,4.7,#,91.0,,,,
14,1210010015,1983,1210010,12,1,1,1983,823,2200,2,1,0.7,4.0,,,,23.0,22.5,345.66,3.89,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.0,#,7.9,#,1.2,#,4.6,#,77.0,,,,
15,1210010016,1983,1210010,12,1,1,1983,906,1030,2,1,0.5,2.0,,,,34.0,28.0,77.26,2.85,,,1200101,<,0.005,N,,<,0.05,<,0.02,<,0.02,<,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.3,#,8.5,#,2.1,#,4.6,#,20.0,#,49000.0,,
16,1210010017,1983,1210010,12,1,1,1983,906,1630,2,1,0.5,2.0,,,,33.0,28.5,71.81,2.8,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.2,#,8.8,#,3.7,#,5.3,#,16.0,,,,
17,1210010018,1983,1210010,12,1,1,1983,906,2200,2,1,0.5,2.0,,,,25.8,26.3,77.26,2.85,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.3,#,8.6,#,2.2,#,4.1,#,22.0,,,,
18,1210010019,1983,1210010,12,1,1,1983,1018,1030,2,1,0.4,2.0,,,,21.0,17.0,110.2,2.15,,,1200101,<,0.005,N,,<,0.05,<,0.02,<,0.02,<,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.2,#,8.6,#,1.0,#,3.2,#,20.0,#,13000.0,,
19,1210010020,1983,1210010,12,1,1,1983,1018,1620,2,1,0.4,4.0,,,,16.0,16.6,115.57,2.2,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.2,#,8.8,#,1.0,#,2.9,#,17.0,,,,
20,1210010021,1983,1210010,12,1,1,1983,1018,2130,2,1,0.4,4.0,,,,12.8,15.2,110.2,2.15,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.2,#,10.0,#,1.2,#,2.9,#,21.0,,,,
