,レコードID,測定年度,絶対番号,都道府県コード,水域コード,地点コード,採取_年,採取_月日,採取_時分,調査区分コード,採取位置コード,採取水深(m),天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度_C,透明度(m),地点統一番号,カドミウム_C,カドミウム(mg/l),全シアン_C,全シアン(mg/l),鉛_C,鉛(mg/l),六価クロム_C,六価クロム(mg/l),砒素_C,砒素(mg/l),総水銀_C,総水銀(mg/l),アルキル水銀_C,アルキル水銀(mg/l),PCB_C,PCB(mg/l),有機リン_C,有機リン(mg/l),ジクロロメタン_C,ジクロロメタン(mg/l),四塩化炭素_C,四塩化炭素(mg/l),1，2-ジクロロエタン_C,1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン_C,1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン_C,シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン_C,1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン_C,1，1，2-トリクロロエタン(mg/l),トリクロロエチレン_C,トリクロロエチレン(mg/l),テトラクロロエチレン_C,テトラクロロエチレン(mg/l),1，3-ジクロロプロペン_C,1，3-ジクロロプロペン(mg/l),チウラム_C,チウラム(mg/l),シマンジン_C,シマンジン(mg/l),チオベンカルプ_C,チオベンカルプ(mg/l),ベンゼン_C,ベンゼン(mg/l),セレン_C,セレン(mg/l),亜硝酸性窒素_C,亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素_C,硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素_C,ふっ素(mg/l),ほう素_C,ほう素(mg/l),pH_C,pH,DO_C,DO(mg/l),BOD_C,BOD(mg/l),COD_C,COD(mg/l),SS_C,SS(mg/l),大腸菌群数_C,大腸菌群数(MPN/100ml),n-ヘキサン抽出物質_C,n-ヘキサン抽出物質(mg/l),全窒素_C,全窒素(mg/l),全燐_C,全燐(mg/l)
0,1210010001,2008,1210010,12,1,1,2008,416,1000,0,1,0.27,,,,,21.5,15.5,120.52,,,,1200101,,,,,#,0.002,,,#,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,0.09,,,#,7.4,#,9.3,#,1.5,#,3.4,#,20.0,#,4900.0,,,#,2.2,#,0.1
1,1210010002,2008,1210010,12,1,1,2008,416,1600,0,1,0.27,,,,,19.0,15.2,110.23,,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.4,#,9.6,#,1.0,,,#,17.0,,,,,,,,
2,1210010003,2008,1210010,12,1,1,2008,514,1000,0,1,0.25,,,,,10.2,11.7,74.94,,,,1200101,,,,,#,0.001,,,#,0.001,,,,,,,,,,,,,,,,,,,,,,,<,0.003,<,0.001,,,,,,,,,,,,,#,0.013000000000000001,#,1.6,#,0.11,,,#,7.3,#,10.0,#,0.7,#,2.4,#,9.0,#,7900.0,,,#,1.8,#,0.071
3,1210010004,2008,1210010,12,1,1,2008,514,1600,0,1,0.24,,,,,13.0,13.0,66.71,,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.3,#,10.0,#,0.9,,,#,7.0,,,,,,,,
4,1210010005,2008,1210010,12,1,1,2008,604,1000,0,1,0.62,,,,,18.7,15.4,373.31,,,,1200101,,,,,#,0.003,,,#,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,0.09,,,#,7.3,#,8.5,#,2.1,#,5.6,#,75.0,#,79000.0,,,#,2.1,#,0.2
5,1210010006,2008,1210010,12,1,1,2008,604,1600,0,1,0.62,,,,,21.4,16.6,363.24,,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.2,#,8.3,#,1.9,,,#,110.0,,,,,,,,
6,1210010007,2008,1210010,12,1,1,2008,702,1100,0,1,0.45,,,,,26.9,21.5,251.63,,,,1200101,,,,,#,0.005,,,<,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<,0.08,,,#,7.4,#,8.2,#,3.1,#,4.7,#,43.0,#,23000.0,,,#,2.8,#,0.12
7,1210010008,2008,1210010,12,1,1,2008,702,1500,0,1,0.43,,,,,28.5,22.5,244.84,,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.4,#,7.8,#,2.5,,,#,41.0,,,,,,,,
8,1210010009,2008,1210010,12,1,1,2008,702,1900,0,1,0.42,,,,,22.6,20.6,227.16,,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.4,#,8.0,#,0.7,,,#,32.0,,,,,,,,
9,1210010010,2008,1210010,12,1,1,2008,702,2300,0,1,0.41,,,,,22.7,20.8,203.36,,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.4,#,7.5,#,1.2,,,#,18.0,,,,,,,,
10,1210010011,2008,1210010,12,1,1,2008,703,300,0,1,0.4,,,,,21.8,21.0,178.84,,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.5,#,7.9,#,1.0,,,#,22.0,,,,,,,,
11,1210010012,2008,1210010,12,1,1,2008,703,700,0,1,0.39,,,,,22.7,21.3,164.89,,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.4,#,7.7,#,1.4,,,#,21.0,,,,,,,,
12,1210010013,2008,1210010,12,1,1,2008,703,1100,0,1,0.38,,,,,25.7,21.9,139.89,,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.4,#,7.8,#,1.3,,,#,26.0,,,,,,,,
13,1210010014,2008,1210010,12,1,1,2008,813,1000,0,1,0.22,,,,,34.2,28.4,67.28,,,,1200101,,,,,#,0.003,,,<,0.001,<,0.0005,,,<,0.0005,,,<,0.002,<,0.0002,<,0.0004,<,0.002,<,0.004,<,0.1,<,0.0006,<,0.003,<,0.001,<,0.0002,<,0.0006,<,0.0003,<,0.002,<,0.001,<,0.001,#,0.011000000000000001,#,2.0,#,0.09,<,0.1,#,7.5,#,7.0,#,1.5,#,4.6,#,35.0,#,49000.0,,,#,2.6,#,0.12
14,1210010015,2008,1210010,12,1,1,2008,813,1600,0,1,0.22,,,,,33.0,29.0,68.75,,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.6,#,7.9,#,1.4,,,#,30.0,,,,,,,,
15,1210010016,2008,1210010,12,1,1,2008,910,1000,0,1,0.37,,,,,26.0,22.2,164.69,,,,1200101,,,,,#,0.004,,,<,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,0.13,,,#,7.4,#,7.9,#,1.8,#,4.3,#,47.0,#,23000.0,,,#,2.9,#,0.13
16,1210010017,2008,1210010,12,1,1,2008,910,1600,0,1,0.37,,,,,27.7,22.6,164.52,,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.4,#,7.9,#,0.8,,,#,31.0,,,,,,,,
17,1210010018,2008,1210010,12,1,1,2008,1008,900,0,1,0.31,,,,,17.4,18.2,133.4,,,,1200101,,,,,#,0.009000000000000001,,,<,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,0.12,,,#,7.4,#,8.3,#,0.6,#,3.8,#,20.0,#,79000.0,,,#,2.7,#,0.11
18,1210010019,2008,1210010,12,1,1,2008,1008,1600,0,1,0.3,,,,,18.8,18.5,135.31,,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.4,#,8.4,#,0.9,,,#,19.0,,,,,,,,
19,1210010020,2008,1210010,12,1,1,2008,1105,1000,0,1,0.17,,,,,12.9,13.0,36.38,,,,1200101,,,,,#,0.003,,,<,0.001,,,,,,,,,,,,,,,,,,,,,,,<,0.003,<,0.001,,,,,,,,,,,,,,,#,3.1,#,0.15,,,#,7.6,#,9.8,#,1.3,#,2.6,#,7.0,#,4900.0,,,#,3.3,#,0.08900000000000001
20,1210010021,2008,1210010,12,1,1,2008,1105,1600,0,1,0.14,,,,,16.5,14.0,44.27,,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.7,#,9.9,#,1.0,,,#,5.0,,,,,,,,
