,レコードID,測定年度,絶対番号,都道府県コード,水域コード,地点コード,採取_年,採取_月日,採取_時分,調査区分コード,採取位置コード,採取水深(m),天候コード,流況コード,臭気コード,色相コード,気温(℃),水温(℃),流量(m3/s),全水深(m),透明度_C,透明度(m),地点統一番号,カドミウム_C,カドミウム(mg/l),全シアン_C,全シアン(mg/l),鉛_C,鉛(mg/l),六価クロム_C,六価クロム(mg/l),砒素_C,砒素(mg/l),総水銀_C,総水銀(mg/l),アルキル水銀_C,アルキル水銀(mg/l),PCB_C,PCB(mg/l),有機リン_C,有機リン(mg/l),ジクロロメタン_C,ジクロロメタン(mg/l),四塩化炭素_C,四塩化炭素(mg/l),1，2-ジクロロエタン_C,1，2-ジクロロエタン(mg/l),1，1-ジクロロエチレン_C,1，1-ジクロロエチレン(mg/l),シス-1，2-ジクロロエチレン_C,シス-1，2-ジクロロエチレン(mg/l),1，1，1-トリクロロエタン_C,1，1，1-トリクロロエタン(mg/l),1，1，2-トリクロロエタン_C,1，1，2-トリクロロエタン(mg/l),トリクロロエチレン_C,トリクロロエチレン(mg/l),テトラクロロエチレン_C,テトラクロロエチレン(mg/l),1，3-ジクロロプロペン_C,1，3-ジクロロプロペン(mg/l),チウラム_C,チウラム(mg/l),シマンジン_C,シマンジン(mg/l),チオベンカルプ_C,チオベンカルプ(mg/l),ベンゼン_C,ベンゼン(mg/l),セレン_C,セレン(mg/l),亜硝酸性窒素_C,亜硝酸性窒素(mg/l),硝酸性窒素及び亜硝酸性窒素_C,硝酸性窒素及び亜硝酸性窒素(mg/l),ふっ素_C,ふっ素(mg/l),ほう素_C,ほう素(mg/l),pH_C,pH,DO_C,DO(mg/l),BOD_C,BOD(mg/l),COD_C,COD(mg/l),SS_C,SS(mg/l),大腸菌群数_C,大腸菌群数(MPN/100ml),n-ヘキサン抽出物質_C,n-ヘキサン抽出物質(mg/l),全窒素_C,全窒素(mg/l),全燐_C,全燐(mg/l)
0,1210010001,1984,1210010,12,1,1,1984,419,1000,2,1,0.3,9.0,,,,8.0,10.0,,1.5,,,1200101,<,0.005,N,,<,0.05,<,0.02,<,0.02,<,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.2,#,9.8,#,2.5,#,3.8,#,10.0,#,33000.0,,,,,,
1,1210010002,1984,1210010,12,1,1,1984,419,1800,2,1,0.3,9.0,,,,6.0,9.8,,1.56,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.3,#,9.1,#,3.6,#,4.2,#,8.0,,,,,,,,
2,1210010003,1984,1210010,12,1,1,1984,419,2140,2,1,0.3,9.0,,,,5.3,10.3,,1.65,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.3,#,9.9,#,2.8,#,3.6,#,18.0,,,,,,,,
3,1210010004,1984,1210010,12,1,1,1984,508,1020,2,1,0.3,2.0,,,,25.0,20.5,77.26,1.55,,,1200101,<,0.005,N,,<,0.05,<,0.02,<,0.02,<,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.2,#,9.2,#,1.4,#,3.6,#,24.0,#,250000.0,,,,,,
4,1210010005,1984,1210010,12,1,1,1984,508,1620,2,1,0.3,2.0,,,,23.0,20.0,73.96,1.5,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.3,#,9.1,#,2.2,#,4.8,#,56.0,,,,,,,,
5,1210010006,1984,1210010,12,1,1,1984,508,2140,2,1,0.2,2.0,,,,16.0,16.7,69.68,1.45,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.3,#,9.3,#,2.8,#,3.7,#,48.0,,,,,,,,
6,1210010007,1984,1210010,12,1,1,1984,605,1030,2,1,0.2,4.0,,,,23.0,19.0,,1.3,,,1200101,<,0.005,N,,<,0.05,<,0.02,<,0.02,<,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.1,#,8.6,#,1.8,#,2.9,#,14.0,#,49000.0,,,,,,
7,1210010008,1984,1210010,12,1,1,1984,605,1600,2,1,0.2,4.0,,,,24.0,21.5,,1.1,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.1,#,9.1,#,2.2,#,2.9,#,12.0,,,,,,,,
8,1210010009,1984,1210010,12,1,1,1984,605,2130,2,1,0.2,4.0,,,,17.3,19.0,,1.15,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.2,#,6.7,#,1.2,#,4.1,#,22.0,,,,,,,,
9,1210010010,1984,1210010,12,1,1,1984,710,940,2,1,0.5,4.0,,,,25.5,21.0,163.26,2.5,,,1200101,<,0.005,N,,<,0.05,<,0.02,<,0.02,<,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.6,#,7.9,#,1.6,#,5.5,#,68.0,#,49000.0,,,,,,
10,1210010011,1984,1210010,12,1,1,1984,710,1600,2,1,0.4,2.0,,,,27.5,21.5,150.7,2.4,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.6,#,7.8,#,2.1,#,5.8,#,62.0,,,,,,,,
11,1210010012,1984,1210010,12,1,1,1984,710,2140,2,1,0.4,2.0,,,,20.7,19.8,144.62,2.35,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.5,#,8.3,#,1.5,#,4.8,#,62.0,,,,,,,,
12,1210010013,1984,1210010,12,1,1,1984,807,1000,2,1,0.2,2.0,,,,34.0,31.0,,1.3,,,1200101,<,0.005,N,,<,0.05,<,0.02,<,0.02,<,0.0005,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.5,#,7.8,#,2.1,#,5.6,#,38.0,#,33000.0,,,,,,
13,1210010014,1984,1210010,12,1,1,1984,807,1400,2,1,0.2,2.0,,,,35.0,32.5,,1.31,,,1200101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,7.6,#,9.1,#,2.8,#,6.0,#,34.0,,,,,,,,
