西暦年度,ＲＬＳ識別コード,水系コード,絶対番号,地点新設等コード,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,ＣＯＤ等基準点識別コード,水域名称_漢字,水域名称_カタカナ,水域名称_ローマ字,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,類型,達成期間,指定区分,類型指定年_ＣＯＤ等,類型指定月_ＣＯＤ等,類型指定日_ＣＯＤ等,特例１,特例２,特例３,特例４,特例５,ＣＯＤの測定方法,県際水域コード,県際地点コード,測定中止年,測定中止月,測定中止日,測定再開年,測定再開月,測定再開日,ＮＰ測定コード,ＮＰ基準点識別コード,ＮＰ水域コード,ＮＰ水域名称_漢字,ＮＰ水域名称_カタカナ,ＮＰ水域名称_ローマ字,ＮＰ地点名称_漢字,ＮＰ地点名称_カタカナ,ＮＰ地点名称_ローマ字,ＮＰ類型,ＮＰ達成期間,ＮＰ指定区分,ＮＰ類型指定年,ＮＰ類型指定月,ＮＰ類型指定日,Ｎ指定の有無,Ｐ指定の有無,Ｎ暫定基準値,Ｐ暫定基準値,ＮＰ基準の特例,Ｎ測定方法,Ｐ測定方法,ＮＰ県際水域コード,ＮＰ県際地点コード,ＮＰ測定中止年,ＮＰ測定中止月,ＮＰ測定中止日,ＮＰ測定再開年,ＮＰ測定再開月,ＮＰ測定再開日,水道の取水地点,緯度_Ｎ(度),緯度_Ｎ(分),緯度_Ｎ(秒),経度_Ｅ（度）,経度_Ｅ（分）,経度_Ｅ（秒）,水質年鑑コード,推定絶対番号,推定水系コード,備考
2007,1,81007,0110010,2,01,001,01,1,石狩川上流(1),イシカリガワ　　ジヨウリユウ　　（１）,Ishikarigawajoryu (1),留辺志部川合流前（日東吊橋）,ルベシベガワゴウリユウマエ,Rubeshibegawagoryumae,AA,1,3,2000,03,31,,,,,,,,,,,,,,,,0,,,,,留辺志部川合流前（日東吊橋）,,,,,,,,,,,,,,,,,,,,,,,,2,43,49,52,142,47,56,,,,
2007,1,81007,0110030,2,01,002,02,1,石狩川上流(2),イシカリガワ　　ジヨウリユウ　　（２）,Ishikarigawajoryu (2),永山橋,ナガヤマバシ,Nagayamabashi,A,1,3,2000,03,31,,,,,,,,,,,,,,,2,3,,,,,永山橋,,Nagayamabashi,,,,,,,,,,,,1,1,,,,,,,,,2,43,49,03,142,25,36,,,,
2007,1,81007,0114370,2,01,002,53,2,石狩川上流(2),イシカリガワ　　ジヨウリユウ　　（２）,Ishikarigawajoryu (2),旭川市石狩川浄水場取水口,アサヒカワシイシカリガワジョウスイジョウ,Asahikawashiishikarigawajosuijoshusuiko,A,1,3,2000,03,31,,,,,,,,,,,,,,,2,3,,,,,旭川市東鷹栖共同取水樋門,,,,,,,,,,,,,,1,1,,,,,,,,,1,43,48,19,142,24,08,,,,
2007,1,81007,0110060,2,01,004,01,1,石狩川中流・下流,イシカリガワ　　チユウリユウ　　カリユウ,Ishikarigawachuryukaryu,石狩大橋,イシカリオオハシ,Ishikariohashi,B,2,3,1970,09,01,,,,,,,,,,,,,,,2,3,,,,,石狩大橋,,Ishikariohashi,,,,,,,,,,,,1,1,,,,,,,,,0,43,07,26,141,32,33,,,,
2007,1,81007,0113460,2,01,004,02,1,石狩川中流・下流,イシカリガワ　　チユウリユウ　　カリユウ,Ishikarigawachuryukaryu,砂川大橋,スナガワオオハシ,Sunagawaoohashi,B,2,3,1970,09,01,,,,,,,,,,,,,,,2,3,,,,,砂川大橋,スナガワオオハシ,,,,,,,,,,,,,1,1,,,,,,,,,0,43,30,16,141,53,50,,,,
2007,1,81007,0110070,2,01,004,51,2,石狩川中流・下流,イシカリガワ　　チユウリユウ　　カリユウ,Ishikarigawachuryukaryu,石狩河口橋,イシカリカコウバシ,Ishikarikakobashi,B,2,3,1970,09,01,,,,,,,,,,,,,,,2,3,,,,,石狩河口橋,,Ishikarikakobashi,,,,,,,,,,,,1,1,,,,,,,,,0,43,13,44,141,21,07,,,,
2007,1,81007,0110090,2,01,004,53,2,石狩川中流・下流,イシカリガワ　　チユウリユウ　　カリユウ,Ishikarigawachuryukaryu,奈井江大橋,ナイエオオハシ,Naieohashi,B,2,3,1970,09,01,,,,,,,,,,,,,,,2,3,,,,,奈井江大橋,,Naieohashi,,,,,,,,,,,,1,1,,,,,,,,,0,43,25,45,141,50,41,,,,
2007,1,81007,0110110,2,01,004,55,2,石狩川中流・下流,イシカリガワ　　チユウリユウ　　カリユウ,Ishikarigawachuryukaryu,たっぷ大橋（旧岩見沢大橋）,タップバシ,Tappubashi,B,2,3,1970,09,01,,,,,,,,,,,,,,,2,3,,,,,たっぷ大橋（旧岩見沢大橋）,タップオオハシ,,,,,,,,,,,,,1,1,,,,,,,,,0,43,03,27,141,39,41,,,,
2007,1,81007,0114690,2,01,004,56,2,石狩川中流・下流,イシカリガワ　　チユウリユウ　　カリユウ,Ishikarigawachuryukaryu,旧船着場前,キュウフナツキバマエ,kyufunatsukibamae,B,2,3,1970,09,01,,,,,,,,,,,,,,,2,3,,,,,旧船着場前,キュウフナツキバマエ,kyufunatsukibamae,,,,,,,,,,,,1,,,,,,,,,,0,43,14,37,141,21,06,,,,
2007,1,81007,0114700,2,01,004,57,2,石狩川中流・下流,イシカリガワ　　チユウリユウ　　カリユウ,Ishikarigawachuryukaryu,生振８線北側地先,オヤフル８センキタガワチサキ,Oyafuru8senkitagawachisaki,B,2,3,1970,09,01,,,,,,,,,,,,,,,2,3,,,,,生振８戦北側地先,,,,,,,,,,,,,,1,,,,,,,,,,0,43,12,43,141,22,54,,,,
2007,1,81007,0110140,2,01,005,02,1,石狩川上流(3),イシカリガワ　　ジヨウリユウ　　（３）,Ishikarigawajoryu (3),東神楽橋,ヒガシカグラバシ,Higashikagurabashi,A,1,3,2000,03,31,,,,,,,,,,,,,,,2,3,,,,,東神楽橋,,Higashikagurabashi,,,,,,,,,,,,1,1,,,,,,,,,2,43,42,23,142,27,33,,,,
2007,1,81007,0110130,2,01,005,52,2,石狩川上流(3),イシカリガワ　　ジヨウリユウ　　（３）,Ishikarigawajoryu (3),旭川市忠別川浄水場取水口,アサヒカワシチュウベツカワジヨウ,Asahikawashichubetsugawajosuijoshusuiko,A,1,3,2000,03,31,,,,,,,,,,,,,,,2,3,,,,,旭川市上水東神楽浄水場取水口,,Asahikawashijosuihigashikagurajosuijoshusuiko,,,,,,,,,,,,1,1,,,,,,,,,1,43,43,47,142,24,24,,,,
2007,1,81004,0110160,2,01,006,02,1,常呂川上流,トコロガワ　　ジヨウリユウ,Tokorogawajoryu,金比羅橋（上常呂）,コンピラバシ　　（　　カミトコロ　　）,Konpirabashi (Kamitokoro),A,1,3,2000,03,31,,,,,,,,,,,,,,,2,3,,,,,金比羅橋（上常呂）,,Konpirabashi (Kamitokoro),,,,,,,,,,,,1,1,,,,,,,,,2,43,45,14,143,50,22,,,,
2007,1,81004,0110170,2,01,007,01,1,常呂川下流,トコロガワ　　カリユウ,Tokorogawakaryu,忠志橋,チユウシバシ,Chushibashi,B,2,3,2000,03,31,,,,,,,,,,,,,,,2,3,,,,,忠志橋,,Chushibashi,,,,,,,,,,,,1,1,,,,,,,,,0,43,55,16,143,57,56,,,,
2007,1,81004,0110180,2,01,007,51,2,常呂川下流,トコロガワ　　カリユウ,Tokorogawakaryu,上川沿（上川沿水位観測所）,カミカワゾエ　　スイイカンソクシヨ,Kamikawazoesuiikansokusho,B,2,3,2000,03,31,,,,,,,,,,,,,,,2,3,,,,,上川沿（上川沿水位観測所）,,,,,,,,,,,,,,1,1,,,,,,,,,0,44,03,08,144,01,58,,,,
2007,1,81004,0110190,2,01,007,52,2,常呂川下流,トコロガワ　　カリユウ,Tokorogawakaryu,若松橋（北見）,ワカマツバシ　　（　　キタミ　　）,Wakamatsubashi (Kitami),B,2,3,2000,03,31,,,,,,,,,,,,,,,2,3,,,,,若松橋（北見）,,Wakamatsubashi (Kitami),,,,,,,,,,,,1,1,,,,,,,,,0,43,47,58,143,54,40,,,,
2007,1,81013,0110230,2,01,008,02,1,十勝川上流,トカチガワ　　ジヨウリユウ,Tokachigawajoryu,共栄橋（旧新清橋）,キョウエイバシ　　（キュウシンセイバシ,Kyoeibashi (Kyushinseibashi),AA,1,3,2000,03,31,,,,,,,,,,,,,,,2,3,,,,,共栄橋（旧新清橋）,キョウエイバシ（キュウシンセイバシ）,Kyoeibashi (Kyushinseibashi),,,,,,,,,,,,,,,,,,,,,,0,43,05,47,142,55,02,,,,
2007,1,,0118750,2,01,008,51,2,十勝川上流,トカチガワ　　ジヨウリユウ,Tokachigawajoryu,上岩松調整地上流,カミイワマツチョウセイチジョウリュウ,Kamiiwamatsuchiseichijoryu,AA,1,3,2000,03,31,,,,,,,,,,,,,,,3,0,,,,,上岩松調整地上流,カミイワマツチョウセイチジョウリュウ,,,,,,,,,,,,,,,,,2007,04,01,,,,,43,20,40,142,56,27,,,,
2007,1,81013,0110240,2,01,009,01,1,十勝川中流,トカチガワ　　チユウリユウ,Tokachigawachuryu,清水大橋（佐幌川合流前）,シミズオオハシ,Shimizuohashi (Sahorogawagoryumae),A,2,3,2000,03,31,,,,,,,,,,,,,,,2,3,,,,,清水大橋（佐幌川合流前）,,Shimizuohashi (Sahorogawagoryumae),,,,,,,,,,,,1,1,,,,,,,,,0,42,59,04,142,56,53,,,,
2007,1,81013,0110250,2,01,010,01,1,十勝川下流,トカチガワ　　カリユウ,Tokachigawakaryu,茂岩橋（茂岩）,モイワバシ　　（　　モイワ　　）,Moiwabashi (Moiwa),B,2,3,2000,03,31,,,,,,,,,,,,,,,2,3,,,,,茂岩橋（茂岩）,,Moiwabashi (Moiwa),,,,,,,,,,,,1,1,,,,,,,,,0,42,48,25,143,30,38,,,,
2007,1,81013,0110260,2,01,010,02,1,十勝川下流,トカチガワ　　カリユウ,Tokachigawakaryu,千代田えん堤,チヨダエンテイ,Chiyodaentei,B,2,3,2000,03,31,,,,,,,,,,,,,,,2,3,,,,,千代田えん堤,,,,,,,,,,,,,,1,1,,,,,,,,,0,42,56,26,143,20,23,,,,
2007,1,81013,0110270,2,01,010,03,1,十勝川下流,トカチガワ　　カリユウ,Tokachigawakaryu,十勝大橋（帯広）,トカチオオハシ　　（　　オビヒロ　　）,Tokachiohashi (Obihiro),B,2,3,2000,03,31,,,,,,,,,,,,,,,2,3,,,,,十勝大橋（帯広）,,Tokachiohashi (Obihiro),,,,,,,,,,,,1,1,,,,,,,,,0,42,56,07,143,12,08,,,,
2007,1,81013,0110280,2,01,010,51,2,十勝川下流,トカチガワ　　カリユウ,Tokachigawakaryu,祥栄橋（芽室太）,シヨウエイバシ　　（　　メムロブト　　）,Shoeibashi (Memurobuto),B,2,3,2000,03,31,,,,,,,,,,,,,,,2,3,,,,,祥栄橋（芽室太）,,Shoeibashi (Memurobuto),,,,,,,,,,,,1,1,,,,,,,,,0,42,55,40,143,02,51,,,,
