西暦年度,ＲＬＳ識別コード,水系コード,絶対番号,地点新設等コード,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,ＣＯＤ等基準点識別コード,水域名称_漢字,水域名称_カタカナ,水域名称_ローマ字,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,類型,達成期間,指定区分,類型指定年_ＣＯＤ等,類型指定月_ＣＯＤ等,類型指定日_ＣＯＤ等,特例１,特例２,特例３,特例４,特例５,ＣＯＤの測定方法,県際水域コード,県際地点コード,測定中止年,測定中止月,測定中止日,測定再開年,測定再開月,測定再開日,ＮＰ測定コード,ＮＰ基準点識別コード,ＮＰ水域コード,ＮＰ水域名称_漢字,ＮＰ水域名称_カタカナ,ＮＰ水域名称_ローマ字,ＮＰ地点名称_漢字,ＮＰ地点名称_カタカナ,ＮＰ地点名称_ローマ字,ＮＰ類型,ＮＰ達成期間,ＮＰ指定区分,ＮＰ類型指定年,ＮＰ類型指定月,ＮＰ類型指定日,Ｎ指定の有無,Ｐ指定の有無,Ｎ暫定基準値,Ｐ暫定基準値,ＮＰ基準の特例,Ｎ測定方法,Ｐ測定方法,ＮＰ県際水域コード,ＮＰ県際地点コード,ＮＰ測定中止年,ＮＰ測定中止月,ＮＰ測定中止日,ＮＰ測定再開年,ＮＰ測定再開月,ＮＰ測定再開日,水道の取水地点,緯度_Ｎ(度),緯度_Ｎ(分),緯度_Ｎ(秒),経度_Ｅ（度）,経度_Ｅ（分）,経度_Ｅ（秒）,水質年鑑コード,推定絶対番号,推定水系コード,備考
1989,1,81007,0110010,2,01,001,01,1,石狩川上流（１）,イシカリカ゛ワ  シ゛ヨウリユウ  （１）,,留辺志部川合流前（日東つり橋）,ルヘ゛シヘ゛カ゛ワコ゛ウリユウマエ,,AA,1,1,1970,09,01,,,,,,,,,,,,,,,2,3,,石狩川上流（１）,イシカリカ゛ワ  シ゛ヨウリユウ  （１）,,,,,,,,,,,,,,,,1,1,,,,,,,,,,43,49,52,142,47,56,01R001,,,
1989,1,81007,0110020,2,01,002,52,2,石狩川上流（２）,イシカリカ゛ワ  シ゛ヨウリユウ  （２）,,東鷹栖浄水取水口,ヒカ゛シタカスシ゛ヨウスイ  シユスイクチ,,A,1,1,1970,09,01,,,,,,,,,,,,,,,2,3,,石狩川上流（２）,イシカリカ゛ワ  シ゛ヨウリユウ  （２）,,,,,,,,,,,,,,,,1,1,,,,,,,,,,43,48,19,142,24,08,01R002,,,
1989,1,81007,0110030,2,01,002,02,1,石狩川上流（２）,イシカリカ゛ワ  シ゛ヨウリユウ  （２）,,永山橋,ナカ゛ヤマハ゛シ,,A,1,1,1970,09,01,,,,,,,,,,,,,,,2,3,,石狩川上流（２）,イシカリカ゛ワ  シ゛ヨウリユウ  （２）,,,,,,,,,,,,,,,,1,1,,,,,,,,,,43,49,03,142,25,36,,,,
1989,1,81007,0110060,2,01,004,01,1,石狩川中流下流,イシカリカ゛ワ  チユウリユウ  カリユウ,,石狩大橋,イシカリオオハシ,,B,2,1,1970,09,01,,,,,,,,,,,,,,,2,3,,石狩川中流下流,イシカリカ゛ワ  チユウリユウ  カリユウ,,,,,,,,,,,,,,,,1,1,,,,,,,,,,43,07,26,141,32,33,01R005,,,
1989,1,81007,0110070,2,01,004,51,2,石狩川中流下流,イシカリカ゛ワ  チユウリユウ  カリユウ,,石狩河口橋,イシカリカコウハ゛シ,,B,2,1,1970,09,01,,,,,,,,,,,,,,,2,3,,石狩川中流下流,イシカリカ゛ワ  チユウリユウ  カリユウ,,,,,,,,,,,,,,,,1,1,,,,,,,,,,43,13,44,141,21,07,,,,
1989,1,81007,0110080,2,01,004,52,2,石狩川中流下流,イシカリカ゛ワ  チユウリユウ  カリユウ,,新石狩大橋,シンイシカリオオハシ,,B,2,1,1970,09,01,,,,,,,,,,,,,,,2,3,,石狩川中流下流,イシカリカ゛ワ  チユウリユウ  カリユウ,,,,,,,,,,,,,,,,1,1,,,,,,,,,,43,08,12,141,30,41,,,,
1989,1,81007,0110090,2,01,004,53,2,石狩川中流下流,イシカリカ゛ワ  チユウリユウ  カリユウ,,奈井江大橋,ナイエオオハシ,,B,2,1,1970,09,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,43,25,45,141,50,41,,,,
1989,1,81007,0110100,2,01,004,54,2,石狩川中流下流,イシカリカ゛ワ  チユウリユウ  カリユウ,,石狩川橋,イシカリカ゛ワハ゛シ,,B,2,1,1970,09,01,,,,,,,,,,,,,,,2,3,,石狩川中流下流,イシカリカ゛ワ  チユウリユウ  カリユウ,,,,,,,,,,,,,,,,1,1,,,,,,,,,,43,33,38,141,53,06,,,,
1989,1,81007,0110110,2,01,004,55,2,石狩川中流下流,イシカリカ゛ワ  チユウリユウ  カリユウ,,岩見沢大橋,イワミサ゛ワオオハシ,,B,2,1,1970,09,01,,,,,,,,,,,,,,,2,3,,石狩川中流下流,イシカリカ゛ワ  チユウリユウ  カリユウ,,,,,,,,,,,,,,,,1,1,,,,,,,,,,43,03,27,141,39,41,,,,
1989,1,81007,0110130,2,01,005,52,2,石狩川上流（３）,イシカリカ゛ワ  シ゛ヨウリユウ  （３）,,旭川市上水東神楽浄水場取水口,ヒカ゛シカク゛ラシ゛ヨウスイシユスイクチ,,A,1,1,1970,09,01,,,,,,,,,,,,,,,2,3,,石狩川上流（３）,イシカリカ゛ワ  シ゛ヨウリユウ  （３）,,,,,,,,,,,,,,,,1,1,,,,,,,,,,43,43,47,142,24,24,01R582,,,
