西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,調査区分,採取位置,C_全窒素_最小値,全窒素_最小値,C_全窒素_最大値,全窒素_最大値,m_全窒素,n_全窒素,C_全窒素_日間平均値_平均値,全窒素_日間平均値_平均値,C_全燐_最小値,全燐_最小値,C_全燐_最大値,全燐_最大値,m_全燐,n_全燐,C_全燐_日間平均値_平均値,全燐_日間平均値_平均値
1994,0120010,01,501,01,0,11,#,0.46,#,1.3,6,8,#,0.85,#,0.025,#,0.08,4,8,#,0.054
1994,0120020,01,501,02,0,11,#,0.42,#,1.1,6,8,#,0.81,#,0.027,#,0.077,4,8,#,0.052
1994,0120030,01,501,51,0,11,#,0.43,#,1,6,8,#,0.75,#,0.022,#,0.14,5,8,#,0.068
1994,0120040,01,501,52,0,11,#,0.42,#,1,6,8,#,0.77,#,0.018,#,0.077,4,8,#,0.047
1994,0120050,01,502,01,0,11,#,0.08,#,0.12,999,6,#,0.1,<,0.003,<,0.003,0,6,<,0.003
1994,0120060,01,502,02,0,11,#,0.06,#,0.13,999,6,#,0.09,<,0.003,<,0.003,0,6,<,0.003
1994,0120110,01,503,01,0,11,#,0.13,#,0.24,999,6,#,0.2,<,0.003,<,0.003,0,6,<,0.003
1994,0120120,01,503,02,0,11,#,0.2,#,0.38,999,6,#,0.25,<,0.003,<,0.003,0,6,<,0.003
1994,0120130,01,503,03,0,11,#,0.21,#,0.3,999,6,#,0.24,<,0.003,<,0.003,0,6,<,0.003
1994,0120140,01,503,51,0,11,#,0.1,#,0.29,999,6,#,0.21,<,0.003,<,0.003,0,6,<,0.003
1994,0120150,01,503,52,0,11,#,0.12,#,0.28,999,6,#,0.2,<,0.003,<,0.003,0,6,<,0.003
1994,0120160,01,503,53,0,11,#,0.08,#,0.26,999,6,#,0.19,<,0.003,<,0.003,0,5,<,0.003
1994,0120170,01,503,54,0,11,#,0.2,#,0.27,999,6,#,0.23,<,0.003,<,0.003,0,6,<,0.003
1994,0120180,01,504,01,0,11,#,0.29,#,0.67,999,6,#,0.45,#,0.009,#,0.026,0,6,#,0.014
1994,0120190,01,504,02,0,11,#,0.4,#,0.56,999,6,#,0.48,#,0.008,#,0.024,0,6,#,0.018
1994,0120200,01,504,51,0,11,#,0.38,#,0.56,999,6,#,0.46,#,0.008,#,0.032,1,6,#,0.016
