西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,水温,m_トリハロメタン生成能,n_トリハロメタン生成能,C_トリハロメタン生成能_最大値,トリハロメタン生成能_最大値,C_トリハロメタン生成能_日平均値_平均値,トリハロメタン生成能_日平均値_平均値,C_クロロホルム生成能_最大値,クロロホルム生成能_最大値,C_クロロホルム生成能_日平均値_平均値,クロロホルム生成能_日平均値_平均値,C_ブロモジクロロメタン生成能_最大値,ブロモジクロロメタン生成能_最大値,C_ブロモジクロロメタン生成能_日平均値_平均値,ブロモジクロロメタン生成能_日平均値_平均値,C_ジブロモクロロメタン生成能_最大値,ジブロモクロロメタン生成能_最大値,C_ジブロモクロロメタン生成能_日平均値_平均値,ジブロモクロロメタン生成能_日平均値_平均値,C_ブロモホルム生成能_最大値,ブロモホルム生成能_最大値,C_ブロモホルム生成能_日平均値_平均値,ブロモホルム生成能_日平均値_平均値
2000,0111740,01,120,01,16,999,4,#,0.11,#,0.053,#,0.095,#,0.043,#,0.015,#,0.0092,#,0.001,#,0.001,<,0.0001,<,0.0001
2000,0112070,01,141,51,21.7,999,4,#,0.076,#,0.061,#,0.071,#,0.056,#,0.006,#,0.0048,<,0.001,<,0.001,<,0.0001,<,0.0001
2000,0114220,01,141,53,21.7,999,4,#,0.14,#,0.1,#,0.13,#,0.091,#,0.015,#,0.012,#,0.001,#,0.001,<,0.0001,<,0.0001
2000,0112130,01,144,52,21.8,999,4,#,0.15,#,0.069,#,0.14,#,0.061,#,0.01,#,0.007,#,0.003,#,0.002,<,0.0001,<,0.0001
2000,0114320,01,144,53,25.3,999,4,#,0.15,#,0.12,#,0.14,#,0.1,#,0.019,#,0.017,#,0.003,#,0.002,<,0.0001,<,0.0001
2000,0112150,01,146,01,15.5,999,4,#,0.057,#,0.048,#,0.038,#,0.028,#,0.019,#,0.014,#,0.009,#,0.006,#,0.001,#,0.0003
2000,0114070,01,272,01,17.5,999,4,#,0.11,#,0.052,#,0.097,#,0.043,#,0.017,#,0.0089,#,0.001,#,0.001,<,0.0001,<,0.0001
2000,0114300,01,290,01,24.8,999,4,#,0.24,#,0.12,#,0.19,#,0.098,#,0.047,#,0.022,#,0.004,#,0.002,<,0.0001,<,0.0001
2000,0114310,01,290,02,23.7,999,4,#,0.19,#,0.1,#,0.16,#,0.086,#,0.028,#,0.015,#,0.002,#,0.002,<,0.0001,<,0.0001
2000,0210070,02,003,01,22,999,4,#,0.038,#,0.032,#,0.023,#,0.019,#,0.012,#,0.0095,#,0.004,#,0.0028,#,0.002,#,0.0013
