西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,m_ダイオキシン（水質）,n_ダイオキシン（水質）,C_ダイオキシン（水質）_最大値,ダイオキシン（水質）_最大値,C_ダイオキシン（水質）_平均値,ダイオキシン（水質）_平均値,m_ダイオキシン（底質）,n_ダイオキシン（底質）,C_ダイオキシン（底質）_最大値,ダイオキシン（底質）_最大値,C_ダイオキシン（底質）_平均値,ダイオキシン（底質）_平均値
2000,0110030,01,002,02,0,1,#,0.071,#,0.071,999,1,#,0.5,#,0.5
2000,0110060,01,004,01,0,3,#,0.092,#,0.089,999,2,#,2.5,#,1.4
2000,0113460,01,004,02,0,1,#,0.11,#,0.11,999,1,#,0.79,#,0.79
2000,0110170,01,007,01,0,3,#,0.35,#,0.18,999,2,#,1.1,#,0.91
2000,0110250,01,010,01,0,3,#,0.094,#,0.079,999,2,#,0.27,#,0.26
2000,0110320,01,012,01,0,3,#,0.08,#,0.077,999,2,#,0.39,#,0.32
2000,0110370,01,017,01,0,3,#,0.089,#,0.079,999,2,#,0.97,#,0.65
2000,0110450,01,024,01,0,3,#,0.078,#,0.076,999,2,#,0.79,#,0.72
2000,0110530,01,027,01,0,1,#,0.07,#,0.07,999,1,#,0.69,#,0.69
2000,0110550,01,029,01,0,3,#,0.072,#,0.07,999,2,#,0.24,#,0.24
2000,0110600,01,033,01,0,3,#,0.073,#,0.071,999,2,#,0.33,#,0.32
2000,0110630,01,035,01,0,2,#,0.075,#,0.075,999,1,#,0.31,#,0.31
2000,0110770,01,046,01,0,1,#,0.07,#,0.07,999,1,#,0.23,#,0.23
2000,0110790,01,048,01,0,3,#,0.07,#,0.07,999,2,#,0.26,#,0.25
2000,0110890,01,054,01,0,1,#,0.07,#,0.07,999,1,#,0.23,#,0.23
2000,0110920,01,057,01,0,1,#,0.078,#,0.078,999,1,#,0.85,#,0.85
2000,0110950,01,060,01,0,3,#,0.07,#,0.07,999,2,#,0.42,#,0.33
2000,0110980,01,062,01,0,3,#,0.073,#,0.071,999,2,#,0.8,#,0.53
2000,0111000,01,064,01,0,1,#,0.071,#,0.071,999,1,#,0.25,#,0.25
2000,0111020,01,066,01,0,1,#,0.07,#,0.07,999,1,#,0.23,#,0.23
2000,0111120,01,072,01,0,1,#,0.071,#,0.071,999,1,#,0.24,#,0.24
2000,0111170,01,075,01,0,1,#,0.2,#,0.2,999,999,E,99999,E,99999
2000,0111280,01,079,01,0,3,#,0.093,#,0.08,999,2,#,0.25,#,0.25
2000,0111320,01,083,01,0,3,#,0.078,#,0.074,999,2,#,0.83,#,0.55
2000,0111420,01,090,01,0,1,#,0.073,#,0.073,999,1,#,0.24,#,0.24
2000,0111460,01,094,01,0,1,#,0.082,#,0.082,999,1,#,0.55,#,0.55
2000,0111500,01,097,01,0,1,#,0.07,#,0.07,999,1,#,0.45,#,0.45
2000,0111520,01,099,01,0,1,#,0.07,#,0.07,999,1,#,0.23,#,0.23
2000,0111550,01,102,01,0,1,#,0.07,#,0.07,999,1,#,0.26,#,0.26
2000,0111600,01,106,01,0,1,#,0.07,#,0.07,999,1,#,0.23,#,0.23
2000,0112710,01,108,02,0,1,#,0.071,#,0.071,999,1,#,0.23,#,0.23
2000,0111670,01,113,01,0,1,#,0.069,#,0.069,999,1,#,0.24,#,0.24
2000,0111730,01,119,01,0,1,#,0.073,#,0.073,999,1,#,0.25,#,0.25
2000,0111750,01,121,01,0,1,#,0.074,#,0.074,999,1,#,1.7,#,1.7
2000,0111790,01,122,01,0,1,#,0.092,#,0.092,999,1,#,0.24,#,0.24
2000,0114000,01,122,55,0,2,#,0.63,#,0.4,999,1,#,0.24,#,0.24
2000,0114320,01,144,53,0,2,#,0.33,#,0.33,999,999,E,99999,E,99999
2000,0112180,01,148,01,0,2,#,0.073,#,0.072,999,2,#,1.7,#,1.5
2000,0112330,01,159,53,0,1,#,0.068,#,0.068,999,1,#,1.1,#,1.1
2000,0112410,01,162,01,0,1,#,0.07,#,0.07,999,1,#,0.26,#,0.26
2000,0113080,01,186,01,0,1,#,0.072,#,0.072,999,1,#,0.49,#,0.49
2000,0112690,01,187,01,0,2,#,0.079,#,0.078,999,1,#,0.24,#,0.24
2000,0112720,01,191,01,0,1,#,0.073,#,0.073,999,1,#,0.23,#,0.23
2000,0112730,01,193,01,0,1,#,0.07,#,0.07,999,1,#,0.42,#,0.42
2000,0113900,01,211,02,0,1,#,0.069,#,0.069,999,1,#,1.3,#,1.3
2000,0113910,01,212,02,0,1,#,0.096,#,0.096,999,1,#,2.1,#,2.1
2000,0112920,01,222,01,0,1,#,0.069,#,0.069,999,1,#,0.23,#,0.23
2000,0113060,01,233,01,0,1,#,0.22,#,0.22,999,1,#,0.23,#,0.23
2000,0113160,01,242,01,0,1,#,0.088,#,0.088,999,1,#,0.24,#,0.24
2000,0113180,01,243,01,0,1,#,0.07,#,0.07,999,1,#,0.25,#,0.25
2000,0113190,01,244,01,0,1,#,0.071,#,0.071,999,1,#,1.3,#,1.3
2000,0113210,01,246,01,0,1,#,0.071,#,0.071,999,1,#,0.23,#,0.23
2000,0113270,01,251,01,0,1,#,0.07,#,0.07,999,1,#,0.24,#,0.24
2000,0113290,01,252,01,0,1,#,0.07,#,0.07,999,1,#,0.28,#,0.28
2000,0113320,01,254,01,0,1,#,0.07,#,0.07,999,1,#,0.24,#,0.24
2000,0113420,01,260,02,0,1,#,0.072,#,0.072,999,1,#,0.24,#,0.24
2000,0114190,01,281,01,0,1,#,0.14,#,0.14,999,999,E,99999,E,99999
2000,0114280,01,284,01,0,2,#,0.096,#,0.093,999,1,#,0.75,#,0.75
2000,0114380,01,294,01,0,1,#,0.082,#,0.082,999,1,#,0.97,#,0.97
2000,0120660,01,401,01,0,1,#,0.069,#,0.069,999,1,#,1.1,#,1.1
2000,0120010,01,501,01,0,2,#,0.081,#,0.077,999,2,#,6.8,#,6.1
2000,0120020,01,501,02,0,1,#,0.075,#,0.075,999,1,#,3.8,#,3.8
2000,0120060,01,502,02,0,1,#,0.07,#,0.07,999,1,#,2.9,#,2.9
2000,0120130,01,503,03,0,1,#,0.069,#,0.069,999,1,#,4.1,#,4.1
2000,0120180,01,504,01,0,1,#,0.076,#,0.076,999,1,#,1.6,#,1.6
2000,0120250,01,505,02,0,1,#,0.07,#,0.07,999,1,#,2.5,#,2.5
2000,0120320,01,506,02,0,1,#,0.077,#,0.077,999,1,#,0.53,#,0.53
2000,0120360,01,507,01,0,1,#,0.07,#,0.07,999,1,#,3.8,#,3.8
2000,0120460,01,509,01,0,1,#,0.071,#,0.071,999,1,#,3.1,#,3.1
2000,0130010,01,601,01,0,1,#,0.27,#,0.27,999,1,#,0.26,#,0.26
2000,0130090,01,602,02,0,1,#,0.07,#,0.07,999,1,#,0.27,#,0.27
2000,0130160,01,603,02,0,1,#,0.07,#,0.07,999,1,#,0.47,#,0.47
2000,0130220,01,604,02,0,2,#,0.074,#,0.074,999,1,#,6.1,#,6.1
2000,0130280,01,607,01,0,1,#,0.073,#,0.073,999,1,#,2.5,#,2.5
2000,0130720,01,627,01,0,2,#,0.071,#,0.071,999,1,#,0.23,#,0.23
2000,0130790,01,630,02,0,2,#,0.07,#,0.07,999,1,#,0.24,#,0.24
2000,0130880,01,633,02,0,2,#,0.15,#,0.11,999,1,#,6.5,#,6.5
2000,0131050,01,640,01,0,1,#,0.071,#,0.071,999,1,#,0.59,#,0.59
2000,0131640,01,656,01,0,1,#,0.07,#,0.07,999,1,#,0.28,#,0.28
2000,0132370,01,659,01,0,2,#,0.085,#,0.078,999,1,#,0.24,#,0.24
2000,0132570,01,664,01,0,1,#,0.072,#,0.072,999,1,#,1.7,#,1.7
2000,0210050,02,002,02,0,1,#,0.14,#,0.14,999,1,#,3,#,3
