西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,調査区分,C_pH_最小値,pH_最小値,C_pH_最大値,pH_最大値,m_pH,n_pH,C_DO_最小値,DO_最小値,C_DO_最大値,DO_最大値,m_DO,n_DO,C_DO_日間平均値_平均値,DO_日間平均値_平均値,C_BOD_最小値,BOD_最小値,C_BOD_最大値,BOD_最大値,m_BOD,n_BOD,C_BOD_日間平均値_最小値,BOD_日間平均値_最小値,C_BOD_日間平均値_最大値,BOD_日間平均値_最大値,x_BOD,y_BOD,C_BOD_日間平均値_平均値,BOD_日間平均値_平均値,C_BOD_日間平均値_中央値,BOD_日間平均値_中央値,C_BOD_日間平均値_75%値,BOD_日間平均値_75%値,C_COD_最小値,COD_最小値,C_COD_最大値,COD_最大値,m_COD,n_COD,C_COD_日間平均値_最小値,COD_日間平均値_最小値,C_COD_日間平均値_最大値,COD_日間平均値_最大値,x_COD,y_COD,C_COD_日間平均値_平均値,COD_日間平均値_平均値,C_COD_日間平均値_中央値,COD_日間平均値_中央値,C_COD_日間平均値_75%値,COD_日間平均値_75%値,C_SS_最小値,SS_最小値,C_SS_最大値,SS_最大値,m_SS,n_SS,C_SS_日間平均値_平均値,SS_日間平均値_平均値,C_大腸菌群数_最小値,大腸菌群数_最小値,C_大腸菌群数_最大値,大腸菌群数_最大値,m_大腸菌群数,n_大腸菌群数,C_大腸菌群数_日間平均値_平均値,大腸菌群数_日間平均値_平均値,C_n-ヘキサン抽出物質（油分等）_最小値,n-ヘキサン抽出物質（油分等)_最小値,C_n-ヘキサン抽出物質(油分等)_最大値,n-ヘキサン抽出物質(油分等)_最大値,m_n-ヘキサン抽出物質(油分等),n_n-ヘキサン抽出物質(油分等),C_n-ヘキサン抽出物質(油分等)_日間平均値_平均値,n-ヘキサン抽出物質(油分等)_日間平均値_平均値
1995,0110010,01,001,01,0,#,7.1,#,7.6,0,4,#,9.6,#,11,0,4,#,10,<,0.5,#,1,0,4,<,0.5,#,1,0,4,#,0.6,<,0.5,<,0.5,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,6,#,50,1,4,#,19,#,0,#,5400,3,4,#,1600,N,0.5,N,0.5,999,2,N,0.5
1995,0110030,01,002,02,0,#,6.9,#,7.8,0,12,#,10,#,14,0,12,#,12,<,0.5,#,1.1,0,12,<,0.5,#,1.1,0,12,#,0.7,#,0.6,#,0.8,#,1.6,#,3.5,999,12,#,1.6,#,3.5,999,12,#,2.4,#,2.4,#,2.8,#,2,#,19,0,12,#,7,#,170,#,79000,5,12,#,7900,E,99999,E,99999,999,999,E,99999
1995,0110020,01,002,52,0,#,6.5,#,7.3,0,12,#,9.7,#,14,0,12,#,12,#,0.7,#,2.9,3,12,#,0.7,#,2.9,3,12,#,1.6,#,1.5,#,1.9,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,2,#,29,1,12,#,11,#,140,#,4900,1,6,#,1100,N,0.5,N,0.5,999,2,N,0.5
1995,0110060,01,004,01,0,#,7,#,7.5,0,24,#,8.5,#,14,0,24,#,11,#,0.6,#,2.1,0,24,#,0.7,#,2.1,0,12,#,1.3,#,1.2,#,1.6,#,3.3,#,8,999,24,#,3.4,#,8,999,12,#,5.4,#,5.5,#,6.3,#,8,#,170,10,24,#,42,#,490,#,49000,11,24,#,12000,N,0.5,N,0.5,999,2,N,0.5
1995,0113460,01,004,02,0,#,6.9,#,7.4,0,12,#,9,#,14,0,12,#,11,#,0.9,#,3.1,1,12,#,0.9,#,3.1,1,12,#,1.6,#,1.4,#,1.7,#,3.7,#,8.7,999,12,#,3.7,#,8.7,999,12,#,5.3,#,4.8,#,6.2,#,7,#,140,3,12,#,35,#,1700,#,70000,7,12,#,21000,N,0.5,N,0.5,999,2,N,0.5
1995,0110070,01,004,51,0,#,7,#,7.4,0,12,#,8.1,#,14,0,12,#,11,#,0.9,#,2.8,0,12,#,0.9,#,2.8,0,12,#,1.5,#,1.4,#,1.5,#,3.8,#,8.4,999,12,#,3.8,#,8.4,999,12,#,5.6,#,4.9,#,7.3,#,4,#,180,5,12,#,37,#,1400,#,340000,7,12,#,36000,E,99999,E,99999,999,999,E,99999
1995,0110080,01,004,52,0,#,6.9,#,7.5,0,4,#,8.1,#,12,0,4,#,9.4,#,0.6,#,1.5,0,4,#,0.6,#,1.5,0,4,#,1.1,#,1.2,#,1.4,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,5,#,18,0,4,#,15,#,350,#,940,0,4,#,780,N,0.5,N,0.5,999,2,N,0.5
1995,0110090,01,004,53,0,#,7,#,7.4,0,12,#,6.8,#,14,0,12,#,11,#,0.8,#,1.7,0,12,#,0.8,#,1.7,0,12,#,1.3,#,1.4,#,1.5,#,3.3,#,8.9,999,12,#,3.3,#,8.9,999,12,#,5,#,4.4,#,5.5,#,6,#,170,3,12,#,39,#,1700,#,49000,6,12,#,14000,N,0.5,N,0.5,999,2,N,0.5
1995,0110100,01,004,54,0,#,7.1,#,7.4,0,4,#,7.8,#,11,0,4,#,9.1,#,1,#,1.9,0,4,#,1,#,1.9,0,4,#,1.4,#,1.3,#,1.4,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,4,#,110,2,4,#,39,#,2.2,#,920,0,4,#,600,N,0.5,N,0.5,999,2,N,0.5
1995,0110110,01,004,55,0,#,7,#,7.4,0,12,#,8.3,#,13,0,12,#,11,#,0.6,#,2.4,0,12,#,0.6,#,2.4,0,12,#,1.5,#,1.5,#,1.6,#,3.4,#,8,999,12,#,3.4,#,8,999,12,#,5.4,#,5.3,#,6.3,#,11,#,170,5,12,#,51,#,2400,#,17000,6,12,#,7800,E,99999,E,99999,999,999,E,99999
