西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,m_ダイオキシン（水質）,n_ダイオキシン（水質）,C_ダイオキシン（水質）_最大値,ダイオキシン（水質）_最大値,C_ダイオキシン（水質）_平均値,ダイオキシン（水質）_平均値,m_ダイオキシン（底質）,n_ダイオキシン（底質）,C_ダイオキシン（底質）_最大値,ダイオキシン（底質）_最大値,C_ダイオキシン（底質）_平均値,ダイオキシン（底質）_平均値
2004,0110060,01,004,01,0,2,#,0.22,#,0.18,0,2,#,0.34,#,0.3
2004,0110160,01,006,02,0,1,#,0.079,#,0.079,0,1,#,0.81,#,0.81
2004,0110170,01,007,01,0,2,#,0.11,#,0.1,0,2,#,3.1,#,1.7
2004,0110250,01,010,01,0,1,#,0.1,#,0.1,0,1,#,0.11,#,0.11
2004,0110260,01,010,02,0,1,#,0.07,#,0.07,0,1,#,0.24,#,0.24
2004,0110320,01,012,01,0,2,#,0.073,#,0.073,0,2,#,2.6,#,1.4
2004,0110370,01,017,01,0,2,#,0.42,#,0.28,0,2,#,1.2,#,0.76
2004,0110380,01,018,01,0,1,#,0.071,#,0.071,0,1,#,1.4,#,1.4
2004,0110450,01,024,01,0,1,#,0.21,#,0.21,0,1,#,0.33,#,0.33
2004,0113990,01,024,55,0,1,#,0.072,#,0.072,0,1,#,1.7,#,1.7
2004,0114750,01,024,56,0,1,#,0.072,#,0.072,0,1,#,2.1,#,2.1
2004,0110570,01,030,01,0,1,#,0.069,#,0.069,0,1,#,0.23,#,0.23
2004,0110600,01,033,01,0,2,#,0.071,#,0.071,0,2,#,0.24,#,0.18
2004,0114760,01,033,02,0,1,#,0.07,#,0.07,0,1,#,0.31,#,0.31
2004,0110630,01,035,01,0,1,#,0.082,#,0.082,0,1,#,0.13,#,0.13
2004,0110790,01,048,01,0,2,#,0.076,#,0.073,0,2,#,0.23,#,0.17
2004,0110820,01,050,01,0,1,#,0.07,#,0.07,0,1,#,0.24,#,0.24
2004,0110940,01,059,01,0,1,#,0.069,#,0.069,0,1,#,0.23,#,0.23
2004,0110950,01,060,01,0,1,#,0.082,#,0.082,0,1,#,0.16,#,0.16
2004,0110980,01,062,01,0,2,#,0.13,#,0.1,0,2,#,0.24,#,0.19
2004,0111260,01,077,01,0,1,#,0.069,#,0.069,0,1,#,0.36,#,0.36
2004,0111280,01,079,01,0,1,#,0.096,#,0.096,0,1,#,0.13,#,0.13
2004,0111320,01,083,01,0,2,#,0.073,#,0.073,0,2,#,1.6,#,1
2004,0114210,01,083,52,0,1,#,0.071,#,0.071,0,1,#,0.62,#,0.62
2004,0114000,01,122,55,0,2,#,0.13,#,0.12,0,1,#,0.27,#,0.27
2004,0114560,01,127,51,0,2,#,0.31,#,0.2,999,999,E,99999,E,99999
2004,0112170,01,147,51,0,1,#,0.031,#,0.031,0,1,#,0.28,#,0.28
2004,0112180,01,148,01,0,2,#,0.071,#,0.06,0,2,#,0.45,#,0.33
2004,0112330,01,159,53,0,1,#,0.12,#,0.12,0,1,#,5.9,#,5.9
2004,0112690,01,187,01,0,1,#,0.077,#,0.077,0,1,#,0.54,#,0.54
2004,0114280,01,284,01,0,1,#,0.17,#,0.17,0,1,#,0.46,#,0.46
2004,0114660,01,301,01,0,2,#,0.069,#,0.068,0,2,#,0.23,#,0.17
2004,0120750,01,408,01,0,1,#,0.069,#,0.069,0,1,#,1.5,#,1.5
2004,0120760,01,409,01,0,1,#,0.069,#,0.069,0,1,#,0.28,#,0.28
2004,0120770,01,410,01,0,1,#,0.069,#,0.069,0,1,#,0.68,#,0.68
2004,0120780,01,411,01,0,1,#,0.069,#,0.069,0,1,#,1.3,#,1.3
2004,0120790,01,412,01,0,1,#,0.069,#,0.069,0,1,#,1.2,#,1.2
2004,0120800,01,413,01,0,1,#,0.069,#,0.069,0,1,#,1.7,#,1.7
2004,0120010,01,501,01,0,1,#,0.071,#,0.071,0,1,#,2.2,#,2.2
2004,0120020,01,501,02,0,1,#,0.071,#,0.071,0,1,#,2.3,#,2.3
2004,0130220,01,604,02,0,1,#,0.065,#,0.065,0,1,#,5,#,5
2004,0130720,01,627,01,0,1,#,0.066,#,0.066,0,1,#,0.11,#,0.11
2004,0130790,01,630,02,0,1,#,0.067,#,0.067,0,1,#,0.13,#,0.13
2004,0130880,01,633,02,0,1,#,0.068,#,0.068,0,1,#,4.6,#,4.6
2004,0132370,01,659,01,0,1,#,0.066,#,0.066,0,1,#,0.15,#,0.15
2004,0210050,02,002,02,0,1,#,0.069,#,0.069,0,1,#,3.9,#,3.9
2004,0210070,02,003,01,0,1,#,0.094,#,0.094,0,1,#,0.32,#,0.32
2004,0210090,02,003,51,0,1,#,0.049,#,0.049,0,1,#,0.49,#,0.49
2004,0210110,02,004,01,0,1,#,0.087,#,0.087,0,1,#,3.2,#,3.2
2004,0210150,02,006,01,0,1,#,0.12,#,0.12,0,1,#,0.81,#,0.81
2004,0210210,02,009,01,0,1,#,0.049,#,0.049,0,1,#,0.12,#,0.12
2004,0210240,02,010,03,0,4,#,0.41,#,0.31,0,4,#,17,#,8.6
2004,0210360,02,010,62,0,1,#,0.05,#,0.05,0,1,#,0.11,#,0.11
2004,0210440,02,011,51,0,3,#,0.87,#,0.54,0,3,#,0.46,#,0.32
2004,0210450,02,012,01,0,1,#,0.045,#,0.045,0,1,#,0.11,#,0.11
2004,0210570,02,014,02,0,1,#,0.047,#,0.047,0,1,#,0.13,#,0.13
2004,0210630,02,015,02,0,1,#,0.36,#,0.36,0,1,#,3,#,3
2004,0210650,02,016,01,0,1,#,0.046,#,0.046,0,1,#,0.32,#,0.32
2004,0210670,02,018,01,0,1,#,0.046,#,0.046,0,1,#,0.11,#,0.11
2004,0210690,02,019,01,0,1,#,0.045,#,0.045,0,1,#,1.6,#,1.6
2004,0210930,02,028,01,0,1,#,0.044,#,0.044,0,1,#,0.17,#,0.17
2004,0210980,02,030,01,0,1,#,0.048,#,0.048,0,1,#,0.22,#,0.22
2004,0211010,02,032,01,0,1,#,0.4,#,0.4,0,1,#,1.6,#,1.6
2004,0211020,02,032,51,0,1,#,0.2,#,0.2,0,1,#,0.25,#,0.25
2004,0211110,02,034,02,0,1,#,0.048,#,0.048,0,1,#,5.1,#,5.1
2004,0211140,02,036,01,0,1,#,0.045,#,0.045,0,1,#,0.13,#,0.13
2004,0211180,02,038,01,0,1,#,0.049,#,0.049,0,1,#,5.7,#,5.7
2004,0211220,02,039,02,0,1,#,0.053,#,0.053,0,1,#,0.26,#,0.26
2004,0211260,02,042,01,0,1,#,0.05,#,0.05,0,1,#,2,#,2
2004,0211290,02,044,01,0,1,#,0.052,#,0.052,0,1,#,0.29,#,0.29
2004,0211350,02,046,02,0,1,#,0.046,#,0.046,0,1,#,0.56,#,0.56
2004,0211380,02,047,01,0,1,#,0.044,#,0.044,0,1,#,0.16,#,0.16
2004,0211410,02,049,01,0,1,#,0.082,#,0.082,0,1,#,0.11,#,0.11
2004,0213000,02,053,01,0,1,#,0.058,#,0.058,0,1,#,11,#,11
