西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,調査区分,C_pH_最小値,pH_最小値,C_pH_最大値,pH_最大値,m_pH,n_pH,C_DO_最小値,DO_最小値,C_DO_最大値,DO_最大値,m_DO,n_DO,C_DO_日間平均値_平均値,DO_日間平均値_平均値,C_BOD_最小値,BOD_最小値,C_BOD_最大値,BOD_最大値,m_BOD,n_BOD,C_BOD_日間平均値_最小値,BOD_日間平均値_最小値,C_BOD_日間平均値_最大値,BOD_日間平均値_最大値,x_BOD,y_BOD,C_BOD_日間平均値_平均値,BOD_日間平均値_平均値,C_BOD_日間平均値_中央値,BOD_日間平均値_中央値,C_BOD_日間平均値_75%値,BOD_日間平均値_75%値,C_COD_最小値,COD_最小値,C_COD_最大値,COD_最大値,m_COD,n_COD,C_COD_日間平均値_最小値,COD_日間平均値_最小値,C_COD_日間平均値_最大値,COD_日間平均値_最大値,x_COD,y_COD,C_COD_日間平均値_平均値,COD_日間平均値_平均値,C_COD_日間平均値_中央値,COD_日間平均値_中央値,C_COD_日間平均値_75%値,COD_日間平均値_75%値,C_SS_最小値,SS_最小値,C_SS_最大値,SS_最大値,m_SS,n_SS,C_SS_日間平均値_平均値,SS_日間平均値_平均値,C_大腸菌群数_最小値,大腸菌群数_最小値,C_大腸菌群数_最大値,大腸菌群数_最大値,m_大腸菌群数,n_大腸菌群数,C_大腸菌群数_日間平均値_平均値,大腸菌群数_日間平均値_平均値,C_n-ヘキサン抽出物質（油分等）_最小値,n-ヘキサン抽出物質（油分等)_最小値,C_n-ヘキサン抽出物質(油分等)_最大値,n-ヘキサン抽出物質(油分等)_最大値,m_n-ヘキサン抽出物質(油分等),n_n-ヘキサン抽出物質(油分等),C_n-ヘキサン抽出物質(油分等)_日間平均値_平均値,n-ヘキサン抽出物質(油分等)_日間平均値_平均値
1975,0110011,,,,0,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,#,0.5000,#,0.8000,0,6,#,0.5000,#,0.8000,0,6,#,0.6000,#,0.5000,#,0.5000,#,2.0000,#,2.6000,999,6,#,2.0000,#,2.6000,999,6,#,2.3000,#,2.4000,#,2.6000,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999
1975,0110021,,,,0,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,<,0.5000,#,2.6000,7,38,<,0.5000,#,2.6000,3,17,#,1.4000,#,1.5000,#,1.7000,<,0.5000,<,0.5000,999,38,<,0.5000,<,0.5000,999,17,<,0.5000,<,0.5000,<,0.5000,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999
1975,0110031,,,,0,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,#,0.6000,#,3.3000,2,8,#,0.6000,#,3.3000,2,8,#,1.7000,#,1.5000,#,1.9000,#,1.6000,#,6.3000,999,8,#,1.6000,#,6.3000,999,8,#,2.7000,#,2.1000,#,3.0000,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999
1975,0110041,,,,0,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,#,0.7000,#,5.1000,4,39,#,0.8000,#,5.1000,4,14,#,2.3000,#,1.8000,#,3.5000,#,3.8000,#,9.8000,999,39,#,4.3000,#,9.8000,999,14,#,6.4000,#,6.2000,#,6.9000,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999
1975,0110051,,,,0,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,#,1.0000,#,6.9000,26,48,#,1.6000,#,6.3000,8,12,#,3.6000,#,3.3000,#,5.1000,#,3.4000,#,10.0000,999,48,#,3.7000,#,9.8000,999,12,#,6.7000,#,6.5000,#,7.0000,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999
1975,0110061,,,,0,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,#,2.4000,#,3.5000,3,11,#,2.4000,#,3.5000,3,11,#,3.0000,#,3.0000,#,3.2000,<,0.5000,<,0.5000,999,11,<,0.5000,<,0.5000,999,11,<,0.5000,<,0.5000,<,0.5000,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999
1975,0110081,,,,0,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,<,0.5000,#,2.9000,0,12,<,0.5000,#,2.9000,0,12,#,1.3000,#,1.0000,#,1.8000,#,4.7000,#,18.0000,999,12,#,4.7000,#,18.0000,999,12,#,9.2000,#,9.0000,#,9.9000,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999
1975,0110091,,,,0,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,<,0.5000,#,4.2000,1,48,#,0.6000,#,2.5000,0,12,#,1.3000,#,1.2000,#,1.7000,<,0.5000,#,54.0000,999,48,#,4.4000,#,26.0000,999,12,#,8.6000,#,7.8000,#,8.2000,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999
1975,0110101,,,,0,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,#,0.8000,#,3.2000,1,12,#,0.9000,#,2.9000,0,6,#,1.4000,#,1.2000,#,1.2000,#,3.0000,#,8.7000,999,12,#,3.2000,#,7.3000,999,6,#,5.4000,#,5.5000,#,6.0000,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999
1975,0110111,,,,0,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,<,0.5000,#,1.8000,0,74,#,0.9000,#,1.7000,0,14,#,1.1000,#,1.1000,#,1.2000,#,3.8000,#,32.0000,999,74,#,4.1000,#,23.0000,999,14,#,8.5000,#,7.5000,#,8.9000,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999
1975,0110121,,,,0,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,#,0.8000,#,2.8000,0,42,#,0.9000,#,2.8000,0,10,#,1.5000,#,1.5000,#,1.8000,#,4.4000,#,13.0000,999,42,#,4.9000,#,13.0000,999,10,#,8.3000,#,8.0000,#,9.2000,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999
1975,0110131,,,,0,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,#,0.8000,#,2.4000,0,12,#,0.8000,#,2.4000,0,12,#,1.4000,#,1.4000,#,1.7000,#,5.2000,#,9.6000,999,12,#,5.2000,#,9.6000,999,12,#,7.4000,#,7.3000,#,8.4000,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999
1975,0110141,,,,0,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,#,0.6000,#,1.8000,0,12,#,0.6000,#,1.5000,0,6,#,0.9000,#,0.8000,#,0.9000,#,3.8000,#,33.0000,999,12,#,4.0000,#,18.0000,999,6,#,9.6000,#,8.4000,#,13.0000,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999
1975,0110151,,,,0,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,<,0.5000,#,2.9000,0,8,<,0.5000,#,2.9000,0,8,#,1.0000,#,0.7000,#,0.8000,#,3.7000,#,29.0000,999,8,#,3.7000,#,29.0000,999,8,#,8.8000,#,6.0000,#,8.3000,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999
1975,0110161,,,,0,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,#,0.5000,#,0.7000,0,5,#,0.5000,#,0.7000,0,5,#,0.6000,#,0.5000,#,0.6000,#,2.0000,#,4.4000,999,5,#,2.0000,#,4.4000,999,5,#,3.1000,#,2.6000,#,3.9000,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999
1975,0110171,,,,0,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,#,0.6000,#,1.6000,0,5,#,0.6000,#,1.6000,0,5,#,1.0000,#,0.7000,#,1.2000,#,2.0000,#,3.5000,999,5,#,2.0000,#,3.5000,999,5,#,2.8000,#,2.8000,#,3.0000,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999
1975,0110181,,,,0,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,#,0.5000,#,0.7000,0,5,#,0.5000,#,0.7000,0,5,#,0.6000,#,0.6000,#,0.6000,#,2.2000,#,3.3000,999,5,#,2.2000,#,3.3000,999,5,#,2.5000,#,2.4000,#,2.5000,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999
1975,0110191,,,,0,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,#,0.6000,#,2.4000,0,10,#,0.7000,#,2.4000,0,5,#,1.5000,#,1.4000,#,2.0000,#,5.8000,#,11.0000,999,10,#,6.1000,#,11.0000,999,5,#,8.1000,#,7.1000,#,9.7000,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999
1975,0110201,,,,0,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,<,0.5000,#,1.5000,0,8,<,0.5000,#,1.5000,0,8,#,0.8000,#,0.7000,#,0.8000,#,5.2000,#,19.0000,999,8,#,5.2000,#,19.0000,999,8,#,8.4000,#,6.8000,#,7.6000,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999
1975,0110211,,,,0,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,#,0.5000,#,0.9000,0,6,#,0.5000,#,0.9000,0,6,#,0.7000,#,0.7000,#,0.9000,#,2.4000,#,9.3000,999,6,#,2.4000,#,9.3000,999,6,#,6.8000,#,7.4000,#,8.8000,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999
1975,0110221,,,,0,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,#,0.5000,#,1.4000,0,5,#,0.5000,#,1.4000,0,5,#,0.8000,#,0.6000,#,0.7000,#,4.1000,#,11.0000,999,5,#,4.1000,#,11.0000,999,5,#,7.5000,#,8.2000,#,8.9000,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999
1975,0110231,,,,0,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,#,0.6000,#,1.3000,0,12,#,0.7000,#,1.1000,0,6,#,0.9000,#,1.0000,#,1.0000,#,2.8000,#,40.0000,999,12,#,3.0000,#,34.0000,999,6,#,18.0000,#,16.0000,#,28.0000,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999
1975,0110241,,,,0,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,#,0.5000,#,0.9000,0,6,#,0.5000,#,0.9000,0,6,#,0.6000,#,0.6000,#,0.7000,#,3.0000,#,6.5000,999,6,#,3.0000,#,6.5000,999,6,#,4.1000,#,3.4000,#,5.5000,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999
1975,0110251,,,,0,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,#,0.7000,#,1.7000,0,12,#,0.8000,#,1.5000,0,6,#,1.2000,#,1.1000,#,1.3000,#,2.6000,#,11.0000,999,12,#,3.2000,#,10.0000,999,6,#,5.3000,#,3.5000,#,8.0000,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999
1975,0110261,,,,0,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,<,0.5000,#,1.2000,0,8,<,0.5000,#,1.2000,0,8,#,0.8000,#,0.7000,#,1.0000,#,2.7000,#,6.7000,999,8,#,2.7000,#,6.7000,999,8,#,4.3000,#,3.5000,#,5.1000,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999
1975,0110271,,,,0,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,#,0.6000,#,1.1000,0,6,#,0.6000,#,1.1000,0,6,#,0.8000,#,0.8000,#,0.9000,#,1.4000,#,4.5000,999,6,#,1.4000,#,4.5000,999,6,#,2.4000,#,2.1000,#,2.5000,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999
1975,0110281,,,,0,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,#,0.6000,#,0.9000,0,6,#,0.6000,#,0.9000,0,6,#,0.7000,#,0.8000,#,0.8000,#,0.8000,#,1.8000,999,6,#,0.8000,#,1.8000,999,6,#,1.4000,#,1.5000,#,1.6000,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999
