西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,調査区分,採取位置,C_全窒素_最小値,全窒素_最小値,C_全窒素_最大値,全窒素_最大値,m_全窒素,n_全窒素,C_全窒素_日間平均値_平均値,全窒素_日間平均値_平均値,C_全燐_最小値,全燐_最小値,C_全燐_最大値,全燐_最大値,m_全燐,n_全燐,C_全燐_日間平均値_平均値,全燐_日間平均値_平均値
1991,0120010,01,501,01,0,11,#,0.4,#,1.1,5,8,#,0.68,#,0.018,#,0.12,3,8,#,0.05
1991,0120020,01,501,02,0,11,#,0.43,#,1.1,5,8,#,0.69,#,0.015,#,0.11,4,8,#,0.052
1991,0120030,01,501,51,0,11,#,0.36,#,0.94,5,8,#,0.68,#,0.025,#,0.15,6,8,#,0.073
1991,0120040,01,501,52,0,11,#,0.39,#,1.2,5,8,#,0.7,#,0.005,#,0.17,3,8,#,0.049
1991,0120050,01,502,01,0,11,<,0.05,#,0.83,999,6,#,0.2,<,0.003,<,0.003,0,6,<,0.003
1991,0120060,01,502,02,0,11,#,0.05,#,0.81,999,6,#,0.21,<,0.003,<,0.003,0,6,<,0.003
1991,0120110,01,503,01,0,11,#,0.19,#,0.25,999,6,#,0.21,<,0.003,#,0.003,0,6,#,0.003
1991,0120120,01,503,02,0,11,#,0.18,#,0.35,999,6,#,0.23,<,0.003,#,0.003,0,6,#,0.003
1991,0120130,01,503,03,0,11,#,0.17,#,0.29,999,6,#,0.22,<,0.003,#,0.004,0,6,#,0.003
1991,0120140,01,503,51,0,11,#,0.19,#,0.25,999,6,#,0.21,<,0.003,#,0.003,0,6,#,0.003
1991,0120150,01,503,52,0,11,#,0.19,#,0.26,999,6,#,0.22,<,0.003,#,0.004,0,6,#,0.003
1991,0120160,01,503,53,0,11,#,0.21,#,0.37,999,6,#,0.26,<,0.003,#,0.003,0,6,#,0.003
1991,0120170,01,503,54,0,11,#,0.15,#,0.37,999,6,#,0.22,<,0.003,#,0.003,0,6,#,0.003
1991,0120190,01,504,02,0,11,#,0.47,#,0.78,999,5,#,0.62,#,0.014,#,0.059,2,5,#,0.032
1991,0120240,01,505,01,0,11,#,0.2,#,0.28,0,6,#,0.23,#,0.016,#,0.025,0,6,#,0.021
1991,0120240,01,505,01,0,12,#,0.13,#,0.35,0,6,#,0.24,#,0.014,#,0.03,0,6,#,0.021
1991,0120250,01,505,02,0,11,#,0.16,#,0.38,0,6,#,0.24,#,0.012,#,0.028,0,6,#,0.02
1991,0120250,01,505,02,0,12,#,0.2,#,0.37,0,6,#,0.29,#,0.014,#,0.03,0,6,#,0.023
1991,0120260,01,505,03,0,11,#,0.15,#,0.74,2,6,#,0.38,#,0.014,#,0.033,1,6,#,0.023
1991,0120260,01,505,03,0,12,#,0.17,#,0.75,2,6,#,0.37,#,0.014,#,0.051,1,6,#,0.026
1991,0120270,01,505,51,0,11,#,0.1,#,0.49,1,5,#,0.3,#,0.011,#,0.045,1,5,#,0.022
1991,0120280,01,505,52,0,11,#,0.11,#,0.58,2,6,#,0.32,#,0.012,#,0.034,1,6,#,0.021
1991,0120290,01,505,53,0,11,#,0.13,#,0.64,1,6,#,0.27,#,0.011,#,0.03,0,6,#,0.019
1991,0120300,01,505,54,0,11,#,0.08,#,0.28,0,5,#,0.22,#,0.01,#,0.03,0,5,#,0.018
1991,0120310,01,506,01,0,11,<,0.05,#,0.25,999,6,#,0.15,<,0.003,#,0.003,0,6,#,0.003
1991,0120320,01,506,02,0,11,#,0.08,#,0.28,999,6,#,0.16,<,0.003,#,0.035,1,6,#,0.008
1991,0120360,01,507,01,0,11,#,0.07,#,0.27,999,4,#,0.15,#,0.003,#,0.022,2,4,#,0.011
1991,0120360,01,507,01,0,12,#,0.09,#,0.23,999,4,#,0.16,#,0.004,#,0.018,2,4,#,0.011
1991,0120370,01,507,02,0,11,#,0.07,#,0.3,999,4,#,0.17,#,0.006,#,0.041,3,4,#,0.02
1991,0120370,01,507,02,0,12,#,0.11,#,0.33,999,4,#,0.22,#,0.006,#,0.042,3,4,#,0.02
1991,0120380,01,507,51,0,11,#,0.07,#,0.31,999,4,#,0.17,#,0.004,#,0.019,2,4,#,0.011
1991,0120390,01,507,52,0,11,#,0.08,#,0.46,999,4,#,0.21,#,0.003,#,0.017,2,4,#,0.009
1991,0120400,01,507,53,0,11,#,0.09,#,0.54,999,4,#,0.28,<,0.003,#,0.02,2,4,#,0.01
1991,0120410,01,508,01,0,11,#,0.11,#,0.29,999,4,#,0.19,#,0.006,#,0.019,3,4,#,0.015
1991,0120410,01,508,01,0,12,#,0.17,#,0.29,999,4,#,0.23,#,0.007,#,0.021,2,4,#,0.014
1991,0120420,01,508,02,0,11,#,0.15,#,0.42,999,4,#,0.28,#,0.006,#,0.022,3,4,#,0.014
1991,0120420,01,508,02,0,12,#,0.22,#,0.43,999,4,#,0.3,#,0.007,#,0.019,3,4,#,0.014
1991,0120430,01,508,51,0,11,#,0.11,#,0.46,999,4,#,0.29,#,0.006,#,0.022,2,4,#,0.013
1991,0120440,01,508,52,0,11,#,0.11,#,0.29,999,4,#,0.2,#,0.005,#,0.025,3,4,#,0.017
1991,0120450,01,508,53,0,11,#,0.12,#,0.76,999,4,#,0.39,#,0.004,#,0.029,2,4,#,0.016
1991,0120460,01,509,01,0,11,#,1.4,#,3.3,6,6,#,2.2,#,0.025,#,0.38,5,6,#,0.19
1991,0120470,01,509,02,0,11,#,1.5,#,2.7,6,6,#,2,#,0.097,#,0.35,5,6,#,0.21
1991,0120480,01,509,51,0,11,#,1.8,#,2.9,6,6,#,2.2,#,0.11,#,0.3,6,6,#,0.21
1991,0120490,01,509,52,0,11,#,1.5,#,2.7,6,6,#,2.1,#,0.12,#,0.32,6,6,#,0.21
