西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,m_ダイオキシン（水質）,n_ダイオキシン（水質）,C_ダイオキシン（水質）_最大値,ダイオキシン（水質）_最大値,C_ダイオキシン（水質）_平均値,ダイオキシン（水質）_平均値,m_ダイオキシン（底質）,n_ダイオキシン（底質）,C_ダイオキシン（底質）_最大値,ダイオキシン（底質）_最大値,C_ダイオキシン（底質）_平均値,ダイオキシン（底質）_平均値
2003,0110060,01,004,01,0,3,#,0.21,#,0.19,0,2,#,0.8,#,0.47
2003,0113460,01,004,02,0,1,#,0.12,#,0.12,999,999,E,99999,E,99999
2003,0110170,01,007,01,0,3,#,0.39,#,0.26,0,2,#,1.4,#,0.77
2003,0110180,01,007,51,0,1,#,0.073,#,0.073,0,1,#,0.74,#,0.74
2003,0110250,01,010,01,0,2,#,0.11,#,0.1,0,1,#,0.11,#,0.11
2003,0110260,01,010,02,0,1,#,0.071,#,0.071,0,1,#,0.24,#,0.24
2003,0110320,01,012,01,0,3,#,0.14,#,0.1,0,2,#,0.89,#,0.56
2003,0110370,01,017,01,0,3,#,0.11,#,0.093,0,2,#,1,#,0.64
2003,0110450,01,024,01,0,2,#,0.15,#,0.12,0,1,#,0.26,#,0.26
2003,0113990,01,024,55,0,1,#,0.078,#,0.078,0,1,#,1.2,#,1.2
2003,0110600,01,033,01,0,3,#,0.18,#,0.13,0,2,#,0.24,#,0.18
2003,0110630,01,035,01,0,2,#,0.13,#,0.13,0,1,#,0.18,#,0.18
2003,0110790,01,048,01,0,3,#,0.13,#,0.095,0,2,#,0.25,#,0.18
2003,0110940,01,059,01,0,1,#,0.069,#,0.069,0,1,#,0.23,#,0.23
2003,0110950,01,060,01,0,3,#,0.16,#,0.11,0,2,#,0.24,#,0.18
2003,0110980,01,062,01,0,3,#,0.12,#,0.1,0,2,#,0.24,#,0.22
2003,0114680,01,062,52,0,1,#,0.071,#,0.071,0,1,#,0.24,#,0.24
2003,0111260,01,077,01,0,1,#,0.073,#,0.073,0,1,#,0.28,#,0.28
2003,0111280,01,079,01,0,2,#,0.14,#,0.11,0,1,#,0.12,#,0.12
2003,0111320,01,083,01,0,3,#,0.1,#,0.087,0,2,#,0.6,#,0.38
2003,0111790,01,122,01,0,3,#,0.15,#,0.13,0,1,#,3.2,#,3.2
