西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,調査区分,C_pH_最小値,pH_最小値,C_pH_最大値,pH_最大値,m_pH,n_pH,C_DO_最小値,DO_最小値,C_DO_最大値,DO_最大値,m_DO,n_DO,C_DO_日間平均値_平均値,DO_日間平均値_平均値,C_BOD_最小値,BOD_最小値,C_BOD_最大値,BOD_最大値,m_BOD,n_BOD,C_BOD_日間平均値_最小値,BOD_日間平均値_最小値,C_BOD_日間平均値_最大値,BOD_日間平均値_最大値,x_BOD,y_BOD,C_BOD_日間平均値_平均値,BOD_日間平均値_平均値,C_BOD_日間平均値_中央値,BOD_日間平均値_中央値,C_BOD_日間平均値_75%値,BOD_日間平均値_75%値,C_COD_最小値,COD_最小値,C_COD_最大値,COD_最大値,m_COD,n_COD,C_COD_日間平均値_最小値,COD_日間平均値_最小値,C_COD_日間平均値_最大値,COD_日間平均値_最大値,x_COD,y_COD,C_COD_日間平均値_平均値,COD_日間平均値_平均値,C_COD_日間平均値_中央値,COD_日間平均値_中央値,C_COD_日間平均値_75%値,COD_日間平均値_75%値,C_SS_最小値,SS_最小値,C_SS_最大値,SS_最大値,m_SS,n_SS,C_SS_日間平均値_平均値,SS_日間平均値_平均値,C_大腸菌群数_最小値,大腸菌群数_最小値,C_大腸菌群数_最大値,大腸菌群数_最大値,m_大腸菌群数,n_大腸菌群数,C_大腸菌群数_日間平均値_平均値,大腸菌群数_日間平均値_平均値,C_n-ヘキサン抽出物質（油分等）_最小値,n-ヘキサン抽出物質（油分等)_最小値,C_n-ヘキサン抽出物質(油分等)_最大値,n-ヘキサン抽出物質(油分等)_最大値,m_n-ヘキサン抽出物質(油分等),n_n-ヘキサン抽出物質(油分等),C_n-ヘキサン抽出物質(油分等)_日間平均値_平均値,n-ヘキサン抽出物質(油分等)_日間平均値_平均値
1992,0110010,01,001,01,0,#,6.5,#,7.4,0,4,#,9,#,12,0,4,#,10,#,0.5,#,1.4,1,4,#,0.5,#,1.4,1,4,#,0.8,#,0.6,#,0.6,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,2,#,82,1,4,#,24,#,4.5,#,490,3,4,#,220,N,0.5,N,0.5,999,2,N,0.5
1992,0110030,01,002,02,0,#,6.8,#,7.7,0,12,#,10,#,14,0,12,#,12,<,0.5,#,0.9,0,12,<,0.5,#,0.9,0,12,#,0.6,#,0.5,#,0.6,#,1.7,#,5.1,999,12,#,1.7,#,5.1,999,12,#,3.2,#,3,#,3.7,#,2,#,28,1,12,#,9,#,330,#,5400,7,12,#,2100,E,99999,E,99999,999,999,E,99999
1992,0110020,01,002,52,0,#,6.8,#,7.5,0,12,#,9.3,#,14,0,12,#,11,#,0.9,#,2.5,4,12,#,0.9,#,2.5,4,12,#,1.7,#,1.7,#,2.1,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,1,#,19,0,12,#,8,#,220,#,24000,4,6,#,5300,N,0.5,N,0.5,999,2,N,0.5
1992,0110060,01,004,01,0,#,6.9,#,7.4,0,24,#,7.9,#,13,0,24,#,11,#,0.6,#,2.2,0,24,#,0.7,#,2.2,0,12,#,1.2,#,1.2,#,1.3,#,3.4,#,12,999,24,#,3.6,#,12,999,12,#,5.6,#,4.7,#,6.1,#,10,#,210,11,24,#,50,#,1300,#,70000,10,24,#,11000,N,0.5,N,0.5,999,2,N,0.5
1992,0113460,01,004,02,0,#,7,#,7.3,0,12,#,9.1,#,14,0,12,#,11,#,0.8,#,1.9,0,12,#,0.8,#,1.9,0,12,#,1.4,#,1.5,#,1.6,#,3.2,#,7.1,999,12,#,3.2,#,7.1,999,12,#,4.8,#,4.8,#,5.1,#,9,#,72,4,12,#,28,#,1300,#,49000,5,12,#,11000,N,0.5,N,0.5,999,2,N,0.5
1992,0110070,01,004,51,0,#,6.8,#,7.4,0,12,#,8.3,#,13,0,12,#,11,#,0.5,#,1.6,0,12,#,0.5,#,1.6,0,12,#,1,#,1.1,#,1.1,#,4,#,8.9,999,12,#,4,#,8.9,999,12,#,5.5,#,5,#,5.8,#,8,#,100,5,12,#,32,#,1700,#,33000,6,12,#,10000,E,99999,E,99999,999,999,E,99999
1992,0110080,01,004,52,0,#,6.9,#,7.5,0,4,#,7.9,#,9.4,0,3,#,8.8,#,1,#,1.8,0,3,#,1,#,1.8,0,3,#,1.4,#,1.3,#,1.8,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,23,#,82,3,4,#,47,#,350,#,2800,0,4,#,2000,N,0.5,N,0.5,999,2,N,0.5
1992,0110090,01,004,53,0,#,7.1,#,7.4,0,12,#,9,#,13,0,12,#,11,#,0.5,#,1.9,0,12,#,0.5,#,1.9,0,12,#,1.2,#,1.3,#,1.5,#,3.4,#,7,999,12,#,3.4,#,7,999,12,#,4.6,#,4.4,#,4.9,#,10,#,81,6,12,#,30,#,790,#,79000,4,12,#,12000,N,0.5,N,0.5,999,2,N,0.5
1992,0110100,01,004,54,0,#,7.1,#,7.4,0,4,#,9.2,#,12,0,4,#,10,#,1.3,#,2.1,0,4,#,1.3,#,2.1,0,4,#,1.6,#,1.6,#,1.6,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,9,#,250,2,4,#,85,#,350,#,2400,0,4,#,1300,N,0.5,N,0.5,999,2,N,0.5
1992,0110110,01,004,55,0,#,6.9,#,7.4,0,12,#,8.6,#,14,0,12,#,11,<,0.5,#,1.6,0,12,<,0.5,#,1.6,0,12,#,1,#,1,#,1.2,#,3.4,#,8,999,12,#,3.4,#,8,999,12,#,4.8,#,4.4,#,5.4,#,13,#,110,6,12,#,40,#,490,#,27000,3,12,#,6400,E,99999,E,99999,999,999,E,99999
