西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,m_ダイオキシン（水質）,n_ダイオキシン（水質）,C_ダイオキシン（水質）_最大値,ダイオキシン（水質）_最大値,C_ダイオキシン（水質）_平均値,ダイオキシン（水質）_平均値,m_ダイオキシン（底質）,n_ダイオキシン（底質）,C_ダイオキシン（底質）_最大値,ダイオキシン（底質）_最大値,C_ダイオキシン（底質）_平均値,ダイオキシン（底質）_平均値
2005,0110030,01,002,02,0,1,#,0.07,#,0.07,0,1,#,0.25,#,0.25
2005,0110060,01,004,01,0,2,#,0.087,#,0.087,0,2,#,0.26,#,0.26
2005,0110070,01,004,51,0,1,#,0.087,#,0.087,0,1,#,1.3,#,1.3
2005,0110160,01,006,02,0,1,#,0.074,#,0.074,0,1,#,0.24,#,0.24
2005,0110170,01,007,01,0,2,#,0.1,#,0.098,0,2,#,0.27,#,0.24
2005,0110250,01,010,01,0,2,#,0.07,#,0.052,0,2,#,0.24,#,0.22
2005,0110260,01,010,02,0,1,#,0.07,#,0.07,0,1,#,0.24,#,0.24
2005,0110320,01,012,01,0,2,#,0.07,#,0.059,0,2,#,0.94,#,0.58
2005,0110370,01,017,01,0,2,#,0.11,#,0.091,0,2,#,0.97,#,0.63
2005,0110450,01,024,01,0,1,#,0.073,#,0.073,0,1,#,1.2,#,1.2
2005,0113990,01,024,55,0,1,#,0.073,#,0.073,0,1,#,1.7,#,1.7
2005,0118760,01,024,56,0,1,#,0.19,#,0.19,0,1,#,0.48,#,0.48
2005,0110600,01,033,01,0,2,#,0.34,#,0.21,0,2,#,0.24,#,0.23
2005,0110630,01,035,01,0,1,#,0.14,#,0.14,0,1,#,0.36,#,0.36
2005,0110790,01,048,01,0,2,#,0.07,#,0.052,0,2,#,0.24,#,0.22
2005,0110940,01,059,01,0,1,#,0.069,#,0.069,0,1,#,0.23,#,0.23
2005,0110950,01,060,01,0,1,#,0.043,#,0.043,0,1,#,0.2,#,0.2
2005,0110980,01,062,01,0,2,#,0.069,#,0.055,0,2,#,0.24,#,0.23
2005,0111260,01,077,01,0,1,#,0.07,#,0.07,0,1,#,0.24,#,0.24
2005,0111280,01,079,01,0,2,#,0.14,#,0.11,0,2,#,0.24,#,0.22
2005,0111320,01,083,01,0,2,#,0.11,#,0.09,0,2,#,0.87,#,0.69
2005,0111750,01,121,01,0,1,#,0.062,#,0.062,0,1,#,2.9,#,2.9
2005,0111810,01,122,55,0,2,#,0.4,#,0.25,0,0,#,0,#,0
2005,0114670,01,122,56,0,0,#,0,#,0,0,1,#,0.52,#,0.52
2005,0114560,01,127,51,1,2,#,1.1,#,0.61,0,0,#,0,#,0
2005,0112180,01,148,01,0,2,#,0.075,#,0.057,0,2,#,0.78,#,0.64
2005,0112330,01,159,53,0,1,#,0.059,#,0.059,0,1,#,4,#,4
2005,0112690,01,187,01,0,1,#,0.064,#,0.064,0,1,#,0.3,#,0.3
2005,0113230,01,248,01,0,1,#,0.043,#,0.043,0,1,#,0.16,#,0.16
2005,0114200,01,282,01,0,1,#,0.21,#,0.21,0,0,#,0,#,0
2005,0114280,01,284,01,0,1,#,0.053,#,0.053,0,1,#,0.65,#,0.65
2005,0114660,01,301,01,0,2,#,0.069,#,0.05,0,2,#,0.24,#,0.22
2005,0120670,01,401,01,0,1,#,0.069,#,0.069,0,1,#,1.1,#,1.1
2005,0120680,01,402,01,0,1,#,0.069,#,0.069,0,1,#,0.26,#,0.26
2005,0120690,01,403,01,0,1,#,0.071,#,0.071,0,1,#,0.82,#,0.82
2005,0120010,01,501,01,0,1,#,0.071,#,0.071,0,1,#,5.1,#,5.1
2005,0130220,01,604,02,0,1,#,0.03,#,0.03,0,1,#,5.9,#,5.9
2005,0130720,01,627,01,0,1,#,0.033,#,0.033,0,1,#,0.2,#,0.2
2005,0130790,01,630,02,0,1,#,0.031,#,0.031,0,1,#,0.22,#,0.22
2005,0130880,01,633,02,0,1,#,0.033,#,0.033,0,1,#,7.1,#,7.1
2005,0132370,01,659,01,0,1,#,0.033,#,0.033,0,1,#,0.23,#,0.23
2005,0210020,02,001,51,0,1,#,0.07,#,0.07,0,1,#,0.28,#,0.28
2005,0210040,02,002,01,0,1,#,0.073,#,0.073,0,1,#,0.6,#,0.6
2005,0210090,02,003,51,0,1,#,0.075,#,0.075,0,1,#,0.3,#,0.3
2005,0210110,02,004,01,0,1,#,0.19,#,0.19,0,1,#,0.61,#,0.61
