西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,調査区分,C_pH_最小値,pH_最小値,C_pH_最大値,pH_最大値,m_pH,n_pH,C_DO_最小値,DO_最小値,C_DO_最大値,DO_最大値,m_DO,n_DO,C_DO_日間平均値_平均値,DO_日間平均値_平均値,C_BOD_最小値,BOD_最小値,C_BOD_最大値,BOD_最大値,m_BOD,n_BOD,C_BOD_日間平均値_最小値,BOD_日間平均値_最小値,C_BOD_日間平均値_最大値,BOD_日間平均値_最大値,x_BOD,y_BOD,C_BOD_日間平均値_平均値,BOD_日間平均値_平均値,C_BOD_日間平均値_中央値,BOD_日間平均値_中央値,C_BOD_日間平均値_75%値,BOD_日間平均値_75%値,C_COD_最小値,COD_最小値,C_COD_最大値,COD_最大値,m_COD,n_COD,C_COD_日間平均値_最小値,COD_日間平均値_最小値,C_COD_日間平均値_最大値,COD_日間平均値_最大値,x_COD,y_COD,C_COD_日間平均値_平均値,COD_日間平均値_平均値,C_COD_日間平均値_中央値,COD_日間平均値_中央値,C_COD_日間平均値_75%値,COD_日間平均値_75%値,C_SS_最小値,SS_最小値,C_SS_最大値,SS_最大値,m_SS,n_SS,C_SS_日間平均値_平均値,SS_日間平均値_平均値,C_大腸菌群数_最小値,大腸菌群数_最小値,C_大腸菌群数_最大値,大腸菌群数_最大値,m_大腸菌群数,n_大腸菌群数,C_大腸菌群数_日間平均値_平均値,大腸菌群数_日間平均値_平均値,C_n-ヘキサン抽出物質（油分等）_最小値,n-ヘキサン抽出物質（油分等)_最小値,C_n-ヘキサン抽出物質(油分等)_最大値,n-ヘキサン抽出物質(油分等)_最大値,m_n-ヘキサン抽出物質(油分等),n_n-ヘキサン抽出物質(油分等),C_n-ヘキサン抽出物質(油分等)_日間平均値_平均値,n-ヘキサン抽出物質(油分等)_日間平均値_平均値
1988,0110010,01,001,01,0,#,7.1,#,7.4,0,4,#,8.4,#,12,0,4,#,10,#,0.5,#,0.6,0,4,#,0.5,#,0.6,0,4,#,0.6,#,0.6,#,0.6,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,2,#,9,0,4,#,5,#,24,#,49,0,4,#,38,E,99999,E,99999,999,999,E,99999
1988,0110030,01,002,02,0,#,6.9,#,7.9,0,12,#,9.6,#,14,0,12,#,12,<,0.5,#,1.1,0,12,<,0.5,#,1.1,0,12,#,0.7,#,0.7,#,0.7,#,1.5,#,4.1,999,12,#,1.5,#,4.1,999,12,#,2.9,#,2.8,#,3.5,#,1,#,31,1,12,#,7,#,790,#,17000,11,12,#,4000,E,99999,E,99999,999,999,E,99999
1988,0110020,01,002,52,0,#,6.8,#,7.8,0,12,#,9.4,#,14,0,12,#,12,<,0.5,#,2.4,1,12,<,0.5,#,2.4,1,12,#,1.2,#,1.2,#,1.5,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,<,1,#,18,0,12,#,5,#,80,#,5400,3,6,#,1800,N,0.5,N,0.5,999,2,N,0.5
1988,0110060,01,004,01,0,#,7.1,#,7.6,0,24,#,7.3,#,13,0,24,#,11,#,0.5,#,2.3,0,24,#,0.6,#,2.2,0,12,#,1.5,#,1.5,#,1.6,#,3.7,#,14,999,24,#,4,#,14,999,12,#,6.4,#,5.5,#,6.2,#,11,#,260,14,24,#,56,#,790,#,110000,14,24,#,17000,N,0.5,N,0.5,999,2,N,0.5
1988,0113460,01,004,02,0,#,7,#,7.5,0,12,#,8.6,#,13,0,12,#,11,#,0.8,#,2,0,12,#,0.8,#,2,0,12,#,1.3,#,1.2,#,1.4,#,4.2,#,6.4,999,12,#,4.2,#,6.4,999,12,#,5.2,#,5.3,#,5.7,#,7,#,63,5,12,#,28,#,2400,#,490000,8,12,#,66000,N,0.5,N,0.5,999,2,N,0.5
1988,0110070,01,004,51,0,#,7.1,#,8.3,0,12,#,8.3,#,13,0,12,#,11,#,0.8,#,4.1,1,12,#,0.8,#,4.1,1,12,#,1.7,#,1.5,#,2,#,5.1,#,9.4,999,12,#,5.1,#,9.4,999,12,#,6.6,#,6,#,7.5,#,10,#,140,4,12,#,37,#,1700,#,24000,6,12,#,10000,E,99999,E,99999,999,999,E,99999
1988,0110080,01,004,52,0,#,6.9,#,7.3,0,4,#,7,#,11,0,4,#,8.8,#,0.9,#,1.8,0,4,#,0.9,#,1.8,0,4,#,1.4,#,1.4,#,1.6,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,10,#,41,2,4,#,27,#,2400,#,9200,2,4,#,5100,N,0.5,N,0.5,999,2,N,0.5
1988,0110090,01,004,53,0,#,7.1,#,7.6,0,12,#,8.8,#,13,0,12,#,11,#,0.7,#,1.7,0,12,#,0.7,#,1.7,0,12,#,1.2,#,1.2,#,1.3,#,4,#,6,999,12,#,4,#,6,999,12,#,4.9,#,4.7,#,5.6,#,6,#,69,5,12,#,29,#,1400,#,790000,9,12,#,87000,N,0.5,N,0.5,999,2,N,0.5
1988,0110100,01,004,54,0,#,7,#,7.4,0,4,#,7.3,#,12,0,4,#,10,#,0.8,#,1.3,0,4,#,0.8,#,1.3,0,4,#,1.1,#,1.1,#,1.2,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,6,#,91,2,4,#,35,#,350,#,16000,1,4,#,5600,E,99999,E,99999,999,999,E,99999
1988,0110110,01,004,55,0,#,7.1,#,8,0,12,#,8.4,#,13,0,12,#,11,<,0.5,#,2.2,0,12,<,0.5,#,2.2,0,12,#,1.3,#,1.4,#,1.5,#,4,#,12,999,12,#,4,#,12,999,12,#,5.8,#,5,#,5.8,#,8,#,150,6,12,#,46,#,790,#,170000,4,12,#,19000,E,99999,E,99999,999,999,E,99999
1988,0110140,01,005,02,0,#,7.1,#,8.4,0,12,#,8.1,#,14,0,12,#,11,<,0.5,#,2,0,12,<,0.5,#,2,0,12,#,0.8,#,0.8,#,0.8,#,1.5,#,2.9,999,12,#,1.5,#,2.9,999,12,#,2,#,2,#,2.1,#,1,#,20,0,12,#,4,#,5,#,170,0,12,#,72,E,99999,E,99999,999,999,E,99999
1988,0110130,01,005,52,0,#,6.9,#,7.9,0,12,#,8.8,#,14,0,12,#,12,<,0.5,#,2.2,1,12,<,0.5,#,2.2,1,12,#,1.1,#,0.9,#,1.4,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,<,1,#,10,0,12,#,4,#,130,#,2400,2,6,#,1000,N,0.5,N,0.5,999,2,N,0.5
1988,0110160,01,006,02,0,#,7,#,7.9,0,24,#,6.7,#,14,1,24,#,11,#,0.6,#,2.1,1,24,#,0.9,#,2,0,12,#,1.3,#,1.3,#,1.5,#,1.7,#,7,999,24,#,2.7,#,6.6,999,12,#,4.5,#,4.5,#,5.1,#,2,#,63,1,24,#,12,#,3300,#,92000000,24,24,#,4000000,E,99999,E,99999,999,999,E,99999
1988,0110170,01,007,01,0,#,7,#,8.6,1,24,#,5.6,#,13,0,24,#,11,#,0.8,#,7.8,6,24,#,0.9,#,6.2,2,12,#,2.5,#,2.2,#,2.6,#,3.3,#,9.8,999,24,#,3.6,#,7.6,999,12,#,5.6,#,5.4,#,6.3,#,1,#,82,2,24,#,15,#,2300,#,54000000,23,24,#,2300000,N,0.5,N,0.5,999,2,N,0.5
1988,0110180,01,007,51,0,#,7.1,#,7.9,0,24,#,6.1,#,12,0,24,#,10,#,0.6,#,3.4,3,24,#,0.8,#,3.4,2,12,#,1.9,#,2.1,#,2.3,#,3.6,#,7.3,999,24,#,3.7,#,6.7,999,12,#,5.3,#,5.2,#,5.9,#,3,#,32,6,24,#,16,#,2400,#,240000,17,24,#,22000,E,99999,E,99999,999,999,E,99999
1988,0110190,01,007,52,0,#,7.4,#,9,2,12,#,8.7,#,14,0,12,#,11,#,1.2,#,7.9,2,12,#,1.2,#,7.9,2,12,#,2.6,#,2,#,2.5,#,3.1,#,9.6,999,12,#,3.1,#,9.6,999,12,#,5.5,#,5.1,#,6.1,#,3,#,31,1,12,#,12,#,4600,#,920000,11,12,#,170000,E,99999,E,99999,999,999,E,99999
1988,0110230,01,008,02,0,#,7,#,9.2,1,11,#,8.9,#,14,0,12,#,11,<,0.5,#,1.1,1,12,<,0.5,#,1.1,1,12,#,0.6,#,0.5,#,0.5,#,1.3,#,3.2,999,12,#,1.3,#,3.2,999,12,#,2.1,#,2,#,2.5,#,1,#,44,1,12,#,8,#,0,#,130,5,12,#,41,E,99999,E,99999,999,999,E,99999
1988,0110220,01,008,52,0,#,6.9,#,8.2,0,10,#,9.1,#,14,0,10,#,11,<,0.5,#,0.8,0,10,<,0.5,#,0.8,0,9,#,0.6,#,0.5,#,0.6,#,1.5,#,2,999,4,#,1.5,#,2,999,4,#,1.7,#,1.7,#,1.9,<,1,#,51,1,10,#,11,#,2,#,240,3,10,#,68,E,99999,E,99999,999,999,E,99999
1988,0110240,01,009,01,0,#,7.1,#,8.4,0,27,#,9.2,#,14,0,27,#,11,<,0.5,#,1.3,0,27,<,0.5,#,0.7,0,12,#,0.6,#,0.5,#,0.6,#,0.5,#,2.8,999,27,#,0.8,#,2.8,999,12,#,1.9,#,2,#,2.1,<,1,#,56,1,27,#,10,#,2,#,790,0,27,#,140,E,99999,E,99999,999,999,E,99999
1988,0110250,01,010,01,0,#,7.1,#,7.5,0,27,#,8.2,#,13,0,27,#,11,#,0.6,#,4.6,1,27,#,0.6,#,3,0,12,#,1.1,#,0.9,#,1,#,1.2,#,9.1,999,27,#,2.1,#,6.1,999,12,#,4.2,#,4.4,#,4.9,#,3,#,71,5,27,#,22,#,330,#,22000,10,27,#,4300,E,99999,E,99999,999,999,E,99999
1988,0110260,01,010,02,0,#,7.2,#,7.8,0,12,#,9.3,#,14,0,12,#,11,#,0.5,#,1.5,0,12,#,0.5,#,1.5,0,12,#,0.9,#,0.9,#,0.9,#,1.9,#,3.3,999,12,#,1.9,#,3.3,999,12,#,2.7,#,2.8,#,2.9,#,1,#,26,1,12,#,7,#,240,#,9400,2,12,#,2700,E,99999,E,99999,999,999,E,99999
