西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,調査区分,C_pH_最小値,pH_最小値,C_pH_最大値,pH_最大値,m_pH,n_pH,C_DO_最小値,DO_最小値,C_DO_最大値,DO_最大値,m_DO,n_DO,C_DO_日間平均値_平均値,DO_日間平均値_平均値,C_BOD_最小値,BOD_最小値,C_BOD_最大値,BOD_最大値,m_BOD,n_BOD,C_BOD_日間平均値_最小値,BOD_日間平均値_最小値,C_BOD_日間平均値_最大値,BOD_日間平均値_最大値,x_BOD,y_BOD,C_BOD_日間平均値_平均値,BOD_日間平均値_平均値,C_BOD_日間平均値_中央値,BOD_日間平均値_中央値,C_BOD_日間平均値_75%値,BOD_日間平均値_75%値,C_COD_最小値,COD_最小値,C_COD_最大値,COD_最大値,m_COD,n_COD,C_COD_日間平均値_最小値,COD_日間平均値_最小値,C_COD_日間平均値_最大値,COD_日間平均値_最大値,x_COD,y_COD,C_COD_日間平均値_平均値,COD_日間平均値_平均値,C_COD_日間平均値_中央値,COD_日間平均値_中央値,C_COD_日間平均値_75%値,COD_日間平均値_75%値,C_SS_最小値,SS_最小値,C_SS_最大値,SS_最大値,m_SS,n_SS,C_SS_日間平均値_平均値,SS_日間平均値_平均値,C_大腸菌群数_最小値,大腸菌群数_最小値,C_大腸菌群数_最大値,大腸菌群数_最大値,m_大腸菌群数,n_大腸菌群数,C_大腸菌群数_日間平均値_平均値,大腸菌群数_日間平均値_平均値,C_n-ヘキサン抽出物質（油分等）_最小値,n-ヘキサン抽出物質（油分等)_最小値,C_n-ヘキサン抽出物質(油分等)_最大値,n-ヘキサン抽出物質(油分等)_最大値,m_n-ヘキサン抽出物質(油分等),n_n-ヘキサン抽出物質(油分等),C_n-ヘキサン抽出物質(油分等)_日間平均値_平均値,n-ヘキサン抽出物質(油分等)_日間平均値_平均値
1978,0110014,01,001,01,0,#,6.9,#,7.2,0,6,#,7.6,#,15,0,6,#,11,#,0.5,#,1.6,1,6,#,0.5,#,1.6,1,6,#,0.7,#,0.6,#,0.7,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,2,#,67,1,6,#,17,#,0,#,11000,4,6,#,2100,E,99999,E,99999,999,999,E,99999
1978,0110024,01,002,01,0,#,6.9,#,8.3,0,24,#,8.4,#,16,0,24,#,11,#,0,#,4.7,2,24,#,0,#,4.7,1,13,#,1.3,#,1.2,#,1.4,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,1,#,73,3,24,#,14,#,230,#,13000,7,13,#,3100,E,99999,E,99999,999,999,E,99999
1978,0110034,01,002,51,0,#,6.8,#,7.7,0,12,#,10,#,14,0,12,#,11,#,0.3,#,2.8,1,12,#,0.3,#,2.8,1,12,#,0.9,#,0.8,#,1,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,3,#,30,1,12,#,9,#,330,#,9200,5,11,#,2400,E,99999,E,99999,999,999,E,99999
1978,0110044,01,004,01,0,#,6.9,#,7.7,0,38,#,6.6,#,12,0,38,#,9.1,#,1,#,2.2,0,38,#,1,#,1.8,0,14,#,1.3,#,1.1,#,1.6,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,6,#,135,22,38,#,35,#,360,#,22000,11,38,#,5000,E,99999,E,99999,999,999,E,99999
1978,,01,004,02,0,#,7,#,7.9,0,48,#,7,#,14,0,48,#,10,#,0.8,#,2.7,0,48,#,1,#,2.3,0,12,#,1.6,#,1.6,#,1.8,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,6,#,157,19,48,#,37,#,490,#,350000,31,48,#,21000,E,99999,E,99999,999,999,E,99999
1978,0110064,01,004,51,0,#,7,#,8.1,0,24,#,6.7,#,13,0,24,#,9.9,#,0.8,#,2.9,0,24,#,0.8,#,2,0,12,#,1.4,#,1.5,#,1.6,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,8,#,384,8,24,#,46,#,490,#,70000,10,24,#,10000,E,99999,E,99999,999,999,E,99999
1978,0110074,01,004,52,0,#,6.8,#,7.3,0,34,#,6.4,#,11,0,34,#,8.7,#,1.4,#,2.4,0,34,#,1.6,#,2,0,7,#,1.8,#,1.8,#,1.9,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,11,#,140,14,34,#,38,#,91,#,9300,3,34,#,3400,E,99999,E,99999,999,999,E,99999
1978,0110084,01,004,53,0,#,6.9,#,7.8,0,12,#,7.1,#,14,0,12,#,10,#,1,#,3.2,1,12,#,1,#,3.2,1,12,#,1.6,#,1.5,#,1.9,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,8,#,183,5,12,#,47,#,2400,#,49000,5,12,#,12000,E,99999,E,99999,999,999,E,99999
1978,0110094,01,004,54,0,#,6.8,#,7,0,8,#,7.6,#,13,0,8,#,11,#,1,#,2.8,0,8,#,1.1,#,2.8,0,5,#,1.9,#,2,#,2.3,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,3,#,59,3,8,#,26,#,230,#,17000,1,8,#,3700,E,99999,E,99999,999,999,E,99999
1978,0110104,01,004,55,0,#,7,#,7.6,0,12,#,7.3,#,13,0,12,#,10,#,0.9,#,2,0,12,#,0.9,#,2,0,12,#,1.3,#,1.4,#,1.6,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,12,#,256,10,12,#,66,#,790,#,35000,4,12,#,11000,E,99999,E,99999,999,999,E,99999
