西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,水温,m_トリハロメタン生成能,n_トリハロメタン生成能,C_トリハロメタン生成能_最大値,トリハロメタン生成能_最大値,C_トリハロメタン生成能_日平均値_平均値,トリハロメタン生成能_日平均値_平均値,C_クロロホルム生成能_最大値,クロロホルム生成能_最大値,C_クロロホルム生成能_日平均値_平均値,クロロホルム生成能_日平均値_平均値,C_ブロモジクロロメタン生成能_最大値,ブロモジクロロメタン生成能_最大値,C_ブロモジクロロメタン生成能_日平均値_平均値,ブロモジクロロメタン生成能_日平均値_平均値,C_ジブロモクロロメタン生成能_最大値,ジブロモクロロメタン生成能_最大値,C_ジブロモクロロメタン生成能_日平均値_平均値,ジブロモクロロメタン生成能_日平均値_平均値,C_ブロモホルム生成能_最大値,ブロモホルム生成能_最大値,C_ブロモホルム生成能_日平均値_平均値,ブロモホルム生成能_日平均値_平均値
1999,0111740,01,120,01,21,999,4,#,0.041,#,0.032,#,0.027,#,0.021,#,0.01,#,0.0085,#,0.004,#,0.0028,<,0.0001,<,0.0001
1999,0112070,01,141,51,20,999,4,#,0.1,#,0.052,#,0.027,#,0.019,#,0.022,#,0.0088,#,0.021,#,0.0073,#,0.044,#,0.017
1999,0114220,01,141,53,22.2,999,4,#,0.061,#,0.036,#,0.032,#,0.02,#,0.011,#,0.007,#,0.005,#,0.0028,#,0.013,#,0.0068
1999,0112130,01,144,52,25.1,999,4,#,0.054,#,0.03,#,0.014,#,0.012,#,0.008,#,0.0053,#,0.006,#,0.0033,#,0.028,#,0.0095
1999,0114320,01,144,53,25.2,999,4,#,0.045,#,0.039,#,0.027,#,0.023,#,0.011,#,0.0088,#,0.004,#,0.0033,#,0.007,#,0.004
1999,0112150,01,146,01,15,999,3,#,0.054,#,0.046,#,0.032,#,0.027,#,0.016,#,0.013,#,0.007,#,0.0053,<,0.0001,<,0.0001
1999,0114070,01,272,01,19,999,4,#,0.05,#,0.035,#,0.032,#,0.023,#,0.013,#,0.0095,#,0.005,#,0.0028,<,0.001,<,0.0003
1999,0114300,01,290,01,22,999,4,#,0.084,#,0.064,#,0.035,#,0.03,#,0.015,#,0.011,#,0.009,#,0.0048,#,0.03,#,0.018
1999,0114310,01,290,02,22,999,4,#,0.097,#,0.08,#,0.045,#,0.033,#,0.017,#,0.011,#,0.008,#,0.0058,#,0.053,#,0.03
1999,0210070,02,003,01,19.5,999,4,#,0.074,#,0.046,#,0.061,#,0.034,#,0.01,#,0.0083,#,0.002,#,0.0018,<,0.002,<,0.002
1999,0210090,02,003,51,18.5,999,4,#,0.042,#,0.033,#,0.03,#,0.022,#,0.009,#,0.0075,#,0.002,#,0.0013,<,0.002,<,0.002
1999,0210190,02,008,02,17.5,999,4,#,0.046,#,0.038,#,0.022,#,0.018,#,0.014,#,0.011,#,0.009,#,0.0065,<,0.002,<,0.002
1999,0210240,02,010,03,25.5,999,4,#,0.098,#,0.068,#,0.07,#,0.042,#,0.025,#,0.02,#,0.007,#,0.0053,<,0.001,<,0.001
1999,0210330,02,010,59,22.4,999,4,#,0.055,#,0.045,#,0.034,#,0.026,#,0.016,#,0.014,#,0.005,#,0.004,<,0.001,<,0.001
1999,0210620,02,015,01,28.5,999,4,#,0.067,#,0.053,#,0.035,#,0.024,#,0.022,#,0.018,#,0.026,#,0.012,#,0.0007,#,0.0004
1999,0211040,02,033,01,25.2,999,4,#,0.019,#,0.015,#,0.008,#,0.005,#,0.0069,#,0.0055,#,0.0061,#,0.0039,<,0.0002,<,0.0002
1999,0211130,02,035,01,14.8,999,4,#,0.018,#,0.016,#,0.008,#,0.007,#,0.0068,#,0.006,#,0.0038,#,0.0032,#,0.0003,#,0.0002
1999,0214480,02,297,01,24,999,4,#,0.099,#,0.072,#,0.089,#,0.062,#,0.01,#,0.0089,#,0.0009,#,0.0005,<,0.0002,<,0.0002
1999,0221100,02,503,01,22.5,999,4,#,0.074,#,0.057,#,0.063,#,0.046,#,0.012,#,0.0093,#,0.001,#,0.001,<,0.001,<,0.001
1999,0310060,03,002,54,16.7,999,4,#,0.047,#,0.033,#,0.034,#,0.023,#,0.01,#,0.0078,#,0.002,#,0.002,#,0.0003,#,0.0002
1999,0310430,03,018,53,19,999,4,#,0.05,#,0.048,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
1999,0312540,03,033,51,19.6,999,4,#,0.056,#,0.043,#,0.045,#,0.031,#,0.011,#,0.0098,#,0.002,#,0.002,#,0.0002,#,0.0002
1999,0311030,03,047,53,21.2,999,4,#,0.06,#,0.038,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
1999,0312330,03,208,03,21.1,999,4,#,0.021,#,0.02,#,0.014,#,0.006,#,0.006,#,0.0058,#,0.006,#,0.005,#,0.007,#,0.004
1999,0320130,03,506,01,26.8,999,1,#,0.02,#,0.02,#,0.012,#,0.012,#,0.006,#,0.006,#,0.001,#,0.001,#,0.001,#,0.001
1999,0410230,04,009,01,28.3,999,4,#,0.063,#,0.038,#,0.044,#,0.032,#,0.022,#,0.013,#,0.012,#,0.005,#,0.0004,#,0.0003
1999,0411760,04,010,51,29,999,4,#,0.047,#,0.039,#,0.036,#,0.029,#,0.0096,#,0.0086,#,0.001,#,0.001,#,0.0002,#,0.0002
1999,0410270,04,010,52,29.9,999,4,#,0.068,#,0.042,#,0.05,#,0.028,#,0.014,#,0.01,#,0.004,#,0.003,#,0.0004,#,0.0002
1999,0410290,04,012,01,28,999,4,#,0.041,#,0.034,#,0.031,#,0.025,#,0.0088,#,0.0079,#,0.002,#,0.001,#,0.0002,#,0.0002
1999,0410300,04,012,51,22.6,999,4,#,0.046,#,0.034,#,0.037,#,0.026,#,0.008,#,0.0073,#,0.001,#,0.001,<,0.001,<,0.001
1999,0410360,04,013,01,23.3,999,4,#,0.026,#,0.021,#,0.017,#,0.013,#,0.007,#,0.006,#,0.003,#,0.002,<,0.001,<,0.001
1999,0410500,04,016,01,26.5,999,4,#,0.054,#,0.045,#,0.045,#,0.035,#,0.015,#,0.0088,#,0.006,#,0.002,<,0.001,<,0.001
