西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,調査区分,C_pH_最小値,pH_最小値,C_pH_最大値,pH_最大値,m_pH,n_pH,C_DO_最小値,DO_最小値,C_DO_最大値,DO_最大値,m_DO,n_DO,C_DO_日間平均値_平均値,DO_日間平均値_平均値,C_BOD_最小値,BOD_最小値,C_BOD_最大値,BOD_最大値,m_BOD,n_BOD,C_BOD_日間平均値_最小値,BOD_日間平均値_最小値,C_BOD_日間平均値_最大値,BOD_日間平均値_最大値,x_BOD,y_BOD,C_BOD_日間平均値_平均値,BOD_日間平均値_平均値,C_BOD_日間平均値_中央値,BOD_日間平均値_中央値,C_BOD_日間平均値_75%値,BOD_日間平均値_75%値,C_COD_最小値,COD_最小値,C_COD_最大値,COD_最大値,m_COD,n_COD,C_COD_日間平均値_最小値,COD_日間平均値_最小値,C_COD_日間平均値_最大値,COD_日間平均値_最大値,x_COD,y_COD,C_COD_日間平均値_平均値,COD_日間平均値_平均値,C_COD_日間平均値_中央値,COD_日間平均値_中央値,C_COD_日間平均値_75%値,COD_日間平均値_75%値,C_SS_最小値,SS_最小値,C_SS_最大値,SS_最大値,m_SS,n_SS,C_SS_日間平均値_平均値,SS_日間平均値_平均値,C_大腸菌群数_最小値,大腸菌群数_最小値,C_大腸菌群数_最大値,大腸菌群数_最大値,m_大腸菌群数,n_大腸菌群数,C_大腸菌群数_日間平均値_平均値,大腸菌群数_日間平均値_平均値,C_n-ヘキサン抽出物質（油分等）_最小値,n-ヘキサン抽出物質（油分等)_最小値,C_n-ヘキサン抽出物質(油分等)_最大値,n-ヘキサン抽出物質(油分等)_最大値,m_n-ヘキサン抽出物質(油分等),n_n-ヘキサン抽出物質(油分等),C_n-ヘキサン抽出物質(油分等)_日間平均値_平均値,n-ヘキサン抽出物質(油分等)_日間平均値_平均値
2009,3212470,32,319,01,0,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,#,1.8,#,7.1,999,4,#,1.8,#,7.1,999,4,#,3.6,#,2.7,#,3.2,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,2,#,4,999,4,#,3,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999
2009,3212770,32,320,01,0,#,7.1,#,7.6,999,4,#,8.1,#,12,999,4,#,9.9,#,0.5,#,2.1,999,4,#,0.5,#,2.1,999,4,#,1.1,#,0.9,#,1.1,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,2,#,6,999,4,#,5,#,230,#,130000,999,4,#,44000,E,99999,E,99999,999,999,E,99999
2009,3212680,32,323,01,0,#,7.4,#,7.5,999,6,E,99999,E,99999,999,999,E,99999,<,0.5,#,0.7,999,6,<,0.5,#,0.7,999,6,#,0.5,#,0.5,#,0.5,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,1,#,11,999,6,#,5,#,490,#,23000,999,6,#,6000,E,99999,E,99999,999,999,E,99999
2009,3212700,32,323,02,0,#,7.4,#,7.6,999,6,E,99999,E,99999,999,999,E,99999,<,0.5,#,0.8,999,6,<,0.5,#,0.8,999,6,#,0.6,<,0.5,#,0.5,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,1,#,31,999,6,#,8,#,490,#,11000,999,6,#,4300,E,99999,E,99999,999,999,E,99999
2009,3212710,32,323,03,0,#,6.8,#,8.6,999,12,#,7.9,#,13,999,12,#,10,#,1,#,4.5,999,12,#,1,#,4.5,999,12,#,2.3,#,2.1,#,2.8,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999
2009,3212720,32,323,04,0,#,6.6,#,8.4,999,24,#,0.6,#,12,999,24,#,8.3,#,1,#,5.9,999,24,#,1.2,#,4.7,999,12,#,2.5,#,2.2,#,2.9,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999
2009,3212730,32,323,05,0,#,7.5,#,7.7,999,6,E,99999,E,99999,999,999,E,99999,<,0.5,#,1,999,6,<,0.5,#,1,999,6,#,0.7,#,0.7,#,0.8,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,2,#,17,999,6,#,7,#,490,#,7900,999,6,#,2000,E,99999,E,99999,999,999,E,99999
2009,3212920,32,324,01,0,#,7.1,#,7.7,999,4,#,8.4,#,12,999,4,#,10,#,0.5,#,1,999,4,#,0.5,#,1,999,4,#,0.7,#,0.6,#,0.6,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,1,#,2,999,4,#,1,#,230,#,17000,999,4,#,6600,E,99999,E,99999,999,999,E,99999
2009,3212880,32,324,02,0,#,7.1,#,7.9,999,4,#,8.9,#,12,999,4,#,11,#,0.5,#,1,999,4,#,0.5,#,1,999,4,#,0.7,#,0.7,#,0.9,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,1,#,2,999,4,#,1,#,330,#,130000,999,4,#,34000,E,99999,E,99999,999,999,E,99999
2009,3212690,32,324,03,0,#,7.3,#,7.9,999,4,#,8.9,#,12,999,4,#,11,#,0.5,#,1,999,4,#,0.5,#,1,999,4,#,0.7,#,0.7,#,0.7,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,1,#,2,999,4,#,1,#,700,#,13000,999,4,#,4600,E,99999,E,99999,999,999,E,99999
