西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,調査区分,採取位置,C_全窒素_最小値,全窒素_最小値,C_全窒素_最大値,全窒素_最大値,m_全窒素,n_全窒素,C_全窒素_日間平均値_平均値,全窒素_日間平均値_平均値,C_全燐_最小値,全燐_最小値,C_全燐_最大値,全燐_最大値,m_全燐,n_全燐,C_全燐_日間平均値_平均値,全燐_日間平均値_平均値
2009,0110030,01,002,02,0,99,#,0.34,#,0.77,999,12,#,0.51,#,0.011,#,0.064,999,12,#,0.022
2009,0114370,01,002,53,0,99,<,0.05,#,0.27,999,2,#,0.16,#,0.017,#,0.033,999,2,#,0.025
2009,0110060,01,004,01,0,99,#,0.67,#,1.4,999,12,#,0.99,#,0.028,#,0.14,999,12,#,0.052
2009,0113460,01,004,02,0,99,#,0.61,#,1.4,999,12,#,0.89,#,0.026,#,0.1,999,12,#,0.04
2009,0110070,01,004,51,0,99,#,1,#,1.4,999,4,#,1.2,#,0.051,#,0.11,999,4,#,0.073
2009,0110090,01,004,53,0,99,#,0.77,#,1.1,999,4,#,0.93,#,0.024,#,0.1,999,4,#,0.053
2009,0110110,01,004,55,0,99,#,0.9,#,1.1,999,4,#,1,#,0.03,#,0.13,999,4,#,0.064
2009,0110140,01,005,02,0,99,#,0.17,#,0.76,999,12,#,0.31,#,0.006,#,0.019,999,12,#,0.01
2009,0110130,01,005,52,0,99,<,0.05,#,0.21,999,2,#,0.13,#,0.009,#,0.033,999,2,#,0.021
2009,0110160,01,006,02,0,99,#,0.85,#,5.5,999,12,#,1.7,#,0.022,#,0.091,999,12,#,0.041
2009,0110170,01,007,01,0,99,#,1.3,#,5.2,999,12,#,2.3,#,0.052,#,0.18,999,12,#,0.087
2009,0110180,01,007,51,0,99,#,1.4,#,5.1,999,12,#,2.4,#,0.046,#,0.22,999,12,#,0.096
