西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,水温,m_トリハロメタン生成能,n_トリハロメタン生成能,C_トリハロメタン生成能_最大値,トリハロメタン生成能_最大値,C_トリハロメタン生成能_日平均値_平均値,トリハロメタン生成能_日平均値_平均値,C_クロロホルム生成能_最大値,クロロホルム生成能_最大値,C_クロロホルム生成能_日平均値_平均値,クロロホルム生成能_日平均値_平均値,C_ブロモジクロロメタン生成能_最大値,ブロモジクロロメタン生成能_最大値,C_ブロモジクロロメタン生成能_日平均値_平均値,ブロモジクロロメタン生成能_日平均値_平均値,C_ジブロモクロロメタン生成能_最大値,ジブロモクロロメタン生成能_最大値,C_ジブロモクロロメタン生成能_日平均値_平均値,ジブロモクロロメタン生成能_日平均値_平均値,C_ブロモホルム生成能_最大値,ブロモホルム生成能_最大値,C_ブロモホルム生成能_日平均値_平均値,ブロモホルム生成能_日平均値_平均値
2007,0111740,01,120,01,99.9,999,4,#,0.025,#,0.018,#,0.015,#,0.011,#,0.008,#,0.006,#,0.002,#,0.001,<,0.001,<,0.001
2007,0114220,01,141,53,99.9,999,4,#,0.09,#,0.063,#,0.082,#,0.052,#,0.011,#,0.01,#,0.004,#,0.002,<,0.001,<,0.001
2007,0114320,01,144,53,99.9,999,4,#,0.078,#,0.062,#,0.063,#,0.047,#,0.013,#,0.012,#,0.003,#,0.003,<,0.001,<,0.001
2007,0112150,01,146,01,99.9,999,4,#,0.031,#,0.03,#,0.019,#,0.014,#,0.011,#,0.009,#,0.009,#,0.005,<,0.001,<,0.001
2007,0114070,01,272,01,99.9,999,4,#,0.038,#,0.019,#,0.023,#,0.011,#,0.011,#,0.006,#,0.002,#,0.001,<,0.001,<,0.001
2007,0114300,01,290,01,99.9,999,4,#,0.071,#,0.061,#,0.046,#,0.044,#,0.019,#,0.014,#,0.004,#,0.002,<,0.001,<,0.001
2007,0114470,01,297,01,99.9,999,4,#,0.079,#,0.074,#,0.076,#,0.053,#,0.003,#,0.002,<,0.001,<,0.001,#,0.081,#,0.021
2007,0210070,02,003,01,21.5,999,4,#,0.084,#,0.061,#,0.058,#,0.041,#,0.027,#,0.015,#,0.006,#,0.0033,#,0.004,#,0.0018
2007,0210090,02,003,51,21.3,999,4,#,0.087,#,0.056,#,0.056,#,0.038,#,0.026,#,0.014,#,0.004,#,0.0028,#,0.004,#,0.0018
2007,0210190,02,008,02,19.4,999,4,#,0.075,#,0.054,#,0.043,#,0.027,#,0.03,#,0.017,#,0.014,#,0.0078,#,0.006,#,0.0023
2007,0210240,02,010,03,20.8,999,4,#,0.087,#,0.06,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2007,0210330,02,010,59,18.4,999,4,#,0.058,#,0.042,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2007,0210620,02,015,01,27.8,999,4,#,0.13,#,0.086,#,0.091,#,0.06,#,0.03,#,0.02,#,0.01,#,0.0071,#,0.0005,#,0.0004
2007,0211040,02,033,01,20.9,999,4,#,0.022,#,0.013,#,0.011,#,0.005,#,0.0081,#,0.0048,#,0.0039,#,0.0029,#,0.0003,#,0.0002
